date_obj,Red%20d'hide%20chaps price
2015-03-26,4883
2015-03-27,4883
2015-03-28,4770
2015-03-29,4626
2015-03-30,4530
2015-03-31,4426
2015-04-01,4432
2015-04-02,4540
2015-04-03,4324
2015-04-04,4145
2015-04-05,3975
2015-04-06,3953
2015-04-07,3849
2015-04-08,3752
2015-04-09,3712
2015-04-10,3639
2015-04-11,3697
2015-04-12,3790
2015-04-13,3968
2015-04-14,4167
2015-04-15,4355
2015-04-16,4530
2015-04-17,4729
2015-04-18,4948
2015-04-19,5084
2015-04-20,5245
2015-04-21,5421
2015-04-22,5612
2015-04-23,5680
2015-04-24,5737
2015-04-25,5945
2015-04-26,5976
2015-04-27,5759
2015-04-28,5603
2015-04-29,5603
2015-04-30,5500
2015-05-01,5435
2015-05-02,5472
2015-05-03,5454
2015-05-04,5410
2015-05-05,5434
2015-05-06,5568
2015-05-07,5803
2015-05-08,6065
2015-05-09,6215
2015-05-10,6130
2015-05-11,5871
2015-05-12,5595
2015-05-13,5476
2015-05-14,5440
2015-05-15,5507
2015-05-16,5695
2015-05-17,5543
2015-05-18,5334
2015-05-19,5249
2015-05-20,5214
2015-05-21,5125
2015-05-22,5182
2015-05-23,5248
2015-05-24,5350
2015-05-25,5130
2015-05-26,5119
2015-05-27,4916
2015-05-28,4719
2015-05-29,4506
2015-05-30,4304
2015-05-31,4109
2015-06-01,4011
2015-06-02,4047
2015-06-03,4173
2015-06-04,4357
2015-06-05,4571
2015-06-06,4753
2015-06-07,4991
2015-06-08,5020
2015-06-09,5168
2015-06-10,5343
2015-06-11,5572
2015-06-12,5513
2015-06-13,5324
2015-06-14,5057
2015-06-15,4804
2015-06-16,4563
2015-06-17,4334
2015-06-18,4117
2015-06-19,4031
2015-06-20,4005
2015-06-21,4070
2015-06-22,4031
2015-06-23,4045
2015-06-24,4056
2015-06-25,4121
2015-06-26,4311
2015-06-27,4473
2015-06-28,4605
2015-06-29,4789
2015-06-30,4979
2015-07-01,5120
2015-07-02,5318
2015-07-03,5164
2015-07-04,5003
2015-07-05,5160
2015-07-06,5338
2015-07-07,5315
2015-07-08,5276
2015-07-09,5207
2015-07-10,5270
2015-07-11,5221
2015-07-12,5255
2015-07-13,5014
2015-07-14,4964
2015-07-15,4937
2015-07-16,4952
2015-07-17,4867
2015-07-18,4834
2015-07-19,4807
2015-07-20,4773
2015-07-21,4700
2015-07-22,4869
2015-07-23,4935
2015-07-24,5020
2015-07-25,5184
2015-07-26,5405
2015-07-27,5648
2015-07-28,5854
2015-07-29,6102
2015-07-30,6191
2015-07-31,5990
2015-08-01,5703
2015-08-02,5509
2015-08-03,5373
2015-08-04,5215
2015-08-05,5233
2015-08-06,5132
2015-08-07,5092
2015-08-08,5258
2015-08-09,5498
2015-08-10,5762
2015-08-11,5780
2015-08-12,5542
2015-08-13,5344
2015-08-14,5368
2015-08-15,5458
2015-08-16,5504
2015-08-17,5585
2015-08-18,5603
2015-08-19,5630
