date_obj,Red%20elegant%20blouse price
2015-03-26,25905
2015-03-27,24722
2015-03-28,24722
2015-03-29,23584
2015-03-30,23584
2015-03-31,23584
2015-04-01,22457
2015-04-02,22457
2015-04-03,21480
2015-04-04,21480
2015-04-05,21480
2015-04-06,20508
2015-04-07,20508
2015-04-08,20508
2015-04-09,19556
2015-04-10,19556
2015-04-11,18634
2015-04-12,18634
2015-04-13,18634
2015-04-14,17865
2015-04-15,17865
2015-04-16,17865
2015-04-17,17553
2015-04-18,17553
2015-04-19,17553
2015-04-20,17553
2015-04-21,16863
2015-04-22,16863
2015-04-23,16863
2015-04-24,16028
2015-04-25,16028
2015-04-26,16028
2015-04-27,16028
2015-04-28,15325
2015-04-29,15325
2015-04-30,15325
2015-05-01,14604
2015-05-02,14604
2015-05-03,14604
2015-05-04,13908
2015-05-05,13908
2015-05-06,13908
2015-05-07,13212
2015-05-08,13212
2015-05-09,13212
2015-05-10,13212
2015-05-11,12579
2015-05-12,12579
2015-05-13,12579
2015-05-14,11971
2015-05-15,11971
2015-05-16,11971
2015-05-17,11416
2015-05-18,11416
2015-05-19,11416
2015-05-20,11416
2015-05-21,11416
2015-05-22,11299
2015-05-23,11299
2015-05-24,11299
2015-05-25,11299
2015-05-26,11074
2015-05-27,11074
2015-05-28,11074
2015-05-29,11074
2015-05-30,10904
2015-05-31,10904
2015-06-01,10904
2015-06-02,10904
2015-06-03,10904
2015-06-04,10972
2015-06-05,10972
2015-06-06,10972
2015-06-07,10972
2015-06-08,11155
2015-06-09,11155
2015-06-10,11155
2015-06-11,11155
2015-06-12,11155
2015-06-13,11296
2015-06-14,11296
2015-06-15,11296
2015-06-16,11296
2015-06-17,11296
2015-06-18,11278
2015-06-19,11278
2015-06-20,11278
2015-06-21,11278
2015-06-22,11278
2015-06-23,11278
2015-06-24,11262
2015-06-25,11262
2015-06-26,11262
2015-06-27,11262
2015-06-28,11262
2015-06-29,11439
2015-06-30,11439
2015-07-01,11439
2015-07-02,11439
2015-07-03,11602
2015-07-04,11602
2015-07-05,11602
2015-07-06,11602
2015-07-07,11689
2015-07-08,11689
2015-07-09,11689
2015-07-10,11689
2015-07-11,11689
2015-07-12,11745
2015-07-13,11745
2015-07-14,11745
2015-07-15,11745
2015-07-16,11437
2015-07-17,11437
2015-07-18,11437
2015-07-19,11437
2015-07-20,11455
2015-07-21,11455
2015-07-22,11455
2015-07-23,11455
2015-07-24,11758
2015-07-25,11758
2015-07-26,11758
2015-07-27,11758
2015-07-28,11995
2015-07-29,11995
2015-07-30,11995
2015-07-31,11995
2015-08-01,11995
2015-08-02,12259
2015-08-03,12259
2015-08-04,12259
2015-08-05,12259
2015-08-06,12820
2015-08-07,12820
2015-08-08,12820
2015-08-09,12820
2015-08-10,12577
2015-08-11,12577
2015-08-12,12577
2015-08-13,12577
2015-08-14,12570
2015-08-15,12570
2015-08-16,12570
2015-08-17,12570
2015-08-18,12570
2015-08-19,12722
2015-08-20,12722
2015-08-21,12722
2015-08-22,12722
2015-08-23,12722
2015-08-24,12663
2015-08-25,12663
2015-08-26,12663
2015-08-27,12663
2015-08-28,12663
2015-08-29,12782
2015-08-30,12782
2015-08-31,12782
2015-09-01,12782
2015-09-02,12782
2015-09-03,12701
2015-09-04,12701
2015-09-05,12701
2015-09-06,12701
2015-09-07,12623
2015-09-08,12623
2015-09-09,12623
2015-09-10,12623
2015-09-11,12623
2015-09-12,12173
2015-09-13,12173
2015-09-14,12173
2015-09-15,12173
2015-09-16,11811
2015-09-17,11811
2015-09-18,11811
2015-09-19,11811
2015-09-20,11811
2015-09-21,12071
2015-09-22,12071
2015-09-23,12071
2015-09-24,11910
2015-09-25,11910
2015-09-27,11910
2015-09-28,11939
2015-09-29,11939
2015-09-30,11939
2015-10-05,11588
2015-10-06,11588
2015-10-07,11588
2015-10-08,11519
2015-10-09,11519
2015-10-10,11519
2015-10-11,11519
2015-10-12,10962
2015-10-13,10962
2015-10-14,10962
2015-10-15,10962
2015-10-16,10962
2015-10-17,10962
2015-10-18,10778
2015-10-19,10778
2015-10-20,10778
2015-10-22,10778
2015-10-23,11113
2015-10-24,11113
2015-10-25,11113
2015-10-26,11113
2015-10-27,11113
2015-10-29,10905
2015-10-30,10905
2015-10-31,10905
2015-11-01,10905
2015-11-02,10905
2015-11-03,11177
2015-11-04,11177
2015-11-05,11177
2015-11-06,11177
2015-11-07,11177
2015-11-08,11686
2015-11-09,11686
2015-11-10,11686
2015-11-11,11686
2015-11-12,11686
2015-11-13,11686
2015-11-14,11686
2015-11-15,11944
2015-11-16,11944
2015-11-17,11944
2015-11-18,11944
2015-11-19,11944
2015-11-20,11993
2015-11-21,11993
2015-11-22,11993
2015-11-23,11993
2015-11-24,11993
2015-11-25,12554
2015-11-26,12554
2015-11-27,12554
2015-11-28,12554
2015-11-29,12554
2015-11-30,13064
2015-12-01,13064
2015-12-02,13064
2015-12-03,13064
2015-12-04,13064
2015-12-05,13064
2015-12-06,12829
2015-12-07,12829
2015-12-08,12829
2015-12-09,12829
2015-12-10,12829
2015-12-11,12921
2015-12-12,12921
2015-12-13,12921
2015-12-14,12921
2015-12-15,12921
2015-12-16,12824
2015-12-17,12824
2015-12-18,12824
2015-12-19,12824
2015-12-20,12214
2015-12-21,12214
2015-12-22,12214
2015-12-23,12214
2015-12-24,12214
2015-12-25,11629
2015-12-26,11629
2015-12-27,11629
2015-12-28,11629
2015-12-29,11099
2015-12-30,11099
2015-12-31,11099
2016-01-01,10589
2016-01-02,10589
2016-01-03,10589
2016-01-04,10072
2016-01-05,10072
2016-01-06,10072
2016-01-07,10072
2016-01-08,9941
2016-01-09,9941
2016-01-10,9941
2016-01-11,9941
2016-01-12,9941
2016-01-13,9798
2016-01-14,9798
2016-01-15,9798
2016-01-16,9798
2016-01-17,10063
2016-01-18,10063
2016-01-19,10063
2016-01-20,10063
2016-01-21,10063
2016-01-22,10056
2016-01-23,10056
2016-01-24,10056
2016-01-25,10056
2016-01-26,10056
2016-01-27,10517
2016-01-28,10517
2016-01-29,10517
2016-01-30,10517
2016-01-31,10517
2016-02-01,10823
2016-02-02,10823
2016-02-03,10823
2016-02-04,10823
2016-02-05,10823
2016-02-06,10823
2016-02-07,10813
2016-02-08,10813
2016-02-09,10813
2016-02-10,10813
2016-02-11,11322
2016-02-12,11322
2016-02-13,11322
2016-02-14,11322
2016-02-15,11322
2016-02-16,11477
2016-02-17,11477
2016-02-18,11477
2016-02-19,11477
2016-02-20,11477
2016-02-21,11530
2016-02-22,11530
2016-02-23,11530
2016-02-24,11530
2016-02-25,11530
2016-02-26,11530
2016-02-27,11512
2016-02-28,11512
2016-02-29,11512
2016-03-01,11512
2016-03-03,11481
2016-03-04,11481
2016-03-05,11481
2016-03-06,11481
2016-03-07,11481
2016-03-08,11099
2016-03-09,11099
2016-03-10,11099
2016-03-11,11099
2016-03-12,10838
2016-03-13,10838
2016-03-14,10838
2016-03-15,10838
2016-03-16,10838
2016-03-17,10838
2016-03-18,10324
2016-03-19,10324
2016-03-20,10324
2016-03-21,10324
2016-03-22,10620
2016-03-23,10620
2016-03-24,10620
2016-03-25,10620
2016-03-26,10231
2016-03-27,10231
2016-03-28,10231
2016-03-29,10231
2016-03-30,10231
2016-03-31,9936
2016-04-01,9936
2016-04-02,9936
2016-04-03,9936
2016-04-04,9936
2016-04-05,9591
2016-04-06,9591
2016-04-07,9591
2016-04-08,9591
2016-04-09,9591
2016-04-10,9569
2016-04-11,9569
2016-04-12,9569
2016-04-13,9569
2016-04-14,9405
2016-04-15,9405
2016-04-16,9405
2016-04-17,9405
2016-04-18,9192
2016-04-19,9192
2016-04-20,9192
2016-04-21,9192
2016-04-22,9192
2016-04-23,9192
2016-04-24,9192
2016-04-25,9171
2016-04-26,9171
2016-04-27,9171
2016-04-28,9171
2016-04-29,9171
2016-04-30,9145
2016-05-01,9145
2016-05-02,9145
2016-05-03,9145
2016-05-04,9145
2016-05-05,9026
2016-05-06,9026
2016-05-07,9026
2016-05-08,9026
2016-05-09,9026
2016-05-10,8588
2016-05-11,8588
2016-05-12,8588
2016-05-13,8588
2016-05-14,8588
2016-05-15,8187
2016-05-16,8187
2016-05-17,8187
2016-05-18,8187
2016-05-19,8219
2016-05-22,8219
2016-05-23,8219
2016-05-24,8067
2016-05-25,8067
2016-05-26,8067
2016-05-27,8067
2016-05-28,8067
2016-05-29,8079
2016-05-30,8079
2016-05-31,8079
2016-06-01,8079
2016-06-02,8279
2016-06-03,8279
2016-06-04,8279
2016-06-05,8279
2016-06-06,8296
2016-06-07,8296
2016-06-08,8296
2016-06-09,8296
2016-06-10,8192
2016-06-11,8192
2016-06-12,8192
2016-06-13,8192
2016-06-14,8192
2016-06-15,8434
2016-06-16,8434
2016-06-17,8434
2016-06-18,8434
2016-06-19,8434
2016-06-20,8536
2016-06-21,8536
2016-06-22,8536
2016-06-23,8536
2016-06-24,8536
2016-06-25,8588
2016-06-26,8588
2016-06-27,8588
2016-06-28,8588
2016-06-29,8588
2016-06-30,8591
2016-07-01,8591
2016-07-02,8591
2016-07-03,8591
2016-07-04,8591
2016-07-05,8581
2016-07-06,8581
2016-07-07,8581
2016-07-08,8170
2016-07-09,8170
2016-07-10,8170
2016-07-11,7792
2016-07-12,7792
2016-07-13,7792
2016-07-14,7409
2016-07-15,7409
2016-07-16,7409
2016-07-17,7409
2016-07-18,7178
2016-07-23,7193
2016-07-24,7193
2016-07-25,7193
2016-07-26,7193
2016-07-27,7193
2016-07-28,6883
2016-07-29,6883
2016-07-30,6883
2016-07-31,6883
2016-08-01,6883
2016-08-02,6891
2016-08-03,6891
2016-08-04,6891
2016-08-05,6891
2016-08-06,6891
2016-08-07,6854
2016-08-08,6854
2016-08-09,6854
2016-08-10,6854
2016-08-11,6854
2016-08-12,6517
2016-08-13,6517
2016-08-14,6517
2016-08-15,6517
2016-08-16,6517
2016-08-17,6422
2016-08-18,6422
2016-08-19,6422
2016-08-20,6422
2016-08-21,6422
2016-08-22,6401
2016-08-23,6401
2016-08-24,6401
2016-08-25,6401
2016-08-26,6401
2016-08-28,6404
2016-08-31,6404
2016-09-01,6404
2016-09-02,6404
2016-09-03,6517
2016-09-04,6517
2016-09-05,6517
2016-09-06,6517
2016-09-07,6517
2016-09-08,6517
2016-09-09,6517
2016-09-10,6526
2016-09-11,6526
2016-09-12,6526
2016-09-13,6526
2016-09-14,6526
2016-09-15,6616
2016-09-16,6616
2016-09-17,6616
2016-09-18,6616
2016-09-19,6616
2016-09-20,6616
2016-09-21,6649
2016-09-22,6649
2016-09-23,6649
2016-09-24,6649
2016-09-25,6649
2016-09-26,6649
2016-09-27,6680
2016-09-28,6680
2016-09-29,6680
2016-09-30,6680
2016-10-01,6680
2016-10-02,6680
2016-10-03,6680
2016-10-04,6777
2016-10-05,6777
2016-10-06,6777
2016-10-07,6777
2016-10-08,6777
2016-10-09,6777
2016-10-10,6830
2016-10-11,6830
2016-10-12,6830
2016-10-13,6830
2016-10-14,6830
2016-10-15,6973
2016-10-16,6973
2016-10-17,6973
2016-10-18,6973
2016-10-19,6973
2016-10-20,6973
2016-10-21,7066
2016-10-22,7066
2016-10-23,7066
2016-10-24,7066
2016-10-25,7066
2016-10-26,7066
2016-10-27,7066
2016-10-28,7140
2016-10-29,7140
2016-10-30,7140
2016-10-31,7140
2016-11-01,7140
2016-11-02,7140
2016-11-03,7136
2016-11-04,7136
2016-11-05,7136
2016-11-06,7136
2016-11-07,7136
2016-11-08,7136
2016-11-09,7136
2016-11-10,7281
2016-11-11,7281
2016-11-12,7281
2016-11-13,7281
2016-11-14,7281
2016-12-08,7138
2016-12-09,7053
2016-12-10,7053
2016-12-11,7053
2016-12-12,7053
2016-12-13,7053
2016-12-14,7053
2016-12-15,7053
2016-12-16,7046
2016-12-17,7046
2016-12-18,7046
2016-12-19,7046
2016-12-20,7046
2016-12-21,7117
2016-12-22,7117
2016-12-23,7117
2016-12-24,7117
2016-12-25,7117
2016-12-26,7117
2016-12-27,7121
2016-12-28,7121
2016-12-29,7121
2016-12-30,7121
2016-12-31,7121
2017-01-01,7121
2017-01-02,7161
2017-01-03,7161
2017-01-04,7161
2017-01-05,7161
2017-01-06,7161
2017-01-07,7071
2017-01-08,7071
2017-01-09,7071
2017-01-10,7071
2017-01-11,7071
2017-01-12,6975
2017-01-13,6975
2017-01-14,6975
2017-01-15,6975
2017-01-16,6975
2017-01-17,6833
2017-01-18,6833
2017-01-19,6833
2017-01-20,6833
2017-01-21,6833
2017-01-22,6833
2017-01-27,6739
2017-01-28,6739
2017-01-29,6739
2017-01-30,6739
2017-01-31,6811
2017-02-01,6811
2017-02-02,6811
2017-02-03,6811
2017-02-04,6546
2017-02-05,6546
2017-02-06,6546
2017-02-07,6546
2017-02-08,6303
2017-02-09,6303
2017-02-10,6303
2017-02-11,6303
2017-02-12,6026
2017-02-13,6026
2017-02-14,6026
2017-02-15,6026
2017-02-16,5952
2017-02-18,5952
2017-02-19,5952
2017-02-20,5952
2017-02-21,5952
2017-02-22,6044
2017-02-23,6044
2017-02-24,6044
2017-02-25,6044
2017-02-26,6342
2017-02-27,6342
2017-02-28,6342
2017-03-01,6342
2017-03-02,6647
2017-03-03,6647
2017-03-04,6647
2017-03-05,6647
2017-03-06,6903
2017-03-07,6903
2017-03-08,6903
2017-03-09,6903
2017-03-10,6903
2017-03-11,6903
2017-03-12,7066
2017-03-13,7066
2017-03-14,7066
2017-03-15,6977
2017-03-16,6977
2017-03-17,6977
2017-03-18,6977
2017-03-19,6892
2017-03-20,6892
2017-03-21,6892
2017-03-22,6892
2017-03-23,6892
2017-03-24,6945
2017-03-25,6945
2017-03-26,6945
2017-03-27,6945
2017-03-28,6945
2017-03-29,6922
2017-03-30,6922
2017-03-31,6922
2017-04-01,6922
2017-04-02,6878
2017-04-03,6878
2017-04-04,6878
2017-04-12,6760
2017-04-13,6760
2017-04-14,6760
2017-04-15,6760
2017-04-16,6783
2017-04-17,6783
2017-04-18,6783
2017-04-19,6783
2017-04-20,6783
2017-04-21,6849
2017-04-22,6849
2017-04-23,6849
2017-04-24,6849
2017-04-25,6849
2017-04-26,7114
2017-04-27,7114
2017-04-28,7114
2017-04-29,7114
2017-04-30,7217
2017-05-01,7217
2017-05-02,7217
2017-05-03,7217
2017-05-04,7217
2017-05-05,7533
2017-05-06,7533
2017-05-07,7533
2017-05-08,7533
2017-05-09,7907
2017-05-10,7907
2017-05-11,7907
2017-05-12,7907
2017-05-13,7907
2017-05-14,7907
2017-05-15,7899
2017-05-16,7899
2017-05-17,7899
2017-05-18,7899
2017-05-19,7781
2017-05-20,7781
2017-05-21,7781
2017-05-22,7781
2017-05-23,7781
2017-05-24,7816
2017-05-25,7816
2017-05-26,7816
