date_obj,Red%20elegant%20legs price
2015-03-26,71226
2015-03-27,71226
2015-03-28,69070
2015-03-29,69070
2015-03-30,66805
2015-03-31,66805
2015-04-01,66805
2015-04-02,63464
2015-04-03,63464
2015-04-04,60457
2015-04-05,60457
2015-04-06,57785
2015-04-07,57785
2015-04-08,55002
2015-04-09,55002
2015-04-10,53127
2015-04-11,53127
2015-04-12,53080
2015-04-13,53080
2015-04-14,53080
2015-04-15,51753
2015-04-16,51753
2015-04-17,51753
2015-04-18,49833
2015-04-19,49833
2015-04-20,49833
2015-04-21,47468
2015-04-22,47468
2015-04-23,45254
2015-04-24,45254
2015-04-25,45254
2015-04-26,43619
2015-04-27,43619
2015-04-28,41438
2015-04-29,41438
2015-04-30,39528
2015-05-01,39528
2015-05-02,37712
2015-05-03,37712
2015-05-04,36031
2015-05-05,36031
2015-05-06,34307
2015-05-07,34307
2015-05-08,33105
2015-05-09,33105
2015-05-10,31487
2015-05-11,31487
2015-05-12,30981
2015-05-13,30981
2015-05-14,30511
2015-05-15,30511
2015-05-16,30511
2015-05-17,29069
2015-05-18,29069
2015-05-19,28548
2015-05-20,28548
2015-05-21,28548
2015-05-22,27918
2015-05-23,27918
2015-05-24,27918
2015-05-25,27773
2015-05-26,27773
2015-05-27,27773
2015-05-28,27367
2015-05-29,27367
2015-05-30,26315
2015-05-31,26315
2015-06-01,26315
2015-06-02,25923
2015-06-03,25923
2015-06-04,25923
2015-06-05,25365
2015-06-06,25365
2015-06-07,24487
2015-06-08,24487
2015-06-09,24487
2015-06-10,24406
2015-06-11,24406
2015-06-12,24406
2015-06-13,24159
2015-06-14,24159
2015-06-15,24159
2015-06-16,24034
2015-06-17,24034
2015-06-18,23680
2015-06-19,23680
2015-06-20,23680
2015-06-21,23992
2015-06-22,23992
2015-06-23,23992
2015-06-24,24153
2015-06-25,24153
2015-06-26,24153
2015-06-27,24484
2015-06-28,24484
2015-06-29,25157
2015-06-30,25157
2015-07-01,25157
2015-07-02,25157
2015-07-03,25108
2015-07-04,25108
2015-07-05,25108
2015-07-06,25108
2015-07-07,25381
2015-07-08,25381
2015-07-09,25381
2015-07-10,25647
2015-07-11,25647
2015-07-12,25647
2015-07-13,25647
2015-07-14,25347
2015-07-15,25347
2015-07-16,25347
2015-07-17,25390
2015-07-18,25390
2015-07-19,25390
2015-07-20,25748
2015-07-21,25748
2015-07-22,26928
2015-07-23,26928
2015-07-24,26928
2015-07-25,28120
2015-07-26,28120
2015-07-27,28120
2015-07-28,28144
2015-07-29,28144
2015-07-30,28831
2015-07-31,28831
2015-08-01,28831
2015-08-02,28765
2015-08-03,28765
2015-08-04,28765
2015-08-05,29318
2015-08-06,29318
2015-08-07,29318
2015-08-08,30641
2015-08-09,30641
2015-08-10,32049
2015-08-11,32049
2015-08-12,32049
2015-08-13,32049
2015-08-14,33352
2015-08-15,33352
2015-08-16,33352
2015-08-17,33652
2015-08-18,33652
2015-08-19,33652
2015-08-20,34323
2015-08-21,34323
2015-08-22,35688
2015-08-23,35688
2015-08-24,35688
2015-08-25,35910
2015-08-26,35910
2015-08-27,36245
2015-08-28,36245
2015-08-29,36245
2015-08-30,37175
2015-08-31,37175
2015-09-01,37833
2015-09-02,37833
2015-09-03,37833
2015-09-04,38805
2015-09-05,38805
2015-09-06,38805
2015-09-07,38805
2015-09-08,40172
2015-09-09,40172
2015-09-10,40172
2015-09-11,41184
2015-09-12,41184
2015-09-13,41184
2015-09-14,42564
2015-09-15,42564
2015-09-16,42564
2015-09-17,42336
2015-09-18,42336
2015-09-19,42336
2015-09-20,42336
2015-09-21,42203
2015-09-22,42203
2015-09-23,42203
2015-09-24,41470
2015-09-25,41470
2015-09-27,41214
2015-09-28,41214
2015-09-29,41214
2015-09-30,41874
2015-10-05,42342
2015-10-06,42342
2015-10-07,42342
2015-10-08,43526
2015-10-09,43526
2015-10-10,43526
2015-10-11,43526
2015-10-12,43599
2015-10-13,43599
2015-10-14,43599
2015-10-15,43163
2015-10-16,43163
2015-10-17,43163
2015-10-18,43163
2015-10-19,41004
2015-10-20,41004
2015-10-22,39063
2015-10-23,39063
2015-10-24,37384
2015-10-25,37384
2015-10-26,35841
2015-10-27,35841
2015-10-29,35372
2015-10-30,35372
2015-10-31,35372
2015-11-01,33888
2015-11-02,33888
