date_obj,Red%20headband price
2015-03-26,173137
2015-03-27,173137
2015-03-28,164864
2015-03-29,164864
2015-03-30,164864
2015-03-31,164864
2015-04-01,156898
2015-04-02,156898
2015-04-03,156898
2015-04-04,156898
2015-04-05,149494
2015-04-06,149494
2015-04-07,149494
2015-04-08,149494
2015-04-09,149494
2015-04-10,142223
2015-04-11,142223
2015-04-12,142223
2015-04-13,142223
2015-04-14,142223
2015-04-15,135378
2015-04-16,135378
2015-04-17,135378
2015-04-18,135378
2015-04-19,128949
2015-04-20,128949
2015-04-21,128949
2015-04-22,128949
2015-04-23,128949
2015-04-24,122775
2015-04-25,122775
2015-04-26,122775
2015-04-27,122775
2015-04-28,116913
2015-04-29,116913
2015-04-30,116913
2015-05-01,111343
2015-05-02,111343
2015-05-03,111343
2015-05-04,106013
2015-05-05,106013
2015-05-06,106013
2015-05-07,106013
2015-05-08,100944
2015-05-09,100944
2015-05-10,100944
2015-05-11,100944
2015-05-12,96205
2015-05-13,96205
2015-05-14,96205
2015-05-15,96205
2015-05-16,91698
2015-05-17,91698
2015-05-18,91698
2015-05-19,91698
2015-05-20,87410
2015-05-21,87410
2015-05-22,87410
2015-05-23,87410
2015-05-24,87410
2015-05-25,83197
2015-05-26,83197
2015-05-27,83197
2015-05-28,83197
2015-05-29,79176
2015-05-30,79176
2015-05-31,79176
2015-06-01,75417
2015-06-02,75417
2015-06-03,75417
2015-06-04,75417
2015-06-05,71804
2015-06-06,71804
2015-06-07,71804
2015-06-08,71804
2015-06-09,68396
2015-06-10,68396
2015-06-11,68396
2015-06-12,68396
2015-06-13,65151
2015-06-14,65151
2015-06-15,65151
2015-06-16,65151
2015-06-17,61983
2015-06-18,61983
2015-06-19,61983
2015-06-20,59018
2015-06-21,59018
2015-06-22,59018
2015-06-23,59018
2015-06-24,56178
2015-06-25,56178
2015-06-26,56178
2015-06-27,53538
2015-06-28,53538
2015-06-29,53538
2015-06-30,50977
2015-07-01,50977
2015-07-02,50977
2015-07-03,48594
2015-07-04,48594
2015-07-05,48594
2015-07-06,46294
2015-07-07,46294
2015-07-08,46294
2015-07-09,44152
2015-07-10,44152
2015-07-11,44152
2015-07-12,42088
2015-07-13,42088
2015-07-14,42088
2015-07-15,40142
2015-07-16,40142
2015-07-17,40142
2015-07-18,38291
2015-07-19,38291
2015-07-20,38291
2015-07-21,36926
2015-07-22,36926
2015-07-23,36926
2015-07-24,35200
2015-07-25,35200
2015-07-26,35200
2015-07-27,35200
2015-07-28,35200
2015-07-29,33829
2015-07-30,33829
2015-07-31,33829
2015-08-01,33829
2015-08-02,32821
2015-08-03,32821
2015-08-04,32821
2015-08-05,32821
2015-08-06,31762
2015-08-07,31762
2015-08-08,31762
2015-08-09,31318
2015-08-10,31318
2015-08-11,31318
2015-08-12,31318
2015-08-13,30574
2015-08-14,30574
2015-08-15,30574
2015-08-16,30574
2015-08-17,29070
2015-08-18,29070
2015-08-19,29070
2015-08-20,29070
2015-08-21,27953
2015-08-22,27953
2015-08-23,27953
2015-08-24,27953
2015-08-25,26886
2015-08-26,26886
2015-08-27,26886
2015-08-28,26886
2015-08-29,25645
2015-08-30,25645
2015-08-31,25645
2015-09-01,25645
2015-09-02,25645
2015-09-03,24927
2015-09-04,24927
2015-09-05,24927
2015-09-06,24927
2015-09-07,24927
2015-09-08,24422
2015-09-09,24422
2015-09-10,24422
2015-09-11,24422
2015-09-12,23871
2015-09-13,23871
2015-09-14,23871
2015-09-15,23871
2015-09-16,23892
2015-09-17,23892
2015-09-18,23892
2015-09-19,24367
2015-09-20,24367
2015-09-21,24367
2015-09-22,24608
2015-09-23,24608
2015-09-24,24608
2015-09-25,24923
2015-09-27,24923
2015-09-28,25518
2015-09-29,25518
2015-09-30,25518
2015-10-05,26935
2015-10-06,26935
2015-10-07,26935
2015-10-08,27341
2015-10-09,27341
2015-10-10,27341
2015-10-11,27341
2015-10-12,27848
2015-10-13,27848
2015-10-14,27848
2015-10-15,27848
2015-10-16,28225
2015-10-17,28225
2015-10-18,28225
2015-10-19,28225
2015-10-20,28662
2015-10-22,28662
2015-10-23,28662
2015-10-24,28881
2015-10-25,28881
2015-10-26,28881
2015-10-27,29245
2015-10-29,29245
2015-10-30,29245
2015-10-31,29454
2015-11-01,29454
2015-11-02,29454
2015-11-03,29454
2015-11-04,29784
2015-11-05,29784
2015-11-06,29784
2015-11-07,30155
2015-11-08,30155
2015-11-09,30155
2015-11-10,30155
2015-11-11,30518
2015-11-12,30518
2015-11-13,30518
2015-11-14,30518
2015-11-15,30518
2015-11-16,30446
2015-11-17,30446
2015-11-18,30446
2015-11-19,30446
2015-11-20,30791
2015-11-21,30791
2015-11-22,30791
2015-11-23,30791
2015-11-24,31102
2015-11-25,31102
2015-11-26,31102
2015-11-27,31102
2015-11-28,31090
2015-11-29,31090
2015-11-30,31090
2015-12-01,31090
2015-12-02,31997
2015-12-03,31997
2015-12-04,31997
2015-12-05,31997
2015-12-06,31635
2015-12-07,31635
2015-12-08,31635
2015-12-09,31635
2015-12-10,31176
2015-12-11,31176
2015-12-12,31176
2015-12-13,31176
2015-12-14,31168
2015-12-15,31168
2015-12-16,31168
2015-12-17,31168
2015-12-18,31452
2015-12-19,31452
2015-12-20,31452
2015-12-21,31452
2015-12-22,31069
2015-12-23,31069
2015-12-24,31069
2015-12-25,31069
2015-12-26,31069
2015-12-27,30693
2015-12-28,30693
2015-12-29,30693
2015-12-30,30693
2015-12-31,30497
2016-01-01,30497
2016-01-02,30497
2016-01-03,30497
2016-01-04,30497
2016-01-05,29868
2016-01-06,29868
2016-01-07,29868
2016-01-08,29868
2016-01-09,29868
2016-01-10,28766
2016-01-11,28766
2016-01-12,28766
2016-01-13,28766
2016-01-14,27787
2016-01-15,27787
2016-01-16,27787
2016-01-17,27787
2016-01-18,27196
2016-01-19,27196
2016-01-20,27196
2016-01-21,27196
2016-01-22,27196
2016-01-23,27196
2016-01-24,27081
2016-01-25,27081
2016-01-26,27081
2016-01-27,27081
2016-01-28,26679
2016-01-29,26679
2016-01-30,26679
2016-01-31,26679
2016-02-01,26080
2016-02-02,26080
2016-02-03,26080
2016-02-04,26080
2016-02-05,26080
2016-02-06,25122
2016-02-07,25122
2016-02-08,25122
2016-02-09,25122
2016-02-10,25122
2016-02-11,24653
2016-02-12,24653
2016-02-13,24653
2016-02-14,24653
2016-02-15,23812
2016-02-16,23812
