date_obj,Red%20salamander price
2015-03-26,2772
2015-03-27,2772
2015-03-28,2639
2015-03-29,2510
2015-03-30,2389
2015-03-31,2274
2015-04-01,2274
2015-04-02,2167
2015-04-03,2061
2015-04-04,1962
2015-04-05,1962
2015-04-06,1868
2015-04-07,1777
2015-04-08,1777
2015-04-09,1691
2015-04-10,1691
2015-04-11,1608
2015-04-12,1608
2015-04-13,1531
2015-04-14,1531
2015-04-15,1457
2015-04-16,1457
2015-04-17,1387
2015-04-18,1319
2015-04-19,1319
2015-04-20,1256
2015-04-21,1256
2015-04-22,1196
2015-04-23,1139
2015-04-24,1139
2015-04-25,1084
2015-04-26,1084
2015-04-27,1031
2015-04-28,982
2015-04-29,982
2015-04-30,982
2015-05-01,934
2015-05-02,934
2015-05-03,934
2015-05-04,889
2015-05-05,889
2015-05-06,846
2015-05-07,846
2015-05-08,804
2015-05-09,804
2015-05-10,765
2015-05-11,765
2015-05-12,728
2015-05-13,728
2015-05-14,692
2015-05-15,692
2015-05-16,692
2015-05-17,660
2015-05-18,660
2015-05-19,660
2015-05-20,628
2015-05-21,628
2015-05-22,628
2015-05-23,597
2015-05-24,597
2015-05-25,568
2015-05-26,568
2015-05-27,568
2015-05-28,540
2015-05-29,514
2015-05-30,489
2015-05-31,489
2015-06-01,466
2015-06-02,466
2015-06-03,444
2015-06-04,444
2015-06-05,422
2015-06-06,422
2015-06-07,401
2015-06-08,401
2015-06-09,381
2015-06-10,362
2015-06-11,362
2015-06-12,345
2015-06-13,328
2015-06-14,328
2015-06-15,312
2015-06-16,312
2015-06-17,297
2015-06-18,297
2015-06-19,283
2015-06-20,283
2015-06-21,269
2015-06-22,269
2015-06-23,256
2015-06-24,244
2015-06-25,244
2015-06-26,232
2015-06-27,232
2015-06-28,221
2015-06-29,221
2015-06-30,210
2015-07-01,210
2015-07-02,200
2015-07-03,200
2015-07-04,191
2015-07-05,191
2015-07-06,191
2015-07-07,182
2015-07-08,182
2015-07-09,173
2015-07-10,173
2015-07-11,165
2015-07-12,165
2015-07-13,157
2015-07-14,157
2015-07-15,150
2015-07-16,150
2015-07-17,142
2015-07-18,142
2015-07-19,142
2015-07-20,135
2015-07-21,135
2015-07-22,128
2015-07-23,128
2015-07-24,128
2015-07-25,121
2015-07-26,121
2015-07-27,121
2015-07-28,115
2015-07-29,115
2015-07-30,110
2015-07-31,110
2015-08-01,110
2015-08-02,105
2015-08-03,105
2015-08-04,105
2015-08-05,100
2015-08-06,100
2015-08-07,96
2015-08-08,96
2015-08-09,92
2015-08-10,92
2015-08-11,88
2015-08-12,88
2015-08-13,88
2015-08-14,84
2015-08-15,84
2015-08-16,84
2015-08-17,80
2015-08-18,80
2015-08-19,80
2015-08-20,76
2015-08-21,76
2015-08-22,76
2015-08-23,73
2015-08-24,73
2015-08-25,73
2015-08-26,73
2015-08-27,69
2015-08-28,69
2015-08-29,69
2015-08-30,69
2015-08-31,65
2015-09-01,65
2015-09-02,65
2015-09-03,65
2015-09-04,61
2015-09-05,61
2015-09-06,61
2015-09-07,61
2015-09-08,57
2015-09-09,57
2015-09-10,57
2015-09-11,57
2015-09-12,54
2015-09-13,54
2015-09-14,54
2015-09-15,51
2015-09-16,51
2015-09-17,51
2015-09-18,51
2015-09-19,48
2015-09-20,48
2015-09-21,48
2015-09-22,45
2015-09-23,45
2015-09-24,45
2015-09-25,45
2015-09-27,42
2015-09-28,42
2015-09-29,39
2015-09-30,39
2015-10-05,37
2015-10-06,35
2015-10-07,35
2015-10-08,35
2015-10-09,33
2015-10-10,33
2015-10-11,33
2015-10-12,33
2015-10-13,33
2015-10-14,33
2015-10-15,33
2015-10-16,31
2015-10-17,31
2015-10-18,31
2015-10-19,31
2015-10-20,30
2015-10-22,30
2015-10-23,30
2015-10-24,30
2015-10-25,29
2015-10-26,29
2015-10-27,29
2015-10-29,29
2015-10-30,28
2015-10-31,28
2015-11-01,28
2015-11-02,28
2015-11-03,26
2015-11-04,26
2015-11-05,26
2015-11-06,26
2015-11-07,24
2015-11-08,24
2015-11-09,24
2015-11-10,24
2015-11-11,24
2015-11-12,22
2015-11-13,22
2015-11-14,22
2015-11-15,22
2015-11-16,20
2015-11-17,20
2015-11-18,20
2015-11-19,20
2015-11-20,19
2015-11-21,19
2015-11-22,19
2015-11-23,19
2015-11-24,19
2015-11-25,18
2015-11-26,18
2015-11-27,18
2015-11-28,18
2015-11-29,18
2015-11-30,17
2015-12-01,17
2015-12-02,17
2015-12-03,17
2015-12-04,17
2015-12-05,17
2015-12-06,17
2015-12-07,17
2015-12-08,17
2015-12-09,16
2015-12-10,16
2015-12-11,16
2015-12-12,16
2015-12-13,16
2015-12-14,16
2015-12-15,16
2015-12-16,16
2015-12-17,16
2015-12-18,16
2015-12-19,16
2015-12-20,16
2015-12-21,16
2015-12-22,16
2015-12-23,16
2015-12-24,16
2015-12-25,16
2015-12-26,16
2015-12-27,16
2015-12-28,17
2015-12-29,17
2015-12-30,17
2015-12-31,17
2016-01-01,17
2016-01-02,17
2016-01-03,17
2016-01-04,17
2016-01-05,17
2016-01-06,17
2016-01-07,17
2016-01-08,17
2016-01-09,17
2016-01-10,17
2016-01-11,17
2016-01-12,16
2016-01-13,16
2016-01-14,16
2016-01-15,16
2016-01-16,15
2016-01-17,15
2016-01-18,15
2016-01-19,14
2016-01-20,14
2016-01-21,14
2016-01-22,14
2016-01-23,14
2016-01-24,14
2016-01-25,14
2016-01-26,14
2016-01-27,14
2016-01-28,14
2016-01-29,14
2016-01-30,14
2016-01-31,14
2016-02-01,14
2016-02-02,14
2016-02-03,14
2016-02-04,14
2016-02-05,14
2016-02-06,15
2016-02-07,15
2016-02-08,15
2016-02-09,15
2016-02-10,15
2016-02-11,15
2016-02-12,15
2016-02-13,15
2016-02-14,15
2016-02-15,15
2016-02-16,15
2016-02-17,15
2016-02-18,15
2016-02-19,15
2016-02-20,15
2016-02-21,15
2016-02-22,15
2016-02-23,15
2016-02-24,15
2016-02-25,15
2016-02-26,15
2016-02-27,15
2016-02-28,15
2016-02-29,15
2016-03-01,15
2016-03-02,15
2016-03-03,15
2016-03-04,15
2016-03-05,15
2016-03-06,15
2016-03-07,15
2016-03-08,15
2016-03-09,15
2016-03-10,15
2016-03-11,15
2016-03-12,16
2016-03-13,16
2016-03-14,16
2016-03-15,16
2016-03-16,17
2016-03-17,17
2016-03-18,17
2016-03-19,17
2016-03-20,17
2016-03-21,17
2016-03-22,17
2016-03-23,17
2016-03-24,17
2016-03-25,17
2016-03-26,17
2016-03-27,17
2016-03-28,17
2016-03-29,17
2016-03-30,17
2016-03-31,17
2016-04-01,17
2016-04-02,17
2016-04-03,18
2016-04-04,18
2016-04-05,18
2016-04-06,18
2016-04-07,19
2016-04-08,19
2016-04-09,19
2016-04-10,19
2016-04-11,19
2016-04-12,19
2016-04-13,19
2016-04-14,19
2016-04-15,19
2016-04-16,19
2016-04-17,20
2016-04-18,20
2016-04-19,20
2016-04-20,21
2016-04-21,21
2016-04-22,21
2016-04-23,21
2016-04-24,21
2016-04-25,21
2016-04-26,21
2016-04-27,21
2016-04-28,21
2016-04-29,21
2016-04-30,22
2016-05-01,22
2016-05-02,22
2016-05-03,24
2016-05-04,24
2016-05-05,25
2016-05-06,25
2016-05-07,25
2016-05-08,25
2016-05-09,25
2016-05-10,24
