date_obj,Redwood%20logs price
2016-06-02,1755
2016-06-03,1755
2016-06-04,1760
2016-06-05,1760
2016-06-06,1681
2016-06-07,1681
2016-06-08,1681
2016-06-09,1596
2016-06-10,1596
2016-06-11,1596
2016-06-12,1518
2016-06-13,1518
2016-06-14,1518
2016-06-15,1518
2016-06-16,1442
2016-06-17,1442
2016-06-18,1442
2016-06-19,1402
2016-06-20,1402
2016-06-21,1402
2016-06-22,1402
2016-06-23,1406
2016-06-24,1406
2016-06-25,1406
2016-06-26,1406
2016-06-27,1406
2016-06-28,1356
2016-06-29,1356
2016-06-30,1356
2016-07-01,1356
2016-07-02,1356
2016-07-03,1303
2016-07-04,1303
2016-07-05,1303
2016-07-06,1303
2016-07-07,1270
2016-07-08,1270
2016-07-09,1270
2016-07-10,1270
2016-07-11,1218
2016-07-12,1218
2016-07-13,1218
2016-07-14,1218
2016-07-15,1158
2016-07-16,1158
2016-07-17,1158
2016-07-18,1158
2016-07-23,1167
2016-07-24,1167
2016-07-25,1160
2016-07-26,1160
2016-07-27,1160
2016-07-28,1160
2016-07-29,1160
2016-07-30,1117
2016-07-31,1117
2016-08-01,1117
2016-08-02,1117
2016-08-03,1117
2016-08-04,1117
2016-08-05,1083
2016-08-06,1083
2016-08-07,1083
2016-08-08,1083
2016-08-09,1083
2016-08-10,1120
2016-08-11,1120
2016-08-12,1120
2016-08-13,1120
2016-08-14,1120
2016-08-15,1120
2016-08-16,1173
2016-08-17,1173
2016-08-18,1173
2016-08-19,1173
2016-08-20,1173
2016-08-21,1173
2016-08-22,1192
2016-08-23,1192
2016-08-24,1177
2016-08-25,1177
2016-08-26,1177
2016-08-28,1118
2016-08-31,1062
2016-09-01,1062
2016-09-02,1062
2016-09-03,1062
2016-09-04,1014
2016-09-05,1014
2016-09-06,1014
2016-09-07,985
2016-09-08,935
2016-09-09,935
2016-09-10,898
2016-09-11,898
2016-09-12,898
2016-09-13,869
2016-09-14,869
2016-09-15,869
2016-09-16,832
2016-09-17,832
2016-09-18,832
2016-09-19,795
2016-09-20,795
2016-09-21,795
2016-09-22,795
2016-09-23,755
