date_obj,Redwood%20tree%20seed price
2019-01-10,50000
2019-01-10,52500
2019-01-11,55125
2019-01-12,57882
2019-01-13,60777
2019-01-14,63816
2019-01-15,67007
2019-01-16,70358
2019-01-17,73876
2019-01-18,77570
2019-01-19,81449
2019-01-20,85298
2019-01-21,88468
2019-01-22,85203
2019-01-23,80943
2019-01-25,73050
2019-01-26,69402
2019-01-27,65931
2019-01-29,59502
2019-01-30,56539
2019-01-31,53712
2019-02-01,51028
2019-02-02,48476
2019-02-03,46052
2019-02-04,43749
2019-02-05,41561
2019-02-06,39607
2019-02-07,38794
2019-02-08,37142
2019-02-09,35658
2019-02-10,34582
2019-02-11,34374
2019-02-12,34854
2019-02-13,36456
2019-02-14,38279
2019-02-15,40193
2019-02-16,42185
2019-02-17,42900
2019-02-18,44782
2019-02-19,43311
2019-02-20,42636
2019-02-21,42879
2019-02-22,42987
2019-02-23,44310
2019-02-24,44906
2019-02-25,43740
2019-02-26,41604
2019-02-27,39523
2019-02-28,38160
2019-03-01,36521
2019-03-02,34790
2019-03-03,33412
2019-03-04,32450
2019-03-05,33497
2019-03-06,35074
2019-03-07,35931
2019-03-08,35497
2019-03-09,34452
2019-03-10,33493
2019-03-11,33905
2019-03-12,33924
2019-03-13,34129
2019-03-14,34929
2019-03-15,34419
2019-03-16,33538
2019-03-17,33334
2019-03-18,33183
2019-03-19,33447
2019-03-20,32570
2019-03-21,31607
2019-03-22,32500
2019-03-23,33760
2019-03-24,34924
2019-03-25,35491
2019-03-26,35676
2019-03-27,34273
2019-03-28,33965
2019-03-29,34703
2019-03-30,34960
2019-03-31,35189
2019-04-01,34549
2019-04-02,34375
2019-04-03,35833
2019-04-04,37048
2019-04-05,35298
2019-04-06,34299
2019-04-07,33049
2019-04-08,33151
2019-04-09,33118
2019-04-10,33330
2019-04-11,34395
2019-04-12,35057
2019-04-13,35152
2019-04-14,36231
2019-04-15,35887
2019-04-16,35528
2019-04-17,33903
2019-04-18,33657
2019-04-19,33712
2019-04-20,33180
2019-04-21,31606
2019-04-22,31836
2019-04-23,33249
2019-04-24,33960
2019-04-25,33924
2019-04-26,34059
2019-04-27,33847
2019-04-28,33426
2019-04-29,32128
2019-04-30,30789
2019-05-01,31873
2019-05-02,32664
2019-05-03,32919
2019-05-04,33323
2019-05-05,33692
2019-05-06,33581
2019-05-07,33868
2019-05-08,33880
2019-05-09,33687
2019-05-10,32029
2019-05-11,30916
2019-05-12,30537
2019-05-13,31285
2019-05-14,31606
2019-05-15,31367
2019-05-16,30907
2019-05-17,30756
2019-05-18,31348
2019-05-19,31384
2019-05-20,30541
2019-05-21,31707
2019-05-22,31310
2019-05-23,31925
2019-05-24,31275
2019-05-25,29972
2019-05-26,29191
2019-05-27,29910
2019-05-28,30849
2019-05-29,30935
2019-05-30,30490
2019-05-31,29096
2019-06-01,28894
2019-06-02,27547
2019-06-03,26440
2019-06-04,26139
2019-06-05,25492
2019-06-06,24942
2019-06-07,23828
2019-06-08,24161
2019-06-09,24857
2019-06-10,25537
2019-06-11,24916
2019-06-12,26075
2019-06-13,27319
2019-06-14,27933
2019-06-15,28234
2019-06-16,28124
2019-06-17,27786
2019-06-18,27886
2019-06-19,26491
2019-06-20,26273
2019-06-21,26767
2019-06-22,27192
2019-06-23,26014
2019-06-24,24725
2019-06-25,23488
2019-06-26,22313
2019-06-27,22972
2019-06-28,24121
2019-06-29,24980
2019-06-30,25003
2019-07-01,25277
2019-07-02,25863
2019-07-03,27115
2019-07-04,27999
2019-07-05,27896
2019-07-06,27804
2019-07-07,27631
2019-07-08,28312
2019-07-09,28330
2019-07-10,29088
2019-07-11,30405
2019-07-12,30644
2019-07-13,29379
2019-07-14,30344
2019-07-15,31862
2019-07-16,33302
2019-07-17,34597
2019-07-18,35724
2019-07-19,36440
2019-07-20,36491
2019-07-21,35714
2019-07-22,34960
2019-07-23,33905
2019-07-24,33176
2019-07-25,32806
2019-07-26,32234
2019-07-27,33012
2019-07-28,32628
2019-07-29,32016
2019-07-30,32233
2019-07-31,31564
2019-08-01,31311
2019-08-02,30878
2019-08-03,30000
2019-08-04,31067
2019-08-05,31686
2019-08-06,33037
2019-08-07,33943
2019-08-08,34389
2019-08-09,33711
2019-08-10,32669
2019-08-11,32515
2019-08-12,32670
2019-08-13,32892
2019-08-14,33291
2019-08-15,33352
2019-08-16,33060
2019-08-17,32611
2019-08-18,32663
2019-08-19,32612
2019-08-20,32046
2019-08-21,30628
2019-08-22,31325
2019-08-23,32391
2019-08-24,33120
2019-08-24,33120
2019-08-25,33147
2019-08-25,33147
2019-08-26,33225
2019-08-26,33225
2019-08-27,33222
2019-08-27,33222
2019-08-28,32400
2019-08-29,30966
2019-08-30,29611
2019-08-31,29320
2019-09-01,30133
2019-09-02,31143
2019-09-03,29619
2019-09-04,28153
2019-09-05,26851
2019-09-06,26622
2019-09-07,27432
2019-09-08,27423
2019-09-09,27326
2019-09-10,27891
2019-09-11,28600
2019-09-12,28061
2019-09-13,26709
2019-09-14,26354
2019-09-15,27417
2019-09-16,26914
2019-09-17,26586
2019-09-18,25332
2019-09-19,24683
2019-09-20,24563
2019-09-21,24713
2019-09-22,24789
2019-09-23,25976
2019-09-24,27019
2019-09-25,27786
2019-09-26,27872
2019-09-27,27895
2019-09-28,28074
2019-09-29,27378
2019-09-30,26125
2019-10-01,25736
2019-10-02,26112
2019-10-03,26037
2019-10-04,26198
2019-10-05,26269
2019-10-06,26202
2019-10-07,25885
2019-10-08,26111
2019-10-09,26908
2019-10-10,25990
2019-10-11,26129
2019-10-12,25488
2019-10-13,25807
2019-10-14,27088
2019-10-15,28443
2019-10-16,29746
2019-10-17,30489
2019-10-18,31395
2019-10-19,31739
2019-10-20,32006
2019-10-21,31655
2019-10-22,31373
2019-10-23,31592
2019-10-24,31470
2019-10-25,30811
2019-10-26,30438
2019-10-27,30268
2019-10-28,29736
2019-10-29,28905
2019-10-30,29629
2019-10-31,29865
2019-11-01,29903
2019-11-02,30152
2019-11-03,30477
2019-11-04,30511
2019-11-05,30761
2019-11-06,30877
2019-11-07,31264
2019-11-08,31958
2019-11-09,31293
2019-11-10,31422
2019-11-11,30926
2019-11-12,30046
2019-11-13,30125
2019-11-14,30357
2019-11-15,30034
2019-11-16,28661
2019-11-17,28779
2019-11-18,28605
2019-11-19,28735
2019-11-20,29056
2019-11-21,29808
2019-11-22,30985
2019-11-23,31774
2019-11-24,31347
2019-11-25,30776
2019-11-26,31282
2019-11-27,32524
2019-11-28,32803
2019-11-29,32834
2019-11-30,32317
2019-12-01,32050
2019-12-02,32125
2019-12-03,32612
2019-12-04,33291
2019-12-05,33415
2019-12-06,33774
2019-12-07,33609
2019-12-08,34659
2019-12-09,36196
2019-12-10,37716
2019-12-11,39008
2019-12-12,38914
2019-12-13,40224
2019-12-14,40124
2019-12-15,39599
2019-12-16,39009
2019-12-17,39219
2019-12-18,37396
2019-12-19,36120
2019-12-20,36094
2019-12-21,36545
2019-12-22,36198
2019-12-23,35658
2019-12-24,36074
2019-12-25,36139
2019-12-26,36165
2019-12-27,36120
2019-12-28,36036
2019-12-29,35817
2019-12-30,35989
2019-12-31,36149
2020-01-01,36115
2020-01-02,37464
2020-01-03,38016
2020-01-04,38495
2020-01-05,38016
2020-01-06,36676
2020-01-07,36785
2020-01-08,36821
2020-01-09,37036
2020-01-10,37699
2020-01-11,37889
2020-01-12,38097
2020-01-13,38272
2020-01-14,38195
2020-01-15,38470
2020-01-16,38862
2020-01-17,38785
2020-01-18,38970
2020-01-19,38311
2020-01-20,36826
2020-01-21,36681
2020-01-22,36850
2020-01-23,36979
2020-01-24,36584
2020-01-25,35555
2020-01-26,33908
2020-01-27,34071
2020-01-28,34172
2020-01-29,34722
2020-01-30,34955
2020-01-31,35470
2020-02-01,35891
2020-02-02,36102
2020-02-03,36114
2020-02-04,36067
2020-02-05,36110
2020-02-06,35048
2020-02-07,33355
2020-02-08,32560
2020-02-09,32715
2020-02-10,33123
2020-02-11,34375
2020-02-12,33883
2020-02-13,34489
2020-02-14,34530
2020-02-15,34712
2020-02-16,34667
2020-02-17,34764
2020-02-18,34319
2020-02-19,34209
2020-02-20,33722
2020-02-21,34014
2020-02-22,33481
2020-02-23,31806
2020-02-24,30568
2020-02-25,29039
2020-02-26,27587
2020-02-27,26207
2020-02-28,25401
2020-02-29,24982
2020-03-01,25544
2020-03-02,26679
2020-03-03,27153
2020-03-04,27577
2020-03-05,27496
2020-03-06,27390
2020-03-07,27070
2020-03-08,26490
2020-03-09,25788
2020-03-10,26310
2020-03-11,27030
2020-03-12,26483
2020-03-13,27539
2020-03-14,27990
2020-03-15,27437
2020-03-16,27696
2020-03-17,27566
2020-03-18,28402
2020-03-19,28568
2020-03-20,28615
2020-03-21,28820
2020-03-22,28826
2020-03-23,29474
2020-03-24,30428
2020-03-25,29994
2020-03-26,30428
2020-03-27,30387
2020-03-28,30198
2020-03-29,31033
2020-03-30,31283
2020-03-31,31572
2020-04-01,32185
2020-04-02,32464
2020-04-03,31980
2020-04-04,31219
2020-04-05,31139
2020-04-06,29969
2020-04-07,29411
2020-04-08,29038
2020-04-09,28907
2020-04-10,28741
2020-04-11,27703
2020-04-12,26794
2020-04-13,25878
2020-04-14,25563
2020-04-15,26478
2020-04-16,27802
2020-04-17,28838
2020-04-18,29344
2020-04-19,29185
2020-04-20,30154
2020-04-21,30946
2020-04-22,32131
2020-04-23,31920
2020-04-24,33106
2020-04-25,33565
2020-04-26,32559
2020-04-27,31648
2020-04-28,31160
2020-04-29,31478
2020-04-30,31447
2020-05-01,31277
2020-05-02,32504
2020-05-03,32893
2020-05-04,33910
2020-05-05,33620
2020-05-06,34461
2020-05-07,34955
2020-05-08,35123
2020-05-09,34569
2020-05-10,35417
2020-05-11,34542
2020-05-12,33954
2020-05-13,34848
