date_obj,Ring%20of%20life price
2015-03-26,1972
2015-03-27,1972
2015-03-28,2020
2015-03-29,1958
2015-03-30,1952
2015-03-31,1952
2015-04-01,1921
2015-04-02,2014
2015-04-03,2045
2015-04-04,2018
2015-04-05,1945
2015-04-06,1967
2015-04-07,1941
2015-04-08,2016
2015-04-09,2030
2015-04-10,1984
2015-04-11,1940
2015-04-12,1931
2015-04-13,1922
2015-04-14,1987
2015-04-15,2008
2015-04-16,2107
2015-04-17,2055
2015-04-18,2001
2015-04-19,2015
2015-04-20,2107
2015-04-21,2052
2015-04-22,2011
2015-04-23,1973
2015-04-24,1954
2015-04-25,1956
2015-04-26,1966
2015-04-27,2018
2015-04-28,2014
2015-04-29,2014
2015-04-30,1973
2015-05-01,1957
2015-05-02,2034
2015-05-03,2133
2015-05-04,2173
2015-05-05,2122
2015-05-06,2100
2015-05-07,2059
2015-05-08,2034
2015-05-09,2042
2015-05-10,2129
2015-05-11,2180
2015-05-12,2231
2015-05-13,2241
2015-05-14,2214
2015-05-15,2199
2015-05-16,2166
2015-05-17,2120
2015-05-18,2098
2015-05-19,2082
2015-05-20,2104
2015-05-21,2187
2015-05-22,2236
2015-05-23,2326
2015-05-24,2234
2015-05-25,2122
2015-05-26,2034
2015-05-27,1968
2015-05-28,1911
2015-05-29,1958
2015-05-30,2031
2015-05-31,2132
2015-06-01,2159
2015-06-02,2099
2015-06-03,2078
2015-06-04,2170
2015-06-05,2271
2015-06-06,2254
2015-06-07,2141
2015-06-08,2033
2015-06-09,1974
2015-06-10,1976
2015-06-11,2072
2015-06-12,2176
2015-06-13,2232
2015-06-14,2311
2015-06-15,2339
2015-06-16,2308
2015-06-17,2193
2015-06-18,2106
2015-06-19,2001
2015-06-20,1998
2015-06-21,2070
2015-06-22,2056
2015-06-23,1993
2015-06-24,1980
2015-06-25,2002
2015-06-26,2026
2015-06-27,2128
2015-06-28,2225
2015-06-29,2125
2015-06-30,2091
2015-07-01,2086
2015-07-02,2079
2015-07-03,2089
2015-07-04,2158
2015-07-05,2199
2015-07-06,2287
2015-07-07,2193
2015-07-08,2270
2015-07-09,2283
2015-07-10,2200
2015-07-11,2090
2015-07-12,2157
2015-07-13,2225
2015-07-14,2223
2015-07-15,2115
2015-07-16,2077
2015-07-17,2079
2015-07-18,2058
2015-07-19,2058
2015-07-20,2062
2015-07-21,2054
2015-07-22,2045
2015-07-23,2044
2015-07-24,2006
2015-07-25,1973
2015-07-26,1997
2015-07-27,2077
2015-07-28,2141
2015-07-29,2249
2015-07-30,2313
2015-07-31,2347
2015-08-01,2294
2015-08-02,2183
2015-08-03,2081
2015-08-04,2033
2015-08-05,2059
2015-08-06,2094
2015-08-07,2090
2015-08-08,2150
2015-08-09,2183
2015-08-10,2156
2015-08-11,2225
2015-08-12,2337
2015-08-13,2424
2015-08-14,2352
2015-08-15,2234
2015-08-16,2128
2015-08-17,2088
2015-08-18,2065
