date_obj,Ring%20of%20pursuit price
2017-02-01,1916
2017-02-02,1916
2017-02-03,1916
2017-02-04,1824
2017-02-05,1824
2017-02-06,1824
2017-02-07,1824
2017-02-08,1824
2017-02-09,1824
2017-02-10,1824
2017-02-11,1824
2017-02-12,1824
2017-02-13,1824
2017-02-14,1824
2017-02-15,1824
2017-02-16,1824
2017-02-18,1733
2017-02-19,1733
2017-02-20,1733
2017-02-21,1733
2017-02-22,1733
2017-02-23,1733
2017-02-24,1733
2017-02-25,1733
2017-02-26,1733
2017-02-27,1733
2017-02-28,1733
2017-03-01,1733
2017-03-02,1733
2017-03-03,1733
2017-03-04,1733
2017-03-05,1733
2017-03-06,1733
2017-03-07,1689
2017-03-08,1689
2017-03-09,1689
2017-03-10,1689
2017-03-11,1689
2017-03-12,1689
2017-03-13,1689
2017-03-14,1689
2017-03-15,1689
2017-03-16,1689
2017-03-17,1607
2017-03-18,1607
2017-03-19,1607
2017-03-20,1607
2017-03-21,1607
2017-03-22,1607
2017-03-23,1607
2017-03-24,1607
2017-03-25,1607
2017-03-26,1607
2017-03-27,1607
2017-03-28,1607
2017-03-29,1607
2017-03-30,1607
2017-03-31,1607
2017-04-01,1607
2017-04-02,1607
2017-04-03,1607
2017-04-04,1607
2017-04-12,1529
2017-04-13,1529
2017-04-14,1529
2017-04-15,1529
2017-04-16,1529
2017-04-17,1529
2017-04-18,1529
2017-04-19,1529
2017-04-20,1529
2017-04-21,1529
2017-04-22,1529
2017-04-23,1529
2017-04-24,1529
2017-04-25,1495
2017-04-26,1495
2017-04-27,1495
2017-04-28,1495
2017-04-29,1495
2017-04-30,1495
2017-05-01,1495
2017-05-02,1495
2017-05-03,1495
2017-05-04,1495
2017-05-05,1495
2017-05-06,1495
2017-05-07,1495
2017-05-08,1495
2017-05-09,1495
2017-05-10,1495
2017-05-11,1495
2017-05-12,1495
2017-05-13,1495
2017-05-14,1495
2017-05-15,1495
2017-05-16,1423
2017-05-17,1423
2017-05-18,1423
2017-05-19,1423
2017-05-20,1423
2017-05-21,1423
2017-05-22,1423
2017-05-23,1423
2017-05-24,1423
2017-05-25,1423
2017-05-26,1423
2017-05-27,1423
2017-05-28,1423
2017-05-29,1423
2017-05-30,1423
2017-05-31,1423
2017-06-01,1423
2017-06-02,1423
2017-06-03,1423
2017-06-06,1423
2017-06-07,1423
2017-06-08,1353
2017-06-09,1353
2017-06-10,1353
2017-06-11,1353
2017-06-12,1353
2017-06-13,1353
2017-06-14,1353
2017-06-15,1353
2017-06-16,1353
2017-06-17,1353
2017-06-18,1353
2017-06-19,1353
2017-06-20,1353
2017-06-21,1353
2017-06-22,1353
2017-06-23,1353
2017-06-24,1353
2017-06-25,1353
2017-06-26,1353
2017-06-27,1353
2017-06-28,1353
2017-06-29,1353
2017-07-01,1353
2017-07-02,1353
2017-07-03,1353
2017-07-04,1353
2017-07-05,1290
2017-07-06,1290
2017-07-07,1290
2017-07-08,1290
2017-07-13,1290
2017-07-14,1290
2017-07-15,1290
2017-07-16,1290
2017-07-17,1290
2017-07-18,1290
2017-07-19,1290
2017-07-20,1290
2017-07-21,1290
2017-07-22,1290
2017-07-23,1290
2017-07-24,1290
2017-07-25,1290
2017-07-26,1290
2017-07-27,1290
2017-07-28,1290
2017-07-29,1290
2017-07-30,1290
2017-07-31,1290
2017-08-01,1290
2017-08-02,1290
2017-08-03,1290
2017-08-04,1290
2017-08-05,1226
2017-08-06,1226
2017-08-09,1226
2017-08-10,1226
2017-08-11,1226
2017-08-12,1226
2017-08-13,1226
2017-08-14,1226
2017-08-15,1226
2017-08-17,1226
2017-08-18,1226
2017-08-19,1226
2017-08-20,1226
2017-08-22,1226
2017-08-23,1226
2017-08-24,1226
2017-08-25,1226
2017-08-26,1226
2017-08-27,1226
2017-08-28,1226
2017-08-29,1226
2017-08-30,1226
2017-08-31,1226
2017-09-01,1226
2017-09-02,1226
2017-09-03,1165
2017-09-04,1165
2017-09-05,1165
2017-09-06,1165
2017-09-07,1165
2017-09-08,1165
2017-09-09,1165
2017-09-10,1165
2017-09-11,1165
2017-09-12,1165
2017-09-13,1165
2017-09-14,1165
2017-09-15,1165
2017-09-16,1165
2017-09-17,1165
2017-09-19,1165
2017-09-20,1165
2017-09-21,1165
2017-09-22,1165
2017-09-23,1165
2017-09-24,1165
2017-09-25,1165
2017-09-26,1108
2017-09-27,1108
2017-09-28,1108
2017-09-29,1108
2017-09-30,1108
2017-10-01,1108
2017-10-02,1108
2017-10-03,1108
2017-10-04,1108
2017-10-05,1108
2017-10-06,1108
2017-10-07,1108
2017-10-08,1108
2017-10-09,1108
2017-10-10,1108
2017-10-11,1108
2017-10-12,1108
2017-10-13,1108
2017-10-14,1108
2017-10-15,1108
2017-10-16,1108
2017-10-17,1108
2017-10-18,1108
2017-10-19,1108
2017-10-20,1108
2017-10-21,1108
2017-10-22,1108
2017-10-23,1108
2017-10-24,1108
2017-10-25,1108
2017-10-26,1053
2017-10-27,1053
2017-10-28,1053
2017-10-29,1053
2017-10-30,1053
2017-10-31,1053
2017-11-01,1053
2017-11-02,1053
2017-11-03,1053
2017-11-04,1053
2017-11-05,1053
2017-11-06,1053
2017-11-07,1053
2017-11-08,1053
2017-11-09,1053
2017-11-10,1053
2017-11-11,1053
2017-11-12,1053
2017-11-13,1053
2017-11-14,1053
2017-11-15,1053
2017-11-16,1053
2017-11-17,1053
2017-11-18,1053
2017-11-19,1053
2017-11-20,1053
2017-11-21,1053
2017-11-22,1053
2017-11-23,1053
2017-11-24,1053
2017-11-25,1053
2017-11-26,1053
