date_obj,Rock-shell%20chunk price
2015-03-26,13000
2015-03-27,13000
2015-03-28,13000
2015-03-29,13000
2015-03-30,13000
2015-03-31,13000
2015-04-01,13000
2015-04-02,13000
2015-04-03,13000
2015-04-04,13000
2015-04-05,13000
2015-04-06,13000
2015-04-07,13000
2015-04-08,13000
2015-04-09,13000
2015-04-10,13000
2015-04-11,13000
2015-04-12,13000
2015-04-13,13000
2015-04-14,13000
2015-04-15,13000
2015-04-16,13000
2015-04-17,13000
2015-04-18,13000
2015-04-19,13000
2015-04-20,13000
2015-04-21,13000
2015-04-22,13000
2015-04-23,13000
2015-04-24,13000
2015-04-25,13000
2015-04-26,13000
2015-04-27,13000
2015-04-28,13000
2015-04-29,13000
2015-04-30,13000
2015-05-01,13000
2015-05-02,13000
2015-05-03,13000
2015-05-04,13000
2015-05-05,13000
2015-05-06,13000
2015-05-07,13000
2015-05-08,13000
2015-05-09,13000
2015-05-10,13000
2015-05-11,13000
2015-05-12,13000
2015-05-13,13000
2015-05-14,13000
2015-05-15,13000
2015-05-16,13000
2015-05-17,13000
2015-05-18,13000
2015-05-19,13000
2015-05-20,13000
2015-05-21,13000
2015-05-22,13000
2015-05-23,13000
2015-05-24,13000
2015-05-25,13000
2015-05-26,13000
2015-05-27,13000
2015-05-28,13000
2015-05-29,13000
2015-05-30,13000
2015-05-31,13000
2015-06-01,13000
2015-06-02,13000
2015-06-03,13000
2015-06-04,13000
2015-06-05,13000
2015-06-06,13000
2015-06-07,13000
2015-06-08,13000
2015-06-09,13000
2015-06-10,13000
2015-06-11,13000
2015-06-12,13000
2015-06-13,13000
2015-06-14,13000
2015-06-15,13000
2015-06-16,13000
2015-06-17,13000
2015-06-18,13000
2015-06-19,13000
2015-06-20,13000
2015-06-21,13000
2015-06-22,13000
2015-06-23,13000
2015-06-24,13000
2015-06-25,13000
2015-06-26,13000
2015-06-27,13000
2015-06-28,13000
2015-06-29,13000
2015-06-30,13000
2015-07-01,13000
2015-07-02,13000
2015-07-03,13000
2015-07-04,13000
2015-07-05,13000
2015-07-06,13000
2015-07-07,13000
2015-07-08,13000
2015-07-09,13000
2015-07-10,13000
2015-07-11,13000
2015-07-12,13000
2015-07-13,13000
2015-07-14,13000
2015-07-15,13000
2015-07-16,13000
2015-07-17,13000
2015-07-18,13000
2015-07-19,13000
2015-07-20,13000
2015-07-21,13000
2015-07-22,13000
2015-07-23,13000
2015-07-24,13000
2015-07-25,13000
2015-07-26,13000
2015-07-27,13000
2015-07-28,13000
2015-07-29,13000
2015-07-30,13000
2015-07-31,13000
2015-08-01,13000
2015-08-02,13000
2015-08-03,13000
2015-08-04,13000
2015-08-05,13463
2015-08-06,13463
2015-08-07,13463
2015-08-08,13463
2015-08-09,13463
2015-08-10,13463
2015-08-11,13463
2015-08-12,13463
2015-08-13,13463
2015-08-14,13463
2015-08-15,13463
2015-08-16,13463
2015-08-17,13463
2015-08-18,13463
2015-08-19,13463
2015-08-20,13463
2015-08-21,13463
2015-08-22,13463
2015-08-23,13463
2015-08-24,13463
2015-08-25,13463
2015-08-26,13463
2015-08-27,13463
2015-08-28,13463
2015-08-29,13463
2015-08-30,13463
2015-08-31,13463
2015-09-01,13463
2015-09-02,13463
2015-09-03,13463
2015-09-04,13463
2015-09-05,13463
2015-09-06,13463
2015-09-07,13463
2015-09-08,13463
2015-09-09,13463
2015-09-10,13463
2015-09-11,13463
2015-09-12,13463
2015-09-13,13463
2015-09-14,13463
2015-09-15,13463
2015-09-16,13463
2015-09-17,13463
2015-09-18,13463
2015-09-19,13463
2015-09-20,13463
2015-09-21,13463
2015-09-22,13463
2015-09-23,13463
2015-09-24,13463
2015-09-25,13463
2015-09-27,13463
2015-09-28,13463
2015-09-29,13463
