date_obj,Rock-shell%20helm price
2015-03-26,320000
2015-03-27,320000
2015-03-28,320000
2015-03-29,320000
2015-03-30,320000
2015-03-31,320000
2015-04-01,320000
2015-04-02,320000
2015-04-03,320000
2015-04-04,320000
2015-04-05,320000
2015-04-06,320000
2015-04-07,320000
2015-04-08,320000
2015-04-09,320000
2015-04-10,320000
2015-04-11,320000
2015-04-12,320000
2015-04-13,320000
2015-04-14,320000
2015-04-15,320000
2015-04-16,320000
2015-04-17,320000
2015-04-18,320000
2015-04-19,320000
2015-04-20,320000
2015-04-21,320000
2015-04-22,320000
2015-04-23,320000
2015-04-24,320000
2015-04-25,320000
2015-04-26,320000
2015-04-27,320000
2015-04-28,320000
2015-04-29,320000
2015-04-30,320000
2015-05-01,320000
2015-05-02,320000
2015-05-03,320000
2015-05-04,320000
2015-05-05,320000
2015-05-06,320000
2015-05-07,320000
2015-05-08,320000
2015-05-09,320000
2015-05-10,320000
2015-05-11,320000
2015-05-12,320000
2015-05-13,320000
2015-05-14,320000
2015-05-15,320000
2015-05-16,320000
2015-05-17,320000
2015-05-18,320000
2015-05-19,320000
2015-05-20,320000
2015-05-21,320000
2015-05-22,320000
2015-05-23,320000
2015-05-24,320000
2015-05-25,320000
2015-05-26,320000
2015-05-27,320000
2015-05-28,320000
2015-05-29,320000
2015-05-30,320000
2015-05-31,320000
2015-06-01,320000
2015-06-02,320000
2015-06-03,320000
2015-06-04,320000
2015-06-05,314125
2015-06-06,314125
2015-06-07,314125
2015-06-08,314125
2015-06-09,314125
2015-06-10,314125
2015-06-11,314125
2015-06-12,314125
2015-06-13,314125
2015-06-14,314125
2015-06-15,314125
2015-06-16,314125
2015-06-17,314125
2015-06-18,314125
2015-06-19,314125
2015-06-20,314125
2015-06-21,314125
2015-06-22,314125
2015-06-23,314125
2015-06-24,314125
2015-06-25,314125
2015-06-26,314125
2015-06-27,314125
2015-06-28,314125
2015-06-29,314125
2015-06-30,314125
2015-07-01,314125
2015-07-02,314125
2015-07-03,314125
2015-07-04,314125
2015-07-05,314125
2015-07-06,314125
2015-07-07,314125
2015-07-08,314125
2015-07-09,314125
2015-07-10,314125
2015-07-11,314125
2015-07-12,314125
2015-07-13,314125
2015-07-14,314125
2015-07-15,314125
2015-07-16,314125
2015-07-17,314125
2015-07-18,314125
2015-07-19,314125
2015-07-20,314125
2015-07-21,314125
2015-07-22,314125
2015-07-23,314125
2015-07-24,314125
2015-07-25,314125
2015-07-26,314125
2015-07-27,314125
2015-07-28,314125
2015-07-29,314125
2015-07-30,314125
2015-07-31,314125
2015-08-01,314125
2015-08-02,314125
2015-08-03,314125
2015-08-04,314125
2015-08-05,314125
2015-08-06,314125
2015-08-07,314125
2015-08-08,314125
2015-08-09,314125
2015-08-10,314125
2015-08-11,314125
2015-08-12,314125
2015-08-13,314125
2015-08-14,314125
2015-08-15,314125
2015-08-16,314125
2015-08-17,314125
2015-08-18,314125
2015-08-19,314125
2015-08-20,314125
2015-08-21,314125
2015-08-22,314125
2015-08-23,314125
2015-08-24,314125
2015-08-25,314125
2015-08-26,314125
2015-08-27,314125
2015-08-28,314125
2015-08-29,314125
2015-08-30,314125
2015-08-31,314125
2015-09-01,314125
2015-09-02,314125
2015-09-03,314125
2015-09-04,314125
2015-09-05,314125
2015-09-06,314125
2015-09-07,314125
2015-09-08,314125
2015-09-09,314125
2015-09-10,314125
2015-09-11,314125
2015-09-12,305356
2015-09-13,305356
2015-09-14,305356
2015-09-15,305356
2015-09-16,305356
2015-09-17,305356
2015-09-18,305356
2015-09-19,305356
2015-09-20,305356
2015-09-21,305356
2015-09-22,305356
2015-09-23,305356
2015-09-24,305356
2015-09-25,305356
2015-09-27,305356
2015-09-28,305356
2015-09-29,305356
2015-09-30,305356
2015-10-05,305356
2015-10-06,305356
2015-10-07,305356
2015-10-08,305356
2015-10-09,305356
2015-10-10,305356
2015-10-11,305356
2015-10-12,305356
2015-10-13,305356
2015-10-14,305356
2015-10-15,305356
2015-10-16,305356
2015-10-17,305356
2015-10-18,305356
2015-10-19,305356
2015-10-20,305356
2015-10-22,305356
2015-10-23,305356
2015-10-24,305356
2015-10-25,305356
2015-10-26,305356
2015-10-27,305356
2015-10-29,305356
