date_obj,Rock-shell%20legs price
2015-03-26,42161
2015-03-27,42161
2015-03-28,42092
2015-03-29,42092
2015-03-30,41435
2015-03-31,41435
2015-04-01,40965
2015-04-02,40965
2015-04-03,41071
2015-04-04,41071
2015-04-05,40873
2015-04-06,40873
2015-04-07,41023
2015-04-08,41023
2015-04-09,41023
2015-04-10,40700
2015-04-11,40700
2015-04-12,40609
2015-04-13,40609
2015-04-14,41154
2015-04-15,41154
2015-04-16,41667
2015-04-17,41667
2015-04-18,41617
2015-04-19,41617
2015-04-20,41669
2015-04-21,41669
2015-04-22,41694
2015-04-23,41694
2015-04-24,41802
2015-04-25,41802
2015-04-26,41174
2015-04-27,41174
2015-04-28,40979
2015-04-29,40979
2015-04-30,40800
2015-05-01,40800
2015-05-02,41425
2015-05-03,41425
2015-05-04,42168
2015-05-05,42168
2015-05-06,42369
2015-05-07,42369
2015-05-08,41755
2015-05-09,41755
2015-05-10,41350
2015-05-11,41350
2015-05-12,42326
2015-05-13,42326
2015-05-14,41612
2015-05-15,41612
2015-05-16,41130
2015-05-17,41451
2015-05-18,41451
2015-05-19,41481
2015-05-20,41481
2015-05-21,41481
2015-05-22,41916
2015-05-23,41916
2015-05-24,41994
2015-05-25,41994
2015-05-26,43030
2015-05-27,43030
2015-05-28,42812
2015-05-29,42099
2015-05-30,42457
2015-05-31,42457
2015-06-01,42324
2015-06-02,42324
2015-06-03,42826
2015-06-04,42826
2015-06-05,42511
2015-06-06,40964
2015-06-07,40656
2015-06-08,40656
2015-06-09,40257
2015-06-10,39887
2015-06-11,39887
2015-06-12,40213
2015-06-13,41216
2015-06-14,42187
2015-06-15,42967
2015-06-16,42389
2015-06-17,42389
2015-06-18,41486
2015-06-19,41486
2015-06-20,40508
2015-06-21,40508
2015-06-22,40792
2015-06-23,40921
2015-06-24,39841
2015-06-25,39841
2015-06-26,39250
2015-06-27,39250
2015-06-28,39467
2015-06-29,39467
2015-06-30,40138
2015-07-01,40707
2015-07-02,40707
2015-07-03,41445
2015-07-04,41716
2015-07-05,41271
2015-07-06,41374
2015-07-07,41130
2015-07-08,41083
2015-07-09,41083
2015-07-10,41054
2015-07-11,41054
2015-07-12,41742
2015-07-13,41883
2015-07-14,42089
2015-07-15,42559
2015-07-16,42559
2015-07-17,42869
2015-07-18,42869
2015-07-19,43207
2015-07-20,42650
2015-07-21,42650
2015-07-22,42523
2015-07-23,42523
2015-07-24,43214
2015-07-25,43214
2015-07-26,42986
2015-07-27,42805
2015-07-28,42751
2015-07-29,41743
2015-07-30,41824
2015-07-31,41824
2015-08-01,41727
2015-08-02,40970
2015-08-03,40691
2015-08-04,40691
2015-08-05,41488
2015-08-06,42039
2015-08-07,42138
2015-08-08,42648
2015-08-09,42271
2015-08-10,41929
2015-08-11,42565
2015-08-12,42565
2015-08-13,42875
2015-08-14,42714
2015-08-15,42714
2015-08-16,42889
2015-08-17,42077
2015-08-18,42461
2015-08-19,42624
2015-08-20,42665
2015-08-21,41927
2015-08-22,42706
2015-08-23,42706
2015-08-24,42969
2015-08-25,42969
2015-08-26,43471
2015-08-27,43602
2015-08-28,43753
2015-08-29,42941
2015-08-30,42941
2015-08-31,42671
2015-09-01,42246
2015-09-02,42246
2015-09-03,42396
2015-09-04,42971
2015-09-05,42971
2015-09-06,43382
2015-09-07,43811
2015-09-08,43872
2015-09-09,44292
2015-09-10,44142
2015-09-11,45339
2015-09-12,45598
2015-09-13,43550
2015-09-14,41436
2015-09-15,42005
2015-09-16,42005
2015-09-17,42094
2015-09-18,42094
2015-09-19,42511
2015-09-20,41714
2015-09-21,41724
2015-09-22,41596
2015-09-23,42017
2015-09-24,42017
2015-09-25,42875
2015-09-27,42748
2015-09-28,43320
2015-09-29,43320
2015-09-30,44148
2015-10-05,42620
2015-10-06,43429
2015-10-07,43429
2015-10-08,42916
2015-10-09,41984
2015-10-10,41984
2015-10-11,42167
2015-10-12,41511
2015-10-13,41511
2015-10-14,42120
2015-10-15,43472
2015-10-16,43421
2015-10-17,43421
2015-10-18,43019
2015-10-19,43963
2015-10-20,43299
2015-10-22,42504
2015-10-23,41758
2015-10-24,41758
2015-10-25,41257
2015-10-26,42447
2015-10-27,42447
2015-10-29,41872
2015-10-30,42882
2015-10-31,42880
2015-11-01,42880
2015-11-02,43368
2015-11-03,43368
2015-11-04,44278
2015-11-05,44162
2015-11-06,44162
2015-11-07,43773
2015-11-08,43773
2015-11-09,43734
2015-11-10,43734
2015-11-11,43240
2015-11-12,43240
2015-11-13,43545
2015-11-14,43545
2015-11-15,44017
2015-11-16,44017
2015-11-17,44666
2015-11-18,44666
2015-11-19,44193
2015-11-20,43185
2015-11-21,43185
2015-11-22,42950
2015-11-23,42950
2015-11-24,42247
2015-11-25,43134
2015-11-26,43134
2015-11-27,43229
2015-11-28,43955
2015-11-29,43469
2015-11-30,43323
2015-12-01,43323
2015-12-02,43590
2015-12-03,43660
2015-12-04,43660
2015-12-05,43140
2015-12-06,42896
2015-12-07,43022
2015-12-08,42804
2015-12-09,42641
2015-12-10,42967
2015-12-11,43462
2015-12-12,42882
2015-12-13,43193
2015-12-14,43193
2015-12-15,42928
2015-12-16,41641
2015-12-17,41641
2015-12-18,42153
2015-12-19,41612
2015-12-20,42865
2015-12-21,44103
2015-12-22,44344
2015-12-23,44240
2015-12-24,43864
2015-12-25,44117
2015-12-26,43575
2015-12-27,42946
2015-12-28,43330
2015-12-29,42783
2015-12-30,43003
2015-12-31,42836
2016-01-01,42819
2016-01-02,42930
2016-01-03,42944
2016-01-04,42882
2016-01-05,43006
2016-01-06,43056
2016-01-07,42956
2016-01-08,43010
2016-01-09,43515
2016-01-10,44544
2016-01-11,44070
2016-01-12,43494
2016-01-13,43265
2016-01-14,43294
2016-01-15,43483
2016-01-16,43896
2016-01-17,44823
2016-01-18,43976
2016-01-19,43758
2016-01-20,43101
2016-01-21,42934
2016-01-22,43418
2016-01-23,42864
2016-01-24,42630
2016-01-25,41837
2016-01-26,41558
2016-01-27,41836
2016-01-28,41836
2016-01-29,42217
2016-01-30,42217
2016-01-31,41878
2016-02-01,42597
2016-02-02,43612
2016-02-03,44498
2016-02-04,44311
2016-02-05,44311
2016-02-06,44697
2016-02-07,44697
2016-02-08,43939
2016-02-09,43268
2016-02-10,43516
2016-02-11,42793
2016-02-12,41827
2016-02-13,41181
2016-02-14,41181
2016-02-15,41439
2016-02-16,42397
2016-02-17,42560
2016-02-18,42048
2016-02-19,42151
2016-02-20,43098
2016-02-21,42802
2016-02-22,42802
2016-02-23,43085
2016-02-24,44172
2016-02-25,44149
2016-02-26,44149
2016-02-27,43481
2016-02-28,44359
2016-02-29,44323
2016-03-01,44350
2016-03-02,43415
2016-03-03,43068
2016-03-04,43229
2016-03-05,42902
2016-03-06,44677
2016-03-07,44677
2016-03-08,43881
2016-03-09,42744
2016-03-10,42877
2016-03-11,42664
2016-03-12,41542
2016-03-13,42084
2016-03-14,40561
2016-03-15,40691
2016-03-16,41743
2016-03-17,42451
2016-03-18,42255
2016-03-19,41961
2016-03-20,41329
2016-03-21,40929
2016-03-22,42150
2016-03-23,43139
2016-03-24,43046
2016-03-25,43585
2016-03-26,43755
2016-03-27,43755
2016-03-28,43019
2016-03-29,42966
2016-03-30,42966
2016-03-31,42232
2016-04-01,42966
2016-04-02,42874
2016-04-03,42289
2016-04-04,43045
2016-04-05,43176
2016-04-06,43321
2016-04-07,43574
2016-04-08,44101
2016-04-09,44305
2016-04-10,43469
2016-04-11,43469
2016-04-12,42643
2016-04-13,41352
2016-04-14,42051
2016-04-15,42715
2016-04-16,42331
2016-04-17,41798
2016-04-18,42746
2016-04-19,42792
2016-04-20,41966
2016-04-21,42010
2016-04-22,42010
2016-04-23,42951
2016-04-24,42180
2016-04-25,41517
2016-04-26,42047
2016-04-27,42133
2016-04-28,41947
2016-04-29,42698
2016-04-30,42882
2016-05-01,42898
2016-05-02,42076
2016-05-03,42354
2016-05-04,42375
2016-05-05,42119
2016-05-06,42119
2016-05-07,41919
2016-05-08,41907
2016-05-09,42123
2016-05-10,42418
2016-05-11,42418
2016-05-12,42808
2016-05-13,42282
2016-05-14,42903
2016-05-15,42517
2016-05-16,42859
2016-05-17,42309
2016-05-18,43410
2016-05-19,43609
2016-05-22,43137
2016-05-23,43171
2016-05-24,42773
2016-05-25,43237
2016-05-26,44172
2016-05-27,45053
2016-05-28,45053
2016-05-29,44304
2016-05-30,44304
2016-05-31,44835
2016-06-01,44076
2016-06-02,43668
2016-06-03,43668
2016-06-04,44114
2016-06-05,46164
2016-06-06,46109
2016-06-07,46109
2016-06-08,46544
2016-06-09,45084
2016-06-10,43404
2016-06-11,42986
2016-06-12,42830
2016-06-13,42830
2016-06-14,41977
2016-06-15,42268
2016-06-16,42268
2016-06-17,42680
2016-06-18,42680
2016-06-19,42252
2016-06-20,42175
2016-06-21,42496
2016-06-22,42728
2016-06-23,42497
2016-06-24,42497
2016-06-25,42965
2016-06-26,42965
2016-06-27,43619
2016-06-28,44042
2016-06-29,44420
2016-06-30,44056
2016-07-01,43743
2016-07-02,43743
2016-07-03,42682
2016-07-04,42960
2016-07-05,43298
2016-07-06,42401
2016-07-07,42117
2016-07-08,42257
2016-07-09,42768
2016-07-10,42701
2016-07-11,43027
2016-07-12,43157
2016-07-13,42446
2016-07-14,42736
2016-07-15,42404
2016-07-16,42512
2016-07-17,42769
2016-07-18,42950
2016-07-23,43608
2016-07-24,43799
2016-07-25,43292
2016-07-26,43292
2016-07-27,42839
2016-07-28,42553
2016-07-29,43005
2016-07-30,42987
2016-07-31,42987
2016-08-01,44026
2016-08-02,42843
2016-08-03,43001
2016-08-04,42349
2016-08-05,42349
2016-08-06,42664
2016-08-07,43265
2016-08-08,42802
2016-08-09,42959
2016-08-10,44176
2016-08-11,44176
2016-08-12,44015
2016-08-13,44136
2016-08-14,44075
2016-08-15,44650
2016-08-16,44955
2016-08-17,44955
2016-08-18,44156
2016-08-19,43030
2016-08-20,43254
2016-08-21,43399
2016-08-22,42938
2016-08-23,43403
2016-08-24,44230
2016-08-25,43812
2016-08-26,43812
2016-08-28,43264
2016-08-31,43668
2016-09-01,44128
2016-09-02,44128
2016-09-03,44804
2016-09-04,44184
2016-09-05,44994
2016-09-06,44268
2016-09-07,44268
2016-09-08,44209
2016-09-09,44209
2016-09-10,43530
2016-09-11,43530
2016-09-12,43540
2016-09-13,43052
2016-09-14,43052
2016-09-15,43181
2016-09-16,43181
2016-09-17,43264
2016-09-18,43264
2016-09-19,43946
2016-09-20,43946
2016-09-21,44026
2016-09-22,44641
2016-09-23,43949
2016-09-24,43949
2016-09-25,42966
2016-09-26,42966
2016-09-27,42968
2016-09-28,43242
2016-09-29,43242
2016-09-30,44023
2016-10-01,44361
2016-10-02,44361
2016-10-03,44178
2016-10-04,44290
2016-10-05,44454
2016-10-06,44699
2016-10-07,44699
2016-10-08,44181
2016-10-09,44181
2016-10-10,44029
2016-10-11,42742
2016-10-12,42742
2016-10-13,42274
2016-10-14,42108
2016-10-15,41470
2016-10-16,40692
2016-10-17,40328
2016-10-18,40399
2016-10-19,40170
2016-10-20,40848
2016-10-21,41614
2016-10-22,41614
2016-10-23,41009
2016-10-24,41605
2016-10-25,41605
2016-10-26,41631
2016-10-27,41716
2016-10-28,41716
2016-10-29,41172
2016-10-30,40470
2016-10-31,40389
2016-11-01,40389
2016-11-02,41205
2016-11-03,41205
2016-11-04,41951
2016-11-05,41951
2016-11-06,42200
2016-11-07,41835
2016-11-08,41848
2016-11-09,41914
2016-11-10,41120
2016-11-11,41192
2016-11-12,40464
2016-11-13,40464
2016-11-14,41476
2016-12-08,42551
2016-12-09,42705
2016-12-10,42705
2016-12-11,42496
2016-12-12,40990
2016-12-13,41530
2016-12-14,42340
2016-12-15,42340
2016-12-16,41904
2016-12-17,41384
2016-12-18,41384
2016-12-19,41117
2016-12-20,41260
2016-12-21,42032
2016-12-22,42032
2016-12-23,42629
2016-12-24,42797
2016-12-25,43835
2016-12-26,43957
2016-12-27,43276
2016-12-28,42861
2016-12-29,42854
2016-12-30,43411
2016-12-31,42853
2017-01-01,43854
2017-01-02,43688
2017-01-03,42460
2017-01-04,41959
2017-01-05,41286
2017-01-06,40890
2017-01-07,40565
2017-01-08,40585
2017-01-09,39925
2017-01-10,41184
2017-01-11,42358
2017-01-12,43373
2017-01-13,43922
2017-01-14,43451
2017-01-15,43242
2017-01-16,43361
2017-01-17,42683
2017-01-18,43137
2017-01-19,44077
2017-01-20,44273
2017-01-21,43922
2017-01-22,43986
2017-01-27,43044
2017-01-28,42811
2017-01-29,42233
2017-01-30,42655
2017-01-31,43500
2017-02-01,42760
2017-02-02,42359
2017-02-03,43005
2017-02-04,41636
2017-02-05,41756
2017-02-06,42160
2017-02-07,43235
2017-02-08,42858
2017-02-09,42858
2017-02-10,42820
2017-02-11,43121
2017-02-12,42969
2017-02-13,42500
2017-02-14,41880
2017-02-15,41442
2017-02-16,41912
2017-02-18,42194
2017-02-19,42056
2017-02-20,42758
2017-02-21,42541
2017-02-22,42192
2017-02-23,43286
2017-02-24,42144
2017-02-25,42770
2017-02-26,43604
2017-02-27,43622
2017-02-28,42528
2017-03-01,42738
2017-03-02,42815
2017-03-03,42814
2017-03-04,42982
2017-03-05,43090
2017-03-06,43603
2017-03-07,43628
2017-03-08,43855
2017-03-09,43824
2017-03-10,43776
2017-03-11,41996
2017-03-12,41437
2017-03-13,42460
2017-03-14,43150
2017-03-15,43478
2017-03-16,42968
2017-03-17,43337
2017-03-18,43077
2017-03-19,42346
2017-03-20,42796
2017-03-21,43514
2017-03-22,43319
2017-03-23,42456
2017-03-24,42905
2017-03-25,42905
2017-03-26,43277
2017-03-27,42942
2017-03-28,43293
2017-03-29,42993
2017-03-30,43093
2017-03-31,43536
2017-04-01,44270
2017-04-02,44141
2017-04-03,43766
2017-04-04,43727
2017-04-12,42451
2017-04-13,43049
2017-04-14,43158
2017-04-15,42344
2017-04-16,41656
2017-04-17,41756
2017-04-18,42455
2017-04-19,42640
2017-04-20,42056
2017-04-21,41459
2017-04-22,40739
2017-04-23,39707
2017-04-24,39876
2017-04-25,40323
2017-04-26,40727
2017-04-27,40382
2017-04-28,41237
2017-04-29,41137
2017-04-30,41125
2017-05-01,41580
2017-05-02,41623
2017-05-03,41315
2017-05-04,41361
2017-05-05,41648
2017-05-06,42013
2017-05-07,41093
2017-05-08,41084
2017-05-09,40972
2017-05-10,41565
2017-05-11,41504
2017-05-12,41129
2017-05-13,40885
2017-05-14,41569
2017-05-15,41039
2017-05-16,41315
2017-05-17,42027
2017-05-18,42401
2017-05-19,43444
2017-05-20,43308
2017-05-21,43308
2017-05-22,42951
2017-05-23,43250
2017-05-24,42423
2017-05-25,41188
2017-05-26,40727
2017-05-27,40258
2017-05-28,39967
2017-05-29,39890
2017-05-30,39885
2017-05-31,39941
2017-06-01,40727
2017-06-02,40273
2017-06-03,39144
2017-06-06,40637
2017-06-07,40892
2017-06-08,40892
2017-06-09,39879
2017-06-10,39639
2017-06-11,38941
2017-06-12,38392
2017-06-13,38368
2017-06-14,38421
2017-06-15,38541
2017-06-16,38578
2017-06-17,38076
2017-06-18,37947
2017-06-19,37947
2017-06-20,38055
2017-06-21,38130
2017-06-22,38262
2017-06-23,38379
2017-06-24,38408
2017-06-25,38869
2017-06-26,38980
2017-06-27,39579
2017-06-28,39232
2017-06-29,39347
2017-06-30,38975
2017-07-01,38975
2017-07-02,38768
2017-07-03,39053
2017-07-04,39128
2017-07-05,39128
2017-07-06,39163
2017-07-07,39163
2017-07-08,39296
2017-07-13,38885
2017-07-14,38953
2017-07-15,38607
2017-07-16,38809
2017-07-17,39157
2017-07-18,38731
2017-07-19,38681
2017-07-20,38790
2017-07-21,38759
2017-07-22,38782
2017-07-23,38685
2017-07-24,39179
2017-07-25,38660
2017-07-26,38451
2017-07-27,38644
2017-07-28,38839
2017-07-29,39147
2017-07-30,38958
2017-07-31,38958
2017-08-01,38547
2017-08-02,38974
2017-08-03,39581
2017-08-04,39026
2017-08-05,38959
2017-08-06,38580
2017-08-09,38423
2017-08-10,38384
2017-08-11,38083
2017-08-12,38118
2017-08-13,38450
2017-08-14,38335
2017-08-15,38842
2017-08-17,38364
2017-08-18,38364
2017-08-19,38418
2017-08-20,38616
2017-08-22,38494
2017-08-23,38570
2017-08-24,38900
2017-08-25,38473
2017-08-26,38519
2017-08-27,38909
2017-08-28,38593
2017-08-29,38531
2017-08-30,38354
2017-08-31,38760
2017-09-01,38439
2017-09-02,38443
2017-09-03,38231
2017-09-04,38232
2017-09-05,38307
2017-09-06,38584
2017-09-07,38583
2017-09-08,38538
2017-09-09,38539
2017-09-10,38263
2017-09-11,38588
2017-09-12,38851
2017-09-13,38640
2017-09-14,38445
2017-09-15,38445
2017-09-16,38472
2017-09-17,38699
2017-09-19,38736
2017-09-20,38361
2017-09-21,38503
2017-09-22,38610
2017-09-23,38351
2017-09-24,38609
2017-09-25,38379
2017-09-26,38562
2017-09-27,39162
2017-09-28,38601
2017-09-29,38883
2017-09-30,38518
2017-10-01,38573
2017-10-02,38388
2017-10-03,38603
2017-10-04,38855
2017-10-05,39082
2017-10-06,38919
2017-10-07,38869
2017-10-08,39479
2017-10-09,39205
2017-10-10,39166
2017-10-11,39166
2017-10-12,39209
2017-10-13,38884
2017-10-14,38892
2017-10-15,38892
2017-10-16,38513
2017-10-17,38513
2017-10-18,37863
2017-10-19,37840
2017-10-20,38224
2017-10-21,38046
2017-10-22,38005
2017-10-23,38347
2017-10-24,38342
2017-10-25,38370
2017-10-26,37999
2017-10-27,38104
2017-10-28,38104
2017-10-29,38162
2017-10-30,38314
2017-10-31,38438
2017-11-01,38438
2017-11-02,38361
2017-11-03,38270
2017-11-04,37980
2017-11-05,37962
2017-11-06,37983
2017-11-07,38017
2017-11-08,37937
2017-11-09,38159
2017-11-10,38079
2017-11-11,38061
2017-11-12,38026
2017-11-13,37924
2017-11-14,38035
2017-11-15,37963
2017-11-16,38026
2017-11-17,38027
2017-11-18,37900
2017-11-19,37876
2017-11-20,38053
2017-11-21,38119
2017-11-22,38176
2017-11-23,38171
2017-11-24,37943
2017-11-25,38112
2017-11-26,38832
2017-11-27,38832
2017-11-28,38383
2017-11-29,38438
2017-11-30,38267
2017-12-01,38473
2017-12-02,38390
2017-12-03,38071
2017-12-04,37970
2017-12-05,38571
2017-12-06,38604
2017-12-07,38837
2017-12-08,38705
2017-12-09,38428
2017-12-10,38812
2017-12-11,38525
2017-12-12,39166
2017-12-14,39007
2017-12-15,39726
2017-12-16,40268
2017-12-17,40025
2017-12-18,39059
2017-12-19,38803
2017-12-20,39303
2017-12-21,39888
2017-12-22,39753
2017-12-23,39094
2017-12-24,38187
2017-12-25,38409
2017-12-26,38105
2017-12-27,38547
2017-12-28,38105
2017-12-29,38257
2017-12-30,38233
2017-12-31,38536
2018-01-01,38616
2018-01-02,38290
2018-01-03,38323
2018-01-04,38147
2018-01-05,38328
2018-01-06,38450
2018-01-07,38400
2018-01-08,38762
2018-01-09,39205
2018-01-10,38819
2018-01-11,38530
2018-01-12,38139
2018-01-13,38102
2018-01-14,37874
2018-01-15,37882
2018-01-16,37843
2018-01-17,38376
2018-01-18,38297
2018-01-19,38297
2018-01-20,38292
2018-01-21,38883
2018-01-22,39680
2018-01-23,39173
2018-01-24,39351
2018-01-25,39321
2018-01-26,39777
2018-01-27,39100
2018-01-28,38911
2018-01-29,38501
2018-01-31,38283
2018-02-01,38000
2018-02-02,38782
2018-02-03,38572
2018-02-04,38523
2018-02-05,38403
2018-02-06,38497
2018-02-07,38925
2018-02-08,38462
2018-02-09,38844
2018-02-10,38333
2018-02-11,38396
2018-02-12,38361
2018-02-13,38971
2018-02-14,38583
2018-02-15,38697
2018-02-16,38328
2018-02-17,38837
2018-02-18,38941
2018-02-19,38978
2018-02-20,38926
2018-02-21,38882
2018-02-22,38937
2018-02-23,39058
2018-02-24,39125
2018-02-25,38642
2018-02-26,38367
2018-02-27,38324
2018-02-28,38392
2018-03-01,38668
2018-03-02,39011
2018-03-03,38616
2018-03-04,38606
2018-03-05,38747
2018-03-06,38587
2018-03-07,38426
2018-03-08,38694
2018-03-09,38684
2018-03-10,39238
2018-03-11,38513
2018-03-12,38263
2018-03-13,38912
2018-03-14,39066
2018-03-15,39178
2018-03-16,38658
2018-03-17,38662
2018-03-18,38772
2018-03-19,38224
2018-03-20,38465
2018-03-21,38053
2018-03-23,38494
2018-03-24,38905
2018-03-26,38277
2018-03-27,38225
2018-03-29,39154
2018-03-30,38512
2018-03-31,38145
2018-04-01,38712
2018-04-02,38390
2018-04-03,38530
2018-04-04,39718
2018-04-05,41167
2018-04-06,41354
2018-04-08,39714
2018-04-09,39893
2018-04-10,39761
2018-04-11,39265
2018-04-12,40191
