date_obj,Rock-shell%20splinter price
2015-03-26,30000
2015-03-27,30000
2015-03-28,30000
2015-03-29,30000
2015-03-30,30000
2015-03-31,30000
2015-04-01,30000
2015-04-02,30000
2015-04-03,30000
2015-04-04,30000
2015-04-05,30000
2015-04-06,30000
2015-04-07,30000
2015-04-08,30000
2015-04-09,30000
2015-04-10,30000
2015-04-11,30000
2015-04-12,30000
2015-04-13,30000
2015-04-14,30000
2015-04-15,30000
2015-04-16,30000
2015-04-17,30000
2015-04-18,30000
2015-04-19,30000
2015-04-20,30000
2015-04-21,30000
2015-04-22,30000
2015-04-23,30000
2015-04-24,30000
2015-04-25,30000
2015-04-26,30000
2015-04-27,30000
2015-04-28,30000
2015-04-29,30000
2015-04-30,30000
2015-05-01,30000
2015-05-02,30000
2015-05-03,30000
2015-05-04,30000
2015-05-05,30000
2015-05-06,30000
2015-05-07,30000
2015-05-08,30000
2015-05-09,30000
2015-05-10,30000
2015-05-11,30000
2015-05-12,30000
2015-05-13,30000
2015-05-14,30000
2015-05-15,30000
2015-05-16,30000
2015-05-17,30000
2015-05-18,30000
2015-05-19,30000
2015-05-20,30000
2015-05-21,30000
2015-05-22,30000
2015-05-23,30000
2015-05-24,30000
2015-05-25,30000
2015-05-26,30000
2015-05-27,30000
2015-05-28,30000
2015-05-29,30000
2015-05-30,30000
2015-05-31,30000
2015-06-01,30000
2015-06-02,30000
2015-06-03,30000
2015-06-04,30000
2015-06-05,30000
2015-06-06,30000
2015-06-07,30000
2015-06-08,30000
2015-06-09,30000
2015-06-10,30000
2015-06-11,30000
2015-06-12,30000
2015-06-13,30000
2015-06-14,30000
2015-06-15,30000
2015-06-16,30000
2015-06-17,30000
2015-06-18,30000
2015-06-19,30000
2015-06-20,30000
2015-06-21,30000
2015-06-22,30000
2015-06-23,30000
2015-06-24,30000
2015-06-25,30000
2015-06-26,30000
2015-06-27,30000
2015-06-28,30000
2015-06-29,30000
2015-06-30,30000
2015-07-01,30000
2015-07-02,30000
2015-07-03,30000
2015-07-04,30000
2015-07-05,30000
2015-07-06,30000
2015-07-07,30000
2015-07-08,30000
2015-07-09,30000
2015-07-10,30000
2015-07-11,30000
2015-07-12,30000
2015-07-13,30000
2015-07-14,30000
2015-07-15,30000
2015-07-16,30000
2015-07-17,30000
2015-07-18,30000
2015-07-19,30000
2015-07-20,30000
2015-07-21,30000
2015-07-22,30000
2015-07-23,30000
2015-07-24,30000
2015-07-25,30000
2015-07-26,30000
2015-07-27,30000
2015-07-28,30000
2015-07-29,30000
2015-07-30,30000
2015-07-31,30000
2015-08-01,30000
2015-08-02,30000
2015-08-03,30000
2015-08-04,30000
2015-08-05,30000
2015-08-06,30000
2015-08-07,30000
2015-08-08,30000
2015-08-09,30000
2015-08-10,30000
2015-08-11,30000
2015-08-12,30000
2015-08-13,30000
2015-08-14,30000
2015-08-15,30000
2015-08-16,30000
2015-08-17,30000
2015-08-18,30000
2015-08-19,30000
2015-08-20,30000
2015-08-21,30000
2015-08-22,30000
2015-08-23,30000
2015-08-24,30000
2015-08-25,30000
2015-08-26,30000
2015-08-27,30000
2015-08-28,30000
2015-08-29,30000
2015-08-30,30000
2015-08-31,30000
2015-09-01,30000
2015-09-02,30000
2015-09-03,30000
2015-09-04,30000
2015-09-05,30000
2015-09-06,30000
2015-09-07,30000
2015-09-08,30000
2015-09-09,30000
2015-09-10,30000
2015-09-11,30000
2015-09-12,30000
2015-09-13,30000
2015-09-14,30000
2015-09-15,30000
2015-09-16,30000
2015-09-17,30000
2015-09-18,30000
2015-09-19,30000
2015-09-20,30000
2015-09-21,30000
2015-09-22,30000
2015-09-23,30000
2015-09-24,30000
2015-09-25,30000
2015-09-27,30000
2015-09-28,30000
2015-09-29,30000
2015-09-30,30000
2015-10-05,30000
2015-10-06,30000
2015-10-07,30000
2015-10-08,30000
2015-10-09,30000
2015-10-10,30000
2015-10-11,30000
2015-10-12,30000
2015-10-13,30000
2015-10-14,30000
2015-10-15,30000
2015-10-16,30000
2015-10-17,30000
2015-10-18,30000
2015-10-19,30000
2015-10-20,30000
2015-10-22,30000
2015-10-23,30000
2015-10-24,30000
2015-10-25,30000
2015-10-26,30000
2015-10-27,30000
2015-10-29,30000
2015-10-30,30000
2015-10-31,30000
2015-11-01,30000
2015-11-02,30000
2015-11-03,30000
2015-11-04,30000
2015-11-05,30000
2015-11-06,30000
2015-11-07,30000
2015-11-08,30000
2015-11-09,30000
2015-11-10,30000
2015-11-11,30000
2015-11-12,30000
2015-11-13,30000
2015-11-14,30000
2015-11-15,30000
2015-11-16,30000
2015-11-17,30000
2015-11-18,30000
2015-11-19,30000
2015-11-20,30000
2015-11-21,30000
2015-11-22,30000
2015-11-23,30000
2015-11-24,30000
2015-11-25,30000
2015-11-26,30000
2015-11-27,30000
2015-11-28,30000
2015-11-29,30000
2015-11-30,30000
2015-12-01,30000
2015-12-02,30000
2015-12-03,30000
2015-12-04,30000
2015-12-05,30000
2015-12-06,30000
2015-12-07,30000
2015-12-08,30000
2015-12-09,30000
2015-12-10,30000
2015-12-11,30000
2015-12-12,30000
2015-12-13,30000
2015-12-14,30000
2015-12-15,30000
2015-12-16,30000
2015-12-17,30000
2015-12-18,30000
2015-12-19,30000
2015-12-20,30000
2015-12-21,30000
2015-12-22,30000
2015-12-23,30000
2015-12-24,30000
2015-12-25,30000
2015-12-26,30000
2015-12-27,30000
2015-12-28,30000
2015-12-29,30000
2015-12-30,30000
2015-12-31,30000
2016-01-01,30000
2016-01-02,30000
2016-01-03,30000
2016-01-04,30000
2016-01-05,30000
2016-01-06,30000
2016-01-07,30000
2016-01-08,30000
2016-01-09,30000
2016-01-10,30000
2016-01-11,30000
2016-01-12,30000
2016-01-13,30000
2016-01-14,30000
2016-01-15,30000
2016-01-16,30000
2016-01-17,30000
2016-01-18,30000
2016-01-19,30000
2016-01-20,30000
2016-01-21,30000
2016-01-22,30000
2016-01-23,30000
2016-01-24,30000
2016-01-25,30000
2016-01-26,30000
2016-01-27,30000
2016-01-28,30000
2016-01-29,30000
2016-01-30,30000
2016-01-31,30000
2016-02-01,30000
2016-02-02,30000
2016-02-03,30000
2016-02-04,30000
2016-02-05,30000
2016-02-06,30000
2016-02-07,30000
2016-02-08,30000
2016-02-09,30000
2016-02-10,30000
2016-02-11,30000
2016-02-12,30000
2016-02-13,30000
2016-02-14,30000
2016-02-15,30000
2016-02-16,30000
2016-02-17,30000
2016-02-18,30000
2016-02-19,30000
2016-02-20,30000
2016-02-21,30000
2016-02-22,30000
2016-02-23,30000
2016-02-24,30000
2016-02-25,30000
2016-02-26,30000
2016-02-27,30000
2016-02-28,30000
2016-02-29,30000
2016-03-01,30000
2016-03-02,30000
2016-03-03,30000
2016-03-04,30000
2016-03-05,30000
2016-03-06,30000
2016-03-07,30000
2016-03-08,30000
2016-03-09,30000
2016-03-10,30000
2016-03-11,30000
2016-03-12,30000
2016-03-13,30000
2016-03-14,30000
2016-03-15,30000
2016-03-16,30000
2016-03-17,30000
2016-03-18,30000
2016-03-19,30000
2016-03-20,30000
2016-03-21,30000
2016-03-22,30000
2016-03-23,30000
2016-03-24,30000
2016-03-25,30000
2016-03-26,30000
2016-03-27,30000
2016-03-28,30000
2016-03-29,30000
2016-03-30,30000
2016-03-31,30000
2016-04-01,30000
2016-04-02,30000
2016-04-03,30000
2016-04-04,30000
2016-04-05,30000
2016-04-06,30000
2016-04-07,30000
2016-04-08,30000
2016-04-09,30000
2016-04-10,30000
2016-04-11,30000
2016-04-12,30000
2016-04-13,30000
2016-04-14,30000
2016-04-15,30000
2016-04-16,30000
2016-04-17,30000
2016-04-18,30000
2016-04-19,30000
2016-04-20,30000
2016-04-21,30000
2016-04-22,30000
2016-04-23,30000
2016-04-24,30000
2016-04-25,30000
2016-04-26,30000
2016-04-27,30000
2016-04-28,30000
2016-04-29,30000
2016-04-30,30000
2016-05-01,30000
2016-05-02,30000
2016-05-03,30000
2016-05-04,30000
2016-05-05,30000
2016-05-06,30000
2016-05-07,30000
2016-05-08,30000
2016-05-09,30000
2016-05-10,30000
2016-05-11,30000
2016-05-12,30000
2016-05-13,30000
2016-05-14,30000
2016-05-15,30000
2016-05-16,30000
2016-05-17,30000
2016-05-18,30000
2016-05-19,30000
2016-05-22,30000
2016-05-23,30000
2016-05-24,30000
2016-05-25,30000
2016-05-26,30000
2016-05-27,30000
2016-05-28,30000
2016-05-29,30000
2016-05-30,30000
2016-05-31,30000
2016-06-01,30000
2016-06-02,30000
2016-06-03,30000
2016-06-04,30000
2016-06-05,30000
2016-06-06,30000
2016-06-07,30000
2016-06-08,30000
2016-06-09,29977
2016-06-10,29977
2016-06-11,29977
2016-06-12,29977
2016-06-13,29977
2016-06-14,29977
2016-06-15,29977
2016-06-16,29977
2016-06-17,28569
2016-06-18,28569
2016-06-19,28569
2016-06-20,28569
2016-06-21,28569
2016-06-22,28569
