date_obj,Ruby price
2015-03-26,1104
2015-03-27,1104
2015-03-28,1074
2015-03-29,1047
2015-03-30,1035
2015-03-31,1027
2015-04-01,990
2015-04-02,977
2015-04-03,983
2015-04-04,1001
2015-04-05,1029
2015-04-06,1078
2015-04-07,1060
2015-04-08,1013
2015-04-09,1013
2015-04-10,1031
2015-04-11,1040
2015-04-12,1032
2015-04-13,1038
2015-04-14,1035
2015-04-15,1034
2015-04-16,1046
2015-04-17,1019
2015-04-18,1001
2015-04-19,976
2015-04-20,999
2015-04-21,990
2015-04-22,1013
2015-04-23,998
2015-04-24,975
2015-04-25,1008
2015-04-26,1038
2015-04-27,1042
2015-04-28,1064
2015-04-29,1064
2015-04-30,1079
2015-05-01,1085
2015-05-02,1043
2015-05-03,1073
2015-05-04,1070
2015-05-05,1055
2015-05-06,1069
2015-05-07,1035
2015-05-08,1035
2015-05-09,1052
2015-05-10,1054
2015-05-11,1054
2015-05-12,1046
2015-05-13,1029
2015-05-14,1052
2015-05-15,1089
2015-05-16,1086
2015-05-17,1074
2015-05-18,1064
2015-05-19,1053
2015-05-20,1053
2015-05-21,1031
2015-05-22,1024
2015-05-23,1024
2015-05-24,1030
2015-05-25,1021
2015-05-26,1031
2015-05-27,1039
2015-05-28,1042
2015-05-29,1033
2015-05-30,1039
2015-05-31,1047
2015-06-01,1028
2015-06-02,1029
2015-06-03,1034
2015-06-04,1048
2015-06-05,1060
2015-06-06,1071
2015-06-07,1037
2015-06-08,1027
2015-06-09,1043
2015-06-10,1052
2015-06-11,1055
2015-06-12,1048
2015-06-13,1063
2015-06-14,1043
2015-06-15,1045
2015-06-16,1057
2015-06-17,1058
2015-06-18,1079
2015-06-19,1050
2015-06-20,1063
2015-06-21,1078
2015-06-22,1038
2015-06-23,1040
2015-06-24,1034
2015-06-25,1035
2015-06-26,1051
2015-06-27,1023
2015-06-28,1026
2015-06-29,1029
2015-06-30,1029
2015-07-01,1022
2015-07-02,1022
2015-07-03,1028
2015-07-04,1044
2015-07-05,1031
2015-07-06,1024
2015-07-07,1019
2015-07-08,1009
2015-07-09,1015
2015-07-10,1000
2015-07-11,1008
2015-07-12,985
2015-07-13,974
2015-07-14,988
2015-07-15,995
2015-07-16,982
2015-07-17,970
2015-07-18,939
2015-07-19,947
2015-07-20,959
2015-07-21,973
2015-07-22,961
2015-07-23,961
2015-07-24,954
2015-07-25,955
2015-07-26,945
2015-07-27,955
2015-07-28,984
2015-07-29,1006
2015-07-30,983
2015-07-31,975
2015-08-01,963
2015-08-02,975
2015-08-03,987
2015-08-04,996
2015-08-05,989
2015-08-06,1019
2015-08-07,998
2015-08-08,984
2015-08-09,990
2015-08-10,1006
2015-08-11,990
2015-08-12,994
2015-08-13,986
2015-08-14,985
2015-08-15,985
2015-08-16,976
2015-08-17,971
2015-08-18,973
2015-08-19,992
2015-08-20,990
2015-08-21,1006
2015-08-22,996
2015-08-23,996
2015-08-24,1006
2015-08-25,1006
2015-08-26,1019
2015-08-27,1020
2015-08-28,1017
2015-08-29,1009
2015-08-30,1009
2015-08-31,1002
2015-09-01,1002
2015-09-02,1002
2015-09-03,1000
2015-09-04,999
2015-09-05,999
2015-09-06,981
2015-09-07,992
2015-09-08,1004
2015-09-09,997
2015-09-10,992
2015-09-11,988
2015-09-12,1005
2015-09-13,991
2015-09-14,1017
2015-09-15,1022
2015-09-16,1022
2015-09-17,1019
2015-09-18,1019
2015-09-19,986
2015-09-20,977
2015-09-21,973
2015-09-22,976
2015-09-23,956
2015-09-24,956
2015-09-25,966
2015-09-27,969
2015-09-28,964
2015-09-29,964
2015-09-30,985
2015-10-05,1014
2015-10-06,992
2015-10-07,992
2015-10-08,1006
2015-10-09,1003
2015-10-10,1003
2015-10-11,1002
2015-10-12,1020
2015-10-13,1020
2015-10-14,1008
2015-10-15,1037
2015-10-16,1035
2015-10-17,1035
2015-10-18,1042
2015-10-19,1020
2015-10-20,1018
2015-10-22,1019
2015-10-23,1020
2015-10-24,1017
2015-10-25,1016
2015-10-26,1025
2015-10-27,1025
2015-10-29,1045
2015-10-30,1045
2015-10-31,1028
2015-11-01,1028
2015-11-02,1020
2015-11-03,1025
2015-11-04,1025
2015-11-05,1018
2015-11-06,1018
2015-11-07,1022
2015-11-08,1022
2015-11-09,997
2015-11-10,997
2015-11-11,997
2015-11-12,997
2015-11-13,1009
2015-11-14,1009
2015-11-15,1007
2015-11-16,1007
