date_obj,Ruby%20bracelet price
2015-03-26,1215
2015-03-27,1215
2015-03-28,1215
2015-03-29,1215
2015-03-30,1215
2015-03-31,1215
2015-04-01,1215
2015-04-02,1215
2015-04-03,1224
2015-04-04,1224
2015-04-05,1224
2015-04-06,1224
2015-04-07,1224
2015-04-08,1224
2015-04-09,1224
2015-04-10,1224
2015-04-11,1225
2015-04-12,1225
2015-04-13,1225
2015-04-14,1225
2015-04-15,1225
2015-04-16,1225
2015-04-17,1225
2015-04-18,1225
2015-04-19,1225
2015-04-20,1225
2015-04-21,1224
2015-04-22,1224
2015-04-23,1224
2015-04-24,1224
2015-04-25,1224
2015-04-26,1224
2015-04-27,1224
2015-04-28,1224
2015-04-29,1224
2015-04-30,1219
2015-05-01,1219
2015-05-02,1219
2015-05-03,1219
2015-05-04,1219
2015-05-05,1219
2015-05-06,1219
2015-05-07,1219
2015-05-08,1219
2015-05-09,1219
2015-05-10,1222
2015-05-11,1222
2015-05-12,1222
2015-05-13,1222
2015-05-14,1222
2015-05-15,1222
2015-05-16,1222
2015-05-17,1222
2015-05-18,1222
2015-05-19,1222
2015-05-20,1221
2015-05-21,1221
2015-05-22,1221
2015-05-23,1221
2015-05-24,1221
2015-05-25,1221
2015-05-26,1221
2015-05-27,1221
2015-05-28,1230
2015-05-29,1230
2015-05-30,1230
2015-05-31,1230
2015-06-01,1230
2015-06-02,1230
2015-06-03,1230
2015-06-04,1225
2015-06-05,1225
2015-06-06,1225
2015-06-07,1225
2015-06-08,1225
2015-06-09,1234
2015-06-10,1234
2015-06-11,1234
2015-06-12,1234
2015-06-13,1234
2015-06-14,1234
2015-06-15,1234
2015-06-16,1255
2015-06-17,1255
2015-06-18,1255
2015-06-19,1255
2015-06-20,1255
2015-06-21,1255
2015-06-22,1255
2015-06-23,1255
2015-06-24,1265
2015-06-25,1265
2015-06-26,1265
2015-06-27,1265
2015-06-28,1265
2015-06-29,1265
2015-06-30,1265
2015-07-01,1265
2015-07-02,1265
2015-07-03,1255
2015-07-04,1255
2015-07-05,1255
2015-07-06,1255
2015-07-07,1255
2015-07-08,1255
2015-07-09,1255
2015-07-10,1255
2015-07-11,1255
2015-07-12,1255
2015-07-13,1255
2015-07-14,1243
2015-07-15,1243
2015-07-16,1243
2015-07-17,1243
2015-07-18,1243
2015-07-19,1243
2015-07-20,1243
2015-07-21,1243
2015-07-22,1236
2015-07-23,1236
2015-07-24,1236
2015-07-25,1236
2015-07-26,1236
2015-07-27,1236
2015-07-28,1236
2015-07-29,1236
2015-07-30,1236
2015-07-31,1236
2015-08-01,1236
2015-08-02,1236
2015-08-03,1236
2015-08-04,1236
2015-08-05,1236
2015-08-06,1236
2015-08-07,1236
2015-08-08,1243
2015-08-09,1243
2015-08-10,1243
2015-08-11,1243
2015-08-12,1243
2015-08-13,1243
2015-08-14,1243
2015-08-15,1243
2015-08-16,1246
2015-08-17,1246
2015-08-18,1246
2015-08-19,1246
2015-08-20,1246
2015-08-21,1246
2015-08-22,1246
2015-08-23,1246
2015-08-24,1239
2015-08-25,1239
2015-08-26,1239
2015-08-27,1239
2015-08-28,1239
2015-08-29,1239
2015-08-30,1239
2015-08-31,1239
2015-09-01,1239
2015-09-02,1239
2015-09-03,1255
2015-09-04,1255
2015-09-05,1255
2015-09-06,1255
2015-09-07,1255
2015-09-08,1255
2015-09-09,1255
2015-09-10,1255
2015-09-11,1255
2015-09-12,1255
2015-09-13,1258
2015-09-14,1258
2015-09-15,1258
2015-09-16,1258
2015-09-17,1258
2015-09-18,1258
2015-09-19,1258
2015-09-20,1258
2015-09-21,1258
2015-09-22,1260
2015-09-23,1260
2015-09-24,1260
2015-09-25,1260
2015-09-27,1260
2015-09-28,1260
2015-09-29,1260
2015-09-30,1266
2015-10-05,1266
2015-10-06,1266
2015-10-07,1266
2015-10-08,1266
2015-10-09,1259
2015-10-10,1259
2015-10-11,1259
2015-10-12,1259
2015-10-13,1259
2015-10-14,1259
2015-10-15,1259
2015-10-16,1259
2015-10-17,1259
2015-10-18,1268
2015-10-19,1268
2015-10-20,1268
2015-10-22,1268
2015-10-23,1268
2015-10-24,1268
2015-10-25,1268
2015-10-26,1264
2015-10-27,1264
2015-10-29,1264
2015-10-30,1264
2015-10-31,1264
2015-11-01,1264
2015-11-02,1264
2015-11-03,1264
2015-11-04,1264
2015-11-05,1264
2015-11-06,1267
2015-11-07,1267
2015-11-08,1267
2015-11-09,1267
2015-11-10,1267
2015-11-11,1267
2015-11-12,1267
2015-11-13,1267
2015-11-14,1267
2015-11-15,1274
2015-11-16,1274
2015-11-17,1274
2015-11-18,1274
2015-11-19,1274
2015-11-20,1274
2015-11-21,1274
2015-11-22,1274
2015-11-23,1274
2015-11-24,1292
2015-11-25,1292
2015-11-26,1292
2015-11-27,1292
2015-11-28,1292
2015-11-29,1292
2015-11-30,1292
2015-12-01,1292
2015-12-02,1303
2015-12-03,1303
2015-12-04,1303
2015-12-05,1303
2015-12-06,1303
2015-12-07,1303
2015-12-08,1303
2015-12-09,1303
2015-12-10,1303
2015-12-11,1303
2015-12-12,1323
2015-12-13,1323
2015-12-14,1323
2015-12-15,1323
2015-12-16,1323
2015-12-17,1323
2015-12-18,1323
2015-12-19,1323
2015-12-20,1323
2015-12-21,1323
2015-12-22,1323
2015-12-23,1312
2015-12-24,1312
2015-12-25,1312
2015-12-26,1312
2015-12-27,1312
2015-12-28,1312
2015-12-29,1312
2015-12-30,1312
2015-12-31,1298
2016-01-01,1298
2016-01-02,1298
2016-01-03,1298
2016-01-04,1298
2016-01-05,1298
2016-01-06,1298
2016-01-07,1298
2016-01-08,1295
2016-01-09,1295
2016-01-10,1295
2016-01-11,1295
2016-01-12,1295
2016-01-13,1295
2016-01-14,1295
2016-01-15,1291
2016-01-16,1291
2016-01-17,1291
2016-01-18,1291
2016-01-19,1291
2016-01-20,1291
2016-01-21,1291
2016-01-22,1291
2016-01-23,1290
2016-01-24,1290
2016-01-25,1290
2016-01-26,1290
2016-01-27,1290
2016-01-28,1290
2016-01-29,1290
2016-01-30,1290
2016-01-31,1293
2016-02-01,1293
2016-02-02,1293
2016-02-03,1293
2016-02-04,1293
2016-02-05,1293
2016-02-06,1293
2016-02-07,1293
2016-02-08,1293
2016-02-09,1300
2016-02-10,1300
2016-02-11,1300
2016-02-12,1300
2016-02-13,1300
2016-02-14,1300
2016-02-15,1300
2016-02-16,1300
2016-02-17,1300
2016-02-18,1300
2016-02-19,1275
2016-02-20,1275
2016-02-21,1275
2016-02-22,1275
2016-02-23,1275
2016-02-24,1275
2016-02-25,1275
2016-02-26,1275
2016-02-27,1275
2016-02-28,1264
2016-02-29,1264
2016-03-01,1264
2016-03-02,1264
2016-03-03,1264
2016-03-04,1264
2016-03-05,1264
2016-03-06,1264
2016-03-07,1264
2016-03-08,1264
2016-03-09,1260
2016-03-10,1260
2016-03-11,1260
2016-03-12,1260
2016-03-13,1260
2016-03-14,1260
2016-03-15,1260
2016-03-16,1260
2016-03-17,1260
2016-03-18,1260
2016-03-19,1254
2016-03-20,1254
2016-03-21,1254
2016-03-22,1254
2016-03-23,1254
2016-03-24,1254
2016-03-25,1254
2016-03-26,1254
2016-03-27,1254
2016-03-28,1254
2016-03-29,1254
2016-03-30,1254
2016-03-31,1254
2016-04-01,1254
2016-04-02,1254
2016-04-03,1254
2016-04-04,1254
2016-04-05,1254
2016-04-06,1254
2016-04-07,1255
2016-04-08,1255
2016-04-09,1255
2016-04-10,1255
2016-04-11,1255
2016-04-12,1255
2016-04-13,1255
2016-04-14,1268
2016-04-15,1268
2016-04-16,1268
2016-04-17,1268
2016-04-18,1268
2016-04-19,1268
2016-04-20,1268
2016-04-21,1268
2016-04-22,1275
2016-04-23,1275
2016-04-24,1275
2016-04-25,1275
2016-04-26,1275
2016-04-27,1275
2016-04-28,1275
2016-04-29,1257
2016-04-30,1257
2016-05-01,1257
2016-05-02,1257
2016-05-03,1257
2016-05-04,1265
2016-05-05,1265
2016-05-06,1265
2016-05-07,1265
2016-05-08,1265
2016-05-09,1264
2016-05-10,1264
2016-05-11,1264
2016-05-12,1264
2016-05-13,1264
2016-05-14,1242
2016-05-15,1242
2016-05-16,1242
2016-05-17,1242
