date_obj,Rune%20arrowtips price
2015-03-26,208
2015-03-27,208
2015-03-28,208
2015-03-29,208
2015-03-30,208
2015-03-31,208
2015-04-01,208
2015-04-02,208
2015-04-03,208
2015-04-04,208
2015-04-05,208
2015-04-06,217
2015-04-07,217
2015-04-08,217
2015-04-09,217
2015-04-10,217
2015-04-11,217
2015-04-12,217
2015-04-13,217
2015-04-14,217
2015-04-15,217
2015-04-16,217
2015-04-17,217
2015-04-18,217
2015-04-19,217
2015-04-20,226
2015-04-21,226
2015-04-22,226
2015-04-23,226
2015-04-24,226
2015-04-25,226
2015-04-26,226
2015-04-27,226
2015-04-28,226
2015-04-29,226
2015-04-30,226
2015-05-01,226
2015-05-02,226
2015-05-03,226
2015-05-04,226
2015-05-05,226
2015-05-06,235
2015-05-07,235
2015-05-08,235
2015-05-09,235
2015-05-10,235
2015-05-11,235
2015-05-12,235
2015-05-13,235
2015-05-14,235
2015-05-15,235
2015-05-16,235
2015-05-17,235
2015-05-18,235
2015-05-19,235
2015-05-20,235
2015-05-21,235
2015-05-22,235
2015-05-23,235
2015-05-24,235
2015-05-25,245
2015-05-26,245
2015-05-27,245
2015-05-28,245
2015-05-29,245
2015-05-30,245
2015-05-31,245
2015-06-01,245
2015-06-02,245
2015-06-03,245
2015-06-04,245
2015-06-05,245
2015-06-06,245
2015-06-07,255
2015-06-08,255
2015-06-09,255
2015-06-10,255
2015-06-11,255
2015-06-12,255
2015-06-13,255
2015-06-14,255
2015-06-15,255
2015-06-16,255
2015-06-17,255
2015-06-18,255
2015-06-19,255
2015-06-20,255
2015-06-21,255
2015-06-22,263
2015-06-23,263
2015-06-24,263
2015-06-25,263
2015-06-26,263
2015-06-27,263
2015-06-28,263
2015-06-29,263
2015-06-30,263
2015-07-01,263
2015-07-02,263
2015-07-03,263
2015-07-04,263
2015-07-05,263
2015-07-06,263
2015-07-07,276
2015-07-08,276
2015-07-09,276
2015-07-10,276
2015-07-11,276
2015-07-12,276
2015-07-13,276
2015-07-14,276
2015-07-15,276
2015-07-16,276
2015-07-17,276
2015-07-18,276
2015-07-19,276
2015-07-20,276
2015-07-21,276
2015-07-22,287
2015-07-23,287
2015-07-24,287
2015-07-25,287
2015-07-26,287
2015-07-27,287
2015-07-28,287
2015-07-29,287
2015-07-30,287
2015-07-31,287
2015-08-01,287
2015-08-02,287
2015-08-03,287
2015-08-04,287
2015-08-05,299
2015-08-06,299
2015-08-07,299
2015-08-08,299
2015-08-09,299
2015-08-10,299
2015-08-11,299
2015-08-12,299
2015-08-13,299
2015-08-14,299
2015-08-15,299
2015-08-16,299
2015-08-17,299
2015-08-18,299
2015-08-19,309
2015-08-20,309
2015-08-21,309
2015-08-22,309
2015-08-23,309
2015-08-24,309
2015-08-25,309
2015-08-26,309
2015-08-27,309
2015-08-28,309
2015-08-29,309
2015-08-30,309
2015-08-31,309
2015-09-01,309
2015-09-02,309
2015-09-03,307
2015-09-04,307
2015-09-05,307
2015-09-06,307
2015-09-07,307
2015-09-08,307
2015-09-09,307
2015-09-10,307
2015-09-11,307
2015-09-12,307
2015-09-13,307
2015-09-14,307
2015-09-15,307
2015-09-16,307
2015-09-17,309
2015-09-18,309
2015-09-19,309
2015-09-20,309
2015-09-21,309
2015-09-22,309
2015-09-23,309
2015-09-24,309
2015-09-25,309
2015-09-27,309
2015-09-28,309
2015-09-29,309
2015-09-30,309
2015-10-05,317
2015-10-06,317
2015-10-07,317
2015-10-08,317
2015-10-09,317
2015-10-10,317
2015-10-11,317
2015-10-12,317
2015-10-13,317
2015-10-14,317
2015-10-15,317
2015-10-16,317
2015-10-17,317
2015-10-18,317
2015-10-19,321
2015-10-20,321
2015-10-22,321
2015-10-23,321
2015-10-24,321
2015-10-25,321
2015-10-26,321
2015-10-27,321
2015-10-29,321
2015-10-30,321
2015-10-31,321
2015-11-01,321
2015-11-02,321
2015-11-03,321
2015-11-04,322
2015-11-05,322
2015-11-06,322
2015-11-07,322
2015-11-08,322
2015-11-09,322
2015-11-10,322
2015-11-11,322
2015-11-12,322
2015-11-13,322
2015-11-14,322
2015-11-15,322
2015-11-16,322
2015-11-17,322
2015-11-18,322
2015-11-19,322
2015-11-20,322
2015-11-21,322
2015-11-22,322
2015-11-23,322
2015-11-24,322
2015-11-25,322
2015-11-26,322
2015-11-27,322
2015-11-28,322
2015-11-29,322
2015-11-30,322
2015-12-01,322
2015-12-02,326
2015-12-03,326
2015-12-04,326
2015-12-05,326
2015-12-06,326
2015-12-07,326
2015-12-08,326
2015-12-09,326
2015-12-10,326
2015-12-11,326
2015-12-12,326
2015-12-13,326
2015-12-14,326
2015-12-15,323
2015-12-16,323
2015-12-17,323
2015-12-18,323
2015-12-19,323
2015-12-20,323
2015-12-21,323
2015-12-22,323
2015-12-23,323
2015-12-24,323
2015-12-25,323
2015-12-26,323
2015-12-27,323
2015-12-28,318
2015-12-29,318
2015-12-30,318
2015-12-31,318
2016-01-01,318
2016-01-02,318
2016-01-03,318
2016-01-04,318
2016-01-05,318
2016-01-06,318
2016-01-07,318
2016-01-08,318
2016-01-09,312
2016-01-10,312
2016-01-11,312
2016-01-12,312
2016-01-13,312
2016-01-14,312
2016-01-15,312
2016-01-16,312
2016-01-17,312
2016-01-18,312
2016-01-19,312
2016-01-20,312
2016-01-21,315
2016-01-22,315
2016-01-23,315
2016-01-24,315
2016-01-25,315
2016-01-26,315
2016-01-27,315
2016-01-28,315
2016-01-29,315
2016-01-30,315
2016-01-31,315
2016-02-01,314
2016-02-02,314
2016-02-03,314
2016-02-04,314
2016-02-05,314
2016-02-06,314
2016-02-07,314
2016-02-08,314
2016-02-09,314
2016-02-10,314
2016-02-11,314
2016-02-12,314
2016-02-13,314
2016-02-14,312
2016-02-15,312
2016-02-16,312
2016-02-17,312
2016-02-18,312
2016-02-19,312
2016-02-20,312
2016-02-21,312
2016-02-22,312
2016-02-23,312
2016-02-24,312
2016-02-25,309
2016-02-26,309
2016-02-27,309
2016-02-28,309
2016-02-29,309
2016-03-01,309
2016-03-02,309
2016-03-03,309
2016-03-04,309
2016-03-05,309
2016-03-06,299
2016-03-07,299
2016-03-08,299
2016-03-09,299
2016-03-10,299
2016-03-11,299
2016-03-12,299
2016-03-13,299
2016-03-14,299
2016-03-15,299
2016-03-16,299
2016-03-17,299
2016-03-18,306
2016-03-19,306
2016-03-20,306
2016-03-21,306
2016-03-22,306
2016-03-23,306
2016-03-24,306
2016-03-25,306
2016-03-26,306
2016-03-27,306
2016-03-28,306
2016-03-29,315
2016-03-30,315
2016-03-31,315
2016-04-01,315
2016-04-02,315
2016-04-03,315
2016-04-04,315
2016-04-05,315
2016-04-06,315
2016-04-07,315
2016-04-08,315
2016-04-09,315
2016-04-10,310
2016-04-11,310
2016-04-12,310
2016-04-13,310
2016-04-14,310
2016-04-15,310
2016-04-16,310
2016-04-17,310
2016-04-18,310
2016-04-19,310
2016-04-20,310
