date_obj,Rune%20cane price
2015-03-26,13571
2015-03-27,13571
2015-03-28,13002
2015-03-29,12351
2015-03-30,11905
2015-03-31,11403
2015-04-01,11403
2015-04-02,10892
2015-04-03,10347
2015-04-04,9886
2015-04-05,9428
2015-04-06,8956
2015-04-07,8527
2015-04-08,8410
2015-04-09,8403
2015-04-10,8342
2015-04-11,8149
2015-04-12,8213
2015-04-13,8254
2015-04-14,8254
2015-04-15,8314
2015-04-16,8543
2015-04-17,8765
2015-04-18,8805
2015-04-19,8972
2015-04-20,8972
2015-04-21,8800
2015-04-22,8800
2015-04-23,8732
2015-04-24,8732
2015-04-25,8521
2015-04-26,8521
2015-04-27,8498
2015-04-28,8359
2015-04-29,8359
2015-04-30,8368
2015-05-01,8444
2015-05-02,8407
2015-05-03,8407
2015-05-04,8456
2015-05-05,8456
2015-05-06,8348
2015-05-07,8262
2015-05-08,8262
2015-05-09,8380
2015-05-10,8540
2015-05-11,8540
2015-05-12,8792
2015-05-13,8792
2015-05-14,8811
2015-05-15,8811
2015-05-16,9031
2015-05-17,9050
2015-05-18,9040
2015-05-19,9040
2015-05-20,8859
2015-05-21,8859
2015-05-22,8690
2015-05-23,8690
2015-05-24,8531
2015-05-25,8388
2015-05-26,8410
2015-05-27,8410
2015-05-28,8267
2015-05-29,8267
2015-05-30,8196
2015-05-31,8196
2015-06-01,8213
2015-06-02,8213
2015-06-03,8330
2015-06-04,8330
2015-06-05,8324
2015-06-06,8450
2015-06-07,8450
2015-06-08,8388
2015-06-09,8373
2015-06-10,8413
2015-06-11,8413
2015-06-12,8423
2015-06-13,8406
2015-06-14,8406
2015-06-15,8229
2015-06-16,8229
2015-06-17,8372
2015-06-18,8361
2015-06-19,8361
2015-06-20,8329
2015-06-21,8329
2015-06-22,8386
2015-06-23,8386
2015-06-24,8355
2015-06-25,8355
2015-06-26,8486
2015-06-27,8486
2015-06-28,8608
2015-06-29,8608
2015-06-30,8812
2015-07-01,8845
2015-07-02,8845
2015-07-03,8811
2015-07-04,8811
2015-07-05,9076
2015-07-06,9076
2015-07-07,9450
2015-07-08,9891
2015-07-09,9891
2015-07-10,10106
2015-07-11,10106
2015-07-12,10265
2015-07-13,10486
2015-07-14,10486
2015-07-15,10231
2015-07-16,10231
2015-07-17,9966
2015-07-18,9966
2015-07-19,9787
2015-07-20,9787
2015-07-21,9728
2015-07-22,9871
2015-07-23,9871
2015-07-24,9825
2015-07-25,9825
2015-07-26,9778
2015-07-27,9608
2015-07-28,9608
2015-07-29,9514
2015-07-30,9514
2015-07-31,9368
2015-08-01,9368
2015-08-02,9054
2015-08-03,9054
2015-08-04,8700
2015-08-05,8399
2015-08-06,8122
2015-08-07,8122
2015-08-08,8056
2015-08-09,8056
2015-08-10,8247
2015-08-11,8247
2015-08-12,8345
2015-08-13,8345
2015-08-14,8306
2015-08-15,8306
2015-08-16,8300
2015-08-17,8279
2015-08-18,8374
2015-08-19,8492
2015-08-20,8492
2015-08-21,8459
2015-08-22,8204
2015-08-23,8204
2015-08-24,8178
2015-08-25,8178
2015-08-26,8210
2015-08-27,8554
2015-08-28,8554
2015-08-29,8689
2015-08-30,8689
2015-08-31,8814
2015-09-01,8814
2015-09-02,8793
2015-09-03,8793
2015-09-04,8449
2015-09-05,8449
2015-09-06,8457
2015-09-07,8457
2015-09-08,8503
2015-09-09,8485
2015-09-10,8485
2015-09-11,8598
2015-09-12,8598
2015-09-13,8647
2015-09-14,8647
2015-09-15,8412
2015-09-16,8412
2015-09-17,8272
2015-09-18,8272
2015-09-19,8220
2015-09-20,8220
2015-09-21,8342
2015-09-22,8342
2015-09-23,8413
2015-09-24,8413
2015-09-25,8512
2015-09-27,8430
2015-09-28,8528
2015-09-29,8528
2015-09-30,8618
2015-10-05,8916
2015-10-06,8759
2015-10-07,8759
2015-10-08,8481
2015-10-09,8483
2015-10-10,8483
2015-10-11,8146
2015-10-12,8146
2015-10-13,8007
2015-10-14,8007
2015-10-15,7979
2015-10-16,8050
2015-10-17,8050
2015-10-18,8213
2015-10-19,8224
2015-10-20,8433
2015-10-22,8589
2015-10-23,8269
2015-10-24,8269
2015-10-25,8371
2015-10-26,8371
2015-10-27,8418
2015-10-29,8466
2015-10-30,8466
2015-10-31,8509
2015-11-01,8509
2015-11-02,8539
2015-11-03,8539
2015-11-04,8520
2015-11-05,8520
2015-11-06,8693
2015-11-07,8424
2015-11-08,8424
2015-11-09,8484
2015-11-10,8484
2015-11-11,8380
2015-11-12,8380
2015-11-13,8389
2015-11-14,8389
2015-11-15,8425
2015-11-16,8425
2015-11-17,8425
2015-11-18,8552
2015-11-19,8669
2015-11-20,8669
2015-11-21,8669
2015-11-22,8691
2015-11-23,8691
2015-11-24,8656
2015-11-25,8604
2015-11-26,8604
2015-11-27,8471
2015-11-28,8437
2015-11-29,8646
2015-11-30,8646
2015-12-01,8805
2015-12-02,8805
2015-12-03,8838
2015-12-04,8838
2015-12-05,8906
2015-12-06,8851
2015-12-07,8851
2015-12-08,8630
2015-12-09,8402
2015-12-10,8402
2015-12-11,8490
2015-12-12,8490
2015-12-13,8590
2015-12-14,8590
2015-12-15,8724
2015-12-16,8724
2015-12-17,8753
2015-12-18,8846
2015-12-19,8846
2015-12-20,8807
2015-12-21,8807
2015-12-22,8747
2015-12-23,8747
2015-12-24,8624
2015-12-25,8624
2015-12-26,8661
2015-12-27,8738
2015-12-28,8738
2015-12-29,8865
2015-12-30,8819
2015-12-31,8819
2016-01-01,8758
2016-01-02,8758
2016-01-03,8755
2016-01-04,8668
2016-01-05,8668
2016-01-06,8862
2016-01-07,8862
2016-01-08,8879
2016-01-09,8879
2016-01-10,8979
2016-01-11,8979
2016-01-12,8979
2016-01-13,8979
2016-01-14,8840
2016-01-15,8840
2016-01-16,8606
2016-01-17,8606
2016-01-18,8546
2016-01-19,8546
2016-01-20,8571
2016-01-21,8571
2016-01-22,8533
2016-01-23,8533
2016-01-24,8487
2016-01-25,8434
2016-01-26,8434
2016-01-27,8480
2016-01-28,8480
2016-01-29,8483
2016-01-30,8483
2016-01-31,8533
2016-02-01,8316
2016-02-02,8316
2016-02-03,8481
2016-02-04,8481
2016-02-05,8705
2016-02-06,8699
2016-02-07,8699
2016-02-08,8747
2016-02-09,8747
2016-02-10,8833
2016-02-11,8833
2016-02-12,8870
2016-02-13,9053
2016-02-14,9053
2016-02-15,9192
2016-02-16,9192
2016-02-17,9123
2016-02-18,9123
2016-02-19,9103
2016-02-20,9103
2016-02-21,8962
2016-02-22,8962
2016-02-23,8771
2016-02-24,8771
2016-02-25,8486
2016-02-26,8486
2016-02-27,8560
2016-02-28,8560
2016-02-29,8537
2016-03-01,8619
2016-03-02,8619
2016-03-03,8688
2016-03-04,8861
2016-03-05,8861
2016-03-06,8757
2016-03-07,8757
2016-03-08,8837
2016-03-09,9095
2016-03-10,9421
2016-03-11,9421
2016-03-12,9887
2016-03-13,9887
2016-03-14,10328
2016-03-15,10741
2016-03-16,10864
2016-03-17,10864
2016-03-18,10955
2016-03-19,10955
2016-03-20,11152
2016-03-21,11152
2016-03-22,11408
2016-03-23,11437
2016-03-24,11437
2016-03-25,11111
2016-03-26,11111
2016-03-27,10769
2016-03-28,10445
2016-03-29,10445
2016-03-30,10137
2016-03-31,10137
2016-04-01,9856
2016-04-02,9856
2016-04-03,9618
2016-04-04,9618
2016-04-05,9324
2016-04-06,9006
2016-04-07,9006
2016-04-08,8710
2016-04-09,8597
2016-04-10,8505
2016-04-11,8505
2016-04-12,8514
2016-04-13,8514
2016-04-14,8390
2016-04-15,8440
2016-04-16,8440
2016-04-17,8544
2016-04-18,8927
2016-04-19,8927
2016-04-20,9081
2016-04-21,9081
2016-04-22,8932
2016-04-23,8932
2016-04-24,8774
2016-04-25,8735
2016-04-26,8735
2016-04-27,8959
2016-04-28,8959
2016-04-29,9163
2016-04-30,9268
2016-05-01,9268
2016-05-02,8999
2016-05-03,9175
2016-05-04,9175
2016-05-05,9212
2016-05-06,9212
2016-05-07,9172
2016-05-08,9172
2016-05-09,8932
2016-05-10,8717
2016-05-11,8717
2016-05-12,8576
2016-05-13,8419
2016-05-14,8419
2016-05-15,8401
2016-05-16,8401
2016-05-17,8520
2016-05-18,8520
2016-05-19,8456
2016-05-22,8375
2016-05-23,8335
2016-05-24,8495
2016-05-25,8495
2016-05-26,8537
2016-05-27,8478
2016-05-28,8478
2016-05-29,8494
2016-05-30,8494
2016-05-31,8514
2016-06-01,8543
2016-06-02,8425
2016-06-03,8425
2016-06-04,8248
2016-06-05,8248
2016-06-06,8605
2016-06-07,8605
2016-06-08,8875
2016-06-09,8975
2016-06-10,8888
2016-06-11,8888
2016-06-12,8929
2016-06-13,8929
2016-06-14,8839
2016-06-15,8839
2016-06-16,8551
2016-06-17,8449
2016-06-18,8449
2016-06-19,8467
2016-06-20,8467
2016-06-21,8397
2016-06-22,8305
2016-06-23,7956
2016-06-24,7956
2016-06-25,8328
2016-06-26,8328
2016-06-27,8483
2016-06-28,8420
2016-06-29,8420
2016-06-30,8450
2016-07-01,8490
2016-07-02,8490
2016-07-03,8412
2016-07-04,8388
2016-07-05,8388
2016-07-06,8498
2016-07-07,8498
2016-07-08,8530
2016-07-09,8413
2016-07-10,8488
2016-07-11,8513
2016-07-12,8513
2016-07-13,8509
2016-07-14,8509
2016-07-15,8564
2016-07-16,8564
2016-07-17,8518
2016-07-18,8624
2016-07-23,8532
2016-07-24,8429
2016-07-25,8429
2016-07-26,8454
2016-07-27,8454
2016-07-28,8529
2016-07-29,8399
2016-07-30,8399
2016-07-31,8493
2016-08-01,8493
2016-08-02,8540
2016-08-03,8540
2016-08-04,8610
2016-08-05,8610
2016-08-06,8660
2016-08-07,8660
2016-08-08,8487
2016-08-09,8487
2016-08-10,8404
2016-08-11,8404
2016-08-12,8347
2016-08-13,8347
2016-08-14,8321
2016-08-15,8321
2016-08-16,8375
2016-08-17,8375
2016-08-18,8156
2016-08-19,7986
2016-08-20,8298
2016-08-21,8298
2016-08-22,8414
2016-08-23,8414
2016-08-24,8503
2016-08-25,8503
2016-08-26,8503
2016-08-28,8522
2016-08-31,8491
2016-09-01,8491
2016-09-02,8455
2016-09-03,8455
2016-09-04,8588
2016-09-05,8588
2016-09-06,8589
2016-09-07,8589
2016-09-08,8589
2016-09-09,8763
2016-09-10,8763
2016-09-11,8557
2016-09-12,8557
2016-09-13,8497
2016-09-14,8497
2016-09-15,8395
2016-09-16,8395
2016-09-17,8155
2016-09-18,8155
2016-09-19,8290
2016-09-20,8290
2016-09-21,8392
2016-09-22,8368
2016-09-23,8368
2016-09-24,8368
2016-09-25,8343
2016-09-26,8343
2016-09-27,8295
2016-09-28,8295
2016-09-29,8225
2016-09-30,8066
2016-10-01,8066
2016-10-02,8260
2016-10-03,8260
2016-10-04,8289
2016-10-05,8289
2016-10-06,8371
2016-10-07,8371
2016-10-08,8414
2016-10-09,8414
2016-10-10,8472
2016-10-11,8472
2016-10-12,8311
2016-10-13,8311
2016-10-14,8290
2016-10-15,8290
