date_obj,Rune%20dagger price
2015-03-26,4619
2015-03-27,4595
2015-03-28,4590
2015-03-29,4602
2015-03-30,4582
2015-03-31,4578
2015-04-01,4584
2015-04-02,4585
2015-04-03,4589
2015-04-04,4590
2015-04-05,4604
2015-04-06,4592
2015-04-07,4577
2015-04-08,4605
2015-04-09,4600
2015-04-10,4612
2015-04-11,4578
2015-04-12,4575
2015-04-13,4581
2015-04-14,4580
2015-04-15,4585
2015-04-16,4609
2015-04-17,4593
2015-04-18,4597
2015-04-19,4591
2015-04-20,4586
2015-04-21,4587
2015-04-22,4582
2015-04-23,4612
2015-04-24,4583
2015-04-25,4582
2015-04-26,4580
2015-04-27,4580
2015-04-28,4576
2015-04-29,4581
2015-04-30,4593
2015-05-01,4587
2015-05-02,4601
2015-05-03,4581
2015-05-04,4590
2015-05-05,4593
2015-05-06,4582
2015-05-07,4571
2015-05-08,4574
2015-05-09,4577
2015-05-10,4569
2015-05-11,4595
2015-05-12,4600
2015-05-13,4588
2015-05-14,4592
2015-05-15,4582
2015-05-16,4575
2015-05-17,4570
2015-05-18,4587
2015-05-19,4589
2015-05-20,4603
2015-05-21,4610
2015-05-22,4575
2015-05-23,4581
2015-05-24,4583
2015-05-25,4569
2015-05-26,4579
2015-05-27,4587
2015-05-28,4574
2015-05-29,4565
2015-05-30,4577
2015-05-31,4581
2015-06-01,4585
2015-06-02,4613
2015-06-03,4603
2015-06-04,4613
2015-06-05,4615
2015-06-06,4614
2015-06-07,4603
2015-06-08,4606
2015-06-09,4602
2015-06-10,4608
2015-06-11,4586
2015-06-12,4629
2015-06-13,4619
2015-06-14,4631
2015-06-15,4621
2015-06-16,4617
2015-06-17,4637
2015-06-18,4599
2015-06-19,4594
2015-06-20,4607
2015-06-21,4567
2015-06-22,4603
2015-06-23,4566
2015-06-24,4615
2015-06-25,4621
2015-06-26,4614
2015-06-27,4615
2015-06-28,4611
2015-06-29,4612
2015-06-30,4610
2015-07-01,4608
2015-07-02,4603
2015-07-03,4615
2015-07-04,4593
2015-07-05,4596
2015-07-06,4598
2015-07-07,4608
2015-07-08,4605
2015-07-09,4592
2015-07-10,4595
2015-07-11,4593
2015-07-12,4598
2015-07-13,4575
2015-07-14,4579
2015-07-15,4592
2015-07-16,4593
2015-07-17,4561
2015-07-18,4580
2015-07-19,4584
2015-07-20,4590
2015-07-21,4608
2015-07-22,4606
2015-07-23,4609
2015-07-24,4595
2015-07-25,4590
2015-07-26,4594
2015-07-27,4602
2015-07-28,4604
2015-07-29,4605
2015-07-30,4596
2015-07-31,4600
2015-08-01,4591
2015-08-02,4596
2015-08-03,4617
2015-08-04,4624
2015-08-05,4624
2015-08-06,4641
2015-08-07,4649
2015-08-08,4620
2015-08-09,4630
2015-08-10,4621
2015-08-11,4611
2015-08-12,4615
2015-08-13,4607
2015-08-14,4601
2015-08-15,4605
2015-08-16,4597
2015-08-17,4596
2015-08-18,4605
2015-08-19,4620
2015-08-20,4603
2015-08-21,4603
2015-08-22,4605
2015-08-23,4613
2015-08-24,4625
2015-08-25,4620
2015-08-26,4613
2015-08-27,4617
2015-08-28,4634
2015-08-29,4609
2015-08-30,4588
2015-08-31,4604
2015-09-01,4599
2015-09-02,4631
2015-09-03,4646
2015-09-04,4629
2015-09-05,4602
2015-09-06,4620
2015-09-07,4615
2015-09-08,4626
2015-09-09,4591
2015-09-10,4648
