date_obj,Rune%20dart price
2015-03-26,1051
2015-03-27,1051
2015-03-28,1037
2015-03-29,1003
2015-03-30,986
2015-03-31,958
2015-04-01,958
2015-04-02,926
2015-04-03,913
2015-04-04,946
2015-04-05,946
2015-04-06,976
2015-04-07,980
2015-04-08,980
2015-04-09,960
2015-04-10,986
2015-04-11,1019
2015-04-12,1001
2015-04-13,1010
2015-04-14,1010
2015-04-15,1048
2015-04-16,1064
2015-04-17,1079
2015-04-18,1070
2015-04-19,1091
2015-04-20,1091
2015-04-21,1060
2015-04-22,1049
2015-04-23,1039
2015-04-24,1036
2015-04-25,1047
2015-04-26,1060
2015-04-27,1065
2015-04-28,1050
2015-04-29,1050
2015-04-30,1040
2015-05-01,1064
2015-05-02,1049
2015-05-03,1049
2015-05-04,1032
2015-05-05,1020
2015-05-06,993
2015-05-07,987
2015-05-08,980
2015-05-09,967
2015-05-10,981
2015-05-11,981
2015-05-12,979
2015-05-13,969
2015-05-14,984
2015-05-15,989
2015-05-16,989
2015-05-17,982
2015-05-18,982
2015-05-19,990
2015-05-20,990
2015-05-21,979
2015-05-22,971
2015-05-23,954
2015-05-24,935
2015-05-25,918
2015-05-26,900
2015-05-27,857
2015-05-28,814
2015-05-29,793
2015-05-30,828
2015-05-31,870
2015-06-01,863
2015-06-02,863
2015-06-03,890
2015-06-04,898
2015-06-05,884
2015-06-06,864
2015-06-07,888
2015-06-08,867
2015-06-09,879
2015-06-10,892
2015-06-11,881
2015-06-12,878
2015-06-13,886
2015-06-14,906
2015-06-15,912
2015-06-16,910
2015-06-17,892
2015-06-18,881
2015-06-19,876
2015-06-20,894
2015-06-21,910
2015-06-22,914
2015-06-23,917
2015-06-24,935
2015-06-25,922
2015-06-26,963
2015-06-27,1011
2015-06-28,977
2015-06-29,943
2015-06-30,925
2015-07-01,911
2015-07-02,911
2015-07-03,926
2015-07-04,962
2015-07-05,997
2015-07-06,1009
2015-07-07,1009
2015-07-08,992
2015-07-09,1015
2015-07-10,1028
2015-07-11,1030
2015-07-12,1019
2015-07-13,993
2015-07-14,964
2015-07-15,980
2015-07-16,982
2015-07-17,970
2015-07-18,969
2015-07-19,953
2015-07-20,917
2015-07-21,893
2015-07-22,867
2015-07-23,880
2015-07-24,876
2015-07-25,869
2015-07-26,864
2015-07-27,871
2015-07-28,891
2015-07-29,916
2015-07-30,917
2015-07-31,924
2015-08-01,945
2015-08-02,969
2015-08-03,971
2015-08-04,961
2015-08-05,936
2015-08-06,981
2015-08-07,1031
2015-08-08,1083
2015-08-09,1138
2015-08-10,1190
2015-08-11,1181
2015-08-12,1188
2015-08-13,1151
2015-08-14,1134
2015-08-15,1189
2015-08-16,1207
2015-08-17,1149
2015-08-18,1108
2015-08-19,1057
2015-08-20,1014
2015-08-21,987
2015-08-22,994
2015-08-23,1024
2015-08-24,1064
2015-08-25,1099
2015-08-26,1122
2015-08-27,1112
2015-08-28,1107
2015-08-29,1096
2015-08-30,1075
2015-08-31,1085
2015-09-01,1039
2015-09-02,1003
2015-09-03,978
2015-09-04,969
2015-09-05,969
2015-09-06,935
2015-09-07,917
2015-09-08,925
2015-09-09,940
2015-09-10,948
2015-09-11,977
2015-09-12,1003
2015-09-13,1003
2015-09-14,974
2015-09-15,958
2015-09-16,946
2015-09-17,930
2015-09-18,919
2015-09-19,938
2015-09-20,936
2015-09-21,930
2015-09-22,928
2015-09-23,918
2015-09-24,910
2015-09-25,920
2015-09-27,943
2015-09-28,969
2015-09-29,983
2015-09-30,1011
2015-10-05,950
2015-10-06,967
2015-10-07,987
2015-10-08,1021
2015-10-09,1047
2015-10-10,1047
2015-10-11,1021
2015-10-12,999
2015-10-13,996
2015-10-14,1003
2015-10-15,981
2015-10-16,989
2015-10-17,1014
2015-10-18,1051
2015-10-19,1061
2015-10-20,1082
2015-10-22,1051
2015-10-23,1024
2015-10-24,1006
2015-10-25,1014
2015-10-26,994
2015-10-27,983
2015-10-29,971
2015-10-30,985
2015-10-31,974
2015-11-01,975
2015-11-02,986
2015-11-03,973
2015-11-04,964
2015-11-05,954
2015-11-06,930
2015-11-07,947
2015-11-08,992
2015-11-09,1008
2015-11-10,1002
2015-11-11,980
2015-11-12,984
2015-11-13,981
2015-11-14,982
2015-11-15,960
2015-11-16,979
2015-11-17,1010
2015-11-18,1014
2015-11-19,1026
2015-11-20,1023
2015-11-21,1023
2015-11-22,1027
2015-11-23,1027
2015-11-24,1043
2015-11-25,1013
2015-11-26,996
2015-11-27,1013
2015-11-28,1010
2015-11-29,996
2015-11-30,984
2015-12-01,987
2015-12-02,1003
2015-12-03,995
2015-12-04,998
2015-12-05,1017
2015-12-06,1006
2015-12-07,991
2015-12-08,993
2015-12-09,1002
2015-12-10,994
2015-12-11,1006
2015-12-12,1011
2015-12-13,995
2015-12-14,991
2015-12-15,994
2015-12-16,994
2015-12-17,990
2015-12-18,987
2015-12-19,996
2015-12-20,997
2015-12-21,1000
2015-12-22,991
2015-12-23,990
2015-12-24,993
2015-12-25,995
2015-12-26,997
2015-12-27,995
2015-12-28,1001
2015-12-29,997
2015-12-30,999
2015-12-31,1009
2016-01-01,1008
2016-01-02,1014
2016-01-03,1018
2016-01-04,1007
2016-01-05,1020
2016-01-06,1034
2016-01-07,1015
2016-01-08,1025
2016-01-09,1028
2016-01-10,1013
2016-01-11,1018
2016-01-12,998
2016-01-13,991
2016-01-14,965
2016-01-15,961
2016-01-16,943
2016-01-17,928
2016-01-18,927
2016-01-19,918
2016-01-20,912
2016-01-21,938
2016-01-22,968
2016-01-23,1001
2016-01-24,1042
2016-01-25,1057
2016-01-26,1041
2016-01-27,1039
2016-01-28,1012
2016-01-29,1000
2016-01-30,988
2016-01-31,972
2016-02-01,986
2016-02-02,985
2016-02-03,984
2016-02-04,989
2016-02-05,993
2016-02-06,984
2016-02-07,967
2016-02-08,954
2016-02-09,947
2016-02-10,962
2016-02-11,964
2016-02-12,958
2016-02-13,963
2016-02-14,966
2016-02-15,958
2016-02-16,958
2016-02-17,944
2016-02-18,943
2016-02-19,942
2016-02-20,939
2016-02-21,925
2016-02-22,907
2016-02-23,898
2016-02-24,894
2016-02-25,905
2016-02-26,903
2016-02-27,936
2016-02-28,943
2016-02-29,945
2016-03-01,967
2016-03-02,970
2016-03-03,946
2016-03-04,933
2016-03-05,939
2016-03-06,963
2016-03-07,974
2016-03-08,973
2016-03-09,979
2016-03-10,970
2016-03-11,977
2016-03-12,974
2016-03-13,996
2016-03-14,1032
2016-03-15,1015
2016-03-16,1000
2016-03-17,973
2016-03-18,996
2016-03-19,1009
2016-03-20,1044
2016-03-21,1014
2016-03-22,991
2016-03-23,978
2016-03-24,976
2016-03-25,970
2016-03-26,982
2016-03-27,1007
2016-03-28,992
2016-03-29,987
2016-03-30,987
2016-03-31,991
2016-04-01,991
2016-04-02,995
2016-04-03,998
2016-04-04,991
2016-04-05,988
2016-04-06,984
2016-04-07,967
2016-04-08,960
2016-04-09,955
2016-04-10,945
2016-04-11,945
2016-04-12,963
2016-04-13,976
2016-04-14,986
2016-04-15,987
2016-04-16,999
2016-04-17,990
2016-04-18,1009
2016-04-19,1011
2016-04-20,989
2016-04-21,981
2016-04-22,977
2016-04-23,973
2016-04-24,969
2016-04-25,979
2016-04-26,977
2016-04-27,974
2016-04-28,991
2016-04-29,998
2016-04-30,1019
2016-05-01,1008
2016-05-02,993
2016-05-03,993
2016-05-04,993
2016-05-05,984
2016-05-06,1015
2016-05-07,1051
2016-05-08,1093
2016-05-09,1142
2016-05-10,1156
2016-05-11,1120
2016-05-12,1071
2016-05-13,1033
2016-05-14,996
2016-05-15,975
2016-05-16,959
2016-05-17,931
2016-05-18,918
2016-05-19,949
2016-05-22,911
2016-05-23,905
2016-05-24,912
2016-05-25,899
2016-05-26,918
2016-05-27,924
2016-05-28,920
2016-05-29,913
2016-05-30,908
2016-05-31,903
2016-06-01,897
2016-06-02,896
2016-06-03,916
2016-06-04,923
2016-06-05,906
2016-06-06,907
2016-06-07,905
2016-06-08,885
2016-06-09,898
2016-06-10,897
2016-06-11,880
2016-06-12,869
2016-06-13,858
2016-06-14,831
2016-06-15,793
2016-06-16,754
2016-06-17,728
2016-06-18,753
2016-06-19,754
2016-06-20,738
2016-06-21,717
2016-06-22,737
2016-06-23,736
2016-06-24,724
2016-06-25,700
2016-06-26,708
2016-06-27,690
2016-06-28,672
2016-06-29,642
2016-06-30,648
2016-07-01,660
