date_obj,Rune%20javelin%20heads price
2016-05-05,1500
2016-05-06,1439
2016-05-07,1367
2016-05-08,1298
2016-05-09,1233
2016-05-10,1171
2016-05-11,1112
2016-05-12,1056
2016-05-13,1003
2016-05-14,952
2016-05-15,904
2016-05-16,860
2016-05-17,818
2016-05-18,778
2016-05-19,739
2016-05-22,651
2016-05-23,649
2016-05-24,667
2016-05-25,680
2016-05-26,671
2016-05-27,683
2016-05-28,683
2016-05-29,687
2016-05-30,687
2016-05-31,687
2016-06-01,692
2016-06-02,689
2016-06-03,686
2016-06-04,694
2016-06-05,686
2016-06-06,694
2016-06-07,694
2016-06-08,691
2016-06-09,691
2016-06-10,694
2016-06-11,701
2016-06-12,696
2016-06-13,682
2016-06-14,687
2016-06-15,684
2016-06-16,686
2016-06-17,677
2016-06-18,677
2016-06-19,687
2016-06-20,703
2016-06-21,706
2016-06-22,695
2016-06-23,696
2016-06-24,699
2016-06-25,690
2016-06-26,690
2016-06-27,685
2016-06-28,691
2016-06-29,690
2016-06-30,681
2016-07-01,700
2016-07-02,707
2016-07-03,705
2016-07-04,701
2016-07-05,701
2016-07-06,708
2016-07-07,708
2016-07-08,714
2016-07-09,711
2016-07-10,705
2016-07-11,710
2016-07-12,710
2016-07-13,707
2016-07-14,714
2016-07-15,714
2016-07-16,721
2016-07-17,721
2016-07-18,716
2016-07-23,707
2016-07-24,706
2016-07-25,702
2016-07-26,702
2016-07-27,698
2016-07-28,698
2016-07-29,696
2016-07-30,689
2016-07-31,689
2016-08-01,702
2016-08-02,707
2016-08-03,693
2016-08-04,696
2016-08-05,696
2016-08-06,690
2016-08-07,688
2016-08-08,688
2016-08-09,688
2016-08-10,677
2016-08-11,677
2016-08-12,665
2016-08-13,647
2016-08-14,660
2016-08-15,656
2016-08-16,667
2016-08-17,676
2016-08-18,677
2016-08-19,664
2016-08-20,670
2016-08-21,669
2016-08-22,664
2016-08-23,662
2016-08-24,662
2016-08-25,664
2016-08-26,664
2016-08-28,676
2016-08-31,670
2016-09-01,676
2016-09-02,676
2016-09-03,670
2016-09-04,665
2016-09-05,674
2016-09-06,679
2016-09-07,684
2016-09-08,684
2016-09-09,678
2016-09-10,685
2016-09-11,685
2016-09-12,684
2016-09-13,677
2016-09-14,677
2016-09-15,674
2016-09-16,674
2016-09-17,670
2016-09-18,660
2016-09-19,661
2016-09-20,661
2016-09-21,666
2016-09-22,673
2016-09-23,658
2016-09-24,658
2016-09-25,654
2016-09-26,654
2016-09-27,666
2016-09-28,657
2016-09-29,657
2016-09-30,648
2016-10-01,653
2016-10-02,653
2016-10-03,641
2016-10-04,638
2016-10-05,647
2016-10-06,647
2016-10-07,647
2016-10-08,655
2016-10-09,655
2016-10-10,654
2016-10-11,660
2016-10-12,660
2016-10-13,659
2016-10-14,663
2016-10-15,657
2016-10-16,672
2016-10-17,672
2016-10-18,673
2016-10-19,690
2016-10-20,687
2016-10-21,677
2016-10-22,677
2016-10-23,663
2016-10-24,668
2016-10-25,668
2016-10-26,677
2016-10-27,686
2016-10-28,681
2016-10-29,671
2016-10-30,662
2016-10-31,661
2016-11-01,661
2016-11-02,659
2016-11-03,649
2016-11-04,657
2016-11-05,657
2016-11-06,652
2016-11-07,640
2016-11-08,639
2016-11-09,646
2016-11-10,639
2016-11-11,641
2016-11-12,636
2016-11-13,637
2016-11-14,643
2016-12-08,658
2016-12-09,654
2016-12-10,654
2016-12-11,656
2016-12-12,654
2016-12-13,658
2016-12-14,663
2016-12-15,663
2016-12-16,678
2016-12-17,682
2016-12-18,682
2016-12-19,688
2016-12-20,684
2016-12-21,670
2016-12-22,655
2016-12-23,658
2016-12-24,656
2016-12-25,658
2016-12-26,652
2016-12-27,649
2016-12-28,638
2016-12-29,630
2016-12-30,642
2016-12-31,652
2017-01-01,636
2017-01-02,636
2017-01-03,629
2017-01-04,633
2017-01-05,632
2017-01-06,635
2017-01-07,629
2017-01-08,631
2017-01-09,623
2017-01-10,624
2017-01-11,635
2017-01-12,635
2017-01-13,632
2017-01-14,632
2017-01-15,633
2017-01-16,623
2017-01-17,634
2017-01-18,639
2017-01-19,639
2017-01-20,639
2017-01-21,646
2017-01-22,643
2017-01-27,639
2017-01-28,636
2017-01-29,637
2017-01-30,634
2017-01-31,639
2017-02-01,639
2017-02-02,638
2017-02-03,638
2017-02-04,630
2017-02-05,628
2017-02-06,634
2017-02-07,630
2017-02-08,640
2017-02-09,639
2017-02-10,641
2017-02-11,651
2017-02-12,640
2017-02-13,640
2017-02-14,644
2017-02-15,641
2017-02-16,644
2017-02-18,641
2017-02-19,635
2017-02-20,641
2017-02-21,647
2017-02-22,638
2017-02-23,641
2017-02-24,641
2017-02-25,631
2017-02-26,626
2017-02-27,631
2017-02-28,634
2017-03-01,646
2017-03-02,661
2017-03-03,657
2017-03-04,650
2017-03-05,641
2017-03-06,649
2017-03-07,648
2017-03-08,645
2017-03-09,638
2017-03-10,631
2017-03-11,631
2017-03-12,630
2017-03-13,634
2017-03-14,646
2017-03-15,650
2017-03-16,654
2017-03-17,659
2017-03-18,659
2017-03-19,648
2017-03-20,642
2017-03-21,636
2017-03-22,641
2017-03-23,649
2017-03-24,654
2017-03-25,645
2017-03-26,654
2017-03-27,659
2017-03-28,657
2017-03-29,658
2017-03-30,660
2017-03-31,672
2017-04-01,669
2017-04-02,665
2017-04-03,666
2017-04-04,663
2017-04-12,664
2017-04-13,677
2017-04-14,674
2017-04-15,667
2017-04-16,655
2017-04-17,655
2017-04-18,662
2017-04-19,664
2017-04-20,671
2017-04-21,674
2017-04-22,680
2017-04-23,680
2017-04-24,681
2017-04-25,675
2017-04-26,666
2017-04-27,663
2017-04-28,655
2017-04-29,661
2017-04-30,655
2017-05-01,641
2017-05-02,643
2017-05-03,638
2017-05-04,649
2017-05-05,648
2017-05-06,644
2017-05-07,646
2017-05-08,649
2017-05-09,649
2017-05-10,647
2017-05-11,645
2017-05-12,650
2017-05-13,647
2017-05-14,645
2017-05-15,645
2017-05-16,651
2017-05-17,650
2017-05-18,658
2017-05-19,670
2017-05-20,672
2017-05-21,672
2017-05-22,657
2017-05-23,664
2017-05-24,650
2017-05-25,622
2017-05-26,618
2017-05-27,607
2017-05-28,609
2017-05-29,613
2017-05-30,624
2017-05-31,617
2017-06-01,612
2017-06-02,625
2017-06-03,638
2017-06-06,615
2017-06-07,629
2017-06-08,635
2017-06-09,641
2017-06-10,652
2017-06-11,641
2017-06-12,633
2017-06-13,645
2017-06-14,649
2017-06-15,648
2017-06-16,649
2017-06-17,657
2017-06-18,652
2017-06-19,652
2017-06-20,642
2017-06-21,629
2017-06-22,634
2017-06-23,624
2017-06-24,612
2017-06-25,620
2017-06-26,632
2017-06-27,629
2017-06-28,627
2017-06-29,632
2017-06-30,623
2017-07-01,623
2017-07-02,624
2017-07-03,625
2017-07-04,639
2017-07-05,639
2017-07-06,625
2017-07-07,625
2017-07-08,631
2017-07-13,613
2017-07-14,620
2017-07-15,620
2017-07-16,633
2017-07-17,640
2017-07-18,649
2017-07-19,632
2017-07-20,633
2017-07-21,631
2017-07-22,633
2017-07-23,637
2017-07-24,651
2017-07-25,645
2017-07-26,639
2017-07-27,644
2017-07-28,638
2017-07-29,636
2017-07-30,643
2017-07-31,643
2017-08-01,653
2017-08-02,662
2017-08-03,655
2017-08-04,650
2017-08-05,650
2017-08-06,645
2017-08-09,633
2017-08-10,626
2017-08-11,617
2017-08-12,627
2017-08-13,628
2017-08-14,630
2017-08-15,633
2017-08-17,648
2017-08-18,648
2017-08-19,646
2017-08-20,643
2017-08-21,656
2017-08-22,649
2017-08-23,644
2017-08-24,634
2017-08-25,611
2017-08-26,620
2017-08-27,628
2017-08-28,626
2017-08-29,633
2017-08-30,641
2017-08-31,640
2017-09-01,631
2017-09-02,640
2017-09-03,642
2017-09-04,642
2017-09-05,647
2017-09-06,647
2017-09-07,654
2017-09-08,652
2017-09-09,655
2017-09-10,660
2017-09-11,657
2017-09-12,647
2017-09-13,649
2017-09-14,648
2017-09-15,648
2017-09-16,648
2017-09-17,663
2017-09-19,653
2017-09-20,658
2017-09-21,651
2017-09-22,650
2017-09-23,650
2017-09-24,647
2017-09-25,650
2017-09-26,649
2017-09-27,649
2017-09-28,638
2017-09-29,642
2017-09-30,642
2017-10-01,645
2017-10-02,644
2017-10-03,646
2017-10-04,646
2017-10-05,639
2017-10-06,644
2017-10-07,648
2017-10-08,651
2017-10-09,647
2017-10-10,653
2017-10-11,653
2017-10-12,657
2017-10-13,662
2017-10-14,669
2017-10-15,669
2017-10-16,663
2017-10-17,663
2017-10-18,673
2017-10-19,667
2017-10-20,662
2017-10-21,654
2017-10-22,652
2017-10-23,648
2017-10-24,643
2017-10-25,638
2017-10-26,637
2017-10-27,630
2017-10-28,630
2017-10-29,623
2017-10-30,625
2017-10-31,636
2017-11-01,636
2017-11-02,633
2017-11-03,637
2017-11-04,631
2017-11-05,645
2017-11-06,646
2017-11-07,649
2017-11-08,644
2017-11-09,638
2017-11-10,637
2017-11-11,629
2017-11-12,622
2017-11-13,623
2017-11-14,616
2017-11-15,614
2017-11-16,618
2017-11-17,623
2017-11-18,604
2017-11-19,612
2017-11-20,615
2017-11-21,611
2017-11-22,605
2017-11-23,612
2017-11-24,620
2017-11-25,629
2017-11-26,632
2017-11-27,632
2017-11-28,645
2017-11-29,642
2017-11-30,633
2017-12-01,632
2017-12-02,648
2017-12-03,649
2017-12-04,631
2017-12-05,633
2017-12-06,632
2017-12-07,632
2017-12-08,635
2017-12-09,636
2017-12-10,648
2017-12-11,656
2017-12-12,662
