date_obj,Rune%20kiteshield price
2015-03-26,35653
2015-03-27,35594
2015-03-28,35785
2015-03-29,35702
2015-03-30,35737
2015-03-31,35868
2015-04-01,35914
2015-04-02,35888
2015-04-03,35701
2015-04-04,35274
2015-04-05,34082
2015-04-06,33921
2015-04-07,34333
2015-04-08,34807
2015-04-09,35015
2015-04-10,35500
2015-04-11,34962
2015-04-12,35217
2015-04-13,35774
2015-04-14,35721
2015-04-15,35889
2015-04-16,35907
2015-04-17,35905
2015-04-18,35670
2015-04-19,35871
2015-04-20,36123
2015-04-21,35731
2015-04-22,35746
2015-04-23,35347
2015-04-24,35408
2015-04-25,35463
2015-04-26,35722
2015-04-27,35603
2015-04-28,35485
2015-04-29,35529
2015-04-30,35608
2015-05-01,35134
2015-05-02,34458
2015-05-03,33788
2015-05-04,33546
2015-05-05,33611
2015-05-06,33748
2015-05-07,34229
2015-05-08,34890
2015-05-09,35123
2015-05-10,35154
2015-05-11,35342
2015-05-12,35270
2015-05-13,35424
2015-05-14,35277
2015-05-15,35116
2015-05-16,35172
2015-05-17,35454
2015-05-18,35730
2015-05-19,35680
2015-05-20,35809
2015-05-21,36174
2015-05-22,35864
2015-05-23,35907
2015-05-24,35982
2015-05-25,35672
2015-05-26,35615
2015-05-27,35574
2015-05-28,35112
2015-05-29,34737
2015-05-30,34774
2015-05-31,34794
2015-06-01,35093
2015-06-02,34902
2015-06-03,34908
2015-06-04,34635
2015-06-05,34755
2015-06-06,34824
2015-06-07,35195
2015-06-08,35538
2015-06-09,35477
2015-06-10,35466
2015-06-11,35562
2015-06-12,35657
2015-06-13,35840
2015-06-14,36119
2015-06-15,36203
2015-06-16,36208
2015-06-17,36350
2015-06-18,36323
2015-06-19,36190
2015-06-20,36188
2015-06-21,36201
2015-06-22,36169
2015-06-23,36244
2015-06-24,36170
2015-06-25,36324
2015-06-26,35450
2015-06-27,34925
2015-06-28,34577
2015-06-29,34943
2015-06-30,34861
2015-07-01,34869
2015-07-02,35161
2015-07-03,35116
2015-07-04,34361
2015-07-05,34059
2015-07-06,33735
2015-07-07,33939
2015-07-08,34359
2015-07-09,34600
2015-07-10,34362
2015-07-11,33726
2015-07-12,33816
2015-07-13,33863
2015-07-14,33860
2015-07-15,33925
