date_obj,Rune%20longsword price
2015-03-26,19703
2015-03-27,19573
2015-03-28,19620
2015-03-29,19723
2015-03-30,19729
2015-03-31,19649
2015-04-01,19654
2015-04-02,19659
2015-04-03,19671
2015-04-04,19509
2015-04-05,19293
2015-04-06,19029
2015-04-07,19089
2015-04-08,19197
2015-04-09,19203
2015-04-10,19294
2015-04-11,19150
2015-04-12,19192
2015-04-13,19501
2015-04-14,19559
2015-04-15,19725
2015-04-16,19827
2015-04-17,19726
2015-04-18,19604
2015-04-19,19599
2015-04-20,19607
2015-04-21,19697
2015-04-22,19780
2015-04-23,19794
2015-04-24,19790
2015-04-25,19757
2015-04-26,19604
2015-04-27,19726
2015-04-28,19551
2015-04-29,19680
2015-04-30,19834
2015-05-01,19773
2015-05-02,19672
2015-05-03,19627
2015-05-04,19566
2015-05-05,19426
2015-05-06,19531
2015-05-07,19620
2015-05-08,19759
2015-05-09,19666
2015-05-10,19700
2015-05-11,19698
2015-05-12,19777
2015-05-13,19818
2015-05-14,19887
2015-05-15,19780
2015-05-16,19819
2015-05-17,19709
2015-05-18,19897
2015-05-19,19824
2015-05-20,20026
2015-05-21,20145
2015-05-22,20213
2015-05-23,20025
2015-05-24,19745
2015-05-25,19806
2015-05-26,19840
2015-05-27,19830
2015-05-28,19871
2015-05-29,19982
2015-05-30,19907
2015-05-31,19929
2015-06-01,19911
2015-06-02,19788
2015-06-03,19854
2015-06-04,19920
2015-06-05,19947
2015-06-06,19788
2015-06-07,19739
2015-06-08,19785
2015-06-09,19865
2015-06-10,19819
2015-06-11,19738
2015-06-12,19831
2015-06-13,19936
2015-06-14,19952
2015-06-15,19956
2015-06-16,19969
2015-06-17,20052
2015-06-18,20065
2015-06-19,20113
2015-06-20,20088
2015-06-21,19911
2015-06-22,19885
2015-06-23,19937
2015-06-24,19849
2015-06-25,20027
2015-06-26,19973
2015-06-27,19778
2015-06-28,19849
2015-06-29,19865
2015-06-30,19825
2015-07-01,19922
2015-07-02,19765
2015-07-03,19683
2015-07-04,19157
2015-07-05,19074
2015-07-06,19419
2015-07-07,19488
2015-07-08,19555
2015-07-09,19493
2015-07-10,19592
2015-07-11,19564
2015-07-12,19488
2015-07-13,19581
2015-07-14,19651
2015-07-15,19763
2015-07-16,19975
2015-07-17,20168
2015-07-18,20292
2015-07-19,20083
2015-07-20,20322
2015-07-21,20470
2015-07-22,20665
2015-07-23,20054
2015-07-24,20021
2015-07-25,19705
2015-07-26,19553
2015-07-27,19630
2015-07-28,19934
2015-07-29,20083
2015-07-30,20203
2015-07-31,20404
2015-08-01,20211
2015-08-02,20334
2015-08-03,20257
2015-08-04,20533
2015-08-05,20607
2015-08-06,20613
2015-08-07,20808
2015-08-08,20548
2015-08-09,20241
2015-08-10,20355
2015-08-11,20556
2015-08-12,20684
2015-08-13,20727
2015-08-14,20749
2015-08-15,20779
2015-08-16,20350
2015-08-17,20492
2015-08-18,20738
2015-08-19,20875
2015-08-20,20867
2015-08-21,20877
