date_obj,Rune%20platebody%20(t) price
2015-03-26,47386
2015-03-27,47386
2015-03-28,45078
2015-03-29,45078
2015-03-30,43648
2015-03-31,43648
2015-04-01,43648
2015-04-02,42984
2015-04-03,42984
2015-04-04,42522
2015-04-05,42522
2015-04-06,42522
2015-04-07,41755
2015-04-08,41755
2015-04-09,41755
2015-04-10,41335
2015-04-11,41335
2015-04-12,41335
2015-04-13,41067
2015-04-14,41067
2015-04-15,41067
2015-04-16,41067
2015-04-17,41067
2015-04-18,41066
2015-04-19,41066
2015-04-20,41066
2015-04-21,40928
2015-04-22,40928
2015-04-23,40928
2015-04-24,41691
2015-04-25,41691
2015-04-26,41691
2015-04-27,42689
2015-04-28,42689
2015-04-29,42689
2015-04-30,42853
2015-05-01,42853
2015-05-02,42853
2015-05-03,42877
2015-05-04,42877
2015-05-05,42877
2015-05-06,42632
2015-05-07,42632
2015-05-08,42632
2015-05-09,42958
2015-05-10,42958
2015-05-11,42958
2015-05-12,42874
2015-05-13,42874
2015-05-14,42874
2015-05-15,42829
2015-05-16,42829
2015-05-17,42829
2015-05-18,42879
2015-05-19,42879
2015-05-20,42879
2015-05-21,42879
2015-05-22,42350
2015-05-23,42350
2015-05-24,42350
2015-05-25,42487
2015-05-26,42487
2015-05-27,42487
2015-05-28,41878
2015-05-29,41878
2015-05-30,41550
2015-05-31,41550
2015-06-01,41590
2015-06-02,41590
2015-06-03,41590
2015-06-04,41839
2015-06-05,41839
2015-06-06,42013
2015-06-07,42013
2015-06-08,41414
2015-06-09,41414
2015-06-10,41816
2015-06-11,41816
2015-06-12,41816
2015-06-13,42368
2015-06-14,42368
2015-06-15,43625
2015-06-16,43625
2015-06-17,43826
2015-06-18,43826
2015-06-19,43523
2015-06-20,43523
2015-06-21,43024
2015-06-22,43024
2015-06-23,42258
2015-06-24,42258
2015-06-25,43040
2015-06-26,43040
2015-06-27,43363
2015-06-28,43363
2015-06-29,43290
2015-06-30,43290
2015-07-01,43673
2015-07-02,43673
2015-07-03,44113
2015-07-04,44113
2015-07-05,44109
2015-07-06,44109
2015-07-07,43415
2015-07-08,43415
2015-07-09,42998
2015-07-10,42998
2015-07-11,42931
2015-07-12,42931
2015-07-13,42661
2015-07-14,42661
2015-07-15,42635
2015-07-16,42635
2015-07-17,42762
2015-07-18,42762
2015-07-19,42404
2015-07-20,42404
2015-07-21,42679
2015-07-22,42679
2015-07-23,42986
2015-07-24,42986
2015-07-25,42980
2015-07-26,42980
2015-07-27,43148
2015-07-28,43148
2015-07-29,42677
2015-07-30,42677
2015-07-31,42677
2015-08-01,42665
2015-08-02,42665
2015-08-03,42548
2015-08-04,42548
2015-08-05,42721
2015-08-06,42721
2015-08-07,42601
2015-08-08,42601
