date_obj,Runite%20bolts price
2015-03-26,228
2015-03-27,228
2015-03-28,222
2015-03-29,212
2015-03-30,201
2015-03-31,190
2015-04-01,186
2015-04-02,182
2015-04-03,186
2015-04-04,194
2015-04-05,197
2015-04-06,193
2015-04-07,198
2015-04-08,202
2015-04-09,209
2015-04-10,207
2015-04-11,209
2015-04-12,209
2015-04-13,216
2015-04-14,217
2015-04-15,214
2015-04-16,211
2015-04-17,209
2015-04-18,211
2015-04-19,211
2015-04-20,210
2015-04-21,208
2015-04-22,203
2015-04-23,198
2015-04-24,198
2015-04-25,199
2015-04-26,198
2015-04-27,197
2015-04-28,200
2015-04-29,203
2015-04-30,204
2015-05-01,199
2015-05-02,196
2015-05-03,195
2015-05-04,196
2015-05-05,196
2015-05-06,196
2015-05-07,196
2015-05-08,199
2015-05-09,202
2015-05-10,205
2015-05-11,208
2015-05-12,208
2015-05-13,210
2015-05-14,208
2015-05-15,206
2015-05-16,202
2015-05-17,197
2015-05-18,193
2015-05-19,191
2015-05-20,193
2015-05-21,191
2015-05-22,193
2015-05-23,197
2015-05-24,201
2015-05-25,209
2015-05-26,213
2015-05-27,214
2015-05-28,219
2015-05-29,219
2015-05-30,222
2015-05-31,220
2015-06-01,221
2015-06-02,219
2015-06-03,215
2015-06-04,213
2015-06-05,210
2015-06-06,208
2015-06-07,209
2015-06-08,204
2015-06-09,199
2015-06-10,198
2015-06-11,194
2015-06-12,194
2015-06-13,194
2015-06-14,197
2015-06-15,197
2015-06-16,200
2015-06-17,200
2015-06-18,201
2015-06-19,198
2015-06-20,195
2015-06-21,200
2015-06-22,201
2015-06-23,198
2015-06-24,200
2015-06-25,200
2015-06-26,205
2015-06-27,202
2015-06-28,205
2015-06-29,202
2015-06-30,201
2015-07-01,200
2015-07-02,201
2015-07-03,203
2015-07-04,206
2015-07-05,206
2015-07-06,206
2015-07-07,207
2015-07-08,212
2015-07-09,217
2015-07-10,219
2015-07-11,220
2015-07-12,217
2015-07-13,213
2015-07-14,210
2015-07-15,211
2015-07-16,209
2015-07-17,207
2015-07-18,207
2015-07-19,204
2015-07-20,202
2015-07-21,201
2015-07-22,207
2015-07-23,212
2015-07-24,215
2015-07-25,220
2015-07-26,215
2015-07-27,215
2015-07-28,212
2015-07-29,210
2015-07-30,207
2015-07-31,207
2015-08-01,209
2015-08-02,206
2015-08-03,202
2015-08-04,197
2015-08-05,194
2015-08-06,197
2015-08-07,196
2015-08-08,197
2015-08-09,202
2015-08-10,203
2015-08-11,202
2015-08-12,204
2015-08-13,205
2015-08-14,205
2015-08-15,209
2015-08-16,213
2015-08-17,214
2015-08-18,218
2015-08-19,222
2015-08-20,223
2015-08-21,223
2015-08-22,221
2015-08-23,215
2015-08-24,212
2015-08-25,209
2015-08-26,211
2015-08-27,207
2015-08-28,199
2015-08-29,196
2015-08-30,192
2015-08-31,190
2015-09-01,188
2015-09-02,184
2015-09-03,182
2015-09-04,184
2015-09-05,182
2015-09-06,187
2015-09-07,193
2015-09-08,193
2015-09-09,197
2015-09-10,197
2015-09-11,193
2015-09-12,193
2015-09-13,193
2015-09-14,192
2015-09-15,186
2015-09-16,191
2015-09-17,192
2015-09-18,192
2015-09-19,193
2015-09-20,199
2015-09-21,201
2015-09-22,200
2015-09-23,200
2015-09-24,194
2015-09-25,191
2015-09-27,191
2015-09-28,195
2015-09-29,191
2015-09-30,190
2015-10-05,193
2015-10-06,193
2015-10-07,194
2015-10-08,197
2015-10-09,196
2015-10-10,195
2015-10-11,197
2015-10-12,198
2015-10-13,198
2015-10-14,198
2015-10-15,198
2015-10-16,199
2015-10-17,196
2015-10-18,196
2015-10-19,198
2015-10-20,198
2015-10-22,196
2015-10-23,196
2015-10-24,199
2015-10-25,200
2015-10-26,202
2015-10-27,205
2015-10-29,205
2015-10-30,207
2015-10-31,209
2015-11-01,207
2015-11-02,206
2015-11-03,202
2015-11-04,200
2015-11-05,198
2015-11-06,200
2015-11-07,200
2015-11-08,199
2015-11-09,200
2015-11-10,199
2015-11-11,200
2015-11-12,200
2015-11-13,200
2015-11-14,198
2015-11-15,201
2015-11-16,202
2015-11-17,202
2015-11-18,200
2015-11-19,202
2015-11-20,203
2015-11-21,206
2015-11-22,211
2015-11-23,216
2015-11-24,226
2015-11-25,235
2015-11-26,236
2015-11-27,238
2015-11-28,235
2015-11-29,230
2015-11-30,234
2015-12-01,232
2015-12-02,231
2015-12-03,230
2015-12-04,227
2015-12-05,223
