date_obj,Sandwich%20lady%20hat price
2019-04-11,200000
2019-04-11,200476
2019-04-12,198156
2019-04-13,188655
2019-04-14,179222
2019-04-15,80000
2019-04-16,80000
2019-04-17,76440
2019-04-18,72618
2019-04-19,69458
2019-04-20,65985
2019-04-21,63054
2019-04-22,59901
2019-04-23,56905
2019-04-24,54059
2019-04-25,51356
2019-04-26,48788
2019-04-27,46348
2019-04-28,44030
2019-04-29,41828
2019-04-30,39736
2019-05-01,37954
2019-05-02,36080
2019-05-03,34286
2019-05-04,32571
2019-05-05,31395
2019-05-06,31395
2019-05-07,29908
2019-05-08,29908
2019-05-09,28556
2019-05-10,27502
2019-05-11,27502
2019-05-12,27322
2019-05-13,26814
2019-05-14,26146
2019-05-15,26146
2019-05-16,25781
2019-05-17,25781
2019-05-18,25252
2019-05-19,25252
2019-05-20,24195
2019-05-21,24195
2019-05-22,22991
2019-05-23,22991
2019-05-24,22540
2019-05-25,22386
2019-05-26,22386
2019-05-27,21936
2019-05-28,21936
2019-05-29,21390
2019-05-30,21390
2019-05-31,21020
2019-06-01,21020
2019-06-02,20191
2019-06-03,20191
2019-06-04,19629
2019-06-05,19363
2019-06-06,19363
2019-06-07,19293
2019-06-08,20062
2019-06-09,20062
2019-06-10,20902
2019-06-11,20902
2019-06-12,21182
2019-06-13,21182
2019-06-14,21145
2019-06-15,21145
2019-06-16,21238
2019-06-17,21238
2019-06-18,21862
2019-06-19,21862
2019-06-20,22139
2019-06-21,22139
2019-06-22,21511
2019-06-23,21511
2019-06-24,21058
2019-06-25,21058
2019-06-26,20859
2019-06-27,20859
2019-06-28,20750
2019-06-29,20750
2019-06-30,20909
2019-07-01,20909
2019-07-02,21880
2019-07-03,21880
2019-07-04,21975
2019-07-05,21975
2019-07-06,22168
2019-07-07,22168
2019-07-08,22151
2019-07-09,22151
2019-07-10,22234
2019-07-11,22234
2019-07-12,22607
2019-07-13,22607
2019-07-14,23511
2019-07-15,23511
2019-07-16,23511
2019-07-17,24645
2019-07-18,24645
2019-07-19,24645
2019-07-20,25740
2019-07-21,25740
2019-07-22,26556
2019-07-23,26556
2019-07-24,26556
2019-07-25,26122
2019-07-26,26122
2019-07-27,25818
2019-07-28,25818
2019-07-29,25575
2019-07-30,25575
2019-07-31,25024
2019-08-01,25024
2019-08-02,25024
2019-08-03,24717
2019-08-04,24717
2019-08-05,24717
2019-08-06,24739
2019-08-07,24739
2019-08-08,24256
2019-08-09,24256
2019-08-10,24480
2019-08-11,24480
2019-08-12,23709
2019-08-13,23709
2019-08-14,23362
2019-08-15,23362
2019-08-16,22977
2019-08-17,22977
2019-08-18,22977
2019-08-19,22748
2019-08-20,22748
2019-08-21,22508
2019-08-22,22508
2019-08-23,22336
2019-08-24,22336
2019-08-24,22336
2019-08-25,21957
2019-08-25,21957
2019-08-26,21957
2019-08-26,21957
2019-08-27,20992
2019-08-27,20992
2019-08-28,20992
2019-08-29,20065
2019-08-30,20065
2019-08-31,20208
2019-09-01,20208
2019-09-02,20234
2019-09-03,20234
2019-09-04,19960
2019-09-05,19960
2019-09-06,19960
2019-09-07,19237
2019-09-08,19237
2019-09-09,19237
2019-09-10,18814
2019-09-11,18814
2019-09-12,18353
2019-09-13,18353
2019-09-14,18119
2019-09-15,18119
2019-09-16,17812
2019-09-17,17812
2019-09-18,17495
2019-09-19,17495
2019-09-20,17495
2019-09-21,17602
2019-09-22,17602
2019-09-23,18038
2019-09-24,18038
2019-09-25,18038
2019-09-26,18882
2019-09-27,18882
2019-09-28,19800
2019-09-29,19800
2019-09-30,19800
2019-10-01,20662
2019-10-02,20662
2019-10-03,20662
2019-10-04,21079
2019-10-05,21079
2019-10-06,21498
2019-10-07,21498
2019-10-08,21029
2019-10-09,21029
2019-10-10,20240
2019-10-11,20240
2019-10-12,20240
2019-10-13,20128
2019-10-14,20128
2019-10-15,19781
2019-10-16,19781
2019-10-17,19427
2019-10-18,19427
2019-10-19,19206
2019-10-20,19206
2019-10-21,19206
2019-10-22,19315
2019-10-23,19315
2019-10-24,19275
2019-10-25,19275
2019-10-26,19083
2019-10-27,19083
2019-10-28,18751
2019-10-29,18751
2019-10-30,18751
2019-10-31,19027
2019-11-01,19027
2019-11-02,19027
2019-11-03,18538
2019-11-04,18538
2019-11-05,18538
2019-11-06,18271
2019-11-07,18271
2019-11-08,18271
2019-11-09,18127
2019-11-10,18127
2019-11-11,17575
2019-11-12,17575
2019-11-13,17575
2019-11-14,16949
2019-11-15,16949
2019-11-16,16589
2019-11-17,16589
2019-11-18,16589
2019-11-19,16545
2019-11-20,16545
2019-11-21,16545
2019-11-22,16110
2019-11-23,16110
2019-11-24,16508
2019-11-25,16508
2019-11-26,16694
2019-11-27,16694
