date_obj,Sapphire%20dragon%20bolts price
2018-01-03,1050
2018-01-04,1050
2018-01-05,1050
2018-01-06,1050
2018-01-07,1050
2018-01-08,1050
2018-01-09,1050
2018-01-10,1050
2018-01-11,1050
2018-01-12,1050
2018-01-13,1050
2018-01-14,1050
2018-01-15,1050
2018-01-16,1050
2018-01-17,1050
2018-01-18,1050
2018-01-19,1050
2018-01-20,1050
2018-01-21,1050
2018-01-22,1050
2018-01-23,1050
2018-01-24,1019
2018-01-25,1019
2018-01-26,1019
2018-01-27,1019
2018-01-28,1019
2018-01-29,1019
2018-01-30,1019
2018-02-01,1019
2018-02-02,1019
2018-02-03,1019
2018-02-04,1019
2018-02-05,1019
2018-02-06,1019
2018-02-07,1019
2018-02-08,1019
2018-02-09,1019
2018-02-10,1019
2018-02-11,1019
2018-02-12,1019
2018-02-13,1019
2018-02-14,1019
2018-02-15,1019
2018-02-16,969
2018-02-17,969
2018-02-18,969
2018-02-19,969
2018-02-20,969
2018-02-21,969
2018-02-22,969
2018-02-23,969
2018-02-24,969
2018-02-25,969
2018-02-26,969
2018-02-27,969
2018-02-28,969
2018-03-01,969
2018-03-02,969
2018-03-03,969
2018-03-04,969
2018-03-05,969
2018-03-06,969
2018-03-07,981
2018-03-08,981
2018-03-09,981
2018-03-10,981
2018-03-11,981
2018-03-12,981
2018-03-13,981
2018-03-14,981
2018-03-15,981
2018-03-16,981
2018-03-17,981
2018-03-18,981
2018-03-19,981
2018-03-20,981
2018-03-21,981
2018-03-23,981
2018-03-24,981
2018-03-26,981
2018-03-27,1014
2018-03-28,1014
2018-03-29,1014
2018-03-30,1014
2018-03-31,1014
2018-04-01,1014
2018-04-02,1014
2018-04-03,1014
2018-04-04,1014
2018-04-05,1014
2018-04-06,1014
2018-04-08,1014
2018-04-09,1014
2018-04-10,1014
2018-04-11,1014
2018-04-12,1014
2018-04-13,1014
2018-04-14,1014
2018-04-15,1014
2018-04-16,1014
2018-04-17,1014
2018-04-18,1014
2018-04-19,1014
2018-04-20,1014
2018-04-21,1014
2018-04-22,1014
2018-04-23,1050
2018-04-24,1050
2018-04-25,1050
2018-04-26,1050
2018-04-27,1050
2018-04-28,1050
2018-04-29,1050
2018-04-30,1050
2018-05-01,1050
2018-05-02,1050
2018-05-03,1050
2018-05-04,1050
2018-05-05,1050
2018-05-06,1050
2018-05-07,1050
2018-05-08,1050
2018-05-09,1050
2018-05-10,1050
2018-05-11,1050
2018-05-12,1050
2018-05-13,1050
2018-05-14,1050
2018-05-15,1050
2018-05-16,1050
2018-05-17,1094
2018-05-18,1094
2018-05-19,1094
2018-05-20,1094
2018-05-21,1094
2018-05-22,1094
2018-05-23,1094
2018-05-24,1094
2018-05-25,1094
2018-05-26,1094
2018-05-27,1094
2018-05-28,1094
2018-05-29,1094
2018-05-30,1094
2018-05-31,1094
2018-06-01,1094
2018-06-02,1094
2018-06-03,1094
2018-06-04,1094
2018-06-05,1094
2018-06-06,1094
2018-06-07,1094
2018-06-08,1132
2018-06-09,1132
2018-06-10,1132
2018-06-11,1132
2018-06-12,1132
2018-06-13,1132
2018-06-14,1132
2018-06-15,1132
2018-06-16,1132
2018-06-17,1132
2018-06-18,1132
2018-06-19,1132
2018-06-20,1132
2018-06-21,1132
2018-06-22,1132
2018-06-23,1132
2018-06-24,1132
2018-06-25,1132
2018-06-26,1132
2018-06-27,1132
2018-06-28,1132
2018-06-29,1183
2018-06-30,1183
2018-07-01,1183
2018-07-02,1183
2018-07-03,1183
2018-07-04,1183
2018-07-05,1183
2018-07-06,1183
2018-07-07,1183
2018-07-08,1183
2018-07-09,1183
2018-07-10,1183
2018-07-11,1183
2018-07-12,1183
2018-07-13,1183
2018-07-14,1183
2018-07-15,1183
2018-07-16,1183
2018-07-17,1183
2018-07-18,1183
2018-07-19,1183
2018-07-20,1183
2018-07-21,1183
2018-07-22,1183
2018-07-23,1183
2018-07-24,1183
2018-07-25,1183
2018-07-26,1183
2018-07-27,1183
2018-07-28,1183
2018-07-29,1183
2018-07-30,1183
2018-07-31,1183
2018-08-01,1183
2018-08-02,1183
2018-08-03,1183
2018-08-04,1183
2018-08-05,1183
2018-08-06,1183
2018-08-07,1183
2018-08-08,1183
2018-08-09,1227
2018-08-10,1227
2018-08-11,1227
2018-08-12,1227
2018-08-14,1227
2018-08-16,1227
2018-08-17,1227
2018-08-18,1227
2018-08-19,1227
2018-08-20,1227
2018-08-21,1227
2018-08-22,1227
2018-08-23,1227
