date_obj,Sapphire%20dragon%20bolts%20(e) price
2018-01-03,1080
2018-01-04,1080
2018-01-05,1080
2018-01-06,1127
2018-01-07,1127
2018-01-08,1127
2018-01-09,1127
2018-01-10,1127
2018-01-11,1141
2018-01-12,1141
2018-01-13,1141
2018-01-14,1141
2018-01-15,1141
2018-01-16,1141
2018-01-17,1105
2018-01-18,1105
2018-01-19,1105
2018-01-20,1105
2018-01-21,1105
2018-01-22,1105
2018-01-23,1105
2018-01-24,1055
2018-01-25,1055
2018-01-26,1055
2018-01-27,1055
2018-01-28,1003
2018-01-29,1003
2018-01-30,1003
2018-02-01,1003
2018-02-02,1003
2018-02-03,952
2018-02-04,952
2018-02-05,952
2018-02-06,909
2018-02-07,909
2018-02-08,909
2018-02-09,909
2018-02-10,909
2018-02-11,910
2018-02-12,910
2018-02-13,910
2018-02-14,910
2018-02-15,910
2018-02-16,880
2018-02-17,880
2018-02-18,880
2018-02-19,879
2018-02-20,879
2018-02-21,879
2018-02-22,879
2018-02-23,879
2018-02-24,918
2018-02-25,918
2018-02-26,918
2018-02-27,918
2018-02-28,918
2018-03-01,962
2018-03-02,962
2018-03-03,962
2018-03-04,962
2018-03-05,1008
2018-03-06,1008
2018-03-07,1008
2018-03-08,1008
2018-03-09,1008
2018-03-10,1008
2018-03-11,1008
2018-03-12,1059
2018-03-13,1059
2018-03-14,1059
2018-03-15,1059
2018-03-16,1059
2018-03-17,1059
2018-03-18,1059
2018-03-19,1059
2018-03-20,1109
2018-03-21,1109
2018-03-23,1109
2018-03-24,1109
2018-03-26,1109
2018-03-27,1107
2018-03-28,1107
2018-03-29,1107
2018-03-30,1107
2018-03-31,1107
2018-04-01,1107
2018-04-02,1107
2018-04-03,1107
2018-04-04,1107
2018-04-05,1107
2018-04-06,1136
2018-04-08,1136
2018-04-09,1136
2018-04-10,1136
2018-04-11,1136
2018-04-12,1136
2018-04-13,1136
2018-04-14,1136
2018-04-15,1182
2018-04-16,1182
2018-04-17,1182
2018-04-18,1182
2018-04-19,1182
2018-04-20,1182
2018-04-21,1182
2018-04-22,1182
2018-04-23,1182
2018-04-24,1182
2018-04-25,1182
2018-04-26,1212
2018-04-27,1212
2018-04-28,1212
2018-04-29,1212
2018-04-30,1212
2018-05-01,1212
2018-05-02,1212
2018-05-03,1212
2018-05-04,1263
2018-05-05,1263
2018-05-06,1263
2018-05-07,1263
2018-05-08,1263
2018-05-09,1263
2018-05-10,1320
2018-05-11,1320
2018-05-12,1320
2018-05-13,1320
2018-05-14,1320
2018-05-15,1320
2018-05-16,1376
2018-05-17,1376
2018-05-18,1376
2018-05-19,1376
2018-05-20,1376
2018-05-21,1376
2018-05-22,1433
2018-05-23,1433
2018-05-24,1433
2018-05-25,1433
2018-05-26,1471
2018-05-27,1471
2018-05-28,1471
2018-05-29,1471
2018-05-30,1471
2018-05-31,1471
2018-06-01,1511
2018-06-02,1511
2018-06-03,1511
2018-06-04,1511
2018-06-05,1511
2018-06-06,1530
2018-06-07,1530
2018-06-08,1530
2018-06-09,1530
2018-06-10,1530
2018-06-11,1530
2018-06-12,1543
2018-06-13,1543
2018-06-14,1543
2018-06-15,1543
2018-06-16,1543
2018-06-17,1543
2018-06-18,1543
2018-06-19,1543
2018-06-20,1543
2018-06-21,1578
2018-06-22,1578
2018-06-23,1578
2018-06-24,1578
2018-06-25,1578
2018-06-26,1578
2018-06-27,1578
2018-06-28,1578
2018-06-29,1587
2018-06-30,1587
2018-07-01,1587
2018-07-02,1587
2018-07-03,1587
2018-07-04,1587
2018-07-05,1587
2018-07-06,1587
2018-07-07,1587
2018-07-08,1561
2018-07-09,1561
2018-07-10,1561
2018-07-11,1561
2018-07-12,1561
2018-07-13,1561
2018-07-14,1561
2018-07-15,1561
2018-07-16,1561
2018-07-17,1561
2018-07-18,1561
2018-07-19,1561
2018-07-20,1561
2018-07-21,1511
2018-07-22,1511
2018-07-23,1511
2018-07-24,1511
2018-07-25,1511
2018-07-26,1511
2018-07-27,1511
2018-07-28,1511
2018-07-29,1511
2018-07-30,1511
2018-07-31,1498
2018-08-01,1498
2018-08-02,1498
2018-08-03,1498
2018-08-04,1498
2018-08-05,1498
2018-08-06,1498
2018-08-07,1498
2018-08-08,1498
2018-08-09,1498
2018-08-10,1498
2018-08-11,1475
2018-08-12,1475
2018-08-14,1475
2018-08-16,1475
2018-08-17,1475
2018-08-18,1475
2018-08-19,1475
2018-08-20,1475
2018-08-21,1451
2018-08-22,1451
2018-08-23,1451
2018-08-24,1451
2018-08-25,1451
2018-08-26,1451
2018-08-27,1451
2018-08-28,1428
2018-08-29,1428
2018-08-30,1428
2018-08-31,1428
2018-09-01,1428
2018-09-02,1428
2018-09-03,1428
2018-09-04,1430
2018-09-05,1430
2018-09-06,1430
2018-09-07,1430
2018-09-08,1430
2018-09-09,1430
2018-09-10,1430
2018-09-11,1430
2018-09-12,1430
2018-09-13,1449
2018-09-14,1449
2018-09-15,1449
2018-09-16,1449
2018-09-17,1449
2018-09-18,1449
2018-09-20,1449
2018-09-21,1449
2018-09-22,1509
2018-09-23,1509
2018-09-24,1509
2018-09-25,1509
2018-09-26,1509
2018-09-27,1509
2018-09-28,1509
2018-09-29,1509
2018-09-30,1509
2018-10-02,1552
2018-10-03,1552
2018-10-04,1552
2018-10-05,1552
2018-10-06,1552
2018-10-07,1552
2018-10-08,1552
2018-10-09,1552
2018-10-10,1552
2018-10-11,1552
2018-10-12,1578
2018-10-13,1578
2018-10-14,1578
2018-10-15,1578
2018-10-16,1578
2018-10-17,1578
2018-10-18,1578
2018-10-19,1556
2018-10-20,1556
2018-10-21,1556
2018-10-22,1556
2018-10-23,1556
2018-10-24,1556
2018-10-25,1556
2018-10-26,1485
2018-10-27,1485
2018-10-28,1485
2018-10-29,1485
2018-10-30,1485
2018-10-31,1485
2018-11-01,1485
2018-11-03,1478
2018-11-04,1478
2018-11-05,1478
2018-11-06,1478
2018-11-07,1478
2018-11-08,1478
2018-11-09,1478
2018-11-10,1414
2018-11-11,1414
2018-11-12,1414
2018-11-13,1414
2018-11-14,1414
2018-11-15,1414
2018-11-16,1414
2018-11-17,1414
2018-11-18,1414
2018-11-19,1414
2018-11-20,1436
2018-11-21,1436
2018-11-22,1436
2018-11-23,1436
2018-11-24,1436
2018-11-25,1436
2018-11-26,1436
2018-11-27,1436
2018-11-28,1436
2018-11-29,1445
2018-12-01,1445
2018-12-02,1445
2018-12-03,1445
2018-12-04,1445
2018-12-05,1445
2018-12-07,1445
2018-12-09,1437
2018-12-10,1437
2018-12-11,1437
2018-12-12,1437
2018-12-13,1437
2018-12-14,1437
2018-12-15,1437
2018-12-16,1437
2018-12-17,1437
2018-12-18,1458
2018-12-19,1458
2018-12-20,1458
2018-12-21,1458
2018-12-22,1458
2018-12-23,1458
2018-12-24,1458
2018-12-25,1458
2018-12-26,1458
2018-12-27,1473
2018-12-28,1473
2018-12-29,1473
2018-12-30,1473
2018-12-31,1473
2019-01-01,1473
2019-01-02,1473
2019-01-03,1473
2019-01-04,1457
2019-01-05,1457
2019-01-06,1457
2019-01-08,1457
2019-01-10,1476
2019-01-11,1476
2019-01-12,1476
2019-01-13,1476
2019-01-14,1476
2019-01-15,1476
2019-01-16,1476
2019-01-17,1476
2019-01-18,1513
2019-01-19,1513
2019-01-20,1513
2019-01-21,1513
2019-01-22,1513
2019-01-23,1513
2019-01-24,1444
2019-01-25,1444
2019-01-26,1444
2019-01-27,1444
2019-01-28,1444
2019-01-29,1444
2019-01-30,1371
2019-01-31,1371
2019-02-01,1371
2019-02-02,1371
2019-02-03,1371
2019-02-04,1371
2019-02-05,1371
2019-02-06,1371
2019-02-07,1307
2019-02-08,1307
2019-02-09,1307
2019-02-10,1307
