date_obj,Saradomin%20dragonhide%20set price
2015-03-26,381969
2015-03-27,381969
2015-03-28,381969
2015-03-29,381969
2015-03-30,381969
2015-03-31,381969
2015-04-01,381969
2015-04-02,381969
2015-04-03,391983
2015-04-04,391983
2015-04-05,391983
2015-04-06,391983
2015-04-07,391983
2015-04-08,391983
2015-04-09,391983
2015-04-10,391983
2015-04-11,391983
2015-04-12,391983
2015-04-13,391983
2015-04-14,391983
2015-04-15,391983
2015-04-16,391983
2015-04-17,391983
2015-04-18,391983
2015-04-19,391983
2015-04-20,401362
2015-04-21,401362
2015-04-22,401362
2015-04-23,401362
2015-04-24,401362
2015-04-25,401362
2015-04-26,401362
2015-04-27,401362
2015-04-28,401362
2015-04-29,401362
2015-04-30,401362
2015-05-01,401362
2015-05-02,401362
2015-05-03,401362
2015-05-04,401362
2015-05-05,401362
2015-05-06,401362
2015-05-07,401362
2015-05-08,401362
2015-05-09,410217
2015-05-10,410217
2015-05-11,410217
2015-05-12,410217
2015-05-13,410217
2015-05-14,410217
2015-05-15,410217
2015-05-16,410217
2015-05-17,410217
2015-05-18,410217
2015-05-19,410217
2015-05-20,410217
2015-05-21,410217
2015-05-22,410217
2015-05-23,410217
2015-05-24,410217
2015-05-25,410217
2015-05-26,410217
2015-05-27,410217
2015-05-28,412860
2015-05-29,412860
2015-05-30,412860
2015-05-31,412860
2015-06-01,412860
2015-06-02,412860
2015-06-03,412860
2015-06-04,412860
2015-06-05,412860
2015-06-06,412860
2015-06-07,412860
2015-06-08,412860
2015-06-09,405995
2015-06-10,405995
2015-06-11,405995
2015-06-12,405995
2015-06-13,405995
2015-06-14,405995
2015-06-15,405995
2015-06-16,405995
2015-06-17,405995
2015-06-18,405995
2015-06-19,416680
2015-06-20,416680
2015-06-21,416680
2015-06-22,416680
2015-06-23,416680
2015-06-24,416680
2015-06-25,416680
2015-06-26,416680
2015-06-27,416680
2015-06-28,416680
2015-06-29,423189
2015-06-30,423189
2015-07-01,423189
2015-07-02,423189
2015-07-03,423189
2015-07-04,423189
2015-07-05,423189
2015-07-06,423189
2015-07-07,423189
2015-07-08,423189
2015-07-09,430633
2015-07-10,430633
2015-07-11,430633
2015-07-12,430633
2015-07-13,430633
2015-07-14,430633
2015-07-15,430633
2015-07-16,430633
2015-07-17,430633
2015-07-18,430633
2015-07-19,430633
2015-07-20,433186
2015-07-21,433186
2015-07-22,433186
2015-07-23,433186
2015-07-24,433186
2015-07-25,433186
2015-07-26,433186
2015-07-27,433186
2015-07-28,433186
2015-07-29,433186
2015-07-30,433186
2015-07-31,431539
2015-08-01,431539
2015-08-02,431539
2015-08-03,431539
2015-08-04,431539
2015-08-05,431539
2015-08-06,431539
2015-08-07,431539
2015-08-08,431539
2015-08-09,440138
2015-08-10,440138
2015-08-11,440138
2015-08-12,440138
2015-08-13,440138
2015-08-14,440138
2015-08-15,440138
2015-08-16,440138
2015-08-17,440138
2015-08-18,440138
2015-08-19,451355
2015-08-20,451355
2015-08-21,451355
2015-08-22,451355
2015-08-23,451355
2015-08-24,451355
2015-08-25,451355
2015-08-26,451355
2015-08-27,469056
2015-08-28,469056
2015-08-29,469056
2015-08-30,469056
2015-08-31,469056
2015-09-01,469056
2015-09-02,469056
2015-09-03,469056
2015-09-04,469056
2015-09-05,469056
2015-09-06,469056
2015-09-07,469056
2015-09-08,471471
2015-09-09,471471
2015-09-10,471471
