date_obj,Saradomin%20hilt price
2015-03-26,35383115
2015-03-27,35383115
2015-03-28,35383115
2015-03-29,35383115
2015-03-30,35383115
2015-03-31,35383115
2015-04-01,35383115
2015-04-02,35383115
2015-04-03,35383115
2015-04-04,35383115
2015-04-05,35383115
2015-04-06,35383115
2015-04-07,35383115
2015-04-08,35383115
2015-04-09,35383115
2015-04-10,35383115
2015-04-11,35383115
2015-04-12,35383115
2015-04-13,35383115
2015-04-14,35383115
2015-04-15,35383115
2015-04-16,35383115
2015-04-17,35383115
2015-04-18,35383115
2015-04-19,35383115
2015-04-20,35383115
2015-04-21,35383115
2015-04-22,35383115
2015-04-23,36947327
2015-04-24,36947327
2015-04-25,36947327
2015-04-26,36947327
2015-04-27,36947327
2015-04-28,36947327
2015-04-29,36947327
2015-04-30,36947327
2015-05-01,36947327
2015-05-02,36947327
2015-05-03,36947327
2015-05-04,36947327
2015-05-05,36947327
2015-05-06,36947327
2015-05-07,36947327
2015-05-08,36947327
2015-05-09,36947327
2015-05-10,36947327
2015-05-11,36947327
2015-05-12,36947327
2015-05-13,36947327
2015-05-14,36947327
2015-05-15,36947327
2015-05-16,36947327
2015-05-17,36947327
2015-05-18,36947327
2015-05-19,36947327
2015-05-20,36947327
2015-05-21,36947327
2015-05-22,38605362
2015-05-23,38605362
2015-05-24,38605362
2015-05-25,38605362
2015-05-26,38605362
2015-05-27,38605362
2015-05-28,38605362
2015-05-29,38605362
2015-05-30,38605362
2015-05-31,38605362
2015-06-01,38605362
2015-06-02,38605362
2015-06-03,38605362
2015-06-04,38605362
2015-06-05,38605362
2015-06-06,38605362
2015-06-07,38605362
2015-06-08,38605362
2015-06-09,38605362
2015-06-10,38605362
2015-06-11,40419535
2015-06-12,40419535
2015-06-13,40419535
2015-06-14,40419535
2015-06-15,40419535
2015-06-16,40419535
2015-06-17,40419535
2015-06-18,40419535
2015-06-19,40419535
2015-06-20,40419535
2015-06-21,40419535
2015-06-22,40419535
2015-06-23,40419535
2015-06-24,40419535
2015-06-25,40419535
2015-06-26,40419535
2015-06-27,40419535
2015-06-28,40419535
2015-06-29,40419535
2015-06-30,40419535
2015-07-01,40419535
2015-07-02,40419535
2015-07-03,40419535
2015-07-04,42227125
2015-07-05,42227125
2015-07-06,42227125
2015-07-07,42227125
2015-07-08,42227125
2015-07-09,42227125
2015-07-10,42227125
2015-07-11,42227125
2015-07-12,42227125
2015-07-13,42227125
2015-07-14,42227125
2015-07-15,42227125
2015-07-16,42227125
2015-07-17,42227125
2015-07-18,42227125
2015-07-19,42227125
2015-07-20,42227125
2015-07-21,42227125
2015-07-22,42227125
2015-07-23,42227125
2015-07-24,42227125
2015-07-25,42227125
2015-07-26,42227125
2015-07-27,42227125
2015-07-28,42227125
2015-07-29,42227125
2015-07-30,42227125
2015-07-31,42227125
2015-08-01,42227125
2015-08-02,42227125
2015-08-03,44165966
2015-08-04,44165966
2015-08-05,44165966
2015-08-06,44165966
2015-08-07,44165966
2015-08-08,44165966
2015-08-09,44165966
2015-08-10,44165966
2015-08-11,44165966
2015-08-12,44165966
2015-08-13,44165966
2015-08-14,44165966
2015-08-15,44165966
2015-08-16,44165966
2015-08-17,44165966
2015-08-18,44165966
2015-08-19,44165966
2015-08-20,44165966
2015-08-21,44165966
2015-08-22,44165966
2015-08-23,44165966
2015-08-24,46222387
2015-08-25,46222387
2015-08-26,46222387
2015-08-27,46222387
2015-08-28,46222387
2015-08-29,46222387
2015-08-30,46222387
2015-08-31,46222387
2015-09-01,46222387
2015-09-02,46222387
2015-09-03,46222387
2015-09-04,46222387
2015-09-05,46222387
2015-09-06,46222387
2015-09-07,46222387
2015-09-08,46222387
2015-09-09,46222387
2015-09-10,46222387
2015-09-11,46222387
2015-09-12,46222387
2015-09-13,46222387
2015-09-14,46222387
2015-09-15,46222387
2015-09-16,46222387
2015-09-17,46222387
2015-09-18,46222387
2015-09-19,46222387
2015-09-20,46222387
2015-09-21,46222387
2015-09-22,46222387
2015-09-23,46222387
2015-09-24,46222387
2015-09-25,48271830
2015-09-27,48271830
2015-09-28,48271830
2015-09-29,48271830
2015-09-30,48271830
2015-10-05,48271830
2015-10-06,48271830
2015-10-07,48271830
2015-10-08,48271830
2015-10-09,48271830
2015-10-10,48271830
2015-10-11,48271830
2015-10-12,48271830
2015-10-13,48271830
2015-10-14,48271830
2015-10-15,48271830
2015-10-16,48271830
2015-10-17,48271830
2015-10-18,48271830
2015-10-19,48271830
2015-10-20,48271830
2015-10-22,48271830
2015-10-23,48271830
2015-10-24,48271830
2015-10-25,48271830
2015-10-26,48271830
2015-10-27,48271830
2015-10-29,48271830
2015-10-30,48271830
2015-10-31,48271830
2015-11-01,48271830
2015-11-02,46315548
2015-11-03,46315548
2015-11-04,46315548
2015-11-05,46315548
2015-11-06,46315548
2015-11-07,46315548
2015-11-08,46315548
2015-11-09,46315548
2015-11-10,46315548
2015-11-11,46315548
2015-11-12,46315548
2015-11-13,46315548
2015-11-14,46315548
2015-11-15,46315548
2015-11-16,46315548
2015-11-17,46315548
2015-11-18,46315548
2015-11-19,46315548
2015-11-20,46315548
2015-11-21,46315548
2015-11-22,46315548
2015-11-23,46315548
2015-11-24,46315548
2015-11-25,46315548
2015-11-26,46315548
2015-11-27,46315548
2015-11-28,46315548
2015-11-29,46315548
2015-11-30,46315548
2015-12-01,46315548
2015-12-02,46315548
2015-12-03,46315548
2015-12-04,46315548
2015-12-05,46315548
2015-12-06,46315548
2015-12-07,46315548
2015-12-08,46315548
2015-12-09,46315548
2015-12-10,46315548
2015-12-11,46315548
2015-12-12,46315548
2015-12-13,46315548
2015-12-14,46315548
2015-12-15,46315548
2015-12-16,46315548
2015-12-17,46315548
2015-12-18,46315548
2015-12-19,44826105
2015-12-20,44826105
2015-12-21,44826105
2015-12-22,44826105
2015-12-23,44826105
2015-12-24,44826105
2015-12-25,44826105
2015-12-26,44826105
2015-12-27,44826105
2015-12-28,44826105
2015-12-29,44826105
2015-12-30,44826105
2015-12-31,44826105
2016-01-01,44826105
2016-01-02,44826105
2016-01-03,44826105
2016-01-04,44826105
2016-01-05,44826105
2016-01-06,44826105
2016-01-07,44826105
2016-01-08,44826105
2016-01-09,44826105
2016-01-10,44826105
2016-01-11,44826105
2016-01-12,44826105
2016-01-13,44826105
2016-01-14,44826105
2016-01-15,46652905
2016-01-16,46652905
2016-01-17,46652905
2016-01-18,46652905
2016-01-19,46652905
2016-01-20,46652905
2016-01-21,46652905
2016-01-22,46652905
2016-01-23,46652905
2016-01-24,46652905
2016-01-25,46652905
2016-01-26,46652905
2016-01-27,46652905
2016-01-28,46652905
2016-01-29,46652905
2016-01-30,46652905
2016-01-31,46652905
2016-02-01,46652905
2016-02-02,46652905
2016-02-03,46652905
2016-02-04,46652905
2016-02-05,46652905
2016-02-06,48265988
2016-02-07,48265988
2016-02-08,48265988
2016-02-09,48265988
2016-02-10,48265988
2016-02-11,48265988
2016-02-12,48265988
2016-02-13,48265988
2016-02-14,48265988
2016-02-15,48265988
2016-02-16,48265988
2016-02-17,48265988
2016-02-18,48265988
2016-02-19,48265988
2016-02-20,48265988
2016-02-21,48265988
2016-02-22,48265988
2016-02-23,48265988
2016-02-24,48265988
2016-02-25,48265988
2016-02-26,48265988
2016-02-27,48265988
2016-02-28,48265988
2016-02-29,48265988
2016-03-01,48265988
2016-03-02,48265988
2016-03-03,48265988
2016-03-04,47572685
2016-03-05,47572685
2016-03-06,47572685
2016-03-07,47572685
2016-03-08,47572685
2016-03-09,47572685
2016-03-10,47572685
2016-03-11,47572685
2016-03-12,47572685
2016-03-13,47572685
2016-03-14,47572685
2016-03-15,47572685
2016-03-16,47572685
2016-03-17,47572685
2016-03-18,47572685
2016-03-19,47572685
2016-03-20,47572685
2016-03-21,47572685
2016-03-22,47572685
2016-03-23,47572685
2016-03-24,47572685
2016-03-25,47572685
2016-03-26,47572685
2016-03-27,47572685
2016-03-28,47572685
2016-03-29,47572685
2016-03-30,47572685
2016-03-31,47572685
2016-04-01,47572685
2016-04-02,47572685
2016-04-03,47572685
2016-04-04,47572685
2016-04-05,47572685
2016-04-06,45755545
2016-04-07,45755545
2016-04-08,45755545
2016-04-09,45755545
2016-04-10,45755545
2016-04-11,45755545
2016-04-12,45755545
2016-04-13,45755545
2016-04-14,45755545
2016-04-15,45755545
2016-04-16,45755545
2016-04-17,45755545
2016-04-18,45755545
2016-04-19,45755545
2016-04-20,45755545
2016-04-21,45755545
2016-04-22,45755545
2016-04-23,45755545
2016-04-24,45755545
2016-04-25,45755545
2016-04-26,45755545
2016-04-27,45755545
2016-04-28,45755545
2016-04-29,45755545
2016-04-30,45755545
2016-05-01,45755545
2016-05-02,45755545
2016-05-03,45755545
2016-05-04,45755545
2016-05-05,45755545
2016-05-06,45755545
2016-05-07,45755545
2016-05-08,45755545
2016-05-09,45755545
2016-05-10,44855888
2016-05-11,44855888
2016-05-12,44855888
2016-05-13,44855888
2016-05-14,44855888
2016-05-15,44855888
2016-05-16,44855888
2016-05-17,44855888
2016-05-18,44855888
2016-05-19,44855888
2016-05-22,44855888
2016-05-23,44855888
2016-05-24,44855888
2016-05-25,44855888
2016-05-26,44855888
2016-05-27,44855888
2016-05-28,44855888
2016-05-29,44855888
2016-05-30,44855888
2016-05-31,44855888
2016-06-01,44855888
2016-06-02,44855888
2016-06-03,44855888
2016-06-04,46749851
2016-06-05,46749851
2016-06-06,46749851
2016-06-07,46749851
2016-06-08,46749851
2016-06-09,46749851
2016-06-10,46749851
2016-06-11,46749851
2016-06-12,46749851
2016-06-13,46749851
2016-06-14,46749851
2016-06-15,46749851
2016-06-16,46749851
2016-06-17,46749851
2016-06-18,46749851
2016-06-19,46749851
2016-06-20,46749851
2016-06-21,46749851
2016-06-22,46749851
2016-06-23,46749851
2016-06-24,46749851
2016-06-25,46749851
2016-06-26,46749851
2016-06-27,46749851
2016-06-28,46749851
2016-06-29,46749851
2016-06-30,46749851
2016-07-01,46749851
2016-07-02,46749851
2016-07-03,48356945
2016-07-04,48356945
2016-07-05,48356945
2016-07-06,48356945
2016-07-07,48356945
2016-07-08,48356945
2016-07-09,48356945
2016-07-10,48356945
2016-07-11,48356945
2016-07-12,48356945
2016-07-13,48356945
2016-07-14,48356945
2016-07-15,48356945
2016-07-16,48356945
2016-07-17,48356945
2016-07-18,48356945
2016-07-23,48356945
2016-07-24,48356945
2016-07-25,48356945
2016-07-26,48356945
2016-07-27,48356945
2016-07-28,48356945
2016-07-29,48356945
2016-07-30,48356945
2016-07-31,48356945
2016-08-01,48356945
2016-08-02,48356945
2016-08-03,48356945
2016-08-04,48356945
2016-08-05,48356945
2016-08-06,48356945
2016-08-07,48356945
2016-08-08,48356945
2016-08-09,48356945
2016-08-10,48356945
2016-08-11,48805700
2016-08-12,48805700
2016-08-13,48805700
2016-08-14,48805700
2016-08-15,48805700
2016-08-16,48805700
2016-08-17,48805700
2016-08-18,48805700
2016-08-19,48805700
2016-08-20,48805700
2016-08-21,48805700
2016-08-22,48805700
2016-08-23,48805700
2016-08-24,48805700
2016-08-25,48805700
2016-08-26,48805700
2016-08-28,48805700
2016-08-31,48805700
2016-09-01,48805700
2016-09-02,48805700
2016-09-03,48805700
2016-09-04,48805700
2016-09-05,48805700
2016-09-06,48805700
2016-09-07,48805700
2016-09-08,48805700
2016-09-09,48805700
2016-09-10,48805700
2016-09-11,48805700
2016-09-12,48805700
2016-09-13,48805700
2016-09-14,48805700
2016-09-15,48805700
2016-09-16,48805700
2016-09-17,48805700
2016-09-18,47433639
2016-09-19,47433639
2016-09-20,47433639
2016-09-21,47433639
2016-09-22,47433639
2016-09-23,47433639
2016-09-24,47433639
2016-09-25,47433639
2016-09-26,47433639
2016-09-27,47433639
2016-09-28,47433639
2016-09-29,47433639
2016-09-30,47433639
2016-10-01,47433639
2016-10-02,47433639
2016-10-03,47433639
2016-10-04,47433639
2016-10-05,47433639
2016-10-06,47433639
2016-10-07,47433639
2016-10-08,47433639
2016-10-09,47433639
2016-10-10,47433639
2016-10-11,47433639
2016-10-12,47433639
2016-10-13,47433639
2016-10-14,47433639
2016-10-15,47433639
2016-10-16,47433639
2016-10-17,47433639
2016-10-18,47433639
2016-10-19,47433639
2016-10-20,47433639
2016-10-21,47433639
2016-10-22,47433639
2016-10-23,49047212
2016-10-24,49047212
2016-10-25,49047212
2016-10-26,49047212
2016-10-27,49047212
2016-10-28,49047212
2016-10-29,49047212
2016-10-30,49047212
2016-10-31,49047212
2016-11-01,49047212
2016-11-02,49047212
2016-11-03,49047212
2016-11-04,49047212
2016-11-05,49047212
2016-11-06,49047212
2016-11-07,49047212
2016-11-08,49047212
2016-11-09,49047212
2016-11-10,49047212
2016-11-11,49047212
2016-11-12,49047212
2016-11-13,49047212
2016-11-14,49047212
2016-12-08,50844956
2016-12-09,50844956
2016-12-10,50844956
2016-12-11,50844956
2016-12-12,50844956
2016-12-13,50844956
2016-12-14,50844956
2016-12-15,50844956
2016-12-16,50844956
2016-12-17,50844956
2016-12-18,50442643
2016-12-19,50442643
2016-12-20,50442643
2016-12-21,50442643
2016-12-22,50442643
2016-12-23,50442643
2016-12-24,50442643
2016-12-25,50442643
2016-12-26,50442643
2016-12-27,50442643
2016-12-28,50442643
2016-12-29,50442643
2016-12-30,50442643
2016-12-31,50442643
2017-01-01,50442643
2017-01-02,50442643
2017-01-03,50442643
2017-01-04,50442643
2017-01-05,50442643
2017-01-06,52063611
2017-01-07,52063611
2017-01-08,52063611
2017-01-09,52063611
2017-01-10,52063611
2017-01-11,52063611
2017-01-12,52063611
2017-01-13,52063611
2017-01-14,52063611
2017-01-15,52063611
2017-01-16,52063611
2017-01-17,52063611
2017-01-18,52063611
2017-01-19,52063611
2017-01-20,52063611
2017-01-21,52063611
2017-01-22,52063611
2017-01-27,49681335
2017-01-28,49681335
2017-01-29,49681335
2017-01-30,49681335
2017-01-31,49681335
2017-02-01,49681335
2017-02-02,49681335
2017-02-03,49681335
2017-02-04,49681335
2017-02-05,49681335
2017-02-06,49681335
2017-02-07,49681335
2017-02-08,49681335
2017-02-09,49681335
2017-02-10,49681335
2017-02-11,49681335
2017-02-12,49681335
2017-02-13,49681335
2017-02-14,49681335
2017-02-15,49681335
2017-02-16,49681335
2017-02-18,47370484
2017-02-19,47370484
2017-02-20,47370484
2017-02-21,47370484
2017-02-22,47370484
2017-02-23,47370484
2017-02-24,47370484
2017-02-25,47370484
2017-02-26,47370484
2017-02-27,47370484
2017-02-28,47370484
2017-03-01,47370484
2017-03-02,47370484
2017-03-03,47370484
2017-03-04,47370484
2017-03-05,47370484
2017-03-06,47370484
2017-03-07,47370484
2017-03-08,47370484
2017-03-09,47370484
2017-03-10,47370484
2017-03-11,47370484
2017-03-12,47370484
2017-03-13,47370484
2017-03-14,47370484
2017-03-15,47370484
2017-03-16,45222230
2017-03-17,45222230
2017-03-18,45222230
2017-03-19,45222230
2017-03-20,45222230
2017-03-21,45222230
2017-03-22,45222230
2017-03-23,45222230
2017-03-24,45222230
2017-03-25,45222230
2017-03-26,45222230
2017-03-27,45222230
2017-03-28,45222230
2017-03-29,45222230
2017-03-30,45222230
2017-03-31,45222230
2017-04-01,45222230
2017-04-02,45222230
2017-04-03,45222230
2017-04-04,45222230
2017-04-12,45222230
2017-04-13,45222230
2017-04-14,45222230
2017-04-15,45222230
2017-04-16,43111701
2017-04-17,43111701
2017-04-18,43111701
2017-04-19,43111701
2017-04-20,43111701
2017-04-21,43111701
2017-04-22,43111701
2017-04-23,43111701
2017-04-24,43111701
2017-04-25,43111701
2017-04-26,43111701
2017-04-27,43111701
2017-04-28,43111701
2017-04-29,43111701
2017-04-30,43111701
2017-05-01,43111701
2017-05-02,43111701
2017-05-03,43111701
2017-05-04,43111701
2017-05-05,43111701
2017-05-06,43111701
2017-05-07,43111701
2017-05-08,43111701
2017-05-09,43111701
2017-05-10,43111701
2017-05-11,43111701
2017-05-12,43111701
2017-05-13,43322593
2017-05-14,43322593
2017-05-15,43322593
2017-05-16,43322593
2017-05-17,43322593
2017-05-18,43322593
2017-05-19,43322593
2017-05-20,43322593
2017-05-21,43322593
2017-05-22,43322593
2017-05-23,43322593
2017-05-24,43322593
2017-05-25,43322593
2017-05-26,43322593
2017-05-27,43322593
2017-05-28,43322593
2017-05-29,43322593
2017-05-30,43322593
2017-05-31,43322593
2017-06-01,43322593
2017-06-02,43322593
2017-06-03,43322593
2017-06-06,43322593
2017-06-07,44993670
2017-06-08,44993670
2017-06-09,44993670
2017-06-10,44993670
2017-06-11,44993670
2017-06-12,44993670
2017-06-13,44993670
2017-06-14,44993670
2017-06-15,44993670
2017-06-16,44993670
2017-06-17,44993670
2017-06-18,44993670
2017-06-19,44993670
2017-06-20,44993670
2017-06-21,44993670
2017-06-22,44993670
2017-06-23,44993670
2017-06-24,44993670
2017-06-25,44993670
2017-06-26,44993670
2017-06-27,44993670
2017-06-28,44993670
2017-06-29,44993670
2017-06-30,44993670
2017-07-01,44993670
2017-07-02,44993670
2017-07-03,44993670
2017-07-04,44993670
2017-07-05,43603855
2017-07-06,43603855
2017-07-07,43603855
2017-07-08,43603855
2017-07-13,43603855
2017-07-14,43603855
2017-07-15,43603855
2017-07-16,43603855
2017-07-17,43603855
2017-07-18,43603855
2017-07-19,43603855
2017-07-20,43603855
2017-07-21,43603855
2017-07-22,43603855
2017-07-23,43603855
2017-07-24,43603855
2017-07-25,43603855
2017-07-26,43603855
2017-07-27,43603855
2017-07-28,43603855
2017-07-29,43603855
2017-07-30,41614662
2017-07-31,41614662
2017-08-01,41614662
2017-08-02,41614662
2017-08-03,41614662
2017-08-04,41614662
2017-08-05,41614662
2017-08-06,41614662
2017-08-09,41614662
2017-08-10,41614662
2017-08-11,41614662
2017-08-12,41614662
2017-08-13,41614662
2017-08-14,41614662
2017-08-15,41614662
2017-08-17,41614662
2017-08-18,41614662
2017-08-19,41614662
2017-08-20,41614662
2017-08-21,41614662
2017-08-22,41614662
2017-08-23,41614662
2017-08-24,41614662
2017-08-25,40296189
2017-08-26,40296189
2017-08-27,40296189
2017-08-28,40296189
2017-08-29,40296189
2017-08-30,40296189
2017-08-31,40296189
2017-09-01,40296189
2017-09-02,40296189
2017-09-03,40296189
2017-09-04,40296189
2017-09-05,40296189
2017-09-06,40296189
2017-09-07,40296189
2017-09-08,40296189
2017-09-09,40296189
2017-09-10,40296189
2017-09-11,40296189
2017-09-12,40296189
2017-09-13,41289652
2017-09-14,41289652
2017-09-15,41289652
2017-09-16,41289652
2017-09-17,41289652
2017-09-19,41289652
2017-09-20,41289652
2017-09-21,41289652
2017-09-22,41289652
2017-09-23,41289652
2017-09-24,41289652
2017-09-25,41289652
2017-09-26,41289652
2017-09-27,41289652
2017-09-28,41289652
2017-09-29,41289652
2017-09-30,41289652
2017-10-01,41289652
2017-10-02,41289652
2017-10-03,41289652
2017-10-04,41289652
2017-10-05,41289652
2017-10-06,41289652
2017-10-07,41289652
2017-10-08,43067095
2017-10-09,43067095
2017-10-10,43067095
2017-10-11,43067095
2017-10-12,43067095
2017-10-13,43067095
2017-10-14,43067095
2017-10-15,43067095
2017-10-16,43067095
2017-10-17,43067095
2017-10-18,43067095
2017-10-19,43067095
2017-10-20,43067095
2017-10-21,43067095
2017-10-22,43067095
2017-10-23,43067095
2017-10-24,43067095
2017-10-25,43067095
2017-10-26,43067095
2017-10-27,43067095
2017-10-28,43067095
2017-10-29,44091256
2017-10-30,44091256
2017-10-31,44091256
2017-11-01,44091256
2017-11-02,44091256
2017-11-03,44091256
2017-11-04,44091256
2017-11-05,44091256
2017-11-06,44091256
2017-11-07,44091256
2017-11-08,44091256
2017-11-09,44091256
2017-11-10,44091256
2017-11-11,44091256
2017-11-12,44091256
2017-11-13,44091256
2017-11-14,44091256
2017-11-15,44091256
2017-11-16,44091256
2017-11-17,44091256
2017-11-18,44091256
2017-11-19,44091256
2017-11-20,45312687
2017-11-21,45312687
2017-11-22,45312687
2017-11-23,45312687
2017-11-24,45312687
2017-11-25,45312687
2017-11-26,45312687
2017-11-27,45312687
2017-11-28,45312687
2017-11-29,45312687
2017-11-30,45312687
2017-12-01,45312687
2017-12-02,45312687
2017-12-03,45312687
2017-12-04,45312687
2017-12-05,45312687
2017-12-06,45312687
2017-12-07,45312687
2017-12-08,45312687
2017-12-09,45312687
2017-12-10,45312687
2017-12-11,45312687
2017-12-12,43268969
2017-12-13,43268969
2017-12-14,43268969
2017-12-15,43268969
2017-12-16,43268969
2017-12-17,43268969
2017-12-18,43268969
2017-12-19,43268969
