date_obj,Saradomin%20page%204 price
2015-03-26,7954
2015-03-27,7954
2015-03-28,7818
2015-03-29,7818
2015-03-30,7614
2015-03-31,7614
2015-04-01,7333
2015-04-02,7333
2015-04-03,7017
2015-04-04,6697
2015-04-05,6697
2015-04-06,6373
2015-04-07,6373
2015-04-08,6175
2015-04-09,6175
2015-04-10,6128
2015-04-11,6128
2015-04-12,6188
2015-04-13,6188
2015-04-14,6329
2015-04-15,6329
2015-04-16,6640
2015-04-17,6640
2015-04-18,6956
2015-04-19,6956
2015-04-20,7205
2015-04-21,7205
2015-04-22,7452
2015-04-23,7452
2015-04-24,7564
2015-04-25,7564
2015-04-26,7536
2015-04-27,7536
2015-04-28,7295
2015-04-29,7295
2015-04-30,7220
2015-05-01,7220
2015-05-02,7220
2015-05-03,7220
2015-05-04,7051
2015-05-05,7051
2015-05-06,7003
2015-05-07,7003
2015-05-08,7020
2015-05-09,7020
2015-05-10,6850
2015-05-11,6850
2015-05-12,6710
2015-05-13,6710
2015-05-14,6553
2015-05-15,6553
2015-05-16,6520
2015-05-17,6532
2015-05-18,6532
2015-05-19,6547
2015-05-20,6547
2015-05-21,6547
2015-05-22,6505
2015-05-23,6505
2015-05-24,6669
2015-05-25,6669
2015-05-26,6771
2015-05-27,6771
2015-05-28,6867
2015-05-29,6863
2015-05-30,6853
2015-05-31,6853
2015-06-01,6875
2015-06-02,6875
2015-06-03,6831
2015-06-04,6831
2015-06-05,6787
2015-06-06,6787
2015-06-07,6753
2015-06-08,6753
2015-06-09,6917
2015-06-10,6831
2015-06-11,6831
2015-06-12,6734
2015-06-13,6717
2015-06-14,6717
2015-06-15,6776
2015-06-16,6776
2015-06-17,6916
2015-06-18,7004
2015-06-19,7004
2015-06-20,7254
2015-06-21,7254
2015-06-22,7490
2015-06-23,7490
2015-06-24,7729
2015-06-25,7729
2015-06-26,8077
2015-06-27,8077
2015-06-28,8387
2015-06-29,8387
2015-06-30,8638
2015-07-01,8638
2015-07-02,8834
2015-07-03,8741
2015-07-04,8741
2015-07-05,8853
2015-07-06,8853
2015-07-07,8693
2015-07-08,8506
2015-07-09,8506
2015-07-10,8507
2015-07-11,8507
2015-07-12,8500
2015-07-13,8500
2015-07-14,8495
2015-07-15,8495
2015-07-16,8619
2015-07-17,8619
2015-07-18,8850
2015-07-19,8850
2015-07-20,8953
2015-07-21,8953
2015-07-22,8838
2015-07-23,8838
2015-07-24,9021
