date_obj,Seercull price
2015-03-26,109793
2015-03-27,109793
2015-03-28,115283
2015-03-29,115283
2015-03-30,121048
2015-03-31,121048
2015-04-01,121048
2015-04-02,127053
2015-04-03,127053
2015-04-04,133226
2015-04-05,133226
2015-04-06,133226
2015-04-07,136706
2015-04-08,136706
2015-04-09,136706
2015-04-10,133634
2015-04-11,133634
2015-04-12,127134
2015-04-13,127134
2015-04-14,132118
2015-04-15,138724
2015-04-16,138724
2015-04-17,145188
2015-04-18,145188
2015-04-19,152448
2015-04-20,152448
2015-04-21,159593
2015-04-22,159593
2015-04-23,167573
2015-04-24,167573
2015-04-25,175734
2015-04-26,175734
2015-04-27,184463
2015-04-28,184463
2015-04-29,193157
2015-04-30,193157
2015-05-01,202690
2015-05-02,212514
2015-05-03,212514
2015-05-04,222759
2015-05-05,233505
2015-05-06,244982
2015-05-07,256866
2015-05-08,256866
2015-05-09,269710
2015-05-10,282565
2015-05-11,282565
2015-05-12,296694
2015-05-13,296694
2015-05-14,310623
2015-05-15,310623
2015-05-16,311966
2015-05-17,299310
2015-05-18,299310
2015-05-19,293051
2015-05-20,293051
2015-05-21,293051
2015-05-22,304098
2015-05-23,304098
2015-05-24,308377
2015-05-25,317006
2015-05-26,317006
2015-05-27,324330
2015-05-28,318889
2015-05-29,307027
2015-05-30,295909
2015-05-31,295909
2015-06-01,282070
2015-06-02,282070
2015-06-03,267966
2015-06-04,267966
2015-06-05,254886
2015-06-06,242802
2015-06-07,242802
2015-06-08,231869
2015-06-09,220859
2015-06-10,211185
2015-06-11,211185
2015-06-12,200625
2015-06-13,190977
2015-06-14,190977
2015-06-15,181428
2015-06-16,181428
2015-06-17,172356
2015-06-18,163894
2015-06-19,163894
2015-06-20,155699
2015-06-21,155699
2015-06-22,147914
2015-06-23,147914
2015-06-24,140813
2015-06-25,140813
2015-06-26,136711
2015-06-27,136711
2015-06-28,132050
2015-06-29,132050
2015-06-30,129191
2015-07-01,129191
2015-07-02,125768
2015-07-03,121118
2015-07-04,121118
2015-07-05,117727
2015-07-06,117727
2015-07-07,111959
2015-07-08,111959
2015-07-09,106361
2015-07-10,101133
2015-07-11,101133
2015-07-12,96076
2015-07-13,96076
2015-07-14,92787
2015-07-15,92787
2015-07-16,88240
2015-07-17,88240
2015-07-18,83895
2015-07-19,83895
2015-07-20,79702
2015-07-21,79702
2015-07-22,75716
2015-07-23,75716
2015-07-24,71930
2015-07-25,71930
2015-07-26,68422
2015-07-27,68422
2015-07-28,65085
2015-07-29,62279
2015-07-30,62279
2015-07-31,62279
2015-08-01,59844
2015-08-02,58421
2015-08-03,58421
2015-08-04,56197
2015-08-05,54829
2015-08-06,54829
2015-08-07,52469
2015-08-08,52469
2015-08-09,51839
2015-08-10,51839
2015-08-11,51169
2015-08-12,51169
2015-08-13,49481
2015-08-14,48082
2015-08-15,48082
2015-08-16,45999
2015-08-17,45999
2015-08-18,44482
2015-08-19,44482
2015-08-20,44925
2015-08-21,46342
2015-08-22,46342
2015-08-23,47375
2015-08-24,47375
2015-08-25,47428
2015-08-26,47428
2015-08-27,47640
2015-08-28,47640
2015-08-29,49444
2015-08-30,49444
2015-08-31,51265
2015-09-01,51265
2015-09-02,51129
2015-09-03,51129
2015-09-04,53269
2015-09-05,53269
2015-09-06,53656
2015-09-07,53656
2015-09-08,56284
2015-09-09,56284
2015-09-10,58841
2015-09-11,58841
2015-09-12,61716
2015-09-13,61716
2015-09-14,64802
2015-09-15,64802
2015-09-16,66418
2015-09-17,66418
2015-09-18,67068
2015-09-19,67068
2015-09-20,68324
2015-09-21,68324
2015-09-22,68550
2015-09-23,68550
2015-09-24,69549
2015-09-25,69549
2015-09-27,71658
2015-09-28,73467
2015-09-29,73467
2015-09-30,76538
2015-10-05,79537
2015-10-06,79537
2015-10-07,75713
2015-10-08,75713
2015-10-09,74025
2015-10-10,74025
2015-10-11,75007
2015-10-12,75007
2015-10-13,75875
2015-10-14,75875
2015-10-15,75192
2015-10-16,75192
2015-10-17,72974
2015-10-18,72974
2015-10-19,73706
2015-10-20,73706
2015-10-22,73351
2015-10-23,72020
2015-10-24,72853
2015-10-25,71882
2015-10-26,71882
2015-10-27,74567
2015-10-29,75602
2015-10-30,75602
2015-10-31,74843
2015-11-01,74843
2015-11-02,74843
2015-11-03,75408
2015-11-04,75408
2015-11-05,74458
2015-11-06,74458
2015-11-07,73389
2015-11-08,73389
2015-11-09,73389
2015-11-10,72258
2015-11-11,72258
2015-11-12,71371
2015-11-13,71371
2015-11-14,71371
2015-11-15,71207
2015-11-16,71207
2015-11-17,71207
2015-11-18,69243
2015-11-19,69243
2015-11-20,67943
2015-11-21,67943
2015-11-22,65401
2015-11-23,65401
2015-11-24,65401
2015-11-25,62182
2015-11-26,62182
