date_obj,Seers%20ring price
2015-03-26,311005
2015-03-27,311005
2015-03-28,297646
2015-03-29,286980
2015-03-30,276462
2015-03-31,269262
2015-04-01,269262
2015-04-02,278233
2015-04-03,291863
2015-04-04,305473
2015-04-05,315398
2015-04-06,326825
2015-04-07,329343
2015-04-08,329343
2015-04-09,334460
2015-04-10,331838
2015-04-11,323902
2015-04-12,314459
2015-04-13,302659
2015-04-14,297071
2015-04-15,291533
2015-04-16,289027
2015-04-17,290630
2015-04-18,282305
2015-04-19,284604
2015-04-20,284604
2015-04-21,290108
2015-04-22,301611
2015-04-23,311499
2015-04-24,320956
2015-04-25,333520
2015-04-26,337785
2015-04-27,323135
2015-04-28,308030
2015-04-29,308030
2015-04-30,294216
2015-05-01,288043
2015-05-02,284054
2015-05-03,284054
2015-05-04,282259
2015-05-05,290475
2015-05-06,289408
2015-05-07,289157
2015-05-08,288417
2015-05-09,294627
2015-05-10,302467
2015-05-11,302467
2015-05-12,303486
2015-05-13,296849
2015-05-14,296315
2015-05-15,305425
2015-05-16,315286
2015-05-17,323899
2015-05-18,324362
2015-05-19,328234
2015-05-20,328234
2015-05-21,335226
2015-05-22,349127
2015-05-23,357583
2015-05-24,356020
2015-05-25,360451
2015-05-26,367191
2015-05-27,375893
2015-05-28,381185
2015-05-29,385180
2015-05-30,375002
2015-05-31,363340
2015-06-01,355404
2015-06-02,348379
2015-06-03,344542
2015-06-04,343215
2015-06-05,343838
2015-06-06,339369
2015-06-07,339405
2015-06-08,331216
2015-06-09,320989
2015-06-10,311092
2015-06-11,303423
2015-06-12,303718
2015-06-13,295109
2015-06-14,294098
2015-06-15,282248
2015-06-16,274375
2015-06-17,269421
2015-06-18,263711
2015-06-19,252720
2015-06-20,244592
2015-06-21,240577
2015-06-22,234175
2015-06-23,241017
2015-06-24,242898
2015-06-25,238866
2015-06-26,241933
2015-06-27,251827
2015-06-28,258465
2015-06-29,269361
2015-06-30,272501
2015-07-01,265170
2015-07-02,257591
2015-07-03,258768
2015-07-04,258087
2015-07-05,249874
2015-07-06,243283
2015-07-07,236952
2015-07-08,228627
2015-07-09,219712
2015-07-10,211502
2015-07-11,207844
2015-07-12,208097
2015-07-13,212842
2015-07-14,218345
2015-07-15,211239
2015-07-16,205804
2015-07-17,209476
2015-07-18,219602
2015-07-19,222797
2015-07-20,225552
2015-07-21,231767
2015-07-22,228211
2015-07-23,221180
2015-07-24,215816
2015-07-25,213476
2015-07-26,209557
2015-07-27,208177
2015-07-28,210307
2015-07-29,215877
2015-07-30,216596
2015-07-31,218638
2015-08-01,216745
2015-08-02,220124
2015-08-03,223263
2015-08-04,224939
2015-08-05,222907
2015-08-06,218419
2015-08-07,212018
2015-08-08,207986
2015-08-09,204854
2015-08-10,199135
2015-08-11,194631
2015-08-12,186271
2015-08-13,182501
2015-08-14,176404
2015-08-15,176981
2015-08-16,181143
2015-08-17,179564
2015-08-18,185660
2015-08-19,190927
2015-08-20,197290
2015-08-21,204516
2015-08-22,213046
2015-08-23,222393
2015-08-24,218438
2015-08-25,221817
2015-08-26,223289
2015-08-27,218595
2015-08-28,210258
2015-08-29,206694
2015-08-30,203075
2015-08-31,197606
2015-09-01,198516
2015-09-02,199107
2015-09-03,202994
2015-09-04,201812
2015-09-05,204431
2015-09-06,206175
2015-09-07,209086
2015-09-08,211929
2015-09-09,208452
2015-09-10,206166
2015-09-11,213471
2015-09-12,217083
2015-09-13,225852
2015-09-14,236095
2015-09-15,245141
2015-09-16,244410
2015-09-17,235549
2015-09-18,228477
2015-09-19,225264
2015-09-20,232815
2015-09-21,238839
2015-09-22,247976
2015-09-23,242487
2015-09-24,235960
2015-09-25,233317
2015-09-27,245713
2015-09-28,247932
2015-09-29,250030
2015-09-30,248588
2015-10-05,261374
2015-10-06,249728
2015-10-07,237411
2015-10-08,227905
2015-10-09,221532
2015-10-10,217945
2015-10-11,211191
2015-10-12,210093
2015-10-13,216193
2015-10-14,221952
2015-10-15,219534
2015-10-16,220397
2015-10-17,224010
2015-10-18,223433
2015-10-19,222121
2015-10-20,225760
2015-10-22,224888
2015-10-23,233828
2015-10-24,234993
2015-10-25,243486
2015-10-26,242405
2015-10-27,249572
2015-10-29,260294
2015-10-30,267021
2015-10-31,273071
2015-11-01,278021
2015-11-02,285682
2015-11-03,294921
2015-11-04,301938
2015-11-05,311791
2015-11-06,322111
2015-11-07,335384
2015-11-08,345930
2015-11-09,353320
2015-11-10,361128
2015-11-11,361373
2015-11-12,370110
2015-11-13,378410
2015-11-14,390861
2015-11-15,396447
2015-11-16,394088
2015-11-17,383653
2015-11-18,373125
2015-11-19,374082
2015-11-20,370747
2015-11-21,366677
2015-11-22,364197
2015-11-23,365865
2015-11-24,366775
2015-11-25,369003
2015-11-26,368786
2015-11-27,370071
2015-11-28,372197
2015-11-29,379598
2015-11-30,382386
2015-12-01,389360
2015-12-02,389630
2015-12-03,393729
2015-12-04,397539
2015-12-05,398386
2015-12-06,398076
2015-12-07,397078
2015-12-08,394013
2015-12-09,386881
2015-12-10,382889
2015-12-11,379053
2015-12-12,377594
2015-12-13,365763
2015-12-14,354087
2015-12-15,341890
2015-12-16,334620
2015-12-17,330396
2015-12-18,328738
2015-12-19,324617
2015-12-20,322250
2015-12-21,327866
2015-12-22,331497
2015-12-23,334377
2015-12-24,341573
2015-12-25,347034
2015-12-26,352699
2015-12-27,354703
2015-12-28,357499
2015-12-29,357404
2015-12-30,353297
2015-12-31,345729
2016-01-01,347404
2016-01-02,339782
2016-01-03,332117
2016-01-04,322262
2016-01-05,316488
2016-01-06,308597
2016-01-07,297904
2016-01-08,296460
2016-01-09,307495
2016-01-10,316466
2016-01-11,321388
2016-01-12,325245
2016-01-13,330270
2016-01-14,326238
2016-01-15,320954
2016-01-16,318820
2016-01-17,316980
2016-01-18,319051
2016-01-19,321892
2016-01-20,323556
2016-01-21,315885
2016-01-22,309839
2016-01-23,303680
2016-01-24,296636
2016-01-25,289352
2016-01-26,287879
2016-01-27,282173
2016-01-28,272792
2016-01-29,267352
2016-01-30,259448
2016-01-31,255279
2016-02-01,260965
2016-02-02,267188
2016-02-03,274296
2016-02-04,280575
2016-02-05,275367
2016-02-06,271010
2016-02-07,267779
2016-02-08,265907
2016-02-09,266923
2016-02-10,275077
2016-02-11,278308
2016-02-12,288581
2016-02-13,298118
2016-02-14,296222
2016-02-15,295065
2016-02-16,290347
2016-02-17,286012
2016-02-18,282365
2016-02-19,289685
2016-02-20,289204
2016-02-21,287502
2016-02-22,283906
2016-02-23,279001
2016-02-24,277968
2016-02-25,275979
2016-02-26,280839
2016-02-27,281720
2016-02-28,280877
2016-02-29,282776
2016-03-01,293415
2016-03-02,292953
2016-03-03,289888
2016-03-04,289142
2016-03-05,294417
2016-03-06,308129
2016-03-07,313694
2016-03-08,310786
2016-03-09,306779
2016-03-10,301219
2016-03-11,296466
2016-03-12,297864
2016-03-13,293632
2016-03-14,289894
2016-03-15,290044
2016-03-16,290703
2016-03-17,296512
2016-03-18,298993
2016-03-19,291084
2016-03-20,288211
2016-03-21,287387
2016-03-22,286854
2016-03-23,286335
2016-03-24,293019
2016-03-25,302153
2016-03-26,317261
2016-03-27,333111
2016-03-28,348985
