date_obj,Shade%20robe%20top price
2015-03-26,24831
2015-03-27,24831
2015-03-28,23621
2015-03-29,23621
2015-03-30,23621
2015-03-31,22488
2015-04-01,22488
2015-04-02,22488
2015-04-03,22488
2015-04-04,21384
2015-04-05,21384
2015-04-06,21384
2015-04-07,20353
2015-04-08,20353
2015-04-09,20353
2015-04-10,19378
2015-04-11,19378
2015-04-12,19378
2015-04-13,18462
2015-04-14,18462
2015-04-15,18462
2015-04-16,18462
2015-04-17,17577
2015-04-18,17577
2015-04-19,17577
2015-04-20,17577
2015-04-21,16731
2015-04-22,16731
2015-04-23,16731
2015-04-24,15906
2015-04-25,15906
2015-04-26,15906
2015-04-27,15120
2015-04-28,15120
2015-04-29,15120
2015-04-30,15120
2015-05-01,14412
2015-05-02,14412
2015-05-03,14412
2015-05-04,14412
2015-05-05,13706
2015-05-06,13706
2015-05-07,13706
2015-05-08,13065
2015-05-09,13065
2015-05-10,13065
2015-05-11,12434
2015-05-12,12434
2015-05-13,12434
2015-05-14,11823
2015-05-15,11823
2015-05-16,11823
2015-05-17,11253
2015-05-18,11253
2015-05-19,11253
2015-05-20,11253
2015-05-21,10715
2015-05-22,10715
2015-05-23,10715
2015-05-24,10205
2015-05-25,10205
2015-05-26,10205
2015-05-27,9773
2015-05-28,9773
2015-05-29,9297
2015-05-30,8850
2015-05-31,8850
2015-06-01,8434
2015-06-02,8434
2015-06-03,8026
2015-06-04,8026
2015-06-05,7687
2015-06-06,7687
2015-06-07,7319
2015-06-08,7319
2015-06-09,6967
2015-06-10,6967
2015-06-11,6636
2015-06-12,6636
2015-06-13,6320
2015-06-14,6320
2015-06-15,6018
2015-06-16,6018
2015-06-17,5736
2015-06-18,5736
2015-06-19,5454
2015-06-20,5454
2015-06-21,5181
2015-06-22,5181
2015-06-23,4921
2015-06-24,4921
2015-06-25,4695
2015-06-26,4695
2015-06-27,4468
2015-06-28,4468
2015-06-29,4244
2015-06-30,4244
2015-07-01,4031
2015-07-02,4031
2015-07-03,3876
2015-07-04,3876
2015-07-05,3734
2015-07-06,3734
2015-07-07,3551
2015-07-08,3551
2015-07-09,3401
2015-07-10,3401
2015-07-11,3284
2015-07-12,3284
2015-07-13,3218
2015-07-14,3218
2015-07-15,3068
2015-07-16,3068
2015-07-17,2946
2015-07-18,2946
2015-07-19,2846
2015-07-20,2846
2015-07-21,2830
2015-07-22,2830
2015-07-23,2726
2015-07-24,2726
2015-07-25,2629
2015-07-26,2629
2015-07-27,2633
2015-07-28,2633
2015-07-29,2648
2015-07-30,2648
2015-07-31,2648
2015-08-01,2674
2015-08-02,2674
2015-08-03,2611
2015-08-04,2611
2015-08-05,2480
2015-08-06,2480
2015-08-07,2367
2015-08-08,2367
2015-08-09,2276
2015-08-10,2276
2015-08-11,2247
2015-08-12,2247
2015-08-13,2247
2015-08-14,2252
2015-08-15,2252
2015-08-16,2212
2015-08-17,2212
2015-08-18,2111
2015-08-19,2111
2015-08-20,2050
2015-08-21,2050
2015-08-22,2020
2015-08-23,2020
2015-08-24,2023
2015-08-25,2023
2015-08-26,2023
2015-08-27,2008
2015-08-28,2008
2015-08-29,1939
2015-08-30,1939
2015-08-31,1997
2015-09-01,1997
2015-09-02,1997
2015-09-03,2057
2015-09-04,2057
2015-09-05,2076
2015-09-06,2076
2015-09-07,2016
2015-09-08,2016
2015-09-09,2025
2015-09-10,2025
2015-09-11,2037
2015-09-12,2037
2015-09-13,2064
2015-09-14,2064
2015-09-15,2043
2015-09-16,2043
2015-09-17,2099
2015-09-18,2099
2015-09-19,2099
2015-09-20,2144
2015-09-21,2144
2015-09-22,2044
2015-09-23,2044
2015-09-24,2044
2015-09-25,2035
2015-09-27,2074
2015-09-28,2074
2015-09-29,2064
2015-09-30,2064
2015-10-05,2016
2015-10-06,2067
2015-10-07,2067
2015-10-08,2067
2015-10-09,2067
2015-10-10,2067
2015-10-11,2125
2015-10-12,2125
2015-10-13,2125
2015-10-14,2167
2015-10-15,2167
2015-10-16,2144
2015-10-17,2144
2015-10-18,2144
2015-10-19,2090
2015-10-20,2090
2015-10-22,2108
2015-10-23,2108
2015-10-24,2007
2015-10-25,2007
2015-10-26,2025
2015-10-27,2025
2015-10-29,2042
2015-10-30,2042
2015-10-31,2122
2015-11-01,2122
2015-11-02,2148
2015-11-03,2148
2015-11-04,2179
2015-11-05,2179
2015-11-06,2197
2015-11-07,2280
2015-11-08,2280
2015-11-09,2372
2015-11-10,2372
2015-11-11,2485
2015-11-12,2485
2015-11-13,2485
2015-11-14,2527
