date_obj,Shark price
2015-03-26,962
2015-03-27,974
2015-03-28,987
2015-03-29,1030
2015-03-30,1049
2015-03-31,1034
2015-04-01,1027
2015-04-02,1063
2015-04-03,1109
2015-04-04,1119
2015-04-05,1105
2015-04-06,1087
2015-04-07,1063
2015-04-08,1022
2015-04-09,1003
2015-04-10,984
2015-04-11,947
2015-04-12,946
2015-04-13,942
2015-04-14,955
2015-04-15,950
2015-04-16,964
2015-04-17,957
2015-04-18,939
2015-04-19,918
2015-04-20,898
2015-04-21,890
2015-04-22,884
2015-04-23,882
2015-04-24,906
2015-04-25,905
2015-04-26,905
2015-04-27,906
2015-04-28,901
2015-04-29,900
2015-04-30,914
2015-05-01,944
2015-05-02,957
2015-05-03,963
2015-05-04,976
2015-05-05,977
2015-05-06,971
2015-05-07,963
2015-05-08,959
2015-05-09,956
2015-05-10,981
2015-05-11,1015
2015-05-12,1020
2015-05-13,1041
2015-05-14,1027
2015-05-15,1044
2015-05-16,1049
2015-05-17,1037
2015-05-18,1027
2015-05-19,1018
2015-05-20,994
2015-05-21,979
2015-05-22,958
2015-05-23,948
2015-05-24,965
2015-05-25,993
2015-05-26,1035
2015-05-27,1075
2015-05-28,1112
2015-05-29,1093
2015-05-30,1068
2015-05-31,1050
2015-06-01,1016
2015-06-02,977
2015-06-03,975
2015-06-04,987
2015-06-05,1004
2015-06-06,1006
2015-06-07,1000
2015-06-08,996
2015-06-09,996
2015-06-10,998
2015-06-11,1007
2015-06-12,1009
2015-06-13,1026
2015-06-14,1067
2015-06-15,1067
2015-06-16,1068
2015-06-17,1056
2015-06-18,1048
2015-06-19,1037
2015-06-20,1016
2015-06-21,1001
2015-06-22,987
2015-06-23,983
2015-06-24,994
2015-06-25,989
2015-06-26,985
2015-06-27,982
2015-06-28,974
2015-06-29,964
2015-06-30,954
2015-07-01,938
2015-07-02,926
2015-07-03,915
2015-07-04,912
2015-07-05,924
2015-07-06,924
2015-07-07,912
2015-07-08,883
2015-07-09,877
2015-07-10,866
2015-07-11,843
2015-07-12,837
2015-07-13,829
2015-07-14,813
2015-07-15,851
2015-07-16,871
2015-07-17,870
2015-07-18,860
2015-07-19,848
2015-07-20,816
2015-07-21,795
2015-07-22,797
2015-07-23,781
2015-07-24,792
2015-07-25,791
2015-07-26,784
2015-07-27,773
2015-07-28,757
2015-07-29,745
2015-07-30,743
2015-07-31,750
2015-08-01,783
2015-08-02,790
2015-08-03,825
2015-08-04,836
2015-08-05,818
2015-08-06,797
2015-08-07,772
2015-08-08,765
2015-08-09,769
2015-08-10,770
2015-08-11,761
2015-08-12,751
2015-08-13,754
2015-08-14,764
2015-08-15,774
2015-08-16,769
2015-08-17,766
2015-08-18,758
2015-08-19,743
2015-08-20,732
2015-08-21,737
2015-08-22,735
2015-08-23,730
2015-08-24,733
2015-08-25,739
2015-08-26,735
2015-08-27,730
2015-08-28,729
2015-08-29,727
2015-08-30,732
2015-08-31,728
2015-09-01,711
2015-09-02,701
2015-09-03,685
2015-09-04,678
2015-09-05,670
2015-09-06,669
2015-09-07,685
2015-09-08,703
2015-09-09,699
2015-09-10,707
2015-09-11,721
2015-09-12,734
2015-09-13,753
2015-09-14,752
2015-09-15,744
2015-09-16,727
2015-09-17,719
2015-09-18,719
2015-09-19,742
2015-09-20,745
2015-09-21,740
2015-09-22,753
2015-09-23,768
2015-09-24,765
2015-09-25,782
2015-09-27,825
2015-09-28,863
2015-09-29,901
2015-09-30,937
2015-10-05,1003
2015-10-06,997
2015-10-07,1000
2015-10-08,999
2015-10-09,978
2015-10-10,968
2015-10-11,958
2015-10-12,947
2015-10-13,963
2015-10-14,966
2015-10-15,999
2015-10-16,1034
2015-10-17,1046
2015-10-18,1049
2015-10-19,997
2015-10-20,958
2015-10-22,914
2015-10-23,950
2015-10-24,962
2015-10-25,964
2015-10-26,944
2015-10-27,928
2015-10-29,908
2015-10-30,897
2015-10-31,878
2015-11-01,865
2015-11-02,833
2015-11-03,819
2015-11-04,796
2015-11-05,799
2015-11-06,832
2015-11-07,852
2015-11-08,832
2015-11-09,857
2015-11-10,871
2015-11-11,901
2015-11-12,942
2015-11-13,935
2015-11-14,948
2015-11-15,981
2015-11-16,1002
2015-11-17,1020
2015-11-18,1037
2015-11-19,1081
2015-11-20,1126
2015-11-21,1163
2015-11-22,1206
2015-11-23,1205
2015-11-24,1206
2015-11-25,1262
2015-11-26,1309
2015-11-27,1312
2015-11-28,1314
2015-11-29,1350
2015-11-30,1386
2015-12-01,1363
2015-12-02,1349
2015-12-03,1340
2015-12-04,1350
2015-12-05,1394
2015-12-06,1371
2015-12-07,1356
2015-12-08,1343
2015-12-09,1337
2015-12-10,1374
2015-12-11,1409
2015-12-12,1367
2015-12-13,1327
2015-12-14,1270
2015-12-15,1209
2015-12-16,1148
2015-12-17,1113
2015-12-18,1074
2015-12-19,1032
2015-12-20,987
2015-12-21,955
2015-12-22,936
2015-12-23,924
2015-12-24,949
2015-12-25,944
2015-12-26,937
2015-12-27,920
2015-12-28,910
2015-12-29,928
2015-12-30,974
2015-12-31,974
2016-01-01,933
2016-01-02,899
2016-01-03,898
2016-01-04,919
2016-01-05,909
2016-01-06,889
2016-01-07,846
2016-01-08,833
2016-01-09,824
2016-01-10,817
2016-01-11,825
2016-01-12,817
2016-01-13,807
2016-01-14,797
2016-01-15,801
2016-01-16,824
2016-01-17,833
2016-01-18,825
2016-01-19,808
2016-01-20,797
2016-01-21,792
2016-01-22,792
2016-01-23,794
2016-01-24,793
2016-01-25,804
2016-01-26,818
2016-01-27,834
2016-01-28,848
2016-01-29,854
2016-01-30,843
2016-01-31,823
2016-02-01,806
2016-02-02,807
2016-02-03,800
2016-02-04,793
2016-02-05,789
2016-02-06,800
2016-02-07,799
2016-02-08,807
2016-02-09,813
2016-02-10,814
2016-02-11,814
2016-02-12,814
2016-02-13,816
2016-02-14,809
2016-02-15,809
2016-02-16,820
2016-02-17,830
2016-02-18,828
2016-02-19,829
2016-02-20,840
2016-02-21,873
2016-02-22,913
2016-02-23,928
2016-02-24,948
2016-02-25,955
2016-02-26,950
2016-02-27,942
2016-02-28,941
2016-02-29,911
2016-03-01,901
2016-03-02,911
2016-03-03,939
2016-03-04,977
2016-03-05,1000
2016-03-06,1044
2016-03-07,1036
2016-03-08,1044
2016-03-09,1095
2016-03-10,1082
2016-03-11,1105
2016-03-12,1102
2016-03-13,1096
2016-03-14,1079
2016-03-15,1058
2016-03-16,1029
2016-03-17,1012
2016-03-18,1006
2016-03-19,1020
2016-03-20,1041
2016-03-21,1059
2016-03-22,1094
2016-03-23,1122
2016-03-24,1176
2016-03-25,1209
2016-03-26,1192
2016-03-27,1173
2016-03-28,1125
2016-03-29,1070
2016-03-30,1060
2016-03-31,1054
2016-04-01,1085
2016-04-02,1108
2016-04-03,1087
2016-04-04,1084
2016-04-05,1090
2016-04-06,1128
2016-04-07,1125
2016-04-08,1143
2016-04-09,1192
2016-04-10,1212
2016-04-11,1196
2016-04-12,1196
2016-04-13,1204
2016-04-14,1258
2016-04-15,1307
2016-04-16,1280
2016-04-17,1225
2016-04-18,1178
2016-04-19,1179
2016-04-20,1169
2016-04-21,1204
2016-04-22,1211
2016-04-23,1241
2016-04-24,1199
2016-04-25,1157
2016-04-26,1114
2016-04-27,1113
2016-04-28,1120
2016-04-29,1149
2016-04-30,1151
2016-05-01,1144
2016-05-02,1165
2016-05-03,1151
2016-05-04,1147
2016-05-05,1145
2016-05-06,1175
2016-05-07,1229
2016-05-08,1224
2016-05-09,1239
2016-05-10,1204
2016-05-11,1159
2016-05-12,1165
2016-05-13,1166
2016-05-14,1124
2016-05-15,1072
2016-05-16,1023
2016-05-17,998
2016-05-18,1003
2016-05-19,1024
2016-05-22,998
2016-05-23,1001
2016-05-24,1006
2016-05-25,1006
2016-05-26,1011
2016-05-27,1028
2016-05-28,1071
2016-05-29,1077
2016-05-30,1071
2016-05-31,1061
2016-06-01,1057
2016-06-02,1081
2016-06-03,1100
2016-06-04,1143
2016-06-05,1163
2016-06-06,1181
2016-06-07,1164
2016-06-08,1164
2016-06-09,1184
2016-06-10,1218
2016-06-11,1273
2016-06-12,1299
2016-06-13,1336
