date_obj,Skirt%20(lilac) price
2015-02-25,4000
2015-02-26,4000
2015-02-27,4000
2015-02-28,4000
2015-03-01,4000
2015-03-02,4000
2015-03-03,4000
2015-03-04,4000
2015-03-05,4000
2015-03-06,4000
2015-03-07,4000
2015-03-08,4000
2015-03-09,4000
2015-03-10,4000
2015-03-11,4000
2015-03-12,4000
2015-03-13,4000
2015-03-14,4000
2015-03-15,4000
2015-03-16,4000
2015-03-17,4000
2015-03-18,4000
2015-03-19,4000
2015-03-20,4000
2015-03-21,4000
2015-03-22,4000
2015-03-23,4000
2015-03-24,4000
2015-03-25,4000
2015-03-26,4000
2015-03-27,4000
2015-03-28,3906
2015-03-29,3906
2015-03-30,3906
2015-03-31,3906
2015-04-01,3906
2015-04-02,3906
2015-04-03,3906
2015-04-04,3906
2015-04-05,3906
2015-04-06,3906
2015-04-07,3906
2015-04-08,3906
2015-04-09,3906
2015-04-10,3906
2015-04-11,3906
2015-04-12,3906
2015-04-13,3906
2015-04-14,3906
2015-04-15,3906
2015-04-16,3906
2015-04-17,3906
2015-04-18,3906
2015-04-19,3906
2015-04-20,3906
2015-04-21,3906
2015-04-22,3906
2015-04-23,3906
2015-04-24,3906
2015-04-25,3906
2015-04-26,3906
2015-04-27,3867
2015-04-28,3867
2015-04-29,3867
2015-04-30,3867
2015-05-01,3867
2015-05-02,3867
2015-05-03,3867
2015-05-04,3867
2015-05-05,3867
2015-05-06,3867
2015-05-07,3867
2015-05-08,3867
2015-05-09,3867
2015-05-10,3867
2015-05-11,3867
2015-05-12,3867
2015-05-13,3867
2015-05-14,3867
2015-05-15,3867
2015-05-16,3867
2015-05-17,3867
2015-05-18,3867
2015-05-19,3867
2015-05-20,3867
2015-05-21,3867
2015-05-22,3867
2015-05-23,3867
2015-05-24,3867
2015-05-25,3867
2015-05-26,3867
2015-05-27,3867
2015-05-28,3730
2015-05-29,3730
2015-05-30,3730
2015-05-31,3730
2015-06-01,3730
2015-06-02,3730
2015-06-03,3730
2015-06-04,3730
2015-06-05,3730
2015-06-06,3730
2015-06-07,3730
2015-06-08,3730
2015-06-09,3730
2015-06-10,3730
2015-06-11,3730
2015-06-12,3730
2015-06-13,3730
2015-06-14,3730
2015-06-15,3730
2015-06-16,3730
2015-06-17,3730
2015-06-18,3730
2015-06-19,3730
2015-06-20,3574
2015-06-21,3574
2015-06-22,3574
2015-06-23,3574
2015-06-24,3574
2015-06-25,3574
2015-06-26,3574
2015-06-27,3574
2015-06-28,3574
2015-06-29,3574
2015-06-30,3574
2015-07-01,3574
2015-07-02,3574
2015-07-03,3574
2015-07-04,3574
2015-07-05,3574
2015-07-06,3574
2015-07-07,3574
2015-07-08,3574
2015-07-09,3574
2015-07-10,3574
2015-07-11,3574
2015-07-12,3574
2015-07-13,3574
2015-07-14,3574
2015-07-15,3450
2015-07-16,3450
2015-07-17,3450
2015-07-18,3450
2015-07-19,3450
2015-07-20,3450
2015-07-21,3450
2015-07-22,3450
2015-07-23,3450
2015-07-24,3450
2015-07-25,3450
2015-07-26,3450
2015-07-27,3450
2015-07-28,3450
2015-07-29,3450
2015-07-30,3450
2015-07-31,3450
2015-08-01,3450
2015-08-02,3450
2015-08-03,3450
2015-08-04,3450
2015-08-05,3450
2015-08-06,3450
2015-08-07,3450
2015-08-08,3411
2015-08-09,3411
2015-08-10,3411
2015-08-11,3411
2015-08-12,3411
2015-08-13,3411
2015-08-14,3411
2015-08-15,3411
2015-08-16,3411
2015-08-17,3411
2015-08-18,3411
2015-08-19,3411
2015-08-20,3411
2015-08-21,3411
2015-08-22,3411
2015-08-23,3411
2015-08-24,3411
2015-08-25,3411
2015-08-26,3411
2015-08-27,3411
2015-08-28,3411
2015-08-29,3411
2015-08-30,3411
2015-08-31,3411
2015-09-01,3341
2015-09-02,3341
2015-09-03,3341
2015-09-04,3341
2015-09-05,3341
2015-09-06,3341
2015-09-07,3341
2015-09-08,3341
2015-09-09,3341
2015-09-10,3341
2015-09-11,3341
2015-09-12,3341
2015-09-13,3341
2015-09-14,3341
2015-09-15,3341
2015-09-16,3341
2015-09-17,3341
2015-09-18,3341
2015-09-19,3341
2015-09-20,3341
2015-09-21,3341
2015-09-22,3341
2015-09-23,3341
2015-09-24,3341
2015-09-25,3341
