date_obj,Slayer's%20enchantment price
2017-04-12,67800
2017-04-13,70692
2017-04-14,67388
2017-04-15,64018
2017-04-16,60817
2017-04-17,57776
2017-04-18,54887
2017-04-19,52142
2017-04-20,49534
2017-04-21,47057
2017-04-22,44704
2017-04-23,42468
2017-04-24,40344
2017-04-25,38326
2017-04-26,36409
2017-04-27,34588
2017-04-28,32858
2017-04-29,31215
2017-04-30,29654
2017-05-01,28171
2017-05-02,26762
2017-05-03,25423
2017-05-04,24151
2017-05-05,22943
2017-05-06,21795
2017-05-07,20705
2017-05-08,19669
2017-05-09,18685
2017-05-10,17750
2017-05-11,16862
2017-05-12,16018
2017-05-13,15217
2017-05-14,14456
2017-05-15,13733
2017-05-16,13046
2017-05-17,12393
2017-05-18,11773
2017-05-19,11185
2017-05-20,10625
2017-05-21,10094
2017-05-22,9589
2017-05-23,9109
2017-05-24,8653
2017-05-25,8220
2017-05-26,7809
2017-05-27,7418
2017-05-28,7047
2017-05-29,6694
2017-05-30,6359
2017-05-31,6041
2017-06-01,5738
2017-06-02,5451
2017-06-03,5180
2017-06-06,4446
2017-06-07,4223
2017-06-08,4017
2017-06-09,3849
2017-06-10,3656
2017-06-11,3473
2017-06-12,3363
2017-06-13,3195
2017-06-14,3046
2017-06-15,3046
2017-06-16,3049
2017-06-17,3049
2017-06-18,3034
2017-06-19,3034
2017-06-20,2982
2017-06-21,3118
2017-06-22,3118
2017-06-23,3127
2017-06-24,3112
2017-06-25,3110
2017-06-26,3119
2017-06-27,2997
2017-06-28,2997
2017-06-29,3023
2017-06-30,2873
2017-07-01,2873
2017-07-02,2729
2017-07-03,2609
2017-07-04,2520
2017-07-05,2520
2017-07-06,2454
2017-07-07,2454
2017-07-08,2337
2017-07-13,2242
2017-07-14,2287
2017-07-15,2287
2017-07-16,2323
2017-07-17,2320
2017-07-18,2320
2017-07-19,2304
2017-07-20,2238
2017-07-21,2231
2017-07-22,2226
2017-07-23,2289
2017-07-24,2289
2017-07-25,2367
2017-07-26,2278
2017-07-27,2353
2017-07-28,2353
2017-07-29,2392
2017-07-30,2331
2017-07-31,2331
2017-08-01,2396
2017-08-02,2394
2017-08-03,2394
2017-08-04,2446
2017-08-05,2460
2017-08-06,2460
2017-08-09,2655
2017-08-10,2656
2017-08-11,2656
2017-08-12,2696
2017-08-13,2696
2017-08-14,2749
2017-08-15,2749
2017-08-17,2811
2017-08-18,2811
