date_obj,Smouldering%20stone price
2015-03-26,5000000
2015-03-27,5000000
2015-03-28,5000000
2015-03-29,5000000
2015-03-30,5000000
2015-03-31,5000000
2015-04-01,5000000
2015-04-02,5000000
2015-04-03,5000000
2015-04-04,5000000
2015-04-05,5000000
2015-04-06,5000000
2015-04-07,5000000
2015-04-08,5000000
2015-04-09,5000000
2015-04-10,5000000
2015-04-11,5000000
2015-04-12,5000000
2015-04-13,5000000
2015-04-14,5000000
2015-04-15,5000000
2015-04-16,5000000
2015-04-17,5000000
2015-04-18,5000000
2015-04-19,5000000
2015-04-20,5000000
2015-04-21,5000000
2015-04-22,5000000
2015-04-23,5000000
2015-04-24,5000000
2015-04-25,5000000
2015-04-26,5000000
2015-04-27,5000000
2015-04-28,5000000
2015-04-29,5000000
2015-04-30,5000000
2015-05-01,5000000
2015-05-02,5000000
2015-05-03,5000000
2015-05-04,5000000
2015-05-05,5000000
2015-05-06,5000000
2015-05-07,5000000
2015-05-08,5000000
2015-05-09,5000000
2015-05-10,5000000
2015-05-11,5000000
2015-05-12,5000000
2015-05-13,5000000
2015-05-14,5000000
2015-05-15,5000000
2015-05-16,5000000
2015-05-17,5000000
2015-05-18,5000000
2015-05-19,5000000
2015-05-20,5000000
2015-05-21,5000000
2015-05-22,5000000
2015-05-23,5000000
2015-05-24,5000000
2015-05-25,5000000
2015-05-26,5000000
2015-05-27,5000000
2015-05-28,5000000
2015-05-29,5000000
2015-05-30,5000000
2015-05-31,5000000
2015-06-01,5000000
2015-06-02,5000000
2015-06-03,5000000
2015-06-04,5000000
2015-06-05,5000000
2015-06-06,5000000
2015-06-07,5000000
2015-06-08,5000000
2015-06-09,5000000
2015-06-10,5000000
2015-06-11,5000000
2015-06-12,5000000
2015-06-13,5000000
2015-06-14,5000000
2015-06-15,5000000
2015-06-16,5000000
2015-06-17,5000000
2015-06-18,5000000
2015-06-19,5000000
2015-06-20,5000000
2015-06-21,5000000
2015-06-22,5000000
2015-06-23,5000000
2015-06-24,5000000
2015-06-25,5000000
2015-06-26,5000000
2015-06-27,5000000
2015-06-28,5000000
2015-06-29,5000000
2015-06-30,5000000
2015-07-01,5000000
2015-07-02,5000000
2015-07-03,5000000
2015-07-04,5000000
2015-07-05,5000000
2015-07-06,5000000
2015-07-07,5000000
2015-07-08,5000000
2015-07-09,5000000
2015-07-10,5000000
2015-07-11,5000000
2015-07-12,5000000
2015-07-13,5000000
2015-07-14,5000000
2015-07-15,5000000
2015-07-16,5000000
2015-07-17,5000000
2015-07-18,5000000
2015-07-19,5000000
2015-07-20,5000000
2015-07-21,5000000
2015-07-22,5000000
2015-07-23,5000000
2015-07-24,5000000
2015-07-25,5000000
2015-07-26,5000000
2015-07-27,5000000
2015-07-28,5000000
2015-07-29,5000000
2015-07-30,5000000
2015-07-31,5000000
2015-08-01,5000000
2015-08-02,5000000
2015-08-03,5000000
2015-08-04,5000000
2015-08-05,5000000
2015-08-06,5000000
2015-08-07,5000000
2015-08-08,5000000
2015-08-09,5000000
2015-08-10,5000000
2015-08-11,5000000
2015-08-12,5000000
2015-08-13,5000000
2015-08-14,5000000
2015-08-15,5000000
2015-08-16,5000000
2015-08-17,5000000
2015-08-18,5000000
2015-08-19,5000000
2015-08-20,5000000
2015-08-21,5000000
2015-08-22,5000000
2015-08-23,5000000
2015-08-24,5000000
2015-08-25,5000000
2015-08-26,5000000
2015-08-27,4804530
2015-08-28,4564303
2015-08-29,4336087
2015-08-30,4119282
2015-08-31,3913317
2015-09-01,3717651
2015-09-02,3532177
2015-09-03,3355568
2015-09-04,3187789
2015-09-05,3030929
2015-09-06,2885640
2015-09-07,2744468
2015-09-08,2608093
2015-09-09,2481180
2015-09-10,2357121
2015-09-11,2241412
2015-09-12,2131369
2015-09-13,2025734
2015-09-14,1926650
2015-09-15,1832534
2015-09-16,1832534
2015-09-17,1740907
2015-09-18,1740907
2015-09-19,1655201
2015-09-20,1655201
2015-09-21,1573208
2015-09-22,1496026
2015-09-23,1422688
2015-09-24,1422688
2015-09-25,1352427
2015-09-27,1284805
2015-09-28,1221704
2015-09-29,1221704
2015-09-30,1160618
2015-10-05,1049030
2015-10-06,998730
2015-10-07,998730
2015-10-08,951236
2015-10-09,951236
2015-10-10,904757
2015-10-11,904757
2015-10-12,859519
2015-10-13,859519
2015-10-14,859519
2015-10-15,816543
2015-10-16,816543
2015-10-17,816543
2015-10-18,775715
2015-10-19,775715
2015-10-20,736929
2015-10-22,736929
2015-10-23,700118
2015-10-24,700118
2015-10-25,665112
2015-10-26,665112
2015-10-27,665112
2015-10-29,631856
2015-10-30,631856
2015-10-31,601509
2015-11-01,601509
2015-11-02,601509
2015-11-03,573168
2015-11-04,573168
2015-11-05,573168
2015-11-06,544509
2015-11-07,544509
2015-11-08,544509
2015-11-09,522602
2015-11-10,522602
2015-11-11,522602
2015-11-12,505740
2015-11-13,505740
2015-11-14,505740
2015-11-15,517065
2015-11-16,517065
2015-11-17,517065
2015-11-18,517065
2015-11-19,539759
2015-11-20,539759
2015-11-21,539759
2015-11-22,554185
2015-11-23,554185
2015-11-24,554185
2015-11-25,554185
2015-11-26,576044
2015-11-27,576044
2015-11-28,576044
2015-11-29,598711
2015-11-30,598711
2015-12-01,598711
2015-12-02,598711
2015-12-03,626577
2015-12-04,626577
2015-12-05,626577
2015-12-06,626577
2015-12-07,648555
2015-12-08,648555
2015-12-09,648555
2015-12-10,621394
2015-12-11,621394
2015-12-12,621394
2015-12-13,621394
2015-12-14,602414
2015-12-15,602414
2015-12-16,602414
2015-12-17,602414
2015-12-18,584867
2015-12-19,584867
2015-12-20,584867
2015-12-21,563134
2015-12-22,563134
2015-12-23,563134
2015-12-24,563134
2015-12-25,539437
2015-12-26,539437
2015-12-27,539437
2015-12-28,522444
2015-12-29,522444
2015-12-30,522444
2015-12-31,497158
2016-01-01,497158
2016-01-02,497158
2016-01-03,485626
2016-01-04,485626
2016-01-05,485626
2016-01-06,495014
2016-01-07,495014
2016-01-08,495014
2016-01-09,483980
2016-01-10,483980
2016-01-11,483980
2016-01-12,471673
2016-01-13,471673
2016-01-14,471673
2016-01-15,474189
2016-01-16,474189
2016-01-17,474189
2016-01-18,473779
2016-01-19,473779
2016-01-20,473779
2016-01-21,456279
2016-01-22,456279
2016-01-23,456279
2016-01-24,439221
2016-01-25,439221
2016-01-26,439221
2016-01-27,430113
2016-01-28,430113
2016-01-29,430113
2016-01-30,416228
2016-01-31,416228
2016-02-01,397224
2016-02-02,397224
2016-02-03,397224
2016-02-04,384387
2016-02-05,384387
2016-02-06,384387
2016-02-07,388508
2016-02-08,388508
2016-02-09,388508
2016-02-10,383466
2016-02-11,383466
2016-02-12,383466
2016-02-13,366229
2016-02-14,366229
2016-02-15,366229
2016-02-16,357850
2016-02-17,357850
2016-02-18,357850
2016-02-19,353493
2016-02-20,353493
2016-02-21,356038
2016-02-22,356038
2016-02-23,356038
2016-02-24,356038
2016-02-25,350541
2016-02-26,350541
2016-02-27,350541
2016-02-28,337315
2016-02-29,337315
2016-03-01,337315
2016-03-02,321842
2016-03-03,321842
2016-03-04,321842
2016-03-05,311743
