date_obj,Spice price
2015-03-26,7939
2015-03-27,7939
2015-03-28,7542
2015-03-29,7164
2015-03-30,6805
2015-03-31,6464
2015-04-01,6464
2015-04-02,6140
2015-04-03,5833
2015-04-04,5541
2015-04-05,5541
2015-04-06,5263
2015-04-07,4999
2015-04-08,4999
2015-04-09,4749
2015-04-10,4511
2015-04-11,4285
2015-04-12,4070
2015-04-13,3866
2015-04-14,3866
2015-04-15,3672
2015-04-16,3672
2015-04-17,3488
2015-04-18,3313
2015-04-19,3149
2015-04-20,3149
2015-04-21,2991
2015-04-22,2991
2015-04-23,2842
2015-04-24,2842
2015-04-25,2699
2015-04-26,2699
2015-04-27,2564
2015-04-28,2435
2015-04-29,2435
2015-04-30,2313
2015-05-01,2197
2015-05-02,2087
2015-05-03,2087
2015-05-04,1982
2015-05-05,1982
2015-05-06,1882
2015-05-07,1787
2015-05-08,1787
2015-05-09,1697
2015-05-10,1612
2015-05-11,1612
2015-05-12,1531
2015-05-13,1531
2015-05-14,1454
2015-05-15,1454
2015-05-16,1466
2015-05-17,1432
2015-05-18,1360
2015-05-19,1360
2015-05-20,1292
2015-05-21,1292
2015-05-22,1227
2015-05-23,1227
2015-05-24,1195
2015-05-25,1164
2015-05-26,1164
2015-05-27,1121
2015-05-28,1064
2015-05-29,1010
2015-05-30,985
2015-05-31,989
2015-06-01,966
2015-06-02,966
2015-06-03,957
2015-06-04,923
2015-06-05,876
2015-06-06,833
2015-06-07,808
2015-06-08,802
2015-06-09,806
2015-06-10,780
2015-06-11,746
2015-06-12,750
2015-06-13,731
2015-06-14,720
2015-06-15,734
2015-06-16,755
2015-06-17,775
2015-06-18,783
2015-06-19,788
2015-06-20,782
2015-06-21,771
2015-06-22,753
2015-06-23,766
2015-06-24,779
2015-06-25,779
2015-06-26,794
2015-06-27,794
2015-06-28,754
2015-06-29,716
2015-06-30,694
2015-07-01,695
2015-07-02,695
2015-07-03,696
2015-07-04,706
2015-07-05,693
2015-07-06,700
2015-07-07,685
2015-07-08,706
2015-07-09,706
2015-07-10,697
2015-07-11,691
2015-07-12,692
2015-07-13,701
2015-07-14,712
2015-07-15,722
2015-07-16,726
2015-07-17,712
2015-07-18,708
2015-07-19,697
2015-07-20,685
2015-07-21,698
2015-07-22,701
2015-07-23,701
2015-07-24,690
2015-07-25,679
2015-07-26,675
2015-07-27,661
2015-07-28,654
2015-07-29,671
2015-07-30,677
2015-07-31,668
2015-08-01,637
2015-08-02,605
2015-08-03,575
2015-08-04,550
2015-08-05,523
2015-08-06,497
2015-08-07,473
2015-08-08,469
2015-08-09,471
2015-08-10,488
2015-08-11,513
2015-08-12,513
2015-08-13,533
2015-08-14,552
2015-08-15,532
2015-08-16,532
2015-08-17,555
2015-08-18,573
2015-08-19,565
2015-08-20,581
2015-08-21,588
2015-08-22,615
2015-08-23,615
2015-08-24,599
2015-08-25,599
2015-08-26,589
2015-08-27,582
2015-08-28,592
2015-08-29,587
2015-08-30,587
2015-08-31,565
2015-09-01,586
2015-09-02,586
2015-09-03,613
2015-09-04,632
2015-09-05,632
2015-09-06,632
2015-09-07,603
2015-09-08,583
2015-09-09,602
2015-09-10,618
2015-09-11,649
2015-09-12,624
2015-09-13,642
2015-09-14,642
2015-09-15,651
2015-09-16,651
2015-09-17,671
2015-09-18,671
2015-09-19,637
2015-09-20,606
2015-09-21,588
2015-09-22,569
2015-09-23,560
2015-09-24,560
2015-09-25,573
2015-09-27,609
2015-09-28,629
2015-09-29,652
2015-09-30,674
2015-10-05,687
2015-10-06,681
2015-10-07,681
2015-10-08,663
2015-10-09,653
2015-10-10,653
2015-10-11,637
2015-10-12,645
2015-10-13,645
2015-10-14,673
2015-10-15,673
2015-10-16,653
2015-10-17,653
2015-10-18,621
2015-10-19,624
2015-10-20,610
2015-10-22,599
2015-10-23,590
2015-10-24,607
2015-10-25,595
2015-10-26,603
2015-10-27,603
2015-10-29,632
2015-10-30,654
2015-10-31,640
2015-11-01,640
2015-11-02,628
2015-11-03,616
2015-11-04,616
2015-11-05,600
2015-11-06,600
2015-11-07,581
2015-11-08,581
2015-11-09,553
2015-11-10,553
2015-11-11,525
2015-11-12,500
2015-11-13,500
2015-11-14,507
2015-11-15,533
2015-11-16,533
2015-11-17,555
2015-11-18,555
2015-11-19,542
2015-11-20,565
2015-11-21,565
2015-11-22,565
2015-11-23,565
2015-11-24,561
2015-11-25,578
2015-11-26,578
2015-11-27,592
2015-11-28,610
2015-11-29,618
2015-11-30,632
2015-12-01,632
2015-12-02,663
2015-12-03,645
2015-12-04,645
2015-12-05,659
2015-12-06,627
2015-12-07,648
2015-12-08,628
2015-12-09,636
2015-12-10,647
2015-12-11,643
2015-12-12,617
2015-12-13,600
2015-12-14,600
2015-12-15,595
2015-12-16,596
2015-12-17,596
2015-12-18,620
2015-12-19,628
2015-12-20,633
2015-12-21,659
2015-12-22,644
2015-12-23,635
2015-12-24,604
2015-12-25,575
2015-12-26,555
2015-12-27,546
2015-12-28,562
2015-12-29,581
2015-12-30,574
2015-12-31,578
2016-01-01,587
2016-01-02,571
2016-01-03,586
2016-01-04,595
2016-01-05,601
2016-01-06,588
2016-01-07,608
2016-01-08,588
2016-01-09,580
2016-01-10,566
2016-01-11,567
2016-01-12,558
2016-01-13,566
2016-01-14,570
2016-01-15,549
2016-01-16,532
2016-01-17,539
2016-01-18,548
2016-01-19,539
2016-01-20,532
2016-01-21,521
2016-01-22,513
2016-01-23,514
2016-01-24,518
2016-01-25,516
2016-01-26,521
2016-01-27,510
2016-01-28,510
2016-01-29,508
2016-01-30,508
2016-01-31,492
2016-02-01,483
2016-02-02,474
2016-02-03,475
2016-02-04,478
2016-02-05,475
2016-02-06,470
2016-02-07,470
2016-02-08,490
2016-02-09,490
2016-02-10,504
2016-02-11,507
2016-02-12,497
2016-02-13,493
2016-02-14,493
2016-02-15,510
2016-02-16,536
2016-02-17,545
2016-02-18,545
2016-02-19,520
2016-02-20,520
2016-02-21,524
2016-02-22,524
2016-02-23,507
2016-02-24,487
2016-02-25,488
