date_obj,Spicy%20crunchies price
2015-03-26,400
2015-03-27,400
2015-03-28,400
2015-03-29,400
2015-03-30,400
2015-03-31,400
2015-04-01,400
2015-04-02,400
2015-04-03,400
2015-04-04,400
2015-04-05,400
2015-04-06,400
2015-04-07,400
2015-04-08,400
2015-04-09,400
2015-04-10,400
2015-04-11,400
2015-04-12,400
2015-04-13,400
2015-04-14,400
2015-04-15,406
2015-04-16,406
2015-04-17,406
2015-04-18,406
2015-04-19,406
2015-04-20,406
2015-04-21,406
2015-04-22,406
2015-04-23,406
2015-04-24,406
2015-04-25,406
2015-04-26,406
2015-04-27,406
2015-04-28,406
2015-04-29,406
2015-04-30,406
2015-05-01,406
2015-05-02,406
2015-05-03,406
2015-05-04,406
2015-05-05,406
2015-05-06,406
2015-05-07,406
2015-05-08,406
2015-05-09,406
2015-05-10,406
2015-05-11,406
2015-05-12,406
2015-05-13,406
2015-05-14,406
2015-05-15,406
2015-05-16,406
2015-05-17,406
2015-05-18,406
2015-05-19,406
2015-05-20,406
2015-05-21,406
2015-05-22,406
2015-05-23,406
2015-05-24,406
2015-05-25,406
2015-05-26,406
2015-05-27,406
2015-05-28,413
2015-05-29,413
2015-05-30,413
2015-05-31,413
2015-06-01,413
2015-06-02,413
2015-06-03,413
2015-06-04,413
2015-06-05,413
2015-06-06,413
2015-06-07,413
2015-06-08,413
2015-06-09,413
2015-06-10,413
2015-06-11,413
2015-06-12,413
2015-06-13,413
2015-06-14,413
2015-06-15,413
2015-06-16,413
2015-06-17,413
2015-06-18,413
2015-06-19,413
2015-06-20,413
2015-06-21,413
2015-06-22,413
2015-06-23,413
2015-06-24,413
2015-06-25,413
2015-06-26,413
2015-06-27,413
2015-06-28,413
2015-06-29,413
2015-06-30,413
2015-07-01,413
2015-07-02,413
2015-07-03,413
2015-07-04,413
2015-07-05,413
2015-07-06,413
2015-07-07,413
2015-07-08,413
2015-07-09,413
2015-07-10,413
2015-07-11,413
2015-07-12,413
2015-07-13,413
2015-07-14,413
2015-07-15,413
2015-07-16,413
2015-07-17,413
2015-07-18,413
2015-07-19,413
2015-07-20,413
2015-07-21,413
2015-07-22,413
2015-07-23,413
2015-07-24,413
2015-07-25,413
2015-07-26,413
2015-07-27,413
2015-07-28,413
2015-07-29,413
2015-07-30,413
2015-07-31,413
2015-08-01,413
2015-08-02,413
2015-08-03,413
2015-08-04,413
2015-08-05,413
2015-08-06,413
2015-08-07,413
2015-08-08,413
2015-08-09,413
2015-08-10,413
2015-08-11,413
2015-08-12,413
2015-08-13,413
2015-08-14,413
2015-08-15,413
2015-08-16,413
2015-08-17,413
2015-08-18,418
2015-08-19,418
2015-08-20,418
2015-08-21,418
2015-08-22,418
2015-08-23,418
2015-08-24,418
2015-08-25,418
2015-08-26,418
2015-08-27,418
2015-08-28,418
2015-08-29,418
2015-08-30,418
2015-08-31,418
2015-09-01,418
2015-09-02,418
2015-09-03,418
2015-09-04,418
2015-09-05,418
2015-09-06,418
2015-09-07,418
2015-09-08,418
2015-09-09,418
2015-09-10,418
2015-09-11,418
2015-09-12,418
2015-09-13,418
2015-09-14,418
2015-09-15,418
2015-09-16,418
2015-09-17,418
2015-09-18,418
2015-09-19,418
2015-09-20,418
2015-09-21,418
2015-09-22,418
2015-09-23,418
2015-09-24,418
2015-09-25,418
2015-09-27,418
2015-09-28,418
2015-09-29,418
2015-09-30,418
2015-10-05,418
2015-10-06,418
2015-10-07,418
2015-10-08,418
2015-10-09,418
2015-10-10,418
2015-10-11,418
2015-10-12,418
2015-10-13,418
2015-10-14,418
2015-10-15,418
2015-10-16,418
2015-10-17,418
2015-10-18,418
2015-10-19,418
2015-10-20,418
2015-10-22,418
2015-10-23,418
2015-10-24,418
2015-10-25,418
2015-10-26,418
2015-10-27,418
2015-10-29,422
2015-10-30,422
2015-10-31,422
2015-11-01,422
2015-11-02,422
2015-11-03,422
2015-11-04,422
2015-11-05,422
2015-11-06,422
2015-11-07,422
2015-11-08,422
2015-11-09,422
2015-11-10,422
2015-11-11,422
2015-11-12,422
2015-11-13,422
2015-11-14,422
2015-11-15,422
2015-11-16,422
2015-11-17,422
2015-11-18,422
2015-11-19,422
2015-11-20,422
2015-11-21,422
2015-11-22,422
2015-11-23,422
2015-11-24,422
2015-11-25,422
2015-11-26,422
2015-11-27,422
2015-11-28,422
2015-11-30,422
2015-12-01,422
2015-12-02,422
2015-12-03,422
2015-12-04,422
2015-12-05,422
2015-12-06,422
2015-12-07,422
2015-12-08,422
2015-12-09,422
2015-12-10,422
2015-12-11,422
2015-12-12,422
2015-12-13,422
2015-12-14,422
2015-12-15,422
2015-12-16,422
2015-12-17,422
2015-12-18,422
2015-12-19,422
2015-12-20,422
2015-12-21,422
2015-12-22,422
2015-12-23,422
2015-12-24,422
2015-12-25,422
2015-12-26,422
2015-12-27,422
2015-12-28,422
2015-12-29,422
2015-12-30,422
2015-12-31,422
2016-01-01,422
2016-01-02,422
2016-01-03,422
2016-01-04,422
2016-01-05,422
2016-01-06,422
2016-01-07,422
2016-01-08,437
2016-01-09,437
2016-01-10,437
2016-01-11,437
2016-01-12,437
2016-01-13,437
2016-01-14,437
2016-01-15,437
2016-01-16,437
2016-01-17,437
2016-01-18,437
2016-01-19,437
2016-01-20,437
2016-01-21,437
2016-01-22,437
2016-01-23,437
2016-01-24,437
2016-01-25,437
2016-01-26,437
2016-01-27,437
2016-01-28,437
2016-01-29,437
2016-01-30,437
2016-01-31,437
2016-02-01,437
2016-02-02,437
2016-02-03,437
2016-02-04,437
2016-02-05,437
2016-02-06,437
2016-02-07,437
2016-02-08,437
2016-02-09,437
2016-02-10,437
2016-02-11,437
2016-02-12,437
2016-02-13,437
2016-02-14,437
2016-02-15,437
2016-02-16,437
2016-02-17,437
2016-02-18,437
2016-02-19,437
2016-02-20,437
2016-02-21,437
2016-02-22,437
2016-02-23,431
2016-02-24,431
2016-02-25,431
2016-02-26,431
2016-02-27,431
2016-02-28,431
2016-02-29,431
2016-03-01,431
2016-03-02,431
2016-03-03,431
2016-03-04,431
2016-03-05,431
2016-03-06,431
2016-03-07,431
2016-03-08,431
2016-03-09,431
2016-03-10,431
2016-03-11,431
2016-03-12,431
2016-03-13,431
2016-03-14,431
2016-03-15,431
2016-03-16,431
2016-03-17,431
2016-03-18,431
2016-03-19,431
2016-03-20,431
2016-03-21,431
2016-03-22,431
2016-03-23,431
2016-03-24,431
2016-03-25,431
2016-03-26,431
2016-03-27,431
2016-03-28,431
2016-03-29,431
2016-03-30,431
2016-03-31,431
2016-04-01,431
2016-04-02,431
2016-04-03,431
2016-04-04,431
2016-04-05,420
2016-04-06,420
2016-04-07,420
2016-04-08,420
2016-04-09,420
2016-04-10,420
2016-04-11,420
2016-04-12,420
2016-04-13,420
2016-04-14,420
2016-04-15,420
2016-04-16,420
2016-04-17,420
2016-04-18,420
2016-04-19,420
2016-04-20,420
2016-04-21,420
2016-04-22,420
2016-04-23,420
2016-04-24,420
2016-04-25,420
2016-04-26,420
2016-04-27,420
2016-04-28,420
2016-04-29,420
2016-04-30,420
2016-05-01,420
2016-05-02,420
2016-05-03,420
2016-05-04,420
2016-05-05,420
2016-05-06,420
2016-05-07,420
2016-05-08,420
2016-05-09,420
2016-05-10,420
2016-05-11,418
2016-05-12,418
2016-05-13,418
2016-05-14,418
2016-05-15,418
2016-05-16,418
2016-05-17,418
2016-05-18,418
2016-05-19,418
2016-05-22,418
2016-05-23,418
2016-05-24,418
2016-05-25,418
2016-05-26,418
2016-05-27,418
2016-05-28,418
2016-05-29,418
2016-05-30,418
2016-05-31,418
2016-06-01,418
2016-06-02,418
2016-06-03,418
2016-06-04,418
2016-06-05,418
2016-06-06,418
2016-06-07,418
2016-06-08,418
2016-06-09,418
2016-06-10,418
2016-06-11,407
2016-06-12,407
2016-06-13,407
2016-06-14,407
2016-06-15,407
2016-06-16,407
2016-06-17,407
2016-06-18,407
2016-06-19,407
2016-06-20,407
2016-06-21,407
2016-06-22,407
2016-06-23,407
2016-06-24,407
2016-06-25,407
2016-06-26,407
2016-06-27,407
2016-06-28,407
2016-06-29,407
2016-06-30,407
2016-07-01,407
2016-07-02,407
2016-07-03,407
2016-07-04,407
2016-07-05,407
2016-07-06,407
2016-07-07,407
2016-07-08,407
2016-07-09,407
2016-07-10,407
2016-07-11,407
2016-07-12,407
2016-07-13,389
2016-07-14,389
2016-07-15,389
2016-07-16,389
2016-07-17,389
2016-07-18,389
2016-07-24,389
2016-07-25,389
2016-07-26,389
2016-07-27,389
2016-07-28,389
2016-07-29,389
2016-07-30,389
2016-07-31,389
2016-08-01,389
2016-08-02,389
2016-08-03,389
2016-08-04,389
2016-08-05,389
2016-08-06,389
2016-08-07,389
2016-08-08,389
2016-08-09,389
2016-08-10,389
2016-08-11,389
2016-08-12,389
2016-08-13,389
2016-08-14,389
2016-08-15,389
2016-08-16,389
2016-08-17,389
2016-08-18,389
2016-08-19,389
2016-08-20,389
2016-08-21,389
2016-08-22,389
2016-08-23,389
2016-08-24,389
2016-08-25,389
