date_obj,Spined%20body price
2015-03-26,54061
2015-03-27,54061
2015-03-28,51435
2015-03-29,51435
2015-03-30,51435
2015-03-31,51435
2015-04-01,51435
2015-04-02,51435
2015-04-03,48917
2015-04-04,48917
2015-04-05,48917
2015-04-06,48917
2015-04-07,48917
2015-04-08,48917
2015-04-09,48917
2015-04-10,46538
2015-04-11,46538
2015-04-12,46538
2015-04-13,46538
2015-04-14,46538
2015-04-15,46538
2015-04-16,44389
2015-04-17,44389
2015-04-18,44389
2015-04-19,44389
2015-04-20,44389
2015-04-21,42238
2015-04-22,42238
2015-04-23,42238
2015-04-24,42238
2015-04-25,42238
2015-04-26,42238
2015-04-27,40171
2015-04-28,40171
2015-04-29,40171
2015-04-30,40171
2015-05-01,40171
2015-05-02,40171
2015-05-03,40171
2015-05-04,38201
2015-05-05,38201
2015-05-06,38201
2015-05-07,38201
2015-05-08,38201
2015-05-09,38201
2015-05-10,36343
2015-05-11,36343
2015-05-12,36343
2015-05-13,36343
2015-05-14,36343
2015-05-15,36343
2015-05-16,36343
2015-05-17,34574
2015-05-18,34574
2015-05-19,34574
2015-05-20,34574
2015-05-21,34574
2015-05-22,34574
2015-05-23,34574
2015-05-24,32890
2015-05-25,32890
2015-05-26,32890
2015-05-27,32890
2015-05-28,31292
2015-05-29,31292
2015-05-30,31292
2015-05-31,29799
2015-06-01,29799
2015-06-02,29799
2015-06-03,28380
2015-06-04,28380
2015-06-05,28380
2015-06-06,27036
2015-06-07,27036
2015-06-08,27036
2015-06-09,27036
2015-06-10,25728
2015-06-11,25728
2015-06-12,25728
2015-06-13,25728
2015-06-14,24480
2015-06-15,24480
2015-06-16,24480
2015-06-17,24480
2015-06-18,23487
2015-06-19,23487
2015-06-20,23487
2015-06-21,23487
2015-06-22,22374
2015-06-23,22374
2015-06-24,22374
2015-06-25,22374
2015-06-26,21285
2015-06-27,21285
2015-06-28,21285
2015-06-29,21285
2015-06-30,20253
2015-07-01,20253
2015-07-02,20253
2015-07-03,19304
2015-07-04,19304
2015-07-05,19304
2015-07-06,19304
2015-07-07,18374
2015-07-08,18374
2015-07-09,18374
2015-07-10,18374
2015-07-11,17504
2015-07-12,17504
2015-07-13,17504
2015-07-14,17504
2015-07-15,16663
2015-07-16,16663
2015-07-17,16663
2015-07-18,16663
2015-07-19,15860
2015-07-20,15860
2015-07-21,15860
2015-07-22,15105
2015-07-23,15105
2015-07-24,15105
2015-07-25,15105
2015-07-26,14414
2015-07-27,14414
2015-07-28,14414
2015-07-29,13755
2015-07-30,13755
2015-07-31,13755
2015-08-01,13755
2015-08-02,13096
2015-08-03,13096
2015-08-04,13096
2015-08-05,12475
2015-08-06,12475
2015-08-07,12475
2015-08-08,11887
2015-08-09,11887
2015-08-10,11887
2015-08-11,11419
2015-08-12,11419
2015-08-13,11419
2015-08-14,11419
2015-08-15,10878
2015-08-16,10878
2015-08-17,10878
2015-08-18,10361
2015-08-19,10361
2015-08-20,10361
2015-08-21,9876
2015-08-22,9876
2015-08-23,9876
2015-08-24,9419
2015-08-25,9419
2015-08-26,9419
2015-08-27,9419
2015-08-28,8992
2015-08-29,8992
2015-08-30,8992
2015-08-31,8569
2015-09-01,8569
2015-09-02,8569
2015-09-03,8569
2015-09-04,8161
2015-09-05,8161
2015-09-06,8161
2015-09-07,8161
2015-09-08,7787
2015-09-09,7787
2015-09-10,7787
2015-09-11,7787
2015-09-12,7480
2015-09-13,7480
2015-09-14,7480
