date_obj,Staff%20of%20earth price
2015-03-26,1934
2015-03-27,1934
2015-03-28,1857
2015-03-29,1813
2015-03-30,1736
2015-03-31,1662
2015-04-01,1662
2015-04-02,1580
2015-04-03,1501
2015-04-04,1425
2015-04-05,1425
2015-04-06,1365
2015-04-07,1329
2015-04-08,1329
2015-04-09,1301
2015-04-10,1298
2015-04-11,1290
2015-04-12,1290
2015-04-13,1307
2015-04-14,1307
2015-04-15,1363
2015-04-16,1363
2015-04-17,1354
2015-04-18,1306
2015-04-19,1303
2015-04-20,1303
2015-04-21,1273
2015-04-22,1273
2015-04-23,1287
2015-04-24,1287
2015-04-25,1280
2015-04-26,1280
2015-04-27,1248
2015-04-28,1231
2015-04-29,1231
2015-04-30,1200
2015-05-01,1204
2015-05-02,1205
2015-05-03,1205
2015-05-04,1230
2015-05-05,1230
2015-05-06,1236
2015-05-07,1239
2015-05-08,1239
2015-05-09,1244
2015-05-10,1279
2015-05-11,1279
2015-05-12,1292
2015-05-13,1292
2015-05-14,1316
2015-05-15,1316
2015-05-16,1299
2015-05-17,1306
2015-05-18,1310
2015-05-19,1310
2015-05-20,1301
2015-05-21,1301
2015-05-22,1307
2015-05-23,1307
2015-05-24,1289
2015-05-25,1285
2015-05-26,1285
2015-05-27,1306
2015-05-28,1298
2015-05-29,1294
2015-05-30,1284
2015-05-31,1281
2015-06-01,1286
2015-06-02,1286
2015-06-03,1281
2015-06-04,1284
2015-06-05,1252
2015-06-06,1226
2015-06-07,1206
2015-06-08,1169
2015-06-09,1168
2015-06-10,1153
2015-06-11,1153
2015-06-12,1159
2015-06-13,1155
2015-06-14,1150
2015-06-15,1164
2015-06-16,1169
2015-06-17,1163
2015-06-18,1166
2015-06-19,1171
2015-06-20,1167
2015-06-21,1175
2015-06-22,1150
2015-06-23,1108
2015-06-24,1101
2015-06-25,1101
2015-06-26,1106
2015-06-27,1106
2015-06-28,1105
2015-06-29,1110
2015-06-30,1114
2015-07-01,1102
2015-07-02,1102
2015-07-03,1092
2015-07-04,1115
2015-07-05,1142
2015-07-06,1124
2015-07-07,1101
2015-07-08,1084
2015-07-09,1084
2015-07-10,1082
2015-07-11,1082
2015-07-12,1082
2015-07-13,1083
2015-07-14,1091
2015-07-15,1145
2015-07-16,1194
2015-07-17,1228
2015-07-18,1228
2015-07-19,1251
2015-07-20,1313
2015-07-21,1352
2015-07-22,1391
2015-07-23,1391
2015-07-24,1400
2015-07-25,1388
2015-07-26,1363
2015-07-27,1389
2015-07-28,1425
2015-07-29,1415
2015-07-30,1403
2015-07-31,1403
2015-08-01,1394
2015-08-02,1401
2015-08-03,1453
2015-08-04,1470
2015-08-05,1439
2015-08-06,1458
2015-08-07,1465
2015-08-08,1451
2015-08-09,1475
2015-08-10,1442
2015-08-11,1468
2015-08-12,1468
2015-08-13,1498
2015-08-14,1480
2015-08-15,1480
2015-08-16,1439
2015-08-17,1421
2015-08-18,1388
2015-08-19,1348
2015-08-20,1348
2015-08-21,1390
2015-08-22,1401
2015-08-23,1401
2015-08-24,1426
2015-08-25,1426
2015-08-26,1437
2015-08-27,1432
2015-08-28,1414
2015-08-29,1429
2015-08-30,1429
2015-08-31,1414
2015-09-01,1416
2015-09-02,1416
2015-09-03,1410
2015-09-04,1415
2015-09-05,1415
2015-09-06,1420
2015-09-07,1429
2015-09-08,1476
2015-09-09,1547
2015-09-10,1621
2015-09-11,1690
2015-09-12,1736
2015-09-13,1777
2015-09-14,1777
2015-09-15,1790
2015-09-16,1790
2015-09-17,1700
2015-09-18,1700
2015-09-19,1671
2015-09-20,1671
2015-09-21,1622
2015-09-22,1647
2015-09-23,1601
2015-09-24,1601
2015-09-25,1558
2015-09-27,1541
2015-09-28,1496
2015-09-29,1496
2015-09-30,1472
2015-10-05,1395
2015-10-06,1424
2015-10-07,1424
2015-10-08,1445
2015-10-09,1450
2015-10-10,1450
2015-10-11,1419
2015-10-12,1380
2015-10-13,1380
2015-10-14,1363
2015-10-15,1340
2015-10-16,1362
2015-10-17,1362
2015-10-18,1348
2015-10-19,1340
2015-10-20,1349
2015-10-22,1331
2015-10-23,1328
2015-10-24,1328
2015-10-25,1391
2015-10-26,1400
2015-10-27,1400
2015-10-29,1466
2015-10-30,1466
2015-10-31,1538
2015-11-01,1538
2015-11-02,1555
2015-11-03,1555
2015-11-04,1529
2015-11-05,1518
2015-11-06,1518
2015-11-07,1516
2015-11-08,1516
2015-11-09,1495
2015-11-10,1513
2015-11-11,1486
2015-11-12,1486
2015-11-13,1450
2015-11-14,1473
2015-11-15,1449
2015-11-16,1449
2015-11-17,1457
2015-11-18,1457
2015-11-19,1463
2015-11-20,1476
2015-11-21,1476
2015-11-22,1465
2015-11-23,1465
2015-11-24,1451
2015-11-25,1451
2015-11-26,1451
2015-11-27,1433
2015-11-28,1399
2015-11-29,1426
2015-11-30,1434
2015-12-01,1434
2015-12-02,1440
2015-12-03,1466
2015-12-04,1466
2015-12-05,1505
2015-12-06,1563
2015-12-07,1563
2015-12-08,1598
2015-12-09,1624
2015-12-10,1636
2015-12-11,1636
2015-12-12,1640
2015-12-13,1637
2015-12-14,1637
2015-12-15,1660
2015-12-16,1650
2015-12-17,1650
2015-12-18,1644
2015-12-19,1644
2015-12-20,1621
2015-12-21,1625
2015-12-22,1602
2015-12-23,1601
2015-12-24,1604
2015-12-25,1587
2015-12-26,1564
2015-12-27,1599
2015-12-28,1599
2015-12-29,1599
2015-12-30,1563
2015-12-31,1558
2016-01-01,1558
2016-01-02,1567
2016-01-03,1498
2016-01-04,1484
2016-01-05,1519
2016-01-06,1547
2016-01-07,1533
2016-01-08,1501
2016-01-09,1501
2016-01-10,1474
2016-01-11,1486
2016-01-12,1488
2016-01-13,1488
2016-01-14,1494
2016-01-15,1493
2016-01-16,1499
2016-01-17,1501
2016-01-18,1499
2016-01-19,1499
2016-01-20,1490
2016-01-21,1490
2016-01-22,1509
2016-01-23,1525
2016-01-24,1511
2016-01-25,1488
2016-01-26,1488
2016-01-27,1491
2016-01-28,1491
2016-01-29,1484
2016-01-30,1484
2016-01-31,1493
2016-02-01,1510
2016-02-02,1533
2016-02-03,1564
2016-02-04,1564
2016-02-05,1575
2016-02-06,1604
2016-02-07,1604
2016-02-08,1587
2016-02-09,1574
2016-02-10,1572
2016-02-11,1577
2016-02-12,1577
2016-02-13,1567
2016-02-14,1567
2016-02-15,1547
2016-02-16,1558
2016-02-17,1542
2016-02-18,1542
2016-02-19,1535
2016-02-20,1537
2016-02-21,1604
2016-02-22,1604
2016-02-23,1619
2016-02-24,1619
2016-02-25,1607
2016-02-26,1607
2016-02-27,1632
2016-02-28,1608
2016-02-29,1584
2016-03-01,1580
2016-03-02,1573
2016-03-03,1534
2016-03-04,1491
2016-03-05,1438
2016-03-06,1450
2016-03-07,1450
2016-03-08,1451
2016-03-09,1401
2016-03-10,1376
2016-03-11,1395
2016-03-12,1392
2016-03-13,1392
2016-03-14,1378
2016-03-15,1371
2016-03-16,1386
2016-03-17,1387
2016-03-18,1370
2016-03-19,1377
2016-03-20,1399
2016-03-21,1399
2016-03-22,1405
2016-03-23,1391
2016-03-24,1400
2016-03-25,1413
2016-03-26,1423
2016-03-27,1425
2016-03-28,1415
2016-03-29,1395
2016-03-30,1395
2016-03-31,1332
2016-04-01,1268
2016-04-02,1277
2016-04-03,1282
2016-04-04,1302
2016-04-05,1311
2016-04-06,1313
2016-04-07,1309
2016-04-08,1366
2016-04-09,1380
2016-04-10,1379
2016-04-11,1379
2016-04-12,1391
2016-04-13,1402
2016-04-14,1367
2016-04-15,1359
2016-04-16,1365
2016-04-17,1370
2016-04-18,1402
2016-04-19,1392
2016-04-20,1390
2016-04-21,1449
2016-04-22,1449
2016-04-23,1454
2016-04-24,1450
2016-04-25,1436
2016-04-26,1403
2016-04-27,1383
2016-04-28,1349
2016-04-29,1353
2016-04-30,1358
2016-05-01,1323
2016-05-02,1292
2016-05-03,1249
2016-05-04,1281
2016-05-05,1260
2016-05-06,1260
2016-05-07,1242
2016-05-08,1228
2016-05-09,1217
2016-05-10,1216
2016-05-11,1216
2016-05-12,1226
2016-05-13,1255
2016-05-14,1271
2016-05-15,1265
2016-05-16,1254
2016-05-17,1240
2016-05-18,1226
2016-05-19,1213
2016-05-22,1193
2016-05-23,1174
2016-05-24,1135
2016-05-25,1114
2016-05-26,1061
2016-05-27,1026
2016-05-28,1026
2016-05-29,1015
2016-05-30,1015
2016-05-31,996
2016-06-01,970
2016-06-02,958
2016-06-03,960
2016-06-04,951
2016-06-05,915
2016-06-06,951
2016-06-07,951
2016-06-08,999
2016-06-09,1025
2016-06-10,1049
2016-06-11,1070
2016-06-12,1077
2016-06-13,1075
2016-06-14,1064
2016-06-15,1047
2016-06-16,1008
2016-06-17,997
2016-06-18,984
2016-06-19,968
2016-06-20,984
2016-06-21,961
2016-06-22,966
2016-06-23,956
2016-06-24,962
2016-06-25,968
2016-06-26,950
2016-06-27,905
2016-06-28,867
2016-06-29,846
2016-06-30,852
2016-07-01,861
2016-07-02,882
2016-07-03,912
2016-07-04,958
2016-07-05,1006
2016-07-06,1055
2016-07-07,1104
2016-07-08,1107
2016-07-09,1111
2016-07-10,1119
2016-07-11,1160
2016-07-12,1190
2016-07-13,1142
2016-07-14,1119
2016-07-15,1098
2016-07-16,1090
2016-07-17,1068
2016-07-18,1036
2016-07-24,952
2016-07-25,945
2016-07-26,945
2016-07-27,926
2016-07-28,967
2016-07-29,1016
2016-07-30,1043
2016-07-31,1043
2016-08-01,1029
2016-08-02,1006
2016-08-03,974
2016-08-04,977
2016-08-05,977
2016-08-06,990
2016-08-07,993
2016-08-08,993
2016-08-09,1010
2016-08-10,997
2016-08-11,997
2016-08-12,991
2016-08-13,1006
2016-08-14,1008
2016-08-15,999
2016-08-16,1003
2016-08-17,1003
2016-08-18,1016
2016-08-19,1029
2016-08-20,1019
2016-08-21,1019
2016-08-22,976
2016-08-23,966
2016-08-24,1000
2016-08-25,1031
2016-08-26,1031
2016-08-28,1032
2016-08-31,986
2016-09-01,986
2016-09-02,986
2016-09-03,979
2016-09-04,976
2016-09-05,949
2016-09-06,983
2016-09-07,983
2016-09-08,974
2016-09-09,974
2016-09-10,987
2016-09-11,987
2016-09-12,989
2016-09-13,991
2016-09-14,991
2016-09-15,975
2016-09-16,975
2016-09-17,1004
2016-09-18,1033
2016-09-19,1029
2016-09-20,1029
2016-09-21,1024
2016-09-22,1009
2016-09-23,1000
2016-09-24,1000
2016-09-25,1012
2016-09-26,1012
2016-09-27,1007
2016-09-28,1058
2016-09-29,1058
2016-09-30,1068
2016-10-01,1070
2016-10-02,1070
2016-10-03,1060
2016-10-04,1027
