date_obj,Steam%20staff%20upgrade%20kit price
2015-03-26,131167
2015-03-27,131167
2015-03-28,131167
2015-03-29,131167
2015-03-30,131167
2015-03-31,124688
2015-04-01,124688
2015-04-02,124688
2015-04-03,124688
2015-04-04,124688
2015-04-05,124688
2015-04-06,124688
2015-04-07,124688
2015-04-08,124688
2015-04-09,124688
2015-04-10,124688
2015-04-11,124688
2015-04-12,124688
2015-04-13,124688
2015-04-14,124688
2015-04-15,124688
2015-04-16,124688
2015-04-17,124688
2015-04-18,124688
2015-04-19,118529
2015-04-20,118529
2015-04-21,118529
2015-04-22,118529
2015-04-23,118529
2015-04-24,118529
2015-04-25,118529
2015-04-26,118529
2015-04-27,118529
2015-04-28,118529
2015-04-29,118529
2015-04-30,118529
2015-05-01,118529
2015-05-02,118529
2015-05-03,118529
2015-05-04,118529
2015-05-05,118529
2015-05-06,118529
2015-05-07,116000
2015-05-08,116000
2015-05-09,116000
2015-05-10,116000
2015-05-11,116000
2015-05-12,116000
2015-05-13,116000
2015-05-14,116000
2015-05-15,116000
2015-05-16,116000
2015-05-17,116000
2015-05-18,116000
2015-05-19,116000
2015-05-20,116000
2015-05-21,116000
2015-05-22,116000
2015-05-23,116000
2015-05-24,114718
2015-05-25,114718
2015-05-26,114718
2015-05-27,114718
2015-05-28,114718
2015-05-29,114718
2015-05-30,114718
2015-05-31,114718
2015-06-01,114718
2015-06-02,114718
2015-06-03,114718
2015-06-04,114718
2015-06-05,112578
2015-06-06,112578
2015-06-07,112578
2015-06-08,112578
2015-06-09,112578
2015-06-10,112578
2015-06-11,112578
2015-06-12,112578
2015-06-13,112578
2015-06-14,112578
2015-06-15,112578
2015-06-16,112578
2015-06-17,107373
2015-06-18,107373
2015-06-19,107373
2015-06-20,107373
2015-06-21,107373
2015-06-22,107373
2015-06-23,107373
2015-06-24,107373
2015-06-25,107373
2015-06-26,107373
2015-06-27,107373
2015-06-28,102938
2015-06-29,102938
2015-06-30,102938
2015-07-01,102938
2015-07-02,102938
2015-07-03,102938
2015-07-04,102938
2015-07-05,102938
2015-07-06,102938
2015-07-07,102938
2015-07-08,102938
2015-07-09,100423
2015-07-10,100423
2015-07-11,100423
2015-07-12,100423
2015-07-13,100423
2015-07-14,100423
2015-07-15,100423
2015-07-16,100423
2015-07-17,100423
2015-07-18,100423
2015-07-19,100423
2015-07-20,98467
2015-07-21,98467
2015-07-22,98467
2015-07-23,98467
2015-07-24,98467
2015-07-25,98467
2015-07-26,98467
2015-07-27,98467
2015-07-28,98467
2015-07-29,98467
2015-07-30,93787
2015-07-31,93787
2015-08-01,93787
2015-08-02,93787
2015-08-03,93787
2015-08-04,93787
2015-08-05,93787
2015-08-06,93787
2015-08-07,93787
2015-08-08,93787
2015-08-09,92530
2015-08-10,92530
2015-08-11,92530
2015-08-12,92530
2015-08-13,92530
2015-08-14,92530
2015-08-15,92530
2015-08-16,92530
2015-08-17,92530
2015-08-18,93166
2015-08-19,93166
2015-08-20,93166
2015-08-21,93166
2015-08-22,93166
2015-08-23,93166
2015-08-24,93166
2015-08-25,93166
2015-08-26,93166
2015-08-27,90226
2015-08-28,90226
2015-08-29,90226
2015-08-30,90226
2015-08-31,90226
2015-09-01,90226
2015-09-02,90226
2015-09-03,90226
2015-09-04,90226
2015-09-05,90226
2015-09-06,90226
2015-09-07,86031
2015-09-08,86031
2015-09-09,86031
2015-09-10,86031
2015-09-11,86031
2015-09-12,86031
2015-09-13,86031
2015-09-14,86031
2015-09-15,86031
2015-09-16,85272
2015-09-17,85272
2015-09-18,85272
2015-09-19,85272
2015-09-20,85272
2015-09-21,85272
2015-09-22,85272
2015-09-23,85272
2015-09-24,85272
2015-09-25,85272
2015-09-27,86134
2015-09-28,86134
2015-09-29,86134
2015-09-30,86134
2015-10-05,86134
2015-10-06,86134
2015-10-07,86134
2015-10-08,84933
2015-10-09,84933
2015-10-10,84933
2015-10-11,84933
2015-10-12,84933
2015-10-13,84933
2015-10-14,84933
2015-10-15,84933
2015-10-16,84933
2015-10-17,84933
2015-10-18,84933
2015-10-19,84385
2015-10-20,84385
2015-10-22,84385
2015-10-23,84385
2015-10-24,84385
2015-10-25,84385
2015-10-26,84385
2015-10-27,84385
2015-10-29,80165
2015-10-30,80165
2015-10-31,80165
2015-11-01,80165
2015-11-02,80165
2015-11-03,80165
2015-11-04,80165
2015-11-05,80165
2015-11-06,80165
2015-11-07,80165
2015-11-08,80165
2015-11-09,76767
2015-11-10,76767
2015-11-11,76767
2015-11-12,76767
2015-11-13,76767
2015-11-14,76767
2015-11-15,76767
2015-11-16,76767
2015-11-17,76767
2015-11-18,76767
2015-11-19,76767
2015-11-20,76767
2015-11-21,74381
2015-11-22,74381
2015-11-23,74381
2015-11-24,74381
2015-11-25,74381
2015-11-26,74381
2015-11-27,74381
2015-11-28,74381
2015-11-29,74381
2015-11-30,74381
2015-12-01,77302
2015-12-02,77302
2015-12-03,77302
2015-12-04,77302
2015-12-05,77302
2015-12-06,77302
2015-12-07,77302
2015-12-08,77302
2015-12-09,77302
2015-12-10,77302
2015-12-11,79987
2015-12-12,79987
2015-12-13,79987
2015-12-14,79987
2015-12-15,79987
2015-12-16,79987
2015-12-17,79987
2015-12-18,79987
2015-12-19,79987
2015-12-20,82302
2015-12-21,82302
2015-12-22,82302
2015-12-23,82302
2015-12-24,82302
2015-12-25,82302
2015-12-26,82302
2015-12-27,82302
2015-12-28,82302
2015-12-29,84161
2015-12-30,84161
2015-12-31,84161
2016-01-01,84161
2016-01-02,84161
2016-01-03,84161
2016-01-04,84161
2016-01-05,84161
2016-01-06,83602
2016-01-07,83602
2016-01-08,83602
2016-01-09,83602
2016-01-10,83602
2016-01-11,83602
2016-01-12,83602
2016-01-13,83602
2016-01-14,87264
2016-01-15,87264
2016-01-16,87264
2016-01-17,87264
2016-01-18,87264
2016-01-19,87264
2016-01-20,87264
2016-01-21,87264
2016-01-22,87264
2016-01-23,87264
2016-01-24,87428
2016-01-25,87428
2016-01-26,87428
2016-01-27,87428
2016-01-28,87428
2016-01-29,87428
2016-01-30,87428
2016-01-31,87428
2016-02-01,83826
2016-02-02,83826
2016-02-03,83826
2016-02-04,83826
2016-02-05,83826
2016-02-06,83826
2016-02-07,83826
2016-02-08,83826
2016-02-09,83826
2016-02-10,79679
2016-02-11,79679
2016-02-12,79679
2016-02-13,79679
2016-02-14,79679
2016-02-15,79679
2016-02-16,79679
2016-02-17,79679
2016-02-18,79679
2016-02-19,79679
2016-02-20,79161
2016-02-21,79161
2016-02-22,79161
2016-02-23,79161
2016-02-24,79161
2016-02-25,79161
2016-02-26,79161
2016-02-27,79161
2016-02-28,80877
2016-02-29,80877
2016-03-01,80877
2016-03-02,80877
2016-03-03,80877
2016-03-04,80877
2016-03-05,80877
2016-03-06,80877
2016-03-07,79485
2016-03-08,79485
2016-03-09,79485
2016-03-10,79485
2016-03-11,79485
2016-03-12,79485
2016-03-13,79485
2016-03-14,79485
2016-03-15,77218
2016-03-16,77218
2016-03-17,77218
2016-03-18,77218
2016-03-19,77218
2016-03-20,77218
2016-03-21,77218
2016-03-22,77218
2016-03-23,77218
2016-03-24,78206
2016-03-25,78206
2016-03-26,78206
2016-03-27,78206
2016-03-28,78206
2016-03-29,78206
2016-03-30,78206
2016-03-31,78206
2016-04-01,78206
2016-04-02,74579
2016-04-03,74579
2016-04-04,74579
2016-04-05,74579
2016-04-06,74579
2016-04-07,74579
2016-04-08,74579
2016-04-09,74579
2016-04-10,74579
2016-04-11,73707
2016-04-12,73707
2016-04-13,73707
2016-04-14,73707
2016-04-15,73707
2016-04-16,73707
2016-04-17,73707
2016-04-18,73707
2016-04-19,73707
2016-04-20,74669
2016-04-21,74669
2016-04-22,74669
2016-04-23,74669
2016-04-24,74669
2016-04-25,74669
2016-04-26,74669
2016-04-27,74669
2016-04-28,77665
2016-04-29,77665
2016-04-30,77665
2016-05-01,77665
2016-05-02,77665
2016-05-03,77665
2016-05-04,77665
2016-05-05,80780
2016-05-06,80780
2016-05-07,80780
2016-05-08,80780
2016-05-09,80780
2016-05-10,80780
2016-05-11,80780
2016-05-12,80780
2016-05-13,80780
2016-05-14,80515
2016-05-15,80515
2016-05-16,80515
2016-05-17,80515
2016-05-18,80515
2016-05-19,80515
2016-05-22,78933
2016-05-23,78933
2016-05-24,78933
2016-05-25,78933
2016-05-26,78933
2016-05-27,78933
2016-05-28,77089
2016-05-29,77089
2016-05-30,77089
2016-05-31,77089
2016-06-01,77089
2016-06-02,77089
2016-06-03,77089
2016-06-04,77832
2016-06-05,77832
2016-06-06,77832
2016-06-07,77832
2016-06-08,77832
2016-06-09,77832
2016-06-10,79755
2016-06-11,79755
2016-06-12,79755
2016-06-13,79755
2016-06-14,79755
2016-06-15,79755
2016-06-16,79755
2016-06-17,81859
2016-06-18,81859
2016-06-19,81859
2016-06-20,81859
2016-06-21,81859
2016-06-22,81859
2016-06-23,81859
2016-06-24,80207
2016-06-25,80207
2016-06-26,80207
2016-06-27,80207
2016-06-28,80207
