date_obj,Steel%20platelegs price
2015-03-26,425
2015-03-27,425
2015-03-28,427
2015-03-29,422
2015-03-30,422
2015-03-31,423
2015-04-01,423
2015-04-02,418
2015-04-03,413
2015-04-04,415
2015-04-05,415
2015-04-06,413
2015-04-07,413
2015-04-08,413
2015-04-09,416
2015-04-10,412
2015-04-11,408
2015-04-12,408
2015-04-13,402
2015-04-14,402
2015-04-15,395
2015-04-16,406
2015-04-17,401
2015-04-18,405
2015-04-19,406
2015-04-20,406
2015-04-21,401
2015-04-22,401
2015-04-23,404
2015-04-24,404
2015-04-25,408
2015-04-26,411
2015-04-27,395
2015-04-28,402
2015-04-29,402
2015-04-30,407
2015-05-01,409
2015-05-02,404
2015-05-03,404
2015-05-04,401
2015-05-05,393
2015-05-06,396
2015-05-07,397
2015-05-08,396
2015-05-09,388
2015-05-10,385
2015-05-11,385
2015-05-12,384
2015-05-13,384
2015-05-14,390
2015-05-15,390
2015-05-16,389
2015-05-17,394
2015-05-18,398
2015-05-19,408
2015-05-20,408
2015-05-21,411
2015-05-22,412
2015-05-23,406
2015-05-24,405
2015-05-25,399
2015-05-26,406
2015-05-27,406
2015-05-28,408
2015-05-29,412
2015-05-30,411
2015-05-31,416
2015-06-01,423
2015-06-02,423
2015-06-03,438
2015-06-04,441
2015-06-05,430
2015-06-06,434
2015-06-07,436
2015-06-08,449
2015-06-09,443
2015-06-10,432
2015-06-11,432
2015-06-12,435
2015-06-13,432
2015-06-14,431
2015-06-15,431
2015-06-16,428
2015-06-17,429
2015-06-18,424
2015-06-19,439
2015-06-20,443
2015-06-21,449
2015-06-22,444
2015-06-23,453
2015-06-24,456
2015-06-25,456
2015-06-26,454
2015-06-27,454
2015-06-28,444
2015-06-29,444
2015-06-30,436
2015-07-01,432
2015-07-02,432
2015-07-03,431
2015-07-04,446
2015-07-05,448
2015-07-06,440
2015-07-07,441
2015-07-08,444
2015-07-09,444
2015-07-10,456
2015-07-11,453
2015-07-12,449
2015-07-13,439
2015-07-14,423
2015-07-15,420
2015-07-16,420
2015-07-17,422
2015-07-18,422
2015-07-19,418
2015-07-20,406
2015-07-21,413
2015-07-22,414
2015-07-23,414
2015-07-24,407
2015-07-25,403
2015-07-26,403
2015-07-27,408
2015-07-28,405
2015-07-29,408
2015-07-30,419
2015-07-31,428
2015-08-01,425
2015-08-02,428
2015-08-03,433
2015-08-04,433
2015-08-05,443
2015-08-06,449
2015-08-07,452
2015-08-08,449
2015-08-09,442
2015-08-10,445
2015-08-11,452
2015-08-12,452
2015-08-13,449
2015-08-14,434
2015-08-15,434
2015-08-16,424
2015-08-17,419
2015-08-18,413
2015-08-19,416
2015-08-20,416
2015-08-21,416
2015-08-22,409
2015-08-23,409
2015-08-24,409
2015-08-25,409
2015-08-26,405
2015-08-27,405
2015-08-28,405
2015-08-29,412
2015-08-30,412
2015-08-31,419
2015-09-01,413
2015-09-02,413
2015-09-03,418
2015-09-04,412
2015-09-05,412
2015-09-06,411
2015-09-07,414
2015-09-08,427
2015-09-09,429
2015-09-10,434
2015-09-11,441
2015-09-12,457
2015-09-13,443
2015-09-14,439
2015-09-15,436
2015-09-16,436
2015-09-17,427
2015-09-18,427
2015-09-19,422
2015-09-20,422
2015-09-21,426
2015-09-22,426
2015-09-23,423
2015-09-24,423
2015-09-25,431
2015-09-27,432
2015-09-28,431
2015-09-29,431
2015-09-30,434
2015-10-05,447
2015-10-06,443
2015-10-07,443
2015-10-08,448
2015-10-09,463
2015-10-10,463
2015-10-11,453
2015-10-12,458
2015-10-13,458
2015-10-14,452
2015-10-15,463
2015-10-16,454
2015-10-17,454
2015-10-18,457
2015-10-19,459
2015-10-20,456
2015-10-22,455
2015-10-23,456
2015-10-24,456
2015-10-25,450
2015-10-26,447
2015-10-27,447
2015-10-29,454
2015-10-30,454
2015-10-31,455
2015-11-01,455
2015-11-02,448
2015-11-03,448
2015-11-04,456
2015-11-05,458
2015-11-06,458
2015-11-07,458
2015-11-08,458
2015-11-09,458
2015-11-10,458
2015-11-11,466
2015-11-12,466
2015-11-13,475
2015-11-14,486
2015-11-15,474
2015-11-16,474
2015-11-17,477
2015-11-18,477
2015-11-19,488
2015-11-20,489
2015-11-21,489
2015-11-22,486
2015-11-23,486
2015-11-24,475
2015-11-25,467
2015-11-26,467
2015-11-27,463
2015-11-28,465
2015-11-29,477
2015-11-30,493
2015-12-01,493
2015-12-02,485
2015-12-03,490
2015-12-04,490
2015-12-05,483
2015-12-06,484
2015-12-07,484
2015-12-08,474
2015-12-09,470
2015-12-10,472
2015-12-11,459
2015-12-13,445
2015-12-14,445
2015-12-15,456
2015-12-16,467
2015-12-17,467
2015-12-18,478
2015-12-19,478
2015-12-20,482
2015-12-21,487
2015-12-22,482
2015-12-23,465
2015-12-24,465
2015-12-25,466
2015-12-26,454
2015-12-27,452
2015-12-28,464
2015-12-29,463
2015-12-30,459
2015-12-31,459
2016-01-01,457
2016-01-02,450
2016-01-03,458
2016-01-04,456
2016-01-05,462
2016-01-06,479
2016-01-07,479
2016-01-08,493
2016-01-09,493
2016-01-10,481
2016-01-11,486
2016-01-12,502
2016-01-13,502
2016-01-14,497
2016-01-15,497
2016-01-16,499
2016-01-17,481
2016-01-18,490
2016-01-19,490
2016-01-20,484
2016-01-21,484
2016-01-22,488
2016-01-23,484
2016-01-24,484
2016-01-25,496
2016-01-26,496
2016-01-27,498
2016-01-28,498
2016-01-29,488
2016-01-30,488
2016-01-31,480
2016-02-01,468
2016-02-02,468
2016-02-03,463
2016-02-04,463
2016-02-05,455
2016-02-06,438
2016-02-07,438
2016-02-08,440
2016-02-09,442
2016-02-10,454
2016-02-11,454
2016-02-12,462
2016-02-13,467
2016-02-14,467
2016-02-15,467
2016-02-16,462
2016-02-17,469
2016-02-18,469
2016-02-19,465
2016-02-20,466
2016-02-21,468
2016-02-22,468
2016-02-23,463
2016-02-24,466
2016-02-25,465
2016-02-26,465
2016-02-27,460
2016-02-28,459
2016-02-29,461
2016-03-01,462
2016-03-02,470
2016-03-03,462
2016-03-04,450
2016-03-05,441
2016-03-06,443
2016-03-07,443
2016-03-08,457
2016-03-09,450
2016-03-10,455
2016-03-11,455
2016-03-12,459
2016-03-13,459
2016-03-14,447
2016-03-15,445
2016-03-16,458
2016-03-17,461
2016-03-18,465
2016-03-19,478
2016-03-20,474
2016-03-21,474
2016-03-22,474
2016-03-23,481
2016-03-24,484
2016-03-25,461
2016-03-26,454
2016-03-27,460
2016-03-28,458
2016-03-29,450
2016-03-30,450
2016-03-31,439
2016-04-01,457
2016-04-02,448
2016-04-03,445
2016-04-04,449
2016-04-05,453
2016-04-06,459
2016-04-07,463
2016-04-08,478
2016-04-09,475
2016-04-10,462
2016-04-11,462
2016-04-12,476
2016-04-13,478
2016-04-14,473
2016-04-15,468
2016-04-16,459
2016-04-17,454
2016-04-18,451
2016-04-19,446
2016-04-20,439
2016-04-21,444
2016-04-22,444
2016-04-23,449
2016-04-24,446
2016-04-25,450
2016-04-26,460
2016-04-27,450
2016-04-28,458
2016-04-29,458
2016-04-30,451
2016-05-01,435
2016-05-02,443
2016-05-03,448
2016-05-04,433
2016-05-05,444
2016-05-06,444
2016-05-07,427
2016-05-08,427
2016-05-09,420
2016-05-10,405
2016-05-11,405
2016-05-12,408
2016-05-13,407
2016-05-14,410
2016-05-15,414
2016-05-16,425
2016-05-17,423
2016-05-18,435
2016-05-19,434
2016-05-22,437
2016-05-23,429
2016-05-24,430
2016-05-25,443
2016-05-26,436
2016-05-27,448
2016-05-28,448
2016-05-29,442
2016-05-30,442
2016-05-31,443
2016-06-01,443
2016-06-02,447
2016-06-03,453
2016-06-04,443
2016-06-05,434
2016-06-06,431
2016-06-07,431
2016-06-08,444
2016-06-09,439
2016-06-10,442
2016-06-11,448
2016-06-12,454
2016-06-13,450
2016-06-14,445
2016-06-15,442
2016-06-16,452
2016-06-17,448
2016-06-18,444
2016-06-19,451
2016-06-20,449
2016-06-21,446
2016-06-22,445
2016-06-23,445
2016-06-24,442
2016-06-25,436
2016-06-26,430
2016-06-27,439
2016-06-28,440
2016-06-29,446
2016-06-30,435
2016-07-01,441
2016-07-02,448
2016-07-03,439
2016-07-04,442
2016-07-05,450
2016-07-06,451
2016-07-07,464
2016-07-08,454
2016-07-09,449
2016-07-10,446
2016-07-11,441
2016-07-12,432
2016-07-13,428
2016-07-14,440
2016-07-15,438
2016-07-16,444
2016-07-17,447
2016-07-18,452
2016-07-24,449
2016-07-25,446
2016-07-26,446
2016-07-27,444
2016-07-28,448
2016-07-29,453
2016-07-30,451
2016-07-31,451
2016-08-01,449
2016-08-02,441
2016-08-03,451
2016-08-04,451
2016-08-05,437
2016-08-06,432
2016-08-07,448
2016-08-08,448
2016-08-09,448
2016-08-10,434
2016-08-11,434
2016-08-12,422
2016-08-13,418
2016-08-14,424
2016-08-15,431
2016-08-16,430
2016-08-17,430
2016-08-18,436
2016-08-19,428
2016-08-20,429
2016-08-21,434
2016-08-22,439
2016-08-23,440
2016-08-24,440
2016-08-25,435
2016-08-26,435
2016-08-28,428
2016-08-31,410
2016-09-01,416
2016-09-02,416
2016-09-03,413
2016-09-04,404
2016-09-05,415
2016-09-06,429
2016-09-07,429
2016-09-08,435
2016-09-09,435
2016-09-10,436
2016-09-11,436
2016-09-12,447
2016-09-13,448
2016-09-14,448
2016-09-15,447
2016-09-16,447
2016-09-17,449
2016-09-18,436
2016-09-19,428
2016-09-20,428
2016-09-21,435
2016-09-22,442
2016-09-23,430
2016-09-24,430
2016-09-25,427
2016-09-26,427
2016-09-27,422
2016-09-28,422
2016-09-29,422
2016-09-30,418
2016-10-01,405
2016-10-02,405
2016-10-03,406
2016-10-04,419
2016-10-05,415
2016-10-06,427
2016-10-07,427
2016-10-08,417
2016-10-09,417
2016-10-10,424
2016-10-11,428
2016-10-12,428
2016-10-13,427
2016-10-14,425
2016-10-15,425
2016-10-16,430
2016-10-17,435
2016-10-18,435
2016-10-19,433
2016-10-20,433
2016-10-21,429
2016-10-22,429
2016-10-23,428
2016-10-24,432
2016-10-25,432
2016-10-26,428
2016-10-27,428
2016-10-28,436
2016-10-29,436
2016-10-30,437
2016-10-31,449
2016-11-01,449
2016-11-02,445
2016-11-03,445
2016-11-04,445
2016-11-05,445
2016-11-06,445
2016-11-07,445
2016-11-08,446
2016-11-09,441
2016-11-10,443
2016-11-11,443
2016-11-12,442
2016-11-13,442
2016-11-14,443
2016-12-08,449
2016-12-09,453
2016-12-10,457
2016-12-11,460
2016-12-12,457
2016-12-13,452
2016-12-14,445
2016-12-15,445
2016-12-16,441
2016-12-17,448
2016-12-18,442
2016-12-19,439
2016-12-20,446
2016-12-21,451
2016-12-22,454
2016-12-23,450
2016-12-24,450
2016-12-25,453
2016-12-26,443
2016-12-27,429
2016-12-28,425
2016-12-29,425
2016-12-30,424
2016-12-31,422
2017-01-01,417
2017-01-02,425
2017-01-03,416
2017-01-04,419
2017-01-05,419
2017-01-06,421
2017-01-07,433
2017-01-08,433
2017-01-09,427
2017-01-10,420
2017-01-11,423
2017-01-12,425
2017-01-13,425
2017-01-14,428
2017-01-15,431
2017-01-16,430
2017-01-17,433
2017-01-18,438
2017-01-19,432
2017-01-20,437
2017-01-21,444
2017-01-22,446
2017-01-27,476
2017-01-28,469
2017-01-29,479
2017-01-30,475
2017-01-31,464
2017-02-01,446
2017-02-02,428
2017-02-03,429
2017-02-04,431
2017-02-05,431
2017-02-06,426
2017-02-07,420
2017-02-08,415
2017-02-09,415
2017-02-10,418
2017-02-11,426
2017-02-12,426
2017-02-13,418
2017-02-14,411
2017-02-15,420
2017-02-16,420
2017-02-18,411
2017-02-19,407
2017-02-20,419
2017-02-21,418
2017-02-22,415
2017-02-23,412
2017-02-24,412
2017-02-25,406
2017-02-27,406
2017-02-28,410
2017-03-01,407
2017-03-02,409
2017-03-03,409
2017-03-04,415
2017-03-05,414
2017-03-06,424
2017-03-07,429
2017-03-08,423
2017-03-09,426
2017-03-10,424
2017-03-11,420
2017-03-12,417
2017-03-13,426
2017-03-14,427
2017-03-15,434
2017-03-16,431
2017-03-17,424
2017-03-18,424
2017-03-19,414
2017-03-20,422
2017-03-21,429
2017-03-22,428
2017-03-23,432
2017-03-24,426
2017-03-25,426
2017-03-26,423
2017-03-27,433
2017-03-28,436
2017-03-29,437
2017-03-30,441
2017-03-31,443
2017-04-01,436
2017-04-02,436
2017-04-03,431
2017-04-04,447
2017-04-12,445
2017-04-13,450
2017-04-14,444
2017-04-15,455
2017-04-16,457
2017-04-17,456
2017-04-18,443
2017-04-19,461
2017-04-20,449
2017-04-21,438
2017-04-22,444
2017-04-23,440
2017-04-24,443
2017-04-25,436
2017-04-26,436
2017-04-27,444
2017-04-28,444
2017-04-29,450
2017-04-30,449
2017-05-01,445
2017-05-02,445
2017-05-03,439
2017-05-04,440
2017-05-05,445
2017-05-06,445
2017-05-07,447
2017-05-08,442
2017-05-09,439
2017-05-10,440
2017-05-11,449
2017-05-12,446
2017-05-13,442
2017-05-14,447
2017-05-15,439
2017-05-16,425
2017-05-17,417
2017-05-18,424
2017-05-19,424
2017-05-20,429
2017-05-21,429
2017-05-22,433
