date_obj,Steel%20plateskirt%20(t) price
2016-07-06,750000
2016-07-07,750000
2016-07-08,712500
2016-07-09,712500
2016-07-10,678712
2016-07-11,678712
2016-07-12,645868
2016-07-13,645868
2016-07-14,614307
2016-07-15,614307
2016-07-16,584772
2016-07-17,584772
2016-07-18,584772
2016-07-24,529658
2016-07-25,503800
2016-07-26,503800
2016-07-27,503800
2016-07-28,479784
2016-07-29,479784
2016-07-30,457013
2016-07-31,457013
2016-08-01,457013
2016-08-02,436334
2016-08-03,436334
2016-08-04,436334
2016-08-05,436334
2016-08-06,415234
2016-08-07,415234
2016-08-08,415234
2016-08-09,415234
2016-08-10,395043
2016-08-11,395043
2016-08-12,395043
2016-08-13,395043
2016-08-14,395043
2016-08-15,376578
2016-08-16,376578
2016-08-17,376578
2016-08-18,376578
2016-08-19,376578
2016-08-20,358456
2016-08-21,358456
2016-08-22,358456
2016-08-23,358456
2016-08-24,358456
2016-08-25,358456
2016-08-26,358456
2016-08-28,341620
2016-08-31,341620
2016-09-01,325597
2016-09-02,325597
2016-09-03,325597
2016-09-04,310250
2016-09-05,310250
2016-09-06,295227
2016-09-07,295227
2016-09-08,295227
2016-09-09,295227
2016-09-10,280886
2016-09-11,280886
2016-09-12,280886
2016-09-13,280886
2016-09-14,280886
2016-09-15,267591
2016-09-16,267591
2016-09-17,267591
2016-09-18,267591
2016-09-19,267591
2016-09-20,267591
2016-09-21,255053
2016-09-22,255053
2016-09-23,255053
2016-09-24,255053
2016-09-25,255053
2016-09-26,255053
2016-09-27,255053
2016-09-28,243681
2016-09-29,243681
2016-09-30,243681
2016-10-01,243681
2016-10-02,243681
2016-10-03,231988
2016-10-04,231988
2016-10-05,231988
2016-10-06,231988
2016-10-07,231988
2016-10-08,231988
2016-10-09,220771
2016-10-10,220771
2016-10-11,220771
2016-10-12,220771
2016-10-13,220771
2016-10-14,220771
2016-10-15,220771
2016-10-16,220771
2016-10-17,210723
2016-10-18,210723
2016-10-19,210723
2016-10-20,210723
2016-10-21,210723
2016-10-22,210723
2016-10-23,210723
2016-10-24,200985
2016-10-25,200985
2016-10-26,200985
2016-10-27,200985
2016-10-28,200985
2016-10-29,200985
2016-10-30,200985
2016-10-31,27000
2016-11-01,27000
2016-11-02,27000
2016-11-03,27000
2016-11-04,27000
2016-11-05,27000
2016-11-06,27000
2016-11-07,27000
2016-11-08,27000
2016-11-09,27000
2016-11-10,27000
2016-11-11,27000
2016-11-12,27000
2016-11-13,27000
2016-11-14,27000
2016-12-08,24631
2016-12-09,24631
2016-12-10,24631
2016-12-11,24631
2016-12-12,23525
2016-12-13,23525
2016-12-14,23525
2016-12-15,23525
2016-12-16,23525
2016-12-17,23525
2016-12-18,23525
2016-12-19,23525
2016-12-20,23525
2016-12-21,23525
2016-12-22,23525
2016-12-23,22495
2016-12-24,22495
2016-12-25,22495
2016-12-26,22495
2016-12-27,22495
2016-12-28,22495
2016-12-29,22495
2016-12-30,22495
2016-12-31,22495
2017-01-01,22495
2017-01-02,22495
2017-01-03,22495
2017-01-04,21410
2017-01-05,21410
2017-01-06,21410
2017-01-07,21410
2017-01-08,21410
2017-01-09,21410
2017-01-10,20398
2017-01-11,20398
2017-01-12,20398
2017-01-13,20398
2017-01-14,20398
2017-01-15,20398
2017-01-16,19485
2017-01-17,19485
2017-01-18,19485
2017-01-19,19485
2017-01-20,19485
2017-01-21,19485
2017-01-22,19485
2017-01-27,18581
2017-01-28,18581
2017-01-29,18581
2017-01-30,17736
2017-01-31,17736
2017-02-01,17736
2017-02-02,17736
2017-02-03,17736
2017-02-04,17736
2017-02-05,16912
2017-02-06,16912
2017-02-07,16912
2017-02-08,16912
2017-02-09,16912
2017-02-10,16912
2017-02-11,16912
2017-02-12,16912
2017-02-13,16912
2017-02-14,16148
2017-02-15,16148
2017-02-16,16148
2017-02-18,16148
2017-02-19,16148
2017-02-20,16148
2017-02-21,16148
2017-02-22,16148
2017-02-23,16148
2017-02-24,16148
2017-02-25,15462
2017-02-26,15462
2017-02-27,15462
2017-02-28,15462
2017-03-01,15462
2017-03-02,15462
2017-03-03,15462
2017-03-04,15462
2017-03-05,15462
2017-03-06,15462
2017-03-07,14834
2017-03-08,14834
2017-03-09,14834
2017-03-10,14834
2017-03-11,14834
2017-03-12,14834
2017-03-13,14834
2017-03-14,14834
2017-03-15,14834
2017-03-16,14834
2017-03-17,14834
2017-03-18,14834
2017-03-19,14192
2017-03-20,14192
2017-03-21,14192
2017-03-22,14192
2017-03-23,14192
2017-03-24,14192
2017-03-25,14192
2017-03-26,14192
2017-03-27,14192
2017-03-28,14192
2017-03-29,13553
2017-03-30,13553
2017-03-31,13553
2017-04-01,13553
2017-04-02,13553
2017-04-03,13553
2017-04-04,13553
2017-04-12,12910
2017-04-13,12910
2017-04-14,12910
2017-04-15,12910
2017-04-16,12910
