date_obj,Stretched%20hide price
2015-03-26,38000
2015-03-27,38000
2015-03-28,38000
2015-03-29,38000
2015-03-30,38000
2015-03-31,38000
2015-04-01,38000
2015-04-02,38000
2015-04-03,38000
2015-04-04,38000
2015-04-05,38000
2015-04-06,38000
2015-04-07,38000
2015-04-08,38000
2015-04-09,38000
2015-04-10,38000
2015-04-11,38000
2015-04-12,38000
2015-04-13,38000
2015-04-14,38000
2015-04-15,38000
2015-04-16,38000
2015-04-17,38000
2015-04-18,38000
2015-04-19,38000
2015-04-20,38000
2015-04-21,38000
2015-04-22,38000
2015-04-23,38000
2015-04-24,38000
2015-04-25,38000
2015-04-26,38000
2015-04-27,38000
2015-04-28,38000
2015-04-29,38000
2015-04-30,38000
2015-05-01,38000
2015-05-02,38000
2015-05-03,38000
2015-05-04,38000
2015-05-05,38000
2015-05-06,38000
2015-05-07,38000
2015-05-08,38000
2015-05-09,38000
2015-05-10,38000
2015-05-11,38000
2015-05-12,38000
2015-05-13,38000
2015-05-14,38000
2015-05-15,38000
2015-05-16,38000
2015-05-17,38000
2015-05-18,38000
2015-05-19,38000
2015-05-20,38000
2015-05-21,38000
2015-05-22,38000
2015-05-23,38000
2015-05-24,38000
2015-05-25,38000
2015-05-26,38000
2015-05-27,38000
2015-05-28,38000
2015-05-29,38000
2015-05-30,38000
2015-05-31,38000
2015-06-01,38000
2015-06-02,38000
2015-06-03,38000
2015-06-04,38000
2015-06-05,38000
2015-06-06,38000
2015-06-07,38000
2015-06-08,38000
2015-06-09,38000
2015-06-10,38000
2015-06-11,38000
2015-06-12,38000
2015-06-13,38000
2015-06-14,38000
2015-06-15,38000
2015-06-16,38000
2015-06-17,38000
2015-06-18,38000
2015-06-19,38000
2015-06-20,38000
2015-06-21,38000
2015-06-22,38000
2015-06-23,38000
2015-06-24,38000
2015-06-25,38000
2015-06-26,38000
2015-06-27,38000
2015-06-28,38000
2015-06-29,38000
2015-06-30,38000
2015-07-01,38000
2015-07-02,38000
2015-07-03,38000
2015-07-04,38000
2015-07-05,38000
2015-07-06,38000
2015-07-07,38000
2015-07-08,38000
2015-07-09,38000
2015-07-10,38000
2015-07-11,38000
2015-07-12,38000
2015-07-13,38000
2015-07-14,38000
2015-07-15,38000
2015-07-16,38000
2015-07-17,38000
2015-07-18,38000
2015-07-19,38000
2015-07-20,38000
2015-07-21,38000
2015-07-22,38000
2015-07-23,38000
2015-07-24,38000
2015-07-25,38000
2015-07-26,38000
2015-07-27,38000
2015-07-28,38000
2015-07-29,38000
2015-07-30,38000
2015-07-31,38000
2015-08-01,38000
2015-08-02,38000
2015-08-03,38000
2015-08-04,38000
2015-08-05,38000
2015-08-06,38000
2015-08-07,38000
2015-08-08,38000
2015-08-09,38000
2015-08-10,38000
2015-08-11,38000
2015-08-12,38000
2015-08-13,38000
2015-08-14,38000
2015-08-15,38000
2015-08-16,38000
2015-08-17,38000
2015-08-18,38000
2015-08-19,38000
2015-08-20,38000
2015-08-21,38000
2015-08-22,38000
2015-08-23,38000
2015-08-24,38000
2015-08-25,38000
2015-08-26,38000
2015-08-27,38000
2015-08-28,38000
2015-08-29,38000
2015-08-30,38000
2015-08-31,38000
2015-09-01,38000
