date_obj,Swift%20blade price
2019-08-28,100000
2019-08-29,104269
2019-08-30,109348
2019-08-31,114711
2019-09-01,120298
2019-09-02,126090
2019-09-03,132171
2019-09-04,138680
2019-09-05,145444
2019-09-06,152277
2019-09-07,159576
2019-09-08,167555
2019-09-09,175788
2019-09-10,183738
2019-09-11,192598
2019-09-12,201964
2019-09-13,211658
2019-09-14,221854
2019-09-15,231490
2019-09-16,241076
2019-09-17,252128
2019-09-18,263030
2019-09-19,275088
2019-09-20,288043
2019-09-21,301806
2019-09-22,315078
2019-09-23,328991
2019-09-24,328991
2019-09-25,345441
2019-09-26,359108
2019-09-27,375752
2019-09-28,393155
2019-09-29,393155
2019-09-30,411358
2019-10-01,429065
2019-10-02,429065
2019-10-03,450045
2019-10-04,471735
2019-10-05,493660
2019-10-06,516296
2019-10-07,540750
2019-10-08,565606
2019-10-09,565606
2019-10-10,592485
2019-10-11,619079
2019-10-12,648270
2019-10-13,678610
2019-10-14,710093
2019-10-15,710093
2019-10-16,742979
2019-10-17,742979
2019-10-18,778955
2019-10-19,815009
2019-10-20,851484
2019-10-21,851484
2019-10-22,891712
2019-10-23,930588
2019-10-24,930588
2019-10-25,975192
2019-10-26,1019116
2019-10-27,1019116
2019-10-28,1070072
2019-10-29,1070072
2019-10-30,1120629
2019-10-31,1170638
2019-11-01,1170638
2019-11-02,1227879
2019-11-03,1282129
2019-11-04,1339707
2019-11-05,1339707
2019-11-06,1400154
2019-11-07,1400154
2019-11-08,1464506
2019-11-09,1534449
2019-11-10,1603964
2019-11-11,1679321
2019-11-12,1679321
2019-11-13,1756985
2019-11-14,1756985
2019-11-15,1838330
2019-11-16,1921223
2019-11-17,1921223
2019-11-18,2014140
2019-11-19,2014140
2019-11-20,2109475
2019-11-21,2109475
2019-11-22,2207035
2019-11-23,2207035
2019-11-24,2304867
2019-11-25,2413205
2019-11-26,2526957
2019-11-27,2526957
2019-11-28,2644317
2019-11-29,2644317
2019-11-30,2756093
2019-12-01,2756093
2019-12-02,2872370
2019-12-03,2872370
2019-12-04,3008331
2019-12-05,3008331
2019-12-06,3150310
2019-12-07,3150310
2019-12-08,3150310
2019-12-09,3293188
2019-12-10,3293188
2019-12-11,3447086
2019-12-12,3447086
2019-12-13,3610023
2019-12-14,3610023
2019-12-15,3775842
2019-12-16,3775842
2019-12-17,3953272
2019-12-18,3953272
2019-12-19,3953272
2019-12-20,4134556
2019-12-21,4134556
2019-12-22,4331688
2019-12-23,4331688
2019-12-24,4534663
2019-12-25,4534663
2019-12-26,4749642
2019-12-27,4749642
2019-12-28,4968839
2019-12-29,4968839
2019-12-30,5188550
2019-12-31,5188550
2020-01-01,5426648
2020-01-02,5426648
2020-01-03,5664413
2020-01-04,5664413
2020-01-05,5936341
2020-01-06,5936341
2020-01-07,6210374
2020-01-08,6210374
2020-01-09,6210374
2020-01-10,6516350
2020-01-11,6516350
2020-01-12,6815248
2020-01-13,6815248
2020-01-14,6815248
2020-01-15,7156011
2020-01-16,7156011
2020-01-17,7513812
2020-01-18,7513812
2020-01-19,7871229
2020-01-20,7871229
2020-01-21,7871229
2020-01-22,8230143
2020-01-23,8230143
2020-01-24,8630148
2020-01-25,8630148
2020-01-26,9023386
2020-01-27,9023386
2020-01-28,9216249
2020-01-29,9216249
2020-01-30,9522680
2020-01-31,9522680
2020-02-01,9977684
2020-02-02,9977684
2020-02-03,10424989
2020-02-04,10424989
2020-02-05,10902018
2020-02-06,11417838
2020-02-07,11417838
2020-02-08,11010105
2020-02-09,11010105
2020-02-10,10637067
2020-02-11,10637067
2020-02-12,10113895
2020-02-13,10113895
2020-02-14,9608200
2020-02-15,9608200
2020-02-16,9146155
2020-02-17,9146155
2020-02-18,9171204
2020-02-19,9171204
2020-02-20,9139710
2020-02-21,9139710
2020-02-22,9253627
2020-02-23,9253627
2020-02-24,9583299
2020-02-25,9583299
2020-02-26,9963917
2020-02-27,9963917
2020-02-28,10325455
2020-02-29,10325455
2020-03-01,10565341
2020-03-02,10565341
2020-03-03,11047346
2020-03-04,11047346
2020-03-05,11417454
2020-03-06,11417454
2020-03-07,11553578
2020-03-08,11553578
2020-03-09,11569134
2020-03-10,11569134
2020-03-11,11088692
2020-03-12,11088692
2020-03-13,10853225
2020-03-14,10853225
2020-03-15,11074118
2020-03-16,11074118
2020-03-17,11209343
2020-03-18,11209343
2020-03-19,11030767
2020-03-20,11030767
2020-03-21,11206707
2020-03-22,11206707
2020-03-23,11086001
2020-03-24,11086001
2020-03-25,11002463
2020-03-26,10963344
2020-03-27,10963344
2020-03-28,10963344
2020-03-29,10881977
2020-03-30,10881977
2020-03-31,11214049
2020-04-01,11300331
2020-04-02,11265532
2020-04-03,11265532
2020-04-04,11400905
2020-04-05,11400905
2020-04-06,11814619
2020-04-07,11814619
2020-04-08,12296048
2020-04-09,12296048
2020-04-10,12910851
2020-04-11,13506832
2020-04-12,13506832
2020-04-13,13427381
2020-04-14,13427381
2020-04-15,13004328
2020-04-16,13004328
2020-04-17,12384808
2020-04-18,11765567
2020-04-19,11177288
2020-04-20,11177288
2020-04-21,10618423
2020-04-22,10087501
2020-04-23,10087501
2020-04-24,9583125
2020-04-25,9145265
2020-04-26,8720231
2020-04-27,8284219
2020-04-28,7870008
2020-04-29,7870008
2020-04-30,7476507
2020-05-01,7476507
2020-05-02,7102681
2020-05-03,7048010
2020-05-04,7048010
2020-05-05,7400411
2020-05-06,7525207
2020-05-07,7201964
2020-05-08,7201964
2020-05-09,6849073
2020-05-10,6527389
2020-05-11,6527389
2020-05-12,6201019
2020-05-13,6379159
