date_obj,Tan%20cavalier price
2015-03-26,24494
2015-03-27,24494
2015-03-28,23329
2015-03-29,23329
2015-03-30,23329
2015-03-31,23329
2015-04-01,23329
2015-04-02,22253
2015-04-03,22253
2015-04-04,22253
2015-04-05,22253
2015-04-06,22253
2015-04-07,21221
2015-04-08,21221
2015-04-09,21221
2015-04-10,21221
2015-04-11,21221
2015-04-12,20251
2015-04-13,20251
2015-04-14,20251
2015-04-15,20251
2015-04-16,20251
2015-04-17,20251
2015-04-18,19288
2015-04-19,19288
2015-04-20,19288
2015-04-21,19288
2015-04-22,19288
2015-04-23,19288
2015-04-24,19288
2015-04-25,18378
2015-04-26,18378
2015-04-27,18378
2015-04-28,18378
2015-04-29,18378
2015-04-30,17530
2015-05-01,17530
2015-05-02,17530
2015-05-03,17530
2015-05-04,17530
2015-05-05,16715
2015-05-06,16715
2015-05-07,16715
2015-05-08,16715
2015-05-09,16715
2015-05-10,16715
2015-05-11,15941
2015-05-12,15941
2015-05-13,15941
2015-05-14,15941
2015-05-15,15941
2015-05-16,15941
2015-05-17,15189
2015-05-18,15189
2015-05-19,15189
2015-05-20,15189
2015-05-21,15189
2015-05-22,15189
2015-05-23,15189
2015-05-24,15189
2015-05-25,14469
2015-05-26,14469
2015-05-27,14469
2015-05-28,14469
2015-05-29,14469
2015-05-30,13774
2015-05-31,13774
2015-06-01,13774
2015-06-02,13774
2015-06-03,13774
2015-06-04,13124
2015-06-05,13124
2015-06-06,13124
2015-06-07,13124
2015-06-08,12519
2015-06-09,12519
2015-06-10,12519
2015-06-11,12519
2015-06-12,12519
2015-06-13,12273
2015-06-14,12273
2015-06-15,12273
2015-06-16,12273
2015-06-17,12273
2015-06-18,12065
2015-06-19,12065
2015-06-20,12065
2015-06-21,12065
2015-06-22,12065
2015-06-23,11559
2015-06-24,11559
2015-06-25,11559
2015-06-26,11559
2015-06-27,11559
2015-06-28,11415
2015-06-29,11415
2015-06-30,11415
2015-07-01,11415
2015-07-02,11415
2015-07-03,11463
2015-07-04,11463
2015-07-05,11463
2015-07-06,11463
2015-07-07,11463
2015-07-08,11128
2015-07-09,11128
2015-07-10,11128
2015-07-11,11128
2015-07-12,11128
2015-07-13,11128
2015-07-14,10729
2015-07-15,10729
2015-07-16,10729
2015-07-17,10729
2015-07-18,10729
2015-07-19,10485
2015-07-20,10485
2015-07-21,10485
2015-07-22,10485
2015-07-23,10485
2015-07-24,10171
2015-07-25,10171
2015-07-26,10171
2015-07-27,10171
2015-07-28,10171
2015-07-29,9966
2015-07-30,9966
2015-07-31,9966
2015-08-01,9966
2015-08-02,9966
2015-08-03,9657
2015-08-04,9657
2015-08-05,9657
2015-08-06,9657
2015-08-07,9657
2015-08-08,9511
2015-08-09,9511
2015-08-10,9511
2015-08-11,9511
2015-08-12,9511
2015-08-13,9726
2015-08-14,9726
2015-08-15,9726
2015-08-16,9726
2015-08-17,9726
2015-08-18,9910
2015-08-19,9910
2015-08-20,9910
2015-08-21,9910
2015-08-22,9910
2015-08-23,10158
2015-08-24,10158
2015-08-25,10158
2015-08-26,10158
2015-08-27,10158
2015-08-28,10322
2015-08-29,10322
2015-08-30,10322
2015-08-31,10322
2015-09-01,10322
2015-09-02,10322
2015-09-03,10228
2015-09-04,10228
2015-09-05,10228
2015-09-06,10228
2015-09-07,10228
2015-09-08,10228
2015-09-09,10182
2015-09-10,10182
2015-09-11,10182
2015-09-12,10182
2015-09-13,10182
2015-09-14,10120
2015-09-15,10120
2015-09-16,10120
2015-09-17,10120
2015-09-18,10120
2015-09-19,10090
2015-09-20,10090
2015-09-21,10090
2015-09-22,10090
2015-09-23,10090
2015-09-24,10090
2015-09-25,10268
2015-09-27,10268
2015-09-28,10268
2015-09-29,10268
2015-09-30,10268
2015-10-05,10306
2015-10-06,10306
2015-10-07,10233
2015-10-08,10233
2015-10-09,10233
2015-10-10,10233
2015-10-11,10233
2015-10-12,10033
2015-10-13,10033
2015-10-14,10033
2015-10-15,10033
2015-10-16,10033
2015-10-17,10033
2015-10-18,10033
2015-10-19,10152
2015-10-20,10152
2015-10-22,10152
2015-10-23,10152
2015-10-24,10152
2015-10-25,10014
2015-10-26,10014
2015-10-27,10014
2015-10-29,10014
2015-10-30,10014
2015-10-31,10014
2015-11-01,9910
2015-11-02,9910
2015-11-03,9910
2015-11-04,9910
2015-11-05,9910
2015-11-06,9910
2015-11-07,9659
2015-11-08,9659
2015-11-09,9659
2015-11-10,9659
2015-11-11,9659
2015-11-12,9659
2015-11-13,9659
2015-11-14,9659
2015-11-15,9605
2015-11-16,9605
2015-11-17,9605
2015-11-18,9605
2015-11-19,9605
2015-11-20,9605
2015-11-21,9605
2015-11-22,9568
2015-11-23,9568
2015-11-24,9568
2015-11-25,9568
2015-11-26,9568
2015-11-27,9568
2015-11-28,9568
2015-11-29,9397
2015-11-30,9397
2015-12-01,9397
2015-12-02,9397
2015-12-03,9397
2015-12-04,9397
2015-12-05,9397
2015-12-06,9211
2015-12-07,9211
2015-12-08,9211
2015-12-09,9211
2015-12-10,9211
2015-12-11,9023
2015-12-13,9023
2015-12-14,9023
2015-12-15,9023
2015-12-16,9125
2015-12-17,9125
2015-12-18,9125
2015-12-19,9125
2015-12-20,9125
2015-12-21,9125
2015-12-22,8866
2015-12-23,8866
2015-12-24,8866
2015-12-25,8866
2015-12-26,8866
2015-12-27,8866
2015-12-28,8644
2015-12-29,8644
2015-12-30,8644
2015-12-31,8644
2016-01-01,8644
2016-01-02,8588
2016-01-03,8588
2016-01-04,8588
2016-01-05,8588
2016-01-06,8588
2016-01-07,8588
2016-01-08,8332
2016-01-09,8332
2016-01-10,8332
2016-01-11,8332
2016-01-12,8332
2016-01-13,8332
2016-01-14,8072
2016-01-15,8072
2016-01-16,8072
2016-01-17,8072
2016-01-18,8072
2016-01-19,7788
2016-01-20,7788
2016-01-21,7788
2016-01-22,7788
2016-01-23,7788
