date_obj,Teak%20seed price
2017-09-07,25324
2017-09-08,24057
2017-09-09,22854
2017-09-10,21711
2017-09-11,20625
2017-09-12,19593
2017-09-13,18613
2017-09-14,17682
2017-09-15,16803
2017-09-16,15962
2017-09-17,15163
2017-09-19,13683
2017-09-20,12998
2017-09-21,12348
2017-09-22,11730
2017-09-23,11159
2017-09-24,10601
2017-09-25,10070
2017-09-26,9566
2017-09-27,9093
2017-09-28,8638
2017-09-29,8206
2017-09-30,7795
2017-10-01,7405
2017-10-02,7034
2017-10-03,6682
2017-10-04,6348
2017-10-05,6030
2017-10-06,5728
2017-10-07,5441
2017-10-08,5168
2017-10-09,4909
2017-10-10,4663
2017-10-11,4431
2017-10-12,4209
2017-10-13,3998
2017-10-14,3798
2017-10-15,3608
2017-10-16,3427
2017-10-17,3255
2017-10-18,3092
2017-10-19,2937
2017-10-20,2790
2017-10-21,2650
2017-10-22,2517
2017-10-23,2391
2017-10-24,2271
2017-10-25,2157
2017-10-26,2049
2017-10-27,1946
2017-10-28,1849
2017-10-29,1756
2017-10-30,1668
2017-10-31,1584
2017-11-01,1505
2017-11-02,1429
2017-11-03,1357
2017-11-04,1289
2017-11-05,1224
2017-11-06,1162
2017-11-07,1105
2017-11-08,1049
2017-11-09,996
2017-11-10,946
2017-11-11,898
2017-11-12,886
2017-11-13,904
2017-11-14,905
2017-11-15,889
2017-11-16,890
2017-11-17,855
2017-11-18,815
2017-11-19,779
2017-11-20,742
2017-11-21,711
2017-11-22,691
2017-11-23,702
2017-11-24,698
2017-11-25,706
2017-11-26,710
2017-11-27,710
2017-11-28,699
2017-11-29,668
2017-11-30,646
2017-12-01,678
2017-12-02,701
2017-12-03,697
2017-12-04,731
2017-12-05,762
2017-12-06,801
2017-12-07,832
2017-12-08,832
2017-12-09,845
2017-12-10,840
2017-12-11,861
2017-12-12,861
2017-12-13,859
2017-12-14,847
2017-12-15,845
2017-12-16,807
2017-12-17,769
2017-12-18,734
2017-12-19,697
2017-12-20,667
2017-12-21,679
2017-12-22,684
2017-12-23,694
2017-12-24,692
2017-12-25,710
2017-12-26,720
2017-12-27,725
2017-12-28,693
2017-12-29,671
2017-12-30,661
2017-12-31,652
2018-01-01,670
2018-01-02,692
2018-01-03,688
2018-01-04,663
2018-01-05,650
2018-01-06,617
2018-01-07,586
2018-01-08,556
2018-01-09,528
2018-01-10,501
2018-01-11,476
2018-01-12,456
2018-01-13,454
2018-01-14,454
2018-01-15,452
2018-01-16,446
2018-01-17,432
2018-01-18,439
2018-01-19,439
2018-01-20,429
2018-01-21,430
2018-01-22,427
2018-01-23,439
2018-01-24,427
2018-01-25,407
2018-01-26,408
2018-01-27,391
2018-01-28,391
2018-01-29,409
2018-01-30,430
2018-02-01,475
2018-02-02,499
2018-02-03,517
2018-02-04,498
2018-02-05,475
2018-02-06,459
2018-02-07,439
2018-02-08,420
2018-02-09,400
2018-02-10,382
2018-02-11,375
2018-02-12,383
2018-02-13,403
2018-02-14,424
2018-02-15,442
2018-02-16,422
2018-02-17,410
2018-02-18,390
2018-02-19,370
2018-02-20,351
2018-02-21,335
2018-02-22,319
2018-02-23,317
2018-02-24,316
2018-02-25,308
2018-02-26,318
2018-02-27,321
2018-02-28,326
2018-03-01,339
2018-03-02,334
2018-03-03,327
2018-03-04,328
2018-03-05,332
2018-03-06,325
2018-03-07,327
2018-03-08,320
2018-03-09,318
2018-03-10,315
2018-03-11,311
2018-03-12,304
2018-03-13,298
2018-03-14,311
2018-03-15,323
2018-03-16,318
2018-03-17,302
2018-03-18,287
2018-03-19,272
2018-03-20,264
2018-03-21,260
2018-03-23,254
2018-03-24,244
2018-03-26,238
2018-03-27,242
2018-03-28,245
2018-03-29,246
2018-03-30,250
2018-03-31,262
2018-04-01,276
2018-04-02,290
2018-04-03,305
2018-04-04,321
2018-04-05,338
2018-04-06,355
2018-04-08,392
2018-04-09,412
2018-04-10,433
2018-04-11,455
2018-04-12,478
2018-04-13,502
2018-04-14,528
2018-04-16,582
2018-04-17,611
2018-04-18,642
2018-04-19,675
2018-04-20,670
2018-04-21,667
2018-04-22,688
2018-04-23,681
2018-04-24,673
2018-04-25,662
2018-04-26,687
2018-04-27,719
2018-04-28,723
2018-04-29,743
2018-04-30,751
2018-05-02,757
2018-05-03,786
2018-05-04,749
2018-05-05,765
2018-05-06,769
2018-05-07,769
2018-05-08,771
2018-05-09,757
2018-05-10,719
2018-05-11,691
2018-05-12,658
2018-05-13,631
2018-05-14,599
2018-05-15,569
2018-05-16,543
2018-05-17,540
2018-05-18,534
2018-05-19,514
2018-05-20,519
2018-05-21,505
2018-05-22,485
2018-05-23,478
2018-05-24,486
2018-05-25,506
2018-05-26,501
2018-05-27,488
2018-05-28,477
2018-05-29,467
2018-05-30,447
2018-05-31,449
2018-06-01,448
2018-06-02,451
2018-06-03,435
2018-06-04,450
2018-06-05,456
2018-06-06,440
2018-06-07,429
2018-06-08,416
2018-06-09,418
2018-06-10,410
2018-06-11,392
2018-06-12,396
2018-06-13,399
2018-06-14,400
2018-06-15,395
