date_obj,Team-1%20cape price
2015-03-04,2843
2015-03-05,2843
2015-03-06,2843
2015-03-07,2728
2015-03-08,2728
2015-03-09,2728
2015-03-10,2728
2015-03-11,2728
2015-03-12,2728
2015-03-13,2653
2015-03-14,2653
2015-03-15,2653
2015-03-16,2653
2015-03-17,2653
2015-03-18,2653
2015-03-19,2593
2015-03-20,2593
2015-03-21,2593
2015-03-22,2593
2015-03-23,2593
2015-03-24,2496
2015-03-25,2496
2015-03-26,2496
2015-03-27,2496
2015-03-28,2496
2015-03-29,2373
2015-03-30,2373
2015-03-31,2373
2015-04-01,2373
2015-04-02,2373
2015-04-03,2302
2015-04-04,2302
2015-04-05,2302
2015-04-06,2302
2015-04-07,2302
2015-04-08,2186
2015-04-09,2186
2015-04-10,2186
2015-04-11,2186
2015-04-12,2186
2015-04-13,2080
2015-04-14,2080
2015-04-15,2080
2015-04-16,2080
2015-04-17,1989
2015-04-18,1989
2015-04-19,1989
2015-04-20,1989
2015-04-21,1989
2015-04-22,1892
2015-04-23,1892
2015-04-24,1892
2015-04-25,1892
2015-04-26,1892
2015-04-27,1841
2015-04-28,1841
2015-04-29,1841
2015-04-30,1841
2015-05-01,1834
2015-05-02,1834
2015-05-03,1834
2015-05-04,1834
2015-05-05,1831
2015-05-06,1831
2015-05-07,1831
2015-05-08,1831
2015-05-09,1741
2015-05-10,1741
2015-05-11,1741
2015-05-12,1741
2015-05-13,1681
2015-05-14,1681
2015-05-15,1681
2015-05-16,1681
2015-05-17,1597
2015-05-18,1597
2015-05-19,1597
2015-05-20,1597
2015-05-21,1597
2015-05-22,1585
2015-05-23,1585
2015-05-24,1585
2015-05-25,1585
2015-05-26,1541
2015-05-27,1541
2015-05-28,1541
2015-05-29,1541
2015-05-30,1476
2015-05-31,1476
2015-06-01,1476
2015-06-02,1476
2015-06-03,1415
2015-06-04,1415
2015-06-05,1415
2015-06-06,1415
2015-06-07,1376
2015-06-08,1376
2015-06-09,1376
2015-06-10,1376
2015-06-11,1376
2015-06-12,1368
2015-06-13,1368
2015-06-14,1368
2015-06-15,1368
2015-06-16,1396
2015-06-17,1396
2015-06-18,1396
2015-06-19,1396
2015-06-20,1406
2015-06-21,1406
2015-06-22,1406
2015-06-23,1406
2015-06-24,1392
2015-06-25,1392
2015-06-26,1392
2015-06-27,1392
2015-06-28,1392
2015-06-29,1392
2015-06-30,1392
2015-07-01,1392
2015-07-02,1392
2015-07-03,1366
2015-07-04,1366
2015-07-05,1366
2015-07-06,1366
2015-07-07,1364
2015-07-08,1364
2015-07-09,1364
2015-07-10,1364
2015-07-11,1386
2015-07-12,1386
2015-07-13,1386
2015-07-14,1386
2015-07-15,1323
2015-07-16,1323
2015-07-17,1323
2015-07-18,1323
2015-07-19,1257
2015-07-20,1257
2015-07-21,1257
2015-07-22,1194
2015-07-23,1194
2015-07-24,1194
2015-07-25,1194
2015-07-26,1194
2015-07-27,1134
2015-07-28,1134
2015-07-29,1134
2015-07-30,1134
2015-07-31,1119
2015-08-01,1119
2015-08-02,1119
2015-08-03,1119
2015-08-04,1116
2015-08-05,1116
2015-08-06,1116
2015-08-07,1116
2015-08-08,1144
2015-08-09,1144
2015-08-10,1144
2015-08-11,1144
2015-08-12,1144
2015-08-13,1156
2015-08-14,1156
2015-08-15,1156
2015-08-16,1156
2015-08-17,1156
2015-08-18,1147
2015-08-19,1147
2015-08-20,1147
2015-08-21,1147
2015-08-22,1163
2015-08-23,1163
2015-08-24,1163
2015-08-25,1163
2015-08-26,1163
2015-08-27,1171
2015-08-28,1171
2015-08-29,1171
2015-08-30,1171
2015-09-02,1140
2015-09-07,1147
2015-09-08,1147
2015-09-10,1147
2015-09-14,1167
2015-09-16,1198
2015-09-22,1219
2015-09-23,1219
2015-09-24,1219
2015-09-25,1219
2015-09-27,1219
2015-09-28,1241
2015-09-29,1241
2015-09-30,1241
2015-10-05,1216
2015-10-06,1216
2015-10-07,1216
2015-10-08,1212
2015-10-09,1212
2015-10-10,1212
2015-10-11,1212
2015-10-12,1212
2015-10-13,1212
2015-10-14,1219
2015-10-15,1219
2015-10-16,1219
2015-10-17,1219
2015-10-18,1219
2015-10-19,1224
2015-10-20,1224
2015-10-22,1224
2015-10-23,1224
2015-10-24,1224
2015-10-25,1240
2015-10-26,1240
2015-10-27,1240
2015-10-29,1240
2015-10-30,1240
2015-10-31,1249
2015-11-01,1249
2015-11-02,1249
2015-11-03,1249
2015-11-04,1249
2015-11-05,1249
2015-11-06,1232
2015-11-07,1232
2015-11-08,1232
2015-11-09,1232
2015-11-10,1232
2015-11-11,1232
2015-11-12,1249
2015-11-13,1249
2015-11-14,1249
2015-11-15,1249
2015-11-16,1249
2015-11-17,1249
2015-11-18,1249
2015-11-19,1240
2015-11-20,1240
2015-11-21,1240
2015-11-22,1240
2015-11-23,1240
2015-11-24,1240
2015-11-25,1256
2015-11-26,1256
2015-11-27,1256
2015-11-28,1256
2015-11-29,1256
2015-11-30,1256
2015-12-01,1249
2015-12-02,1249
2015-12-03,1249
2015-12-04,1249
2015-12-05,1249
2015-12-06,1264
2015-12-07,1264
2015-12-08,1264
2015-12-09,1264
2015-12-10,1264
2015-12-11,1295
2015-12-13,1295
2015-12-14,1295
2015-12-15,1295
2015-12-16,1295
2015-12-17,1336
2015-12-18,1336
2015-12-19,1336
2015-12-20,1336
2015-12-21,1336
2015-12-22,1352
2015-12-23,1352
2015-12-24,1352
2015-12-25,1352
2015-12-26,1352
2015-12-27,1395
2015-12-28,1395
2015-12-29,1395
2015-12-30,1395
2015-12-31,1395
2016-01-01,1437
2016-01-02,1437
2016-01-03,1437
2016-01-04,1437
2016-01-05,1437
2016-01-06,1473
2016-01-07,1473
2016-01-08,1473
2016-01-09,1473
2016-01-10,1473
2016-01-11,1457
2016-01-12,1457
2016-01-13,1457
2016-01-14,1457
2016-01-15,1457
2016-01-16,1459
2016-01-17,1459
2016-01-18,1459
2016-01-19,1459
2016-01-20,1499
2016-01-21,1499
2016-01-22,1499
2016-01-23,1499
2016-01-24,1499
2016-01-25,1497
2016-01-26,1497
2016-01-27,1497
2016-01-28,1497
2016-01-29,1484
2016-01-30,1484
2016-01-31,1484
2016-02-01,1484
2016-02-02,1484
2016-02-03,1493
2016-02-04,1493
2016-02-05,1493
2016-02-06,1493
2016-02-07,1493
2016-02-08,1493
2016-02-09,1470
2016-02-10,1470
2016-02-11,1470
2016-02-12,1470
2016-02-13,1504
2016-02-14,1504
2016-02-15,1504
2016-02-16,1504
2016-02-17,1504
2016-02-18,1509
2016-02-19,1509
2016-02-20,1509
2016-02-21,1509
2016-02-22,1553
2016-02-23,1553
2016-02-24,1553
2016-02-25,1553
2016-02-26,1599
2016-02-27,1599
2016-02-28,1599
2016-02-29,1599
2016-03-01,1538
2016-03-03,1538
2016-03-04,1538
2016-03-05,1520
2016-03-06,1520
2016-03-07,1520
2016-03-08,1520
2016-03-09,1529
2016-03-10,1529
2016-03-11,1529
2016-03-12,1529
2016-03-13,1531
2016-03-14,1531
2016-03-15,1531
2016-03-16,1531
2016-03-17,1507
2016-03-18,1507
2016-03-19,1507
2016-03-20,1507
2016-03-21,1521
2016-03-22,1521
2016-03-23,1521
2016-03-24,1521
2016-03-25,1497
2016-03-26,1497
2016-03-27,1497
2016-03-28,1463
2016-03-29,1463
2016-03-30,1463
2016-03-31,1463
2016-04-01,1463
2016-04-02,1440
2016-04-03,1440
2016-04-04,1440
2016-04-05,1440
2016-04-06,1459
2016-04-07,1459
2016-04-08,1459
2016-04-09,1459
2016-04-10,1452
2016-04-11,1452
2016-04-12,1452
2016-04-13,1452
2016-04-14,1452
2016-04-15,1487
2016-04-16,1487
2016-04-17,1487
2016-04-18,1525
2016-04-19,1525
2016-04-20,1525
2016-04-21,1525
2016-04-22,1525
2016-04-23,1474
2016-04-24,1474
2016-04-25,1474
2016-04-26,1401
2016-04-27,1401
2016-04-28,1401
2016-04-29,1338
2016-04-30,1338
2016-05-01,1338
2016-05-02,1273
2016-05-03,1273
2016-05-04,1273
2016-05-05,1209
2016-05-06,1209
2016-05-07,1209
2016-05-08,1209
2016-05-09,1148
2016-05-10,1148
2016-05-11,1148
2016-05-12,1091
2016-05-13,1091
2016-05-14,1091
2016-05-15,1038
2016-05-16,1038
2016-05-17,1038
2016-05-18,987
2016-05-19,987
2016-05-22,947
2016-05-23,947
2016-05-24,947
2016-05-25,914
2016-05-26,914
2016-05-27,914
2016-05-28,914
2016-05-29,914
2016-05-30,914
2016-05-31,947
2016-06-01,947
2016-06-02,947
2016-06-03,978
2016-06-04,978
2016-06-05,978
2016-06-06,965
2016-06-07,965
2016-06-08,965
2016-06-09,965
2016-06-10,916
2016-06-11,916
2016-06-12,916
2016-06-13,916
2016-06-14,897
2016-06-15,897
2016-06-16,897
2016-06-17,852
2016-06-18,852
2016-06-19,852
2016-06-20,849
2016-06-21,849
2016-06-22,849
2016-06-23,858
2016-06-24,858
2016-06-25,858
2016-06-26,858
2016-06-27,873
2016-06-28,873
2016-06-29,873
2016-06-30,873
2016-07-01,873
2016-07-02,873
2016-07-03,902
2016-07-04,902
2016-07-05,902
2016-07-06,896
2016-07-07,896
2016-07-08,896
2016-07-09,889
2016-07-10,889
2016-07-11,889
2016-07-12,906
2016-07-13,906
2016-07-14,906
2016-07-15,890
2016-07-16,890
2016-07-17,890
2016-07-18,897
2016-07-24,902
2016-07-25,899
2016-07-26,899
2016-07-27,899
2016-07-28,899
2016-07-29,899
2016-07-30,899
2016-07-31,930
2016-08-01,930
2016-08-02,930
2016-08-03,930
2016-08-04,944
2016-08-05,944
2016-08-06,944
2016-08-07,944
2016-08-08,941
2016-08-09,941
2016-08-10,941
2016-08-11,941
2016-08-12,935
2016-08-13,935
2016-08-14,935
2016-08-15,935
2016-08-16,946
2016-08-17,946
2016-08-18,946
2016-08-19,946
2016-08-20,946
2016-08-21,944
2016-08-22,944
2016-08-23,944
2016-08-24,944
2016-08-25,944
2016-08-26,924
2016-08-28,924
2016-08-31,931
2016-09-01,931
2016-09-02,931
2016-09-03,931
2016-09-04,934
2016-09-05,934
2016-09-06,934
2016-09-07,934
2016-09-08,934
2016-09-09,931
2016-09-10,931
2016-09-11,931
2016-09-12,931
2016-09-13,931
