date_obj,Tiara%20mould price
2015-03-26,193
2015-03-27,193
2015-03-28,193
2015-03-29,193
2015-03-30,193
2015-03-31,193
2015-04-01,193
2015-04-02,193
2015-04-03,190
2015-04-04,190
2015-04-05,190
2015-04-06,190
2015-04-07,190
2015-04-08,190
2015-04-09,190
2015-04-10,190
2015-04-11,190
2015-04-12,190
2015-04-13,188
2015-04-14,188
2015-04-15,188
2015-04-16,188
2015-04-17,188
2015-04-18,188
2015-04-19,188
2015-04-20,188
2015-04-21,188
2015-04-22,188
2015-04-23,188
2015-04-24,188
2015-04-25,188
2015-04-26,188
2015-04-27,188
2015-04-28,188
2015-04-29,188
2015-04-30,188
2015-05-01,188
2015-05-02,188
2015-05-03,188
2015-05-04,188
2015-05-05,189
2015-05-06,189
2015-05-07,189
2015-05-08,189
2015-05-09,189
2015-05-10,189
2015-05-11,189
2015-05-12,189
2015-05-13,189
2015-05-14,189
2015-05-15,187
2015-05-16,187
2015-05-17,187
2015-05-18,187
2015-05-19,187
2015-05-20,187
2015-05-21,187
2015-05-22,187
2015-05-23,187
2015-05-24,187
2015-05-25,187
2015-05-26,187
2015-05-27,191
2015-05-28,191
2015-05-29,191
2015-05-30,191
2015-05-31,191
2015-06-01,191
2015-06-02,191
2015-06-03,191
2015-06-04,191
2015-06-05,182
2015-06-06,182
2015-06-07,182
2015-06-08,182
2015-06-09,182
2015-06-10,182
2015-06-11,182
2015-06-12,182
2015-06-13,182
2015-06-14,182
2015-06-15,173
2015-06-16,173
2015-06-17,173
2015-06-18,173
2015-06-19,173
2015-06-20,173
2015-06-21,173
2015-06-22,173
2015-06-23,173
2015-06-24,173
2015-06-25,165
2015-06-26,165
2015-06-27,165
2015-06-28,165
2015-06-29,165
2015-06-30,165
2015-07-01,165
2015-07-02,165
2015-07-03,165
2015-07-04,165
2015-07-05,165
2015-07-06,158
2015-07-07,158
2015-07-08,158
2015-07-09,158
2015-07-10,158
2015-07-11,158
2015-07-12,158
2015-07-13,158
2015-07-14,158
2015-07-15,158
2015-07-16,158
2015-07-17,158
