date_obj,Tinderbox price
2015-03-26,58
2015-03-27,58
2015-03-28,60
2015-03-29,63
2015-03-30,63
2015-03-31,62
2015-04-01,62
2015-04-02,62
2015-04-03,66
2015-04-04,69
2015-04-05,72
2015-04-06,74
2015-04-07,72
2015-04-08,72
2015-04-09,70
2015-04-10,73
2015-04-11,76
2015-04-12,74
2015-04-13,72
2015-04-14,69
2015-04-15,68
2015-04-16,65
2015-04-17,64
2015-04-18,65
2015-04-19,67
2015-04-20,67
2015-04-21,65
2015-04-22,65
2015-04-23,64
2015-04-24,60
2015-04-25,60
2015-04-26,59
2015-04-27,59
2015-04-28,61
2015-04-29,61
2015-04-30,64
2015-05-01,67
2015-05-02,68
2015-05-03,68
2015-05-04,71
2015-05-05,73
2015-05-06,74
2015-05-07,72
2015-05-08,72
2015-05-09,72
2015-05-10,72
2015-05-11,72
2015-05-12,74
2015-05-13,75
2015-05-14,75
2015-05-15,78
2015-05-16,77
2015-05-17,75
2015-05-18,71
2015-05-19,69
2015-05-20,69
2015-05-21,70
2015-05-22,71
2015-05-23,73
2015-05-24,73
2015-05-25,77
2015-05-26,80
2015-05-27,84
2015-05-28,83
2015-05-29,86
2015-05-30,89
2015-05-31,92
2015-06-01,96
2015-06-02,96
2015-06-03,97
2015-06-04,101
2015-06-05,103
2015-06-06,104
2015-06-07,103
2015-06-08,100
2015-06-09,98
2015-06-10,95
2015-06-11,90
2015-06-12,89
2015-06-13,88
2015-06-14,85
2015-06-15,80
2015-06-16,76
2015-06-17,72
2015-06-18,68
2015-06-19,66
2015-06-20,64
2015-06-21,64
2015-06-22,63
2015-06-23,60
2015-06-24,60
2015-06-25,60
2015-06-26,59
2015-06-27,57
2015-06-28,57
2015-06-29,55
2015-06-30,52
2015-07-01,49
2015-07-02,49
2015-07-03,48
2015-07-04,50
2015-07-05,48
2015-07-06,46
2015-07-07,48
2015-07-08,46
2015-07-09,46
2015-07-10,45
2015-07-11,42
2015-07-12,39
2015-07-13,37
2015-07-14,36
2015-07-15,37
2015-07-16,37
2015-07-17,35
2015-07-18,33
2015-07-19,31
2015-07-20,29
2015-07-21,27
2015-07-22,25
2015-07-23,25
2015-07-24,24
2015-07-25,25
2015-07-26,27
2015-07-27,27
2015-07-28,26
2015-07-29,26
2015-07-30,26
2015-07-31,28
2015-08-01,30
2015-08-02,32
2015-08-03,33
2015-08-04,34
2015-08-05,35
2015-08-06,37
2015-08-07,36
2015-08-08,35
2015-08-09,33
2015-08-10,31
2015-08-11,30
2015-08-12,30
2015-08-13,32
2015-08-14,31
2015-08-15,33
2015-08-16,35
2015-08-17,37
2015-08-18,39
2015-08-19,41
2015-08-20,44
2015-08-21,47
2015-08-22,50
2015-08-23,53
2015-08-24,56
2015-08-25,56
2015-08-26,59
2015-08-27,61
2015-08-28,62
2015-08-29,66
2015-08-30,70
2015-08-31,73
2015-09-01,76
2015-09-02,76
2015-09-03,80
2015-09-04,83
2015-09-05,88
2015-09-06,92
2015-09-07,97
2015-09-08,100
2015-09-09,96
2015-09-10,96
2015-09-11,96
2015-09-12,100
2015-09-13,104
2015-09-14,107
2015-09-15,110
2015-09-16,114
2015-09-17,119
2015-09-18,123
2015-09-19,126
2015-09-20,121
2015-09-21,114
2015-09-22,115
2015-09-23,116
2015-09-24,116
2015-09-25,121
2015-09-27,129
2015-09-28,133
2015-09-29,139
2015-09-30,139
2015-10-05,149
2015-10-06,157
2015-10-07,159
2015-10-08,163
2015-10-09,156
2015-10-10,156
2015-10-11,158
2015-10-12,164
2015-10-13,169
2015-10-14,160
2015-10-15,156
2015-10-16,162
2015-10-17,162
2015-10-18,156
2015-10-19,152
2015-10-20,157
2015-10-22,164
2015-10-23,167
2015-10-24,161
2015-10-25,157
2015-10-26,162
2015-10-27,166
2015-10-29,166
2015-10-30,169
2015-10-31,167
2015-11-01,167
2015-11-02,162
2015-11-03,161
2015-11-04,160
2015-11-05,153
2015-11-06,152
2015-11-07,149
2015-11-08,151
2015-11-09,148
2015-11-10,147
2015-11-11,139
2015-11-12,132
2015-11-13,125
2015-11-14,118
2015-11-15,112
2015-11-16,106
2015-11-17,100
2015-11-18,95
2015-11-19,90
2015-11-20,85
2015-11-21,85
2015-11-22,80
2015-11-23,80
2015-11-24,79
2015-11-25,80
2015-11-26,80
2015-11-27,82
2015-11-28,84
2015-11-29,86
2015-11-30,84
2015-12-01,83
2015-12-02,85
2015-12-03,90
2015-12-04,95
2015-12-05,99
2015-12-06,100
2015-12-07,104
2015-12-08,109
2015-12-09,108
2015-12-10,107
2015-12-11,111
2015-12-13,117
2015-12-14,117
2015-12-15,119
2015-12-16,120
2015-12-17,118
2015-12-18,114
2015-12-19,118
2015-12-20,123
2015-12-21,129
2015-12-22,136
2015-12-23,141
2015-12-24,133
2015-12-25,126
2015-12-26,119
2015-12-27,113
2015-12-28,107
2015-12-29,105
2015-12-30,104
2015-12-31,103
2016-01-01,103
2016-01-02,107
2016-01-03,112
2016-01-04,115
2016-01-05,116
2016-01-06,120
2016-01-07,123
2016-01-08,124
2016-01-09,125
2016-01-10,129
2016-01-11,130
2016-01-12,131
2016-01-13,136
2016-01-14,137
2016-01-15,140
2016-01-16,140
2016-01-17,139
2016-01-18,133
2016-01-19,133
2016-01-20,130
2016-01-21,130
2016-01-22,128
2016-01-23,129
2016-01-24,133
2016-01-25,134
2016-01-26,137
2016-01-27,139
2016-01-28,139
2016-01-29,136
2016-01-30,141
2016-01-31,137
2016-02-01,130
2016-02-02,123
2016-02-03,116
2016-02-04,110
2016-02-05,105
2016-02-06,101
2016-02-07,101
2016-02-08,102
2016-02-09,100
2016-02-10,96
2016-02-11,91
2016-02-12,88
2016-02-13,83
2016-02-14,78
2016-02-15,74
2016-02-16,70
2016-02-17,66
2016-02-18,62
2016-02-19,58
2016-02-20,55
2016-02-21,52
2016-02-22,49
2016-02-23,46
2016-02-24,43
2016-02-25,40
2016-02-26,38
2016-02-27,36
2016-02-28,34
2016-02-29,32
2016-03-01,30
2016-03-02,28
2016-03-03,26
2016-03-04,24
2016-03-05,22
2016-03-06,20
2016-03-07,20
2016-03-08,20
2016-03-09,19
2016-03-10,19
2016-03-11,19
2016-03-12,20
2016-03-13,20
2016-03-14,21
2016-03-15,21
2016-03-16,21
2016-03-17,20
2016-03-18,20
2016-03-19,20
2016-03-20,20
2016-03-21,20
2016-03-22,20
2016-03-23,20
2016-03-24,20
2016-03-25,20
2016-03-26,20
2016-03-27,21
2016-03-28,22
2016-03-29,22
2016-03-30,22
2016-03-31,24
2016-04-01,24
2016-04-02,26
2016-04-03,27
2016-04-04,29
2016-04-05,31
2016-04-06,33
2016-04-07,34
2016-04-08,36
2016-04-09,35
2016-04-10,37
2016-04-11,37
2016-04-12,38
2016-04-13,40
2016-04-14,42
2016-04-15,45
2016-04-16,47
2016-04-17,49
2016-04-18,51
2016-04-19,54
2016-04-20,57
2016-04-21,59
2016-04-22,61
2016-04-23,64
2016-04-24,67
2016-04-25,69
2016-04-26,69
2016-04-27,69
2016-04-28,70
2016-04-29,71
2016-04-30,74
2016-05-01,76
2016-05-02,78
2016-05-03,79
2016-05-04,82
2016-05-05,84
2016-05-06,86
2016-05-07,87
2016-05-08,87
2016-05-09,87
2016-05-10,87
2016-05-11,85
2016-05-12,82
2016-05-13,80
2016-05-14,79
2016-05-15,79
2016-05-16,80
2016-05-17,81
2016-05-18,82
2016-05-19,82
2016-05-22,82
2016-05-23,82
2016-05-24,81
2016-05-25,81
2016-05-26,82
2016-05-27,82
2016-05-28,82
2016-05-29,82
2016-05-30,83
2016-05-31,82
2016-06-01,81
2016-06-02,80
2016-06-03,81
2016-06-04,82
2016-06-05,80
2016-06-06,81
2016-06-07,83
2016-06-08,81
2016-06-09,81
2016-06-10,82
2016-06-11,83
2016-06-12,82
2016-06-13,81
2016-06-14,81
2016-06-15,82
2016-06-16,82
2016-06-17,79
2016-06-18,75
2016-06-19,71
2016-06-20,68
2016-06-21,67
2016-06-22,68
2016-06-23,68
2016-06-24,68
2016-06-25,68
2016-06-26,68
2016-06-27,67
2016-06-28,67
2016-06-29,68
2016-06-30,68
2016-07-01,67
2016-07-02,68
2016-07-03,68
2016-07-04,67
2016-07-05,68
2016-07-06,68
2016-07-07,68
2016-07-08,68
2016-07-09,67
2016-07-10,69
2016-07-11,71
2016-07-12,75
2016-07-13,79
2016-07-14,83
2016-07-15,86
2016-07-16,91
2016-07-17,94
2016-07-18,97
2016-07-24,107
2016-07-25,110
2016-07-26,109
2016-07-27,113
2016-07-28,115
2016-07-29,121
2016-07-30,120
2016-07-31,117
2016-08-01,122
2016-08-02,128
2016-08-03,123
2016-08-04,126
2016-08-05,130
2016-08-06,131
2016-08-07,135
2016-08-08,138
2016-08-09,140
2016-08-10,145
2016-08-11,143
2016-08-12,135
2016-08-13,128
2016-08-14,121
2016-08-15,115
2016-08-16,113
2016-08-17,115
2016-08-18,120
2016-08-19,121
2016-08-20,120
2016-08-21,124
2016-08-22,122
2016-08-23,120
2016-08-24,123
2016-08-25,124
2016-08-26,124
2016-08-28,122
2016-08-31,121
2016-09-01,116
2016-09-02,116
2016-09-03,110
2016-09-04,104
2016-09-05,99
2016-09-06,94
2016-09-07,94
2016-09-08,93
2016-09-09,95
2016-09-10,92
2016-09-11,96
2016-09-12,99
2016-09-13,102
2016-09-14,105
2016-09-15,100
2016-09-16,95
2016-09-17,90
2016-09-18,91
2016-09-19,93
2016-09-20,93
2016-09-21,97
2016-09-22,101
2016-09-23,106
2016-09-24,106
2016-09-25,111
2016-09-26,115
2016-09-27,120
2016-09-28,125
2016-09-29,130
2016-09-30,133
2016-10-01,135
2016-10-02,134
2016-10-03,134
2016-10-04,132
2016-10-05,131
2016-10-06,130
2016-10-07,125
2016-10-08,123
2016-10-09,122
2016-10-10,125
2016-10-11,127
2016-10-12,129
2016-10-13,130
2016-10-14,130
2016-10-15,135
2016-10-16,138
2016-10-17,135
2016-10-18,132
2016-10-19,132
2016-10-20,128
2016-10-21,130
2016-10-22,124
2016-10-23,121
2016-10-24,122
2016-10-25,123
2016-10-26,124
2016-10-27,128
2016-10-28,125
2016-10-29,128
2016-10-30,127
2016-10-31,128
2016-11-01,131
2016-11-02,125
2016-11-03,119
2016-11-04,118
2016-11-05,114
2016-11-06,108
2016-11-07,109
2016-11-08,113
2016-11-09,118
2016-11-10,121
2016-11-11,126
2016-11-12,129
2016-11-13,134
2016-11-14,135
2016-12-08,151
2016-12-09,150
2016-12-10,148
2016-12-11,142
2016-12-12,143
2016-12-13,146
2016-12-14,150
2016-12-15,145
2016-12-16,149
2016-12-17,152
2016-12-18,156
2016-12-19,161
2016-12-20,165
2016-12-21,171
2016-12-22,174
2016-12-23,165
2016-12-24,156
2016-12-25,157
2016-12-26,159
2016-12-27,160
2016-12-28,155
2016-12-29,154
2016-12-30,156
2016-12-31,163
2017-01-01,169
2017-01-02,173
2017-01-03,170
2017-01-04,170
2017-01-05,175
2017-01-06,181
2017-01-07,186
2017-01-08,194
2017-01-09,203
2017-01-10,212
2017-01-11,222
2017-01-12,232
2017-01-13,238
2017-01-14,248
2017-01-15,249
2017-01-16,248
2017-01-17,238
2017-01-18,231
2017-01-19,219
2017-01-20,208
2017-01-21,197
2017-01-22,187
2017-01-27,143
2017-01-28,135
2017-01-29,129
2017-01-30,123
2017-01-31,119
2017-02-01,117
2017-02-02,118
2017-02-03,122
2017-02-04,122
2017-02-05,127
2017-02-06,128
2017-02-07,128
2017-02-08,128
2017-02-09,122
2017-02-10,126
2017-02-11,129
2017-02-12,126
2017-02-13,125
2017-02-14,125
2017-02-15,129
2017-02-16,127
2017-02-18,126
2017-02-19,130
2017-02-20,132
2017-02-21,136
2017-02-22,138
2017-02-23,135
2017-02-24,136
2017-02-25,133
2017-02-26,135
2017-02-27,138
2017-02-28,139
2017-03-01,139
2017-03-02,145
2017-03-03,151
2017-03-04,158
2017-03-05,163
2017-03-06,168
2017-03-07,172
2017-03-08,168
2017-03-09,174
2017-03-10,170
2017-03-11,166
2017-03-12,161
2017-03-13,162
2017-03-14,161
2017-03-15,155
2017-03-16,150
2017-03-17,150
2017-03-18,150
2017-03-19,148
2017-03-20,144
2017-03-21,146
2017-03-22,149
2017-03-23,146
2017-03-24,147
2017-03-25,150
2017-03-26,144
2017-03-27,148
2017-03-28,148
2017-03-29,149
2017-03-30,154
2017-03-31,156
2017-04-01,161
2017-04-02,167
2017-04-03,171
2017-04-04,178
2017-04-12,196
2017-04-13,194
2017-04-14,196
2017-04-15,201
2017-04-16,200
2017-04-17,193
2017-04-18,187
2017-04-19,191
2017-04-20,197
2017-04-21,200
2017-04-22,204
2017-04-23,208
2017-04-24,202
2017-04-25,194
2017-04-26,192
2017-04-27,188
2017-04-28,189
2017-04-29,183
2017-04-30,174
2017-05-01,165
2017-05-02,156
2017-05-03,152
2017-05-04,152
2017-05-05,154
2017-05-06,150
2017-05-07,151
2017-05-08,146
2017-05-09,147
2017-05-10,146
2017-05-11,144
2017-05-12,146
2017-05-13,150
2017-05-14,155
2017-05-15,154
2017-05-16,158
2017-05-17,155
2017-05-18,161
2017-05-19,161
2017-05-20,166
2017-05-21,170
2017-05-22,173
2017-05-23,166
2017-05-24,157
2017-05-25,149
2017-05-26,141
2017-05-27,133
2017-05-28,126
2017-05-29,119
2017-05-30,113
2017-05-31,107
2017-06-01,101
2017-06-02,95
2017-06-03,90
2017-06-06,76
2017-06-07,72
2017-06-08,68
2017-06-09,64
2017-06-10,60
2017-06-11,57
2017-06-12,54
2017-06-13,51
2017-06-14,48
2017-06-15,47
2017-06-16,47
2017-06-17,50
2017-06-18,52
2017-06-19,52
2017-06-20,53
2017-06-21,56
2017-06-22,59
2017-06-23,62
2017-06-24,65
2017-06-25,67
2017-06-26,69
2017-06-27,70
2017-06-28,73
2017-06-29,75
2017-06-30,75
2017-07-01,71
2017-07-02,67
2017-07-03,66
2017-07-04,69
2017-07-05,73
2017-07-06,76
2017-07-07,80
2017-07-08,78
2017-07-13,87
2017-07-14,88
2017-07-15,89
2017-07-16,90
2017-07-17,89
2017-07-18,92
2017-07-19,92
2017-07-20,94
2017-07-21,96
2017-07-22,96
2017-07-23,97
2017-07-24,101
2017-07-25,103
2017-07-26,98
2017-07-27,93
2017-07-28,90
2017-07-29,90
2017-07-30,94
2017-07-31,99
2017-08-01,103
2017-08-02,108
2017-08-03,106
2017-08-04,108
2017-08-05,109
2017-08-06,111
2017-08-09,120
2017-08-10,118
2017-08-11,122
2017-08-12,122
2017-08-13,125
2017-08-14,122
2017-08-15,129
2017-08-16,126
2017-08-17,127
2017-08-18,126
2017-08-19,127
2017-08-20,125
2017-08-21,118
2017-08-22,112
2017-08-23,106
2017-08-24,100
2017-08-25,95
2017-08-26,90
2017-08-27,85
2017-08-28,80
2017-08-29,76
2017-08-30,72
2017-08-31,68
2017-09-01,64
2017-09-02,60
2017-09-03,57
2017-09-04,55
2017-09-05,53
2017-09-06,50
2017-09-07,47
2017-09-08,44
2017-09-09,41
2017-09-10,39
2017-09-11,40
2017-09-12,39
2017-09-13,41
2017-09-14,42
2017-09-15,44
2017-09-16,46
2017-09-17,48
2017-09-19,53
2017-09-20,52
2017-09-21,51
2017-09-22,51
2017-09-23,52
2017-09-24,52
2017-09-25,49
2017-09-26,46
2017-09-27,47
2017-09-28,50
2017-09-29,51
2017-09-30,50
2017-10-01,52
2017-10-02,54
2017-10-03,57
2017-10-04,58
2017-10-05,59
2017-10-06,61
2017-10-07,61
2017-10-08,60
2017-10-09,62
2017-10-10,62
2017-10-11,59
2017-10-12,60
2017-10-13,62
2017-10-14,62
2017-10-15,62
