date_obj,Top%20hat price
2015-03-26,401982
2015-03-27,401982
2015-03-28,386910
2015-03-29,386910
2015-03-30,370944
2015-03-31,370944
2015-04-01,370944
2015-04-02,352876
2015-04-03,352876
2015-04-04,341282
2015-04-05,341282
2015-04-06,341282
2015-04-07,331360
2015-04-08,331360
2015-04-09,331360
2015-04-10,331857
2015-04-11,331857
2015-04-12,331857
2015-04-13,335289
2015-04-14,335289
2015-04-15,336451
2015-04-16,336451
2015-04-17,336451
2015-04-18,333933
2015-04-19,333933
2015-04-20,333933
2015-04-21,332359
2015-04-22,332359
2015-04-23,324066
2015-04-24,324066
2015-04-25,324066
2015-04-26,322474
2015-04-27,322474
2015-04-28,317982
2015-04-29,317982
2015-04-30,317982
2015-05-01,309286
2015-05-02,309286
2015-05-03,295031
2015-05-04,295031
2015-05-05,282614
2015-05-06,282614
2015-05-07,273988
2015-05-08,273988
2015-05-09,272975
2015-05-10,272975
2015-05-11,272975
2015-05-12,272147
2015-05-13,272147
2015-05-14,276088
2015-05-15,276088
2015-05-16,271484
2015-05-17,259836
2015-05-18,259836
2015-05-19,251863
2015-05-20,251863
2015-05-21,251863
2015-05-22,243248
2015-05-23,243248
2015-05-24,233350
2015-05-25,233350
2015-05-26,223395
2015-05-27,223395
2015-05-28,216658
2015-05-29,216658
2015-05-30,212468
2015-05-31,212468
2015-06-01,210932
2015-06-02,210932
2015-06-03,210932
2015-06-04,210019
2015-06-05,210019
2015-06-06,206426
2015-06-07,206426
2015-06-08,206426
2015-06-09,202189
2015-06-10,202189
2015-06-11,202189
2015-06-12,197928
2015-06-13,197928
2015-06-14,198158
2015-06-15,198158
2015-06-16,198158
2015-06-17,195884
2015-06-18,195884
2015-06-19,195884
2015-06-20,198205
2015-06-21,198205
2015-06-22,198205
2015-06-23,198205
2015-06-24,198205
2015-06-25,198205
2015-06-26,199681
2015-06-27,199681
2015-06-28,202184
2015-06-29,202184
2015-06-30,202184
2015-07-01,204738
2015-07-02,204738
2015-07-03,204738
2015-07-04,211415
2015-07-05,211415
2015-07-06,211415
2015-07-07,217826
2015-07-08,217826
2015-07-09,217826
2015-07-10,225858
2015-07-11,225858
2015-07-12,225858
2015-07-13,229341
2015-07-14,229341
2015-07-15,229341
2015-07-16,233830
2015-07-17,233830
2015-07-18,233830
2015-07-19,233697
2015-07-20,233697
2015-07-21,233697
2015-07-22,237985
2015-07-23,237985
2015-07-24,237985
2015-07-25,236688
2015-07-26,236688
2015-07-27,236688
2015-07-28,235133
2015-07-29,235133
2015-07-30,237124
2015-07-31,237124
2015-08-01,237124
2015-08-02,240920
2015-08-03,240920
2015-08-04,240920
2015-08-05,250776
2015-08-06,250776
2015-08-07,250776
2015-08-08,259649
2015-08-09,259649
2015-08-10,267201
2015-08-11,267201
2015-08-12,267201
2015-08-13,278111
2015-08-14,278111
2015-08-15,278111
2015-08-16,283429
