date_obj,Topaz%20bracelet price
2017-02-01,700
2017-02-02,732
2017-02-03,732
2017-02-04,732
2017-02-05,732
2017-02-06,732
2017-02-07,732
2017-02-08,732
2017-02-09,732
2017-02-10,762
2017-02-11,762
2017-02-12,762
2017-02-13,762
2017-02-14,762
2017-02-15,762
2017-02-16,762
2017-02-18,762
2017-02-19,762
2017-02-20,762
2017-02-21,762
2017-02-22,762
2017-02-23,762
2017-02-24,797
2017-02-25,797
2017-02-26,797
2017-02-27,797
2017-02-28,797
2017-03-01,797
2017-03-02,797
2017-03-03,797
2017-03-04,797
2017-03-05,797
2017-03-06,797
2017-03-07,797
2017-03-08,797
2017-03-09,797
2017-03-10,797
2017-03-11,797
2017-03-12,797
2017-03-13,833
2017-03-14,833
2017-03-15,833
2017-03-16,833
2017-03-17,833
2017-03-18,833
2017-03-19,833
2017-03-20,833
2017-03-21,833
2017-03-22,833
2017-03-23,833
2017-03-24,833
2017-03-25,833
2017-03-26,833
2017-03-27,833
2017-03-28,833
2017-03-29,874
2017-03-30,874
2017-03-31,874
2017-04-01,874
2017-04-02,874
2017-04-03,874
2017-04-04,874
2017-04-12,874
2017-04-13,874
2017-04-14,874
2017-04-15,916
2017-04-16,916
2017-04-17,916
2017-04-18,916
2017-04-19,916
2017-04-20,916
2017-04-21,916
2017-04-22,916
2017-04-23,916
2017-04-24,916
2017-04-25,916
2017-04-26,916
2017-04-27,916
2017-04-28,916
2017-04-29,916
2017-04-30,916
2017-05-01,916
2017-05-02,959
2017-05-03,959
2017-05-04,959
2017-05-05,959
2017-05-06,959
2017-05-07,959
2017-05-08,959
2017-05-09,959
2017-05-10,959
2017-05-11,959
2017-05-12,959
2017-05-13,959
2017-05-14,959
2017-05-15,959
2017-05-16,959
2017-05-17,959
2017-05-18,959
2017-05-19,959
2017-05-20,1002
2017-05-21,1002
2017-05-22,1002
2017-05-23,1002
2017-05-24,1002
2017-05-25,1002
2017-05-26,1002
2017-05-27,1002
2017-05-28,1002
2017-05-29,1002
2017-05-30,1002
2017-05-31,1002
2017-06-01,1002
2017-06-02,1002
2017-06-03,1002
2017-06-06,1002
2017-06-07,1002
2017-06-08,1002
2017-06-09,1002
2017-06-10,1002
2017-06-11,1002
2017-06-12,1002
2017-06-13,1002
