date_obj,Torag's%20armour%20set price
2015-03-26,842056
2015-03-27,842056
2015-03-28,842056
2015-03-29,817017
2015-03-30,817017
2015-03-31,817017
2015-04-01,817017
2015-04-02,817017
2015-04-03,817017
2015-04-04,817017
2015-04-05,817017
2015-04-06,830785
2015-04-07,830785
2015-04-08,830785
2015-04-09,830785
2015-04-10,830785
2015-04-11,830785
2015-04-12,830785
2015-04-13,830785
2015-04-14,830785
2015-04-15,831302
2015-04-16,831302
2015-04-17,831302
2015-04-18,831302
2015-04-19,831302
2015-04-20,831302
2015-04-21,831302
2015-04-22,831302
2015-04-23,830432
2015-04-24,830432
2015-04-25,830432
2015-04-26,830432
2015-04-27,830432
2015-04-28,830432
2015-04-29,830432
2015-04-30,830432
2015-05-01,830362
2015-05-02,830362
2015-05-03,830362
2015-05-04,830362
2015-05-05,830362
2015-05-06,830362
2015-05-07,830362
2015-05-08,830362
2015-05-09,847451
2015-05-10,847451
2015-05-11,847451
2015-05-12,847451
2015-05-13,847451
2015-05-14,847451
2015-05-15,847451
2015-05-16,847451
2015-05-17,834649
2015-05-18,834649
2015-05-19,834649
2015-05-20,834649
2015-05-21,834649
2015-05-22,834649
2015-05-23,834649
2015-05-24,834649
2015-05-25,834649
2015-05-26,838937
2015-05-27,838937
2015-05-28,838937
2015-05-29,838937
2015-05-30,838937
2015-05-31,838937
2015-06-01,834223
2015-06-02,834223
2015-06-03,834223
2015-06-04,834223
2015-06-05,834223
2015-06-06,834223
2015-06-07,828788
2015-06-08,828788
2015-06-09,828788
2015-06-10,828788
2015-06-11,828788
2015-06-12,828788
2015-06-13,843105
2015-06-14,843105
2015-06-15,843105
2015-06-16,843105
2015-06-17,843105
2015-06-18,843105
2015-06-19,863589
2015-06-20,863589
2015-06-21,863589
2015-06-22,863589
2015-06-23,863589
2015-06-24,863589
2015-06-25,840810
2015-06-26,840810
2015-06-27,840810
2015-06-28,840810
2015-06-29,840810
2015-06-30,840810
2015-07-01,843292
2015-07-02,843292
2015-07-03,843292
2015-07-04,843292
2015-07-05,843292
2015-07-06,843292
2015-07-07,867509
2015-07-08,867509
2015-07-09,867509
2015-07-10,867509
2015-07-11,867509
2015-07-12,867509
2015-07-13,857478
2015-07-14,857478
2015-07-15,857478
2015-07-16,857478
2015-07-17,857478
2015-07-18,857478
2015-07-19,848165
2015-07-20,848165
2015-07-21,848165
2015-07-22,848165
2015-07-23,848165
2015-07-24,823576
2015-07-25,823576
2015-07-26,823576
2015-07-27,823576
2015-07-28,823576
2015-07-29,823576
2015-07-30,811443
2015-07-31,811443
2015-08-01,811443
2015-08-02,811443
2015-08-03,811443
2015-08-04,811443
2015-08-05,798206
2015-08-06,798206
2015-08-07,798206
2015-08-08,798206
2015-08-09,798206
2015-08-10,791935
2015-08-11,791935
2015-08-12,791935
2015-08-13,791935
2015-08-14,791935
2015-08-15,784263
2015-08-16,784263
2015-08-17,784263
2015-08-18,784263
2015-08-19,784263
2015-08-20,785950
2015-08-21,785950
2015-08-22,785950
2015-08-23,785950
2015-08-24,809754
2015-08-25,809754
2015-08-26,809754
2015-08-27,809754
2015-08-28,809754
2015-08-29,840947
2015-08-30,840947
2015-08-31,840947
2015-09-01,840947
2015-09-02,840947
2015-09-03,840947
2015-09-04,837458
2015-09-05,837458
2015-09-06,837458
2015-09-07,837458
2015-09-08,837458
2015-09-09,803226
2015-09-10,803226
2015-09-11,803226
2015-09-12,803226
