date_obj,Torstol price
2015-03-26,6251
2015-03-27,6251
2015-03-28,6114
2015-03-29,5936
2015-03-30,5807
2015-03-31,5807
2015-04-01,5741
2015-04-02,5741
2015-04-03,5664
2015-04-04,5580
2015-04-05,5580
2015-04-06,5380
2015-04-07,5468
2015-04-08,5468
2015-04-09,5457
2015-04-10,5275
2015-04-11,5251
2015-04-12,5251
2015-04-13,5324
2015-04-14,5324
2015-04-15,5164
2015-04-16,5164
2015-04-17,4958
2015-04-18,4847
2015-04-19,4814
2015-04-20,4814
2015-04-21,4847
2015-04-22,4847
2015-04-23,4845
2015-04-24,4845
2015-04-25,4857
2015-04-26,4857
2015-04-27,4985
2015-04-28,5006
2015-04-29,5006
2015-04-30,5119
2015-05-01,5362
2015-05-02,5477
2015-05-03,5477
2015-05-04,5684
2015-05-05,5684
2015-05-06,5939
2015-05-07,5939
2015-05-08,5825
2015-05-09,5825
2015-05-10,5615
2015-05-11,5615
2015-05-12,5555
2015-05-13,5555
2015-05-14,5483
2015-05-15,5483
2015-05-16,5418
2015-05-17,5548
2015-05-18,5548
2015-05-19,5595
2015-05-20,5595
2015-05-21,5595
2015-05-22,5713
2015-05-23,5713
2015-05-24,5605
2015-05-25,5611
2015-05-26,5611
2015-05-27,5695
2015-05-28,5695
2015-05-29,5834
2015-05-30,6124
2015-05-31,6124
2015-06-01,6431
2015-06-02,6431
2015-06-03,6741
2015-06-04,6741
2015-06-05,7065
2015-06-06,7275
2015-06-07,7122
2015-06-08,7122
2015-06-09,7047
2015-06-10,7022
2015-06-11,7022
2015-06-12,7121
2015-06-13,7143
2015-06-14,7119
2015-06-15,7119
2015-06-16,7026
2015-06-17,7026
2015-06-18,7107
2015-06-19,7107
2015-06-20,6981
2015-06-21,6981
2015-06-22,6974
2015-06-23,6974
2015-06-24,7128
2015-06-25,7128
2015-06-26,7438
2015-06-27,7438
2015-06-28,7235
2015-06-29,7235
2015-06-30,7013
2015-07-01,7260
2015-07-02,7260
2015-07-03,7262
2015-07-04,7151
2015-07-05,7151
2015-07-06,7257
2015-07-07,7147
2015-07-08,7396
2015-07-09,7396
2015-07-10,7675
2015-07-11,7675
2015-07-12,7873
2015-07-13,7759
2015-07-14,7632
2015-07-15,7467
2015-07-16,7450
2015-07-17,7661
2015-07-18,7661
2015-07-19,7867
2015-07-20,8108
2015-07-21,8108
2015-07-22,7908
2015-07-23,7908
2015-07-24,7706
2015-07-25,7706
2015-07-26,7937
2015-07-27,8019
2015-07-28,8049
2015-07-29,8000
2015-07-30,8000
2015-07-31,8063
2015-08-01,8063
2015-08-02,8181
2015-08-03,8181
2015-08-04,8206
2015-08-05,8369
2015-08-06,8457
2015-08-07,8457
2015-08-08,8492
2015-08-09,8292
2015-08-10,8319
2015-08-11,8532
2015-08-12,8532
2015-08-13,8656
2015-08-14,8464
2015-08-15,8464
2015-08-16,8430
2015-08-17,8430
2015-08-18,8640
2015-08-19,8640
2015-08-20,8692
2015-08-21,8692
2015-08-22,8883
2015-08-23,8883
2015-08-24,9098
2015-08-25,9098
2015-08-26,9098
2015-08-27,9084
2015-08-28,9084
2015-08-29,8855
2015-08-30,8855
2015-08-31,8810
2015-09-01,8810
2015-09-02,8699
2015-09-03,8699
2015-09-04,8569
2015-09-05,8569
2015-09-06,8445
2015-09-07,8445
2015-09-08,8386
2015-09-09,8386
2015-09-10,8353
2015-09-11,8353
2015-09-12,8260
2015-09-13,8260
2015-09-14,8131
2015-09-15,8131
2015-09-16,7753
2015-09-17,7753
2015-09-18,7482
2015-09-19,7482
2015-09-20,7522
2015-09-21,7522
2015-09-22,7381
2015-09-23,7381
2015-09-24,7340
2015-09-25,7340
2015-09-27,7190
2015-09-28,6852
2015-09-29,6852
2015-09-30,6733
2015-10-05,6476
2015-10-06,6587
2015-10-07,6587
2015-10-08,6593
2015-10-09,6593
2015-10-10,6512
2015-10-11,6467
2015-10-12,6467
2015-10-13,6522
2015-10-14,6522
2015-10-15,6626
2015-10-16,6626
2015-10-17,6921
2015-10-18,6921
2015-10-19,7136
2015-10-20,7136
2015-10-22,7049
2015-10-23,6771
2015-10-24,6771
2015-10-25,6641
2015-10-26,6641
2015-10-27,6792
2015-10-29,6775
2015-10-30,6775
2015-10-31,6775
2015-11-01,6587
2015-11-02,6587
2015-11-03,6587
2015-11-04,6408
2015-11-05,6408
2015-11-06,6408
2015-11-07,6266
2015-11-08,6266
2015-11-09,6266
2015-11-10,6266
2015-11-11,6194
2015-11-12,6194
2015-11-13,6194
2015-11-14,6194
2015-11-15,6057
2015-11-16,6057
2015-11-17,6057
2015-11-18,5937
2015-11-19,5937
2015-11-20,5827
2015-11-21,5827
2015-11-22,5827
2015-11-23,5859
2015-11-24,5859
2015-11-25,5844
2015-11-26,5844
2015-11-27,5844
2015-11-28,5930
2015-11-29,5930
2015-11-30,5910
2015-12-01,5910
2015-12-02,5910
2015-12-03,5985
2015-12-04,5985
2015-12-05,5985
2015-12-06,6093
2015-12-07,6093
2015-12-08,6093
2015-12-09,6345
2015-12-10,6345
2015-12-11,6562
2015-12-13,6810
2015-12-14,6810
2015-12-15,7074
2015-12-16,7074
2015-12-17,7280
2015-12-18,7280
2015-12-19,7170
2015-12-20,7170
2015-12-21,7145
2015-12-22,7145
2015-12-23,7026
2015-12-24,7026
2015-12-25,7026
2015-12-26,6994
2015-12-27,6994
2015-12-28,7078
2015-12-29,7146
2015-12-30,7146
2015-12-31,7291
2016-01-01,7291
2016-01-02,7253
2016-01-03,7253
2016-01-04,7268
2016-01-05,7268
2016-01-06,7165
