date_obj,Treasonous%20ring price
2015-03-26,2842123
2015-03-27,2842123
2015-03-28,2842123
2015-03-29,2842123
2015-03-30,2749124
2015-03-31,2749124
2015-04-01,2749124
2015-04-02,2749124
2015-04-03,2749124
2015-04-04,2749124
2015-04-05,2807227
2015-04-06,2807227
2015-04-07,2807227
2015-04-08,2807227
2015-04-09,2807227
2015-04-10,2807227
2015-04-11,2912896
2015-04-12,2912896
2015-04-13,2912896
2015-04-14,2912896
2015-04-15,2912896
2015-04-16,2912896
2015-04-17,2990009
2015-04-18,2990009
2015-04-19,2990009
2015-04-20,2990009
2015-04-21,2990009
2015-04-22,2990009
2015-04-23,2985851
2015-04-24,2985851
2015-04-25,2985851
2015-04-26,2985851
2015-04-27,2985851
2015-04-28,3055210
2015-04-29,3055210
2015-04-30,3055210
2015-05-01,3055210
2015-05-02,3055210
2015-05-03,3055210
2015-05-04,3190152
2015-05-05,3190152
2015-05-06,3190152
2015-05-07,3190152
2015-05-08,3190152
2015-05-09,3190152
2015-05-10,3218424
2015-05-11,3218424
2015-05-12,3218424
2015-05-13,3218424
2015-05-14,3218424
2015-05-15,3218424
2015-05-16,3269787
2015-05-17,3269787
2015-05-18,3269787
2015-05-19,3269787
2015-05-20,3269787
2015-05-21,3269787
2015-05-22,3316131
2015-05-23,3316131
2015-05-24,3316131
2015-05-25,3316131
2015-05-26,3316131
2015-05-27,3316131
2015-05-28,3253926
2015-05-29,3253926
2015-05-30,3253926
2015-05-31,3253926
2015-06-01,3325601
2015-06-02,3325601
2015-06-03,3325601
2015-06-04,3325601
2015-06-05,3329591
2015-06-06,3329591
2015-06-07,3329591
2015-06-08,3329591
2015-06-09,3268241
2015-06-10,3268241
2015-06-11,3268241
2015-06-12,3268241
2015-06-13,3116699
2015-06-14,3116699
2015-06-15,3116699
2015-06-16,3116699
2015-06-17,2997661
2015-06-18,2997661
2015-06-19,2997661
2015-06-20,2997661
2015-06-21,2978800
2015-06-22,2978800
2015-06-23,2978800
2015-06-24,3038883
2015-06-25,3038883
2015-06-26,3038883
2015-06-27,3038883
2015-06-28,3140935
2015-06-29,3140935
2015-06-30,3140935
2015-07-01,3140935
2015-07-02,3140935
2015-07-03,3124178
2015-07-04,3124178
2015-07-05,3124178
2015-07-06,3124178
2015-07-07,3211389
