date_obj,Tribal%20top%20(blue) price
2015-02-25,25000
2015-02-26,25000
2015-02-27,25000
2015-02-28,25000
2015-03-01,25000
2015-03-02,25000
2015-03-03,25000
2015-03-04,25000
2015-03-05,25000
2015-03-06,25000
2015-03-07,25000
2015-03-08,25000
2015-03-09,25000
2015-03-10,25000
2015-03-11,25000
2015-03-12,25000
2015-03-13,25000
2015-03-14,25000
2015-03-15,25000
2015-03-16,25000
2015-03-17,24259
2015-03-18,24259
2015-03-19,24259
2015-03-20,24259
2015-03-21,24259
2015-03-22,24259
2015-03-23,24259
2015-03-24,24259
2015-03-25,24259
2015-03-26,24259
2015-03-27,24259
2015-03-28,24259
2015-03-29,24259
2015-03-30,24259
2015-03-31,24259
2015-04-01,24259
2015-04-02,24259
2015-04-03,24259
2015-04-04,24259
2015-04-05,24259
2015-04-06,24259
2015-04-07,23280
2015-04-08,23280
2015-04-09,23280
2015-04-10,23280
2015-04-11,23280
2015-04-12,23280
2015-04-13,23280
2015-04-14,23280
2015-04-15,23280
2015-04-16,23280
2015-04-17,23280
2015-04-18,23280
2015-04-19,23280
2015-04-20,23280
2015-04-21,23280
2015-04-22,23280
2015-04-23,23280
2015-04-24,23280
2015-04-25,23280
2015-04-26,23280
2015-04-27,23280
2015-04-28,22236
2015-04-29,22236
2015-04-30,22236
2015-05-01,22236
2015-05-02,22236
2015-05-03,22236
2015-05-04,22236
2015-05-05,22236
2015-05-06,22236
2015-05-07,22236
2015-05-08,22236
2015-05-09,22236
2015-05-10,22236
2015-05-11,22236
2015-05-12,22236
2015-05-13,22236
2015-05-14,22236
2015-05-15,22236
2015-05-16,22236
2015-05-17,22236
2015-05-18,21135
2015-05-19,21135
2015-05-20,21135
2015-05-21,21135
2015-05-22,21135
2015-05-23,21135
2015-05-24,21135
2015-05-25,21135
2015-05-26,21135
2015-05-27,21135
2015-05-28,21135
2015-05-29,21135
2015-05-30,21135
2015-05-31,20085
2015-06-01,20085
2015-06-02,20085
2015-06-03,20085
2015-06-04,20085
2015-06-05,20085
2015-06-06,20085
2015-06-07,20085
2015-06-08,20085
2015-06-09,20085
2015-06-10,20085
2015-06-11,19104
2015-06-12,19104
2015-06-13,19104
2015-06-14,19104
2015-06-15,19104
2015-06-16,19104
2015-06-17,19104
2015-06-18,19104
2015-06-19,19104
2015-06-20,19104
2015-06-21,19104
2015-06-22,18165
2015-06-23,18165
2015-06-24,18165
2015-06-25,18165
2015-06-26,18165
2015-06-27,18165
2015-06-28,18165
2015-06-29,18165
2015-06-30,18165
2015-07-01,18165
2015-07-02,18165
2015-07-03,18165
2015-07-04,18165
2015-07-05,17659
2015-07-06,17659
2015-07-07,17659
2015-07-08,17659
2015-07-09,17659
2015-07-10,17659
2015-07-11,17659
