date_obj,Tribal%20top%20(yellow) price
2015-02-25,25000
2015-02-26,25000
2015-02-27,25000
2015-02-28,25000
2015-03-01,25000
2015-03-02,25000
2015-03-03,25000
2015-03-04,25000
2015-03-05,25000
2015-03-06,25000
2015-03-07,25000
2015-03-08,25000
2015-03-09,25000
2015-03-10,25000
2015-03-11,25000
2015-03-12,25000
2015-03-13,25000
2015-03-14,25000
2015-03-15,25000
2015-03-16,25000
2015-03-17,25000
2015-03-18,25000
2015-03-19,25000
2015-03-20,25000
2015-03-21,25000
2015-03-22,25000
2015-03-23,25000
2015-03-24,25000
2015-03-25,25000
2015-03-26,25000
2015-03-27,25000
2015-03-28,25000
2015-03-29,25000
2015-03-30,25000
2015-03-31,25000
2015-04-01,25000
2015-04-02,25000
2015-04-03,25000
2015-04-04,25000
2015-04-05,25000
2015-04-06,23820
2015-04-07,23820
2015-04-08,23820
2015-04-09,23820
2015-04-10,23820
2015-04-11,23820
2015-04-12,23820
2015-04-13,23820
2015-04-14,23820
2015-04-15,23820
2015-04-16,23820
2015-04-17,23820
2015-04-18,23820
2015-04-19,23820
2015-04-20,23820
2015-04-21,23820
2015-04-22,23820
2015-04-23,23820
2015-04-24,23820
2015-04-25,23820
2015-04-26,23820
2015-04-27,23820
2015-04-28,23820
2015-04-29,23820
2015-04-30,23820
2015-05-01,23820
2015-05-02,23820
2015-05-03,23820
2015-05-04,23820
2015-05-05,23820
2015-05-06,23820
2015-05-07,23820
2015-05-08,23820
2015-05-09,23820
2015-05-10,23820
2015-05-11,23820
2015-05-12,23820
2015-05-13,23820
2015-05-14,23820
2015-05-15,23820
2015-05-16,22784
2015-05-17,22784
2015-05-18,22784
2015-05-19,22784
2015-05-20,22784
2015-05-21,22784
2015-05-22,22784
2015-05-23,22784
2015-05-24,22784
2015-05-25,22784
2015-05-26,22784
2015-05-27,22784
2015-05-28,22784
2015-05-29,22784
2015-05-30,22784
2015-05-31,22784
2015-06-01,22784
2015-06-02,22784
2015-06-03,22784
2015-06-04,22784
2015-06-05,22784
2015-06-06,22784
2015-06-07,22784
2015-06-08,22784
2015-06-09,22784
2015-06-10,21711
2015-06-11,21711
2015-06-12,21711
2015-06-13,21711
2015-06-14,21711
2015-06-15,21711
2015-06-16,21711
2015-06-17,21711
2015-06-18,21711
2015-06-19,21711
2015-06-20,21711
2015-06-21,21711
2015-06-22,21711
2015-06-23,21711
2015-06-24,21711
2015-06-25,21711
2015-06-26,21711
2015-06-27,21711
2015-06-28,21711
2015-06-29,21711
2015-06-30,21711
2015-07-01,21711
2015-07-02,21711
2015-07-03,21711
2015-07-04,21711
2015-07-05,21711
2015-07-06,21711
2015-07-07,21711
2015-07-08,21392
2015-07-09,21392
2015-07-10,21392
