date_obj,Tuna%20potato price
2015-03-26,1621
2015-03-27,1621
2015-03-28,1582
2015-03-29,1600
2015-03-30,1600
2015-03-31,1531
2015-04-01,1531
2015-04-02,1515
2015-04-03,1582
2015-04-04,1571
2015-04-05,1571
2015-04-06,1567
2015-04-07,1504
2015-04-08,1504
2015-04-09,1489
2015-04-10,1458
2015-04-11,1412
2015-04-12,1412
2015-04-13,1383
2015-04-14,1383
2015-04-15,1387
2015-04-16,1387
2015-04-17,1438
2015-04-18,1504
2015-04-19,1570
2015-04-20,1570
2015-04-21,1619
2015-04-22,1619
2015-04-23,1618
2015-04-24,1618
2015-04-25,1620
2015-04-26,1620
2015-04-27,1572
2015-04-28,1523
2015-04-29,1523
2015-04-30,1516
2015-05-01,1485
2015-05-02,1463
2015-05-03,1463
2015-05-04,1421
2015-05-05,1399
2015-05-06,1372
2015-05-07,1367
2015-05-08,1393
2015-05-09,1385
2015-05-10,1349
2015-05-11,1349
2015-05-12,1325
2015-05-13,1309
2015-05-14,1300
2015-05-15,1284
2015-05-16,1284
2015-05-17,1306
2015-05-18,1359
2015-05-19,1326
2015-05-20,1326
2015-05-21,1385
2015-05-22,1383
2015-05-23,1372
2015-05-24,1328
2015-05-25,1324
2015-05-26,1378
2015-05-27,1441
2015-05-28,1514
2015-05-29,1590
2015-05-30,1571
2015-05-31,1537
2015-06-01,1504
2015-06-02,1504
2015-06-03,1563
2015-06-04,1641
2015-06-05,1716
2015-06-06,1695
2015-06-07,1704
2015-06-08,1708
2015-06-09,1653
2015-06-10,1657
2015-06-11,1685
2015-06-12,1736
2015-06-13,1791
2015-06-14,1855
2015-06-15,1891
2015-06-16,1973
2015-06-17,1944
2015-06-18,2021
2015-06-19,2108
2015-06-20,2158
2015-06-21,2113
2015-06-22,2109
2015-06-23,2058
2015-06-24,2021
2015-06-25,1985
2015-06-26,1930
2015-06-27,1911
2015-06-28,1921
2015-06-29,1949
2015-06-30,1973
2015-07-01,1937
2015-07-02,1937
2015-07-03,1990
2015-07-04,2011
2015-07-05,2011
2015-07-06,1965
2015-07-07,1960
2015-07-08,1913
2015-07-09,1913
2015-07-10,1884
2015-07-11,1794
2015-07-12,1704
2015-07-13,1625
2015-07-14,1594
2015-07-15,1564
2015-07-16,1629
2015-07-17,1695
2015-07-18,1728
2015-07-19,1752
2015-07-20,1832
2015-07-21,1862
2015-07-22,1885
2015-07-23,1885
2015-07-24,1874
2015-07-25,1862
2015-07-26,1893
2015-07-27,1809
2015-07-28,1728
2015-07-29,1741
2015-07-30,1766
2015-07-31,1691
2015-08-01,1723
2015-08-02,1729
2015-08-03,1742
2015-08-04,1749
2015-08-05,1737
2015-08-06,1681
2015-08-07,1652
2015-08-08,1625
2015-08-09,1619
2015-08-10,1593
2015-08-11,1633
2015-08-12,1607
2015-08-13,1573
2015-08-14,1498
2015-08-15,1478
2015-08-16,1471
2015-08-17,1433
2015-08-18,1394
2015-08-19,1437
2015-08-20,1471
2015-08-21,1489
2015-08-22,1530
2015-08-23,1604
2015-08-24,1654
2015-08-25,1654
2015-08-26,1719
2015-08-27,1769
2015-08-28,1781
2015-08-29,1793
2015-08-30,1795
2015-08-31,1746
2015-09-01,1757
2015-09-02,1757
2015-09-03,1842
2015-09-04,1865
2015-09-05,1783
2015-09-06,1769
2015-09-07,1745
2015-09-08,1724
