date_obj,Twisted%20coat%20(t3) price
2020-01-13,1000000
2020-01-14,1000000
2020-01-15,1050000
2020-01-16,1102500
2020-01-17,1154567
2020-01-18,1206369
2020-01-19,1263127
2020-01-20,1263127
2020-01-21,1320033
2020-01-22,1320033
2020-01-23,1381234
2020-01-24,1381234
2020-01-25,1381234
2020-01-26,1446298
2020-01-27,1446298
2020-01-28,1446298
2020-01-29,1446298
2020-01-30,1513266
2020-01-31,1513266
2020-02-01,1513266
2020-02-02,1513266
2020-02-03,1513266
2020-02-04,1513266
2020-02-05,1583172
2020-02-06,1583172
2020-02-07,1583172
2020-02-08,1583172
2020-02-09,1583172
2020-02-10,1583172
2020-02-11,1583172
2020-02-12,1656202
2020-02-13,1656202
2020-02-14,1656202
2020-02-15,1656202
2020-02-16,1656202
2020-02-17,1656202
2020-02-18,1656202
2020-02-19,1656202
2020-02-20,1733753
2020-02-21,1733753
2020-02-22,1733753
2020-02-23,1733753
2020-02-24,1733753
2020-02-25,1733753
2020-02-26,1733753
2020-02-27,1733753
2020-02-28,1813208
2020-02-29,1813208
2020-03-01,1813208
2020-03-02,1813208
2020-03-03,1813208
2020-03-04,1813208
2020-03-05,1813208
2020-03-06,1813208
2020-03-07,1813208
2020-03-08,1813208
2020-03-09,1898749
2020-03-10,1898749
2020-03-11,1898749
2020-03-12,1898749
2020-03-13,1898749
2020-03-14,1898749
2020-03-15,1898749
2020-03-16,1898749
2020-03-17,1898749
2020-03-18,1980170
2020-03-19,1980170
2020-03-20,1980170
2020-03-21,1980170
2020-03-22,1980170
2020-03-23,1980170
2020-03-24,1980170
2020-03-25,1980170
2020-03-26,1980170
2020-03-27,2070367
2020-03-28,2070367
2020-03-29,2070367
2020-03-30,2070367
2020-03-31,2070367
2020-04-01,2070367
2020-04-02,2070367
2020-04-03,2070367
2020-04-04,2070367
2020-04-05,2163021
2020-04-06,2163021
2020-04-07,2163021
2020-04-08,2163021
2020-04-09,2163021
2020-04-10,2163021
2020-04-11,2163021
2020-04-12,2163021
2020-04-13,2163021
2020-04-14,2163021
2020-04-15,2259764
2020-04-16,2259764
2020-04-17,2259764
2020-04-18,2259764
2020-04-19,2259764
2020-04-20,2259764
2020-04-21,2259764
2020-04-22,2259764
2020-04-23,2259764
2020-04-24,2259764
2020-04-25,2361832
2020-04-26,2361832
2020-04-27,2361832
2020-04-28,2361832
2020-04-29,2361832
2020-04-30,2361832
2020-05-01,2361832
2020-05-02,2361832
2020-05-03,2361832
2020-05-04,2361832
2020-05-05,2361832
2020-05-06,2469006
2020-05-07,2469006
2020-05-08,2469006
2020-05-09,2469006
2020-05-10,2469006
2020-05-11,2469006
2020-05-12,2469006
2020-05-13,2469006
