date_obj,Twisted%20relichunter%20(t3)%20armour%20set price
2020-01-20,4000000
2020-01-21,4000000
2020-01-22,4933051
2020-01-23,5146230
2020-01-24,5364598
2020-01-25,5619519
2020-01-26,5873848
2020-01-27,6125736
2020-01-28,6387062
2020-01-29,6686807
2020-01-30,6988861
2020-01-31,7278419
2020-02-01,7608423
2020-02-02,7964302
2020-02-03,7964302
2020-02-04,8335249
2020-02-05,8335249
2020-02-06,8711536
2020-02-07,8711536
2020-02-08,9097254
2020-02-09,9097254
2020-02-10,9489030
2020-02-11,9489030
2020-02-12,9918054
2020-02-13,9918054
2020-02-14,10340610
2020-02-15,10340610
2020-02-16,10795919
2020-02-17,10795919
2020-02-18,11282692
2020-02-19,11282692
2020-02-20,11788390
2020-02-21,11788390
2020-02-22,12304208
2020-02-23,12304208
2020-02-24,12862156
2020-02-25,12862156
2020-02-26,12862156
2020-02-27,13448454
2020-02-28,13448454
2020-02-29,13448454
2020-03-01,14027251
2020-03-02,14027251
2020-03-03,14027251
2020-03-04,14644802
2020-03-05,14644802
2020-03-06,15291137
2020-03-07,15291137
2020-03-08,15291137
2020-03-09,15988320
2020-03-10,15988320
2020-03-11,15988320
2020-03-12,16710737
2020-03-13,16710737
2020-03-14,16710737
2020-03-15,16710737
2020-03-16,17470694
2020-03-17,17470694
2020-03-18,17470694
2020-03-19,17470694
2020-03-20,18287405
2020-03-21,18287405
2020-03-22,18287405
2020-03-23,19103016
2020-03-24,19103016
2020-03-25,19103016
2020-03-26,19103016
2020-03-27,19953566
2020-03-28,19953566
2020-03-29,19953566
2020-03-30,20839891
2020-03-31,20839891
2020-04-01,20839891
2020-04-02,21733575
2020-04-03,21733575
2020-04-04,21733575
2020-04-05,21733575
2020-04-06,22712380
2020-04-07,22712380
2020-04-08,22712380
2020-04-09,23748383
2020-04-10,23748383
2020-04-11,23748383
2020-04-12,23748383
2020-04-13,24869735
2020-04-14,24869735
2020-04-15,24869735
2020-04-16,25995091
2020-04-17,25995091
2020-04-18,25995091
2020-04-19,27109019
2020-04-20,27109019
2020-04-21,27109019
2020-04-22,27109019
2020-04-23,28383543
2020-04-24,28383543
2020-04-25,28383543
2020-04-26,28734572
2020-04-27,28734572
2020-04-28,28734572
2020-04-29,28734572
2020-04-30,27995026
2020-05-01,27995026
2020-05-02,27995026
2020-05-03,27995026
2020-05-04,27995026
2020-05-05,28068038
2020-05-06,28068038
2020-05-07,28068038
2020-05-08,28068038
2020-05-09,27299164
2020-05-10,27299164
2020-05-11,27299164
2020-05-12,27299164
2020-05-13,26161793
