date_obj,Ultracompost price
2017-09-07,1601
2017-09-08,1682
2017-09-09,1767
2017-09-10,1851
2017-09-11,1923
2017-09-12,2019
2017-09-13,2031
2017-09-14,1933
2017-09-15,1836
2017-09-16,1755
2017-09-17,1835
2017-09-19,1938
2017-09-20,1929
2017-09-21,1937
2017-09-22,1945
2017-09-23,1930
2017-09-24,1932
2017-09-25,1872
2017-09-26,1804
2017-09-27,1764
2017-09-28,1809
2017-09-29,1772
2017-09-30,1734
2017-10-01,1687
2017-10-02,1667
2017-10-03,1670
2017-10-04,1699
2017-10-05,1659
2017-10-06,1596
2017-10-07,1573
2017-10-08,1551
2017-10-09,1494
2017-10-10,1512
2017-10-11,1571
2017-10-12,1640
2017-10-13,1713
2017-10-14,1729
2017-10-15,1712
2017-10-16,1728
2017-10-17,1722
2017-10-18,1709
2017-10-19,1678
2017-10-20,1649
2017-10-21,1632
2017-10-22,1571
2017-10-23,1514
2017-10-24,1463
2017-10-25,1400
2017-10-26,1419
2017-10-27,1477
2017-10-28,1487
2017-10-29,1529
2017-10-30,1479
2017-10-31,1478
2017-11-01,1472
2017-11-02,1443
2017-11-03,1402
2017-11-04,1411
2017-11-05,1391
2017-11-06,1387
2017-11-07,1371
2017-11-08,1350
2017-11-09,1323
2017-11-10,1342
2017-11-11,1380
2017-11-12,1378
2017-11-13,1341
2017-11-14,1295
2017-11-15,1307
2017-11-16,1309
2017-11-17,1289
2017-11-18,1323
2017-11-19,1286
2017-11-20,1289
2017-11-21,1273
2017-11-22,1255
2017-11-23,1242
2017-11-24,1218
2017-11-25,1193
2017-11-26,1186
2017-11-27,1180
2017-11-28,1156
2017-11-29,1170
2017-11-30,1208
2017-12-01,1209
2017-12-02,1235
2017-12-03,1266
2017-12-04,1314
2017-12-05,1372
2017-12-06,1403
2017-12-07,1442
2017-12-08,1415
2017-12-09,1398
2017-12-10,1362
2017-12-11,1394
2017-12-12,1411
2017-12-13,1381
2017-12-14,1353
2017-12-15,1358
2017-12-16,1334
2017-12-17,1348
2017-12-18,1336
2017-12-19,1332
2017-12-20,1298
2017-12-21,1273
2017-12-22,1253
2017-12-23,1247
2017-12-24,1261
2017-12-25,1287
2017-12-26,1287
2017-12-27,1267
2017-12-28,1242
2017-12-29,1220
2017-12-30,1208
2017-12-31,1242
2018-01-01,1266
2018-01-02,1274
2018-01-03,1297
2018-01-04,1261
2018-01-05,1231
2018-01-06,1247
2018-01-07,1256
2018-01-08,1251
2018-01-09,1228
2018-01-10,1196
2018-01-11,1171
2018-01-12,1155
2018-01-13,1143
2018-01-14,1143
2018-01-15,1172
2018-01-16,1209
2018-01-17,1213
2018-01-18,1251
2018-01-19,1244
2018-01-20,1230
2018-01-21,1220
2018-01-22,1194
2018-01-23,1193
2018-01-24,1200
2018-01-25,1176
2018-01-26,1164
2018-01-27,1151
2018-01-28,1138
2018-01-29,1136
2018-01-30,1123
2018-02-01,1101
2018-02-02,1083
2018-02-03,1072
2018-02-04,1064
2018-02-05,1085
2018-02-06,1106
2018-02-07,1104
2018-02-08,1056
2018-02-09,1038
2018-02-10,1056
2018-02-11,1062
2018-02-12,1049
2018-02-13,1025
2018-02-14,999
2018-02-15,1036
2018-02-16,1079
2018-02-17,1118
2018-02-18,1154
2018-02-19,1183
2018-02-20,1201
2018-02-21,1249
2018-02-22,1281
2018-02-23,1245
2018-02-24,1210
2018-02-25,1211
2018-02-26,1218
2018-02-27,1214
2018-02-28,1198
2018-03-01,1200
2018-03-02,1226
2018-03-03,1238
2018-03-04,1225
2018-03-05,1213
2018-03-06,1196
2018-03-07,1200
2018-03-08,1241
2018-03-09,1297
2018-03-10,1291
2018-03-11,1289
2018-03-12,1303
2018-03-13,1327
2018-03-14,1297
2018-03-15,1285
2018-03-16,1296
2018-03-17,1279
2018-03-18,1274
2018-03-19,1241
2018-03-20,1223
2018-03-21,1205
2018-03-23,1220
2018-03-24,1210
2018-03-26,1115
2018-03-27,1087
2018-03-28,1073
2018-03-29,1076
2018-03-30,1073
2018-03-31,1097
2018-04-01,1142
2018-04-02,1146
2018-04-03,1131
2018-04-04,1117
2018-04-05,1118
2018-04-06,1113
2018-04-08,1074
2018-04-09,1056
2018-04-10,1028
2018-04-11,1013
2018-04-12,1009
2018-04-13,1001
2018-04-14,1000
2018-04-16,1065
2018-04-17,1112
2018-04-18,1160
2018-04-19,1193
2018-04-20,1180
2018-04-21,1185
2018-04-22,1206
2018-04-23,1242
2018-04-24,1286
2018-04-25,1270
2018-04-26,1224
2018-04-27,1228
2018-04-28,1260
2018-04-29,1309
2018-04-30,1333
2018-05-01,1312
2018-05-02,1276
2018-05-03,1251
2018-05-04,1230
2018-05-05,1212
2018-05-06,1218
2018-05-08,1223
2018-05-09,1226
2018-05-10,1227
2018-05-11,1206
2018-05-12,1195
2018-05-13,1204
2018-05-14,1254
2018-05-15,1261
2018-05-16,1300
2018-05-17,1345
2018-05-18,1337
2018-05-19,1325
2018-05-20,1321
2018-05-21,1354
2018-05-22,1391
2018-05-23,1429
2018-05-24,1389
2018-05-25,1325
2018-05-26,1302
2018-05-27,1297
2018-05-28,1316
2018-05-29,1322
2018-05-30,1316
2018-05-31,1295
2018-06-01,1273
2018-06-02,1235
2018-06-03,1204
2018-06-04,1216
2018-06-05,1259
2018-06-06,1302
2018-06-07,1340
2018-06-08,1314
2018-06-09,1283
2018-06-10,1278
2018-06-11,1237
2018-06-12,1237
2018-06-13,1227
2018-06-14,1235
2018-06-15,1255
2018-06-16,1272
2018-06-17,1295
2018-06-18,1321
2018-06-19,1291
2018-06-20,1233
2018-06-21,1196
2018-06-22,1138
2018-06-23,1081
2018-06-24,1034
2018-06-25,1027
2018-06-26,1070
2018-06-27,1061
2018-06-28,1083
2018-06-29,1122
2018-06-30,1137
2018-07-01,1130
2018-07-02,1157
2018-07-03,1138
2018-07-04,1138
2018-07-05,1160
2018-07-06,1139
2018-07-07,1107
2018-07-08,1103
2018-07-09,1115
2018-07-10,1129
2018-07-11,1123
2018-07-12,1112
2018-07-13,1132
2018-07-14,1137
2018-07-15,1165
2018-07-16,1211
2018-07-17,1213
2018-07-18,1245
2018-07-19,1267
2018-07-20,1243
2018-07-21,1275
2018-07-22,1337
2018-07-23,1404
2018-07-24,1471
2018-07-25,1543
2018-07-26,1516
2018-07-27,1461
2018-07-28,1398
2018-07-29,1374
2018-07-30,1340
2018-07-31,1361
2018-08-01,1379
2018-08-02,1353
2018-08-03,1334
2018-08-04,1311
2018-08-05,1308
2018-08-06,1296
2018-08-07,1304
2018-08-08,1344
2018-08-09,1358
2018-08-10,1414
2018-08-11,1410
2018-08-12,1418
2018-08-14,1532
2018-08-16,1522
2018-08-17,1464
2018-08-18,1410
2018-08-19,1370
2018-08-20,1408
2018-08-21,1421
2018-08-22,1449
2018-08-23,1439
2018-08-24,1460
2018-08-25,1450
2018-08-26,1467
2018-08-27,1498
2018-08-28,1505
2018-08-29,1488
2018-08-30,1549
2018-08-31,1592
2018-09-01,1607
2018-09-02,1620
2018-09-03,1681
2018-09-04,1730
2018-09-05,1734
2018-09-06,1704
2018-09-07,1646
2018-09-08,1600
2018-09-09,1577
2018-09-10,1571
2018-09-11,1545
2018-09-12,1596
2018-09-13,1572
2018-09-14,1521
2018-09-15,1476
2018-09-16,1441
2018-09-17,1393
2018-09-18,1372
2018-09-19,1317
2018-09-20,1268
2018-09-21,1239
2018-09-22,1273
2018-09-23,1317
2018-09-24,1383
2018-09-25,1399
2018-09-26,1351
2018-09-27,1287
2018-09-28,1258
2018-09-29,1280
2018-09-30,1319
2018-10-02,1338
2018-10-03,1328
2018-10-04,1300
2018-10-05,1290
2018-10-06,1332
2018-10-07,1374
2018-10-08,1426
2018-10-09,1481
2018-10-10,1466
2018-10-11,1510
2018-10-12,1558
2018-10-13,1539
2018-10-14,1569
2018-10-15,1647
2018-10-16,1728
2018-10-17,1783
2018-10-18,1848
2018-10-19,1936
2018-10-20,2033
2018-10-21,2135
2018-10-22,2233
2018-10-23,2313
2018-10-24,2288
2018-10-25,2203
2018-10-26,2108
2018-10-27,2002
2018-10-28,1949
