date_obj,Uncut%20ruby price
2015-03-26,1714
2015-03-27,1782
2015-03-28,1739
2015-03-29,1663
2015-03-30,1622
2015-03-31,1592
2015-04-01,1618
2015-04-02,1619
2015-04-03,1593
2015-04-04,1583
2015-04-05,1580
2015-04-06,1611
2015-04-07,1622
2015-04-08,1605
2015-04-09,1622
2015-04-10,1645
2015-04-11,1613
2015-04-12,1624
2015-04-13,1617
2015-04-14,1592
2015-04-15,1526
2015-04-16,1513
2015-04-17,1526
2015-04-18,1501
2015-04-19,1460
2015-04-20,1409
2015-04-21,1414
2015-04-22,1452
2015-04-23,1441
2015-04-24,1476
2015-04-25,1516
2015-04-26,1539
2015-04-27,1543
2015-04-28,1562
2015-04-29,1618
2015-04-30,1653
2015-05-01,1673
2015-05-02,1685
2015-05-03,1674
2015-05-04,1723
2015-05-05,1723
2015-05-06,1754
2015-05-07,1769
2015-05-08,1768
2015-05-09,1763
2015-05-10,1737
2015-05-11,1725
2015-05-12,1733
2015-05-13,1714
2015-05-14,1685
2015-05-15,1708
2015-05-16,1727
2015-05-17,1711
2015-05-18,1710
2015-05-19,1730
2015-05-20,1700
2015-05-21,1725
2015-05-22,1731
2015-05-23,1696
2015-05-24,1679
2015-05-25,1703
2015-05-26,1732
2015-05-27,1743
2015-05-28,1794
2015-05-29,1828
2015-05-30,1776
2015-05-31,1696
2015-06-01,1682
2015-06-02,1711
2015-06-03,1721
2015-06-04,1737
2015-06-05,1767
2015-06-06,1735
2015-06-07,1719
2015-06-08,1716
2015-06-09,1744
2015-06-10,1763
2015-06-11,1724
2015-06-12,1682
2015-06-13,1677
2015-06-14,1730
2015-06-15,1730
2015-06-16,1697
2015-06-17,1661
2015-06-18,1651
2015-06-19,1637
2015-06-20,1634
2015-06-21,1642
2015-06-22,1636
2015-06-23,1646
2015-06-24,1635
2015-06-25,1586
2015-06-26,1569
2015-06-27,1606
2015-06-28,1580
2015-06-29,1543
2015-06-30,1547
2015-07-01,1509
2015-07-02,1517
2015-07-03,1524
2015-07-04,1504
2015-07-05,1445
2015-07-06,1452
2015-07-07,1479
2015-07-08,1481
2015-07-09,1484
2015-07-10,1490
2015-07-11,1520
2015-07-12,1583
2015-07-13,1567
2015-07-14,1617
2015-07-15,1576
