date_obj,Urt%20salt price
2018-09-05,100
2018-09-06,105
2018-09-07,111
2018-09-08,117
2018-09-09,123
2018-09-10,130
2018-09-11,137
2018-09-12,144
2018-09-13,151
2018-09-14,159
2018-09-15,166
2018-09-16,174
2018-09-17,178
2018-09-18,172
2018-09-19,180
2018-09-20,179
2018-09-21,170
2018-09-22,171
2018-09-23,176
2018-09-24,169
2018-09-25,161
2018-09-26,154
2018-09-27,160
2018-09-28,164
2018-09-29,157
2018-09-30,149
2018-10-02,153
2018-10-03,159
2018-10-04,163
2018-10-05,171
2018-10-06,174
2018-10-07,183
2018-10-08,192
2018-10-09,195
2018-10-10,191
2018-10-11,189
2018-10-12,181
2018-10-13,171
2018-10-14,162
2018-10-15,165
2018-10-16,163
2018-10-17,156
2018-10-18,156
2018-10-19,156
2018-10-20,156
2018-10-21,158
2018-10-22,159
2018-10-23,164
2018-10-24,166
2018-10-25,162
2018-10-26,158
2018-10-27,153
2018-10-28,153
2018-10-29,153
2018-10-30,149
2018-10-31,144
2018-11-01,136
2018-11-03,125
2018-11-04,121
2018-11-05,120
2018-11-06,122
2018-11-07,128
2018-11-08,135
2018-11-09,142
2018-11-10,150
2018-11-11,158
2018-11-12,163
2018-11-13,161
2018-11-14,155
2018-11-15,162
2018-11-16,165
2018-11-17,157
2018-11-18,155
2018-11-19,148
2018-11-20,142
2018-11-21,136
2018-11-22,129
2018-11-23,128
2018-11-24,122
2018-11-25,115
2018-11-26,109
2018-11-27,103
2018-11-28,97
2018-11-29,93
2018-12-01,86
2018-12-02,88
2018-12-03,88
2018-12-04,92
2018-12-05,91
2018-12-07,93
2018-12-09,97
2018-12-10,98
2018-12-11,102
2018-12-12,108
2018-12-13,112
2018-12-14,116
2018-12-15,119
2018-12-16,121
2018-12-17,123
2018-12-18,127
2018-12-19,132
2018-12-20,137
2018-12-21,135
2018-12-22,134
2018-12-23,134
2018-12-24,135
2018-12-25,133
2018-12-26,133
2018-12-27,130
2018-12-28,126
2018-12-29,125
2018-12-30,127
2018-12-31,126
2019-01-01,129
2019-01-02,130
2019-01-03,128
2019-01-04,131
2019-01-05,133
2019-01-06,135
2019-01-08,137
2019-01-10,136
2019-01-11,135
2019-01-12,135
2019-01-13,135
2019-01-14,135
2019-01-15,136
2019-01-16,137
2019-01-17,138
2019-01-18,137
2019-01-19,136
2019-01-20,137
2019-01-21,141
2019-01-22,138
2019-01-23,137
2019-01-24,135
2019-01-25,132
2019-01-26,133
2019-01-27,128
2019-01-28,125
2019-01-29,120
2019-01-30,117
2019-01-31,117
2019-02-01,116
2019-02-02,115
2019-02-03,114
2019-02-04,109
2019-02-05,105
2019-02-06,104
2019-02-07,104
2019-02-08,102
2019-02-09,99
2019-02-10,95
2019-02-11,90
2019-02-12,87
2019-02-13,83
2019-02-14,79
2019-02-15,75
2019-02-16,71
2019-02-17,68
2019-02-18,71
2019-02-19,74
2019-02-20,74
2019-02-21,76
2019-02-22,76
2019-02-23,77
2019-02-24,76
2019-02-25,74
2019-02-26,72
2019-02-27,70
2019-02-28,70
2019-03-01,68
2019-03-02,64
2019-03-03,60
2019-03-04,61
2019-03-05,64
2019-03-06,68
2019-03-07,72
2019-03-08,72
2019-03-09,76
2019-03-10,79
2019-03-11,83
2019-03-12,88
2019-03-13,92
2019-03-14,97
2019-03-15,102
2019-03-16,107
2019-03-17,112
2019-03-18,112
2019-03-19,114
2019-03-20,116
2019-03-21,116
2019-03-22,116
2019-03-23,115
2019-03-24,111
2019-03-25,111
2019-03-26,105
2019-03-27,101
2019-03-28,99
2019-03-29,99
2019-03-30,99
2019-03-31,98
2019-04-01,98
2019-04-02,98
2019-04-03,98
2019-04-04,97
2019-04-05,96
2019-04-06,97
2019-04-07,96
2019-04-08,95
2019-04-09,94
2019-04-10,92
2019-04-11,95
2019-04-12,97
2019-04-13,95
2019-04-14,97
2019-04-15,98
2019-04-16,98
2019-04-17,96
2019-04-18,96
2019-04-19,97
2019-04-20,96
2019-04-21,96
2019-04-22,97
2019-04-23,97
2019-04-24,98
2019-04-25,98
2019-04-26,99
2019-04-27,99
2019-04-28,99
2019-04-29,95
2019-04-30,96
2019-05-01,99
2019-05-02,98
2019-05-03,98
2019-05-04,97
2019-05-05,98
2019-05-06,97
2019-05-07,96
2019-05-08,96
2019-05-09,96
2019-05-10,95
2019-05-11,97
2019-05-12,97
2019-05-13,96
2019-05-14,97
2019-05-15,95
2019-05-16,94
2019-05-17,95
2019-05-18,94
2019-05-19,94
2019-05-20,92
2019-05-21,91
2019-05-22,91
2019-05-23,92
2019-05-24,92
2019-05-25,91
2019-05-26,92
2019-05-27,92
2019-05-28,91
2019-05-29,91
2019-05-30,90
2019-05-31,88
2019-06-01,84
2019-06-02,84
2019-06-03,84
2019-06-04,86
2019-06-05,87
2019-06-06,88
2019-06-07,89
2019-06-08,88
2019-06-09,88
2019-06-10,88
2019-06-11,89
2019-06-12,87
2019-06-13,87
2019-06-14,89
2019-06-15,90
2019-06-16,87
2019-06-17,85
2019-06-18,86
2019-06-19,84
2019-06-20,82
2019-06-21,82
2019-06-22,83
2019-06-23,83
2019-06-24,86
2019-06-25,86
2019-06-26,87
2019-06-27,88
2019-06-28,88
2019-06-29,89
2019-06-30,91
2019-07-01,92
2019-07-02,93
2019-07-03,91
2019-07-04,92
2019-07-05,88
2019-07-06,84
2019-07-07,79
2019-07-08,77
2019-07-09,73
2019-07-10,70
2019-07-11,68
2019-07-12,65
2019-07-13,63
2019-07-14,63
2019-07-15,63
2019-07-16,64
2019-07-17,62
2019-07-18,65
2019-07-19,67
2019-07-20,68
2019-07-21,68
2019-07-22,65
2019-07-23,65
2019-07-24,68
2019-07-25,64
2019-07-26,62
2019-07-27,59
2019-07-28,59
2019-07-29,56
2019-07-30,56
2019-07-31,55
2019-08-01,56
2019-08-02,57
2019-08-03,58
2019-08-04,59
2019-08-05,60
2019-08-06,62
2019-08-07,62
2019-08-08,64
2019-08-09,63
2019-08-10,61
2019-08-11,60
2019-08-12,59
2019-08-13,61
2019-08-14,62
2019-08-15,65
2019-08-16,64
2019-08-17,64
2019-08-18,64
2019-08-19,64
2019-08-20,63
2019-08-21,63
2019-08-22,61
2019-08-23,61
2019-08-24,61
2019-08-24,61
2019-08-25,64
2019-08-25,64
2019-08-26,62
2019-08-26,62
2019-08-27,63
2019-08-27,63
2019-08-28,65
2019-08-29,66
2019-08-30,65
2019-08-31,64
2019-09-01,65
2019-09-02,65
2019-09-03,67
2019-09-04,66
2019-09-05,65
2019-09-06,65
2019-09-07,68
2019-09-08,70
2019-09-09,69
2019-09-10,69
2019-09-11,70
2019-09-12,71
2019-09-13,68
2019-09-14,66
2019-09-15,65
2019-09-16,64
2019-09-17,65
2019-09-18,65
2019-09-19,64
2019-09-20,64
2019-09-21,66
2019-09-22,69
2019-09-23,69
2019-09-24,69
2019-09-25,67
2019-09-26,66
2019-09-27,64
2019-09-28,63
2019-09-29,62
2019-09-30,61
2019-10-01,59
2019-10-02,59
2019-10-03,60
2019-10-04,60
2019-10-05,61
2019-10-06,60
2019-10-07,61
2019-10-08,60
2019-10-09,60
2019-10-10,60
2019-10-11,58
2019-10-12,60
2019-10-13,62
2019-10-14,64
2019-10-15,63
2019-10-16,61
2019-10-17,61
2019-10-18,58
2019-10-19,59
2019-10-20,59
2019-10-21,58
2019-10-22,57
2019-10-23,55
2019-10-24,56
2019-10-25,54
2019-10-26,54
2019-10-27,53
2019-10-28,53
2019-10-29,53
2019-10-30,52
2019-10-31,55
2019-11-01,58
2019-11-02,59
2019-11-03,57
2019-11-04,60
2019-11-05,60
2019-11-06,59
2019-11-07,59
2019-11-08,60
2019-11-09,61
2019-11-10,60
2019-11-11,60
2019-11-12,60
2019-11-13,59
2019-11-14,60
2019-11-15,60
2019-11-16,62
2019-11-17,62
2019-11-18,64
2019-11-19,64
2019-11-20,65
2019-11-21,65
2019-11-22,69
2019-11-23,73
2019-11-24,77
2019-11-25,81
2019-11-26,86
2019-11-27,91
2019-11-28,96
2019-11-29,101
2019-11-30,107
2019-12-01,113
2019-12-02,119
2019-12-03,125
2019-12-04,132
2019-12-05,132
2019-12-06,135
2019-12-07,129
2019-12-08,123
2019-12-09,120
2019-12-10,117
2019-12-11,111
2019-12-12,111
2019-12-13,108
2019-12-14,103
2019-12-15,99
2019-12-16,96
2019-12-17,96
2019-12-18,94
2019-12-19,98
2019-12-20,98
2019-12-21,97
2019-12-22,99
2019-12-23,96
2019-12-24,94
2019-12-25,89
2019-12-26,87
2019-12-27,84
2019-12-28,79
2019-12-29,79
2019-12-30,77
2019-12-31,75
2020-01-01,74
2020-01-02,75
2020-01-03,79
2020-01-04,83
2020-01-05,88
2020-01-06,93
2020-01-07,97
2020-01-08,97
2020-01-09,96
2020-01-10,94
2020-01-11,93
2020-01-12,91
2020-01-13,91
2020-01-14,88
2020-01-15,90
2020-01-16,88
2020-01-17,83
2020-01-18,78
2020-01-19,77
2020-01-20,75
2020-01-21,76
2020-01-22,77
2020-01-23,78
2020-01-24,80
2020-01-25,81
2020-01-26,80
2020-01-27,81
2020-01-28,84
2020-01-29,83
2020-01-30,83
